 	a66	a87	a57	a87	a23	a79	a15	a7	a75	a85	a15	a20	a98	a85	a6	a43	a96	a98	a92	a47	a61	a75	a85	a47	a15	a44	a57	a3	a97	a87	a23	a87	a23	</S>
n'	0.0421532	0.0609275	0.0733107	0.0647747	0.064247	0.0779734	0.0579563	0.0582626	0.0355661	0.0217327	0.0174442	0.0126822	0.012844	0.01231	0.0144832	0.00756197	0.00983926	0.00430895	0.0032012	0.0030874	0.00352226	0.00372467	0.00997574	0.00856673	0.0223642	0.0228433	0.0209195	0.0214707	0.0256111	0.0306555	0.0321898	0.0378584	0.0447645	0.0608669
encourage	0.0108561	0.0087815	0.0094831	0.0147684	0.0144692	0.0221941	0.0250974	0.0341973	0.0741419	0.0996161	0.147448	0.124194	0.0787412	0.0360811	0.00913166	0.00445624	0.0150777	0.0109915	0.0124169	0.0146286	0.0188724	0.0190459	0.0123422	0.0128945	0.0131697	0.0122598	0.0124837	0.0181902	0.0173119	0.0168638	0.0238833	0.0237695	0.0181351	0.0140063
pas	0.00963406	0.00880562	0.0112404	0.00920806	0.00836719	0.0100788	0.0195435	0.0433673	0.0420547	0.0481121	0.053414	0.0346365	0.0303048	0.021538	0.0104609	0.004781	0.00873006	0.00843728	0.00857749	0.0105121	0.013033	0.0134994	0.0178091	0.0220602	0.0268073	0.0301105	0.0457476	0.0838122	0.0469541	0.0760656	0.063116	0.0528981	0.0473228	0.05896
l'	0.056625	0.0797108	0.0512749	0.0519586	0.0363986	0.0270867	0.0188379	0.00753044	0.00984622	0.012177	0.00940691	0.0082734	0.00942967	0.00992354	0.0103394	0.0228004	0.0158395	0.0333677	0.0443719	0.0657325	0.0492542	0.0606272	0.0285383	0.0255924	0.0396118	0.0253223	0.0394267	0.0313652	0.025178	0.0185654	0.0195958	0.0192717	0.0150602	0.02166
enfant	0.0656034	0.0268185	0.0239472	0.0215954	0.0190361	0.019556	0.0210403	0.0246145	0.0186633	0.0161418	0.0157589	0.0176482	0.019263	0.0371626	0.039637	0.0474527	0.0264377	0.025314	0.0218263	0.0188996	0.0165068	0.0207027	0.0243866	0.0302338	0.0356352	0.0335716	0.0330519	0.0402994	0.0348088	0.0360203	0.0434162	0.0390613	0.0403015	0.0455875
à	0.0708713	0.0559622	0.0494031	0.0355064	0.0327022	0.0333196	0.0328537	0.0498237	0.0375575	0.0295123	0.0276238	0.0213321	0.0194471	0.0150783	0.0231528	0.0149849	0.023285	0.0141279	0.0165409	0.0142293	0.015928	0.0154517	0.0208917	0.027034	0.0226694	0.0442928	0.0410278	0.0324062	0.0266417	0.0336624	0.0355921	0.0216834	0.0198419	0.0255626
manger	0.06218	0.052935	0.0398539	0.0264121	0.0225654	0.0173718	0.0276264	0.0235297	0.0264105	0.0239017	0.0279686	0.0154288	0.0115126	0.00873582	0.00505096	0.00335821	0.00404963	0.00188456	0.00296684	0.00528835	0.0101893	0.0201418	0.0436783	0.0320847	0.0324484	0.0508957	0.0544308	0.0652703	0.0445055	0.0387215	0.0435592	0.0418583	0.0527352	0.0604499
comme	0.0748341	0.0537273	0.0383561	0.0224526	0.0146111	0.010799	0.0145073	0.0146664	0.0145855	0.0137785	0.0135637	0.0104968	0.00699421	0.0057191	0.00519238	0.00306774	0.00371432	0.00111764	0.00136526	0.00202851	0.00334768	0.00585341	0.0195137	0.0198142	0.0242222	0.0549919	0.0581005	0.0653747	0.0771878	0.0945598	0.0810231	0.0708091	0.0564688	0.0431554
ça	0.0757069	0.0413711	0.0351968	0.0313427	0.0338281	0.0288942	0.0226727	0.0166923	0.0141903	0.00963548	0.00786972	0.00639187	0.00757237	0.0139566	0.0103775	0.00458486	0.0114326	0.00371218	0.00703921	0.00893236	0.00932325	0.00748277	0.0174948	0.0121677	0.0110646	0.0153884	0.0187727	0.0308131	0.0596988	0.0699474	0.0591625	0.0804008	0.09854	0.118343
</S>	0.0387386	0.0254405	0.0186707	0.0126563	0.0109614	0.00880393	0.0134901	0.00833071	0.0113555	0.00818685	0.0125572	0.00722243	0.00558121	0.00561489	0.00423653	0.00226839	0.00450023	0.00183996	0.00480844	0.00755221	0.0122377	0.0159803	0.0216942	0.0241766	0.0349923	0.0283204	0.0348295	0.0460175	0.0633891	0.0825741	0.0898444	0.105803	0.0999277	0.127397
