 	a23	a54	a73	a94	a58	a76	a20	a41	a35	a54	a15	a41	a24	a94	a69	a76	a20	a58	a84	a82	a87	a23	a5	a66	a90	a76	a90	a41	a94	a76	a69	a4	a57	a38	a53	a94	a76	a25	a94	a32	a75	a85	a12	a21	a18	a40	a75	a73	a84	a57	a87	a23	a87	</S>
avec	0.0443578	0.0543572	0.0550125	0.0270425	0.0538076	0.0522094	0.0281329	0.0177907	0.0433942	0.0377707	0.0263443	0.0426918	0.0258134	0.0153951	0.0127153	0.0067328	0.00898671	0.0122409	0.00689973	0.0128532	0.00803972	0.0115431	0.0124099	0.00780865	0.0138137	0.0138876	0.0178512	0.0140276	0.00644474	0.0115649	0.00846813	0.00819951	0.0125366	0.0151638	0.00686238	0.0103162	0.00740437	0.0075699	0.00415359	0.00308978	0.00220166	0.00145698	0.00223035	0.00827625	0.0147455	0.0158143	0.016978	0.0234105	0.024441	0.0193086	0.0161686	0.0183664	0.0184751	0.0324227
la	0.0033701	0.0100805	0.0259519	0.0201854	0.0173359	0.0186568	0.0261711	0.0323186	0.0336081	0.0163672	0.0241999	0.0257908	0.0273811	0.0276582	0.0515486	0.0248382	0.0303388	0.0177669	0.0192406	0.0162733	0.0217814	0.0459187	0.0429035	0.0478768	0.0683779	0.0760731	0.0546391	0.0270704	0.0299594	0.0244157	0.0156157	0.0112196	0.00686674	0.00519381	0.00162206	0.00234194	0.00294129	0.00213971	0.00184114	0.0018045	0.0010979	0.00134847	0.00130711	0.00268405	0.00314462	0.00396313	0.00430779	0.00393511	0.00350613	0.00354967	0.0029998	0.00202502	0.00255797	0.00388857
pluie	0.0161099	0.0128456	0.0259474	0.0296913	0.0473211	0.0453329	0.0282841	0.0545447	0.0201377	0.00963085	0.0116969	0.0187691	0.0186171	0.0210454	0.0676796	0.0279443	0.0371433	0.0326343	0.0254607	0.018597	0.0235523	0.0252233	0.0476929	0.0148419	0.0174089	0.0146549	0.0144644	0.0136545	0.011998	0.0160777	0.015591	0.0108252	0.012345	0.0107791	0.00344146	0.00382613	0.00396316	0.00462827	0.00168247	0.00125247	0.000764095	0.000613468	0.000570057	0.00222331	0.00544032	0.00928208	0.0188627	0.0227942	0.0199654	0.0152085	0.0223757	0.0153496	0.016944	0.0122702
qui	0.0103714	0.0211773	0.0411398	0.047182	0.0328128	0.014546	0.0448387	0.0520221	0.0413197	0.0231063	0.0116548	0.0326463	0.0464048	0.0341661	0.065677	0.0270392	0.0372332	0.0228159	0.0168787	0.0114023	0.0125186	0.0155569	0.0119816	0.0131748	0.0200468	0.0131591	0.0200724	0.0108278	0.0140602	0.0123709	0.00938797	0.00971434	0.012597	0.0109877	0.0074002	0.00564988	0.00531237	0.0051264	0.00411008	0.00520247	0.00300089	0.00238256	0.00256584	0.00184921	0.00285148	0.00438521	0.00626239	0.00765034	0.0151172	0.0172591	0.0176349	0.0147325	0.0201693	0.0304468
était	0.0274465	0.027953	0.018286	0.0364722	0.0136038	0.00890427	0.00911275	0.0075384	0.00737662	0.0110592	0.00601205	0.0101451	0.00835743	0.00768523	0.0196437	0.0152311	0.0177315	0.00916137	0.0158153	0.00956941	0.0213816	0.0420689	0.0314807	0.0239978	0.0221304	0.0302101	0.0195506	0.0158729	0.0146359	0.0182466	0.0136679	0.0176275	0.018544	0.0169788	0.0201661	0.0223483	0.0169717	0.0352073	0.0426644	0.0400285	0.0337813	0.0281669	0.0276934	0.0201083	0.0121738	0.0050142	0.00637754	0.00549811	0.00845098	0.0168543	0.0117085	0.0105429	0.0191283	0.0236166
tombée	0.0215811	0.0117034	0.00728357	0.00667652	0.00612582	0.00506444	0.00285094	0.00352668	0.0020877	0.00453691	0.00438801	0.00590934	0.00934252	0.00726086	0.0130889	0.0124163	0.0141253	0.0144414	0.0229583	0.0122117	0.0392114	0.044047	0.087953	0.0682318	0.0517943	0.0336095	0.0271375	0.020567	0.0333685	0.0348044	0.0202923	0.0190332	0.0136203	0.0119244	0.0254399	0.0189233	0.0175766	0.0286001	0.0309738	0.0186878	0.0173574	0.0113894	0.0127445	0.0179414	0.0155204	0.0137402	0.0111484	0.00791172	0.0129326	0.0142535	0.00784396	0.010293	0.00720351	0.00634423
on	0.0369292	0.0493051	0.0232016	0.0131488	0.00450783	0.00288044	0.00856228	0.0110593	0.00868373	0.00727028	0.00249196	0.00673829	0.00519624	0.00738441	0.0222619	0.00905521	0.016214	0.00941512	0.0175036	0.0132619	0.0272152	0.0292331	0.0415456	0.0316453	0.0467275	0.027881	0.0433019	0.0170582	0.0330643	0.0317615	0.0172616	0.0124443	0.0077098	0.00809087	0.0182507	0.00869203	0.01169	0.0108342	0.0110832	0.00535574	0.00563672	0.00681406	0.00723552	0.0116648	0.0144742	0.0213878	0.030198	0.034659	0.0306782	0.0330505	0.0190091	0.0247287	0.0240901	0.0204563
ne	0.0393187	0.0439889	0.0251884	0.0232734	0.0163934	0.00634356	0.00901053	0.0102622	0.00661022	0.0124957	0.00848293	0.0164329	0.0125655	0.0112036	0.0167603	0.0104893	0.0203226	0.0162843	0.0177717	0.0116719	0.0256605	0.0241297	0.0262936	0.0336965	0.0338005	0.0254019	0.0286158	0.0173898	0.0255331	0.0318924	0.0196563	0.0127136	0.01001	0.0110693	0.0167794	0.010484	0.0139775	0.00993945	0.00648815	0.00407724	0.00427145	0.00487027	0.00474832	0.00807606	0.00643055	0.0146259	0.0184252	0.0273422	0.029042	0.0246353	0.0280625	0.0346872	0.0374177	0.0348866
pouvait	0.0344263	0.0436293	0.0273744	0.0236962	0.0181719	0.00790239	0.0123825	0.0165677	0.0134308	0.0202624	0.0130305	0.0203242	0.0104437	0.00921107	0.012325	0.00743036	0.0130709	0.0125896	0.013039	0.0111233	0.0186274	0.016574	0.0184922	0.021611	0.0217978	0.0214271	0.0220672	0.0150715	0.017083	0.0252068	0.0151947	0.00942534	0.0111939	0.0159073	0.0206256	0.0166372	0.0178604	0.0148582	0.00631805	0.00388917	0.00408505	0.00431433	0.00603329	0.0156243	0.0104723	0.0197351	0.0179864	0.0284697	0.0297377	0.03152	0.0328457	0.0335193	0.0476142	0.0477433
plus	0.0331336	0.0405311	0.0410038	0.0441287	0.0382064	0.0203133	0.0193737	0.00904876	0.010872	0.0125538	0.00739494	0.0106534	0.00397254	0.00388864	0.00458628	0.00275424	0.00439711	0.00481835	0.00582387	0.0119274	0.0191092	0.0260439	0.0266693	0.0433538	0.0269269	0.0315166	0.022505	0.0194036	0.0208168	0.0308783	0.0129618	0.0130013	0.0153072	0.0145488	0.0230817	0.0200444	0.0169898	0.0199626	0.0138613	0.010449	0.0119158	0.0102041	0.00764633	0.0151234	0.0131652	0.00888041	0.0150269	0.0208888	0.0174171	0.0197821	0.0188895	0.018018	0.0280101	0.038219
