 	a66	a87	a23	a40	a6	a5	a37	a21	a5	a18	a82	a87	a23	a30	a13	a53	a70	a83	a9	a99	a87	a23	a79	a90	a44	a96	a5	a96	a13	a94	a12	a18	a71	a25	a87	a23	a99	a13	a53	a15	a7	a44	a94	a18	a88	a71	a9	a87	a23	a40	a7	a26	a62	a96	a18	a5	a6	a36	a26	a57	a87	a23	a54	a36	a26	a66	a70	a71	a9	a99	a87	a23	a57	a13	a9	a57	a30	a4	a57	a3	</S>
alembe	0.0218791	0.027254	0.0320944	0.0264796	0.0258664	0.0271757	0.0490771	0.0158377	0.0269768	0.0341528	0.00998482	0.00802133	0.00770536	0.0125566	0.0102094	0.0118726	0.0109632	0.0093187	0.00861524	0.00955263	0.0136961	0.00689676	0.00937793	0.00840434	0.00992845	0.00879943	0.00892619	0.0173526	0.0130564	0.0170124	0.0131619	0.0127547	0.0167184	0.0080938	0.0159379	0.00824053	0.00862623	0.0132583	0.00859312	0.00818584	0.00899075	0.00654366	0.0120586	0.0118304	0.0172581	0.0147413	0.0142826	0.0116594	0.0141307	0.0121247	0.0191181	0.0179846	0.0175328	0.0241226	0.018021	0.0234024	0.0175906	0.0165098	0.00799867	0.00893978	0.00723339	0.00789278	0.00778396	0.00848026	0.00427067	0.00397606	0.00327149	0.00251338	0.00272239	0.00497324	0.00386509	0.00555616	0.00416984	0.00501493	0.00272621	0.00392674	0.00178536	0.00215651	0.00237187	0.00223493	0.0056194
ongoli	0.00883286	0.00829253	0.0117881	0.0182645	0.0265738	0.0264771	0.0207221	0.0226919	0.0148045	0.011083	0.00928325	0.0107202	0.0108535	0.0122719	0.0216384	0.0122731	0.0122568	0.015931	0.0128768	0.0189877	0.0158744	0.0188499	0.0116617	0.018028	0.0221054	0.00630985	0.00777014	0.00546634	0.0086845	0.00787356	0.00857205	0.0081908	0.00843044	0.0134701	0.0122989	0.00833251	0.012246	0.0122312	0.00889576	0.00696206	0.0112684	0.0116373	0.0111587	0.0172752	0.0183999	0.0167548	0.0159858	0.0116697	0.0138551	0.00806958	0.0114308	0.00966324	0.0152683	0.00609905	0.00697068	0.00999832	0.0105272	0.0154947	0.0186377	0.0162895	0.0114737	0.0056703	0.00643654	0.00640909	0.00618622	0.0053958	0.00299722	0.00536535	0.00715521	0.00588359	0.00743495	0.00603882	0.00587097	0.00605789	0.0114375	0.0126089	0.0139417	0.0169276	0.0192255	0.0271984	0.0249541
olembe	0.0356218	0.0219247	0.018131	0.0287502	0.0321603	0.0295535	0.0204607	0.027031	0.0111408	0.0123624	0.0151879	0.0129826	0.01096	0.0103941	0.01735	0.008138	0.0126056	0.0124147	0.01287	0.0220782	0.0163755	0.0168975	0.0125245	0.0213652	0.0193946	0.00987036	0.0163555	0.0129304	0.0096646	0.0108755	0.0106385	0.00873559	0.00803985	0.00791431	0.0107375	0.0134099	0.0109854	0.00936433	0.00621328	0.00480881	0.0130519	0.0130545	0.0101425	0.0102641	0.0113227	0.0101218	0.00776277	0.00872207	0.0104419	0.00701763	0.0133564	0.017085	0.0201888	0.00890072	0.00936281	0.0186996	0.0132318	0.0290356	0.0224709	0.0131107	0.0114747	0.00437084	0.00704674	0.00828744	0.00614832	0.00385345	0.0015871	0.00205074	0.00209059	0.00173776	0.00169364	0.00248089	0.00456587	0.00317152	0.00692525	0.00681632	0.00569045	0.00716299	0.00491057	0.0150946	0.0162774
loange	0.0221704	0.0112893	0.00496537	0.0046046	0.00297546	0.00276918	0.00374596	0.00408423	0.00453409	0.00714269	0.00543784	0.00632867	0.00703377	0.00768847	0.00830053	0.00694976	0.00639871	0.00658472	0.00794133	0.00880158	0.00703936	0.00777721	0.00663772	0.0104129	0.010789	0.0105797	0.0100141	0.00871757	0.00788095	0.0152267	0.0126288	0.0124771	0.00871493	0.0114807	0.00828925	0.00666306	0.010592	0.00930726	0.0125315	0.0126285	0.015428	0.0139455	0.0129167	0.0148195	0.0117396	0.0143582	0.0143843	0.01361	0.014823	0.0100745	0.0179979	0.0154451	0.0223134	0.0155064	0.0174804	0.0277908	0.0157214	0.0182149	0.0168544	0.0317301	0.0140954	0.0360158	0.0196266	0.0249387	0.00876952	0.0204525	0.0109773	0.0367321	0.00910253	0.00687925	0.0196005	0.0202178	0.0156072	0.00984771	0.0107213	0.0114966	0.00820202	0.00886322	0.00753098	0.00931604	0.0157179
abela	0.0049803	0.00231657	0.00162701	0.00127003	0.000909597	0.000654745	0.00128306	0.0011487	0.00249702	0.00351809	0.003037	0.00764367	0.00485938	0.00888772	0.00758373	0.0108644	0.0105038	0.013575	0.0129788	0.0119663	0.00961555	0.0130969	0.010065	0.0194378	0.0132996	0.0213182	0.0255195	0.0217886	0.0220908	0.0246306	0.0298061	0.0225433	0.0196853	0.0211098	0.0186065	0.0118773	0.0164485	0.0184664	0.0166676	0.0178396	0.030443	0.0210012	0.0260886	0.0266149	0.0218444	0.0367125	0.0231238	0.025221	0.0189944	0.0103932	0.0213915	0.015936	0.021884	0.017826	0.021443	0.0237795	0.0101355	0.0118325	0.00998626	0.0166245	0.00818347	0.0119184	0.00775532	0.00576353	0.00486332	0.00916769	0.00429682	0.00489682	0.00400756	0.00253299	0.00397645	0.00358745	0.00306437	0.00191466	0.00392044	0.00341425	0.00279398	0.0026573	0.00211106	0.00573481	0.00614579
tsaangi	0.00808972	0.00591563	0.00361132	0.00272983	0.0016258	0.00079748	0.00128026	0.00249709	0.00372935	0.00492282	0.0062914	0.00975626	0.0129674	0.0112846	0.018175	0.0191259	0.0155463	0.0198793	0.018887	0.0159459	0.0148071	0.0196914	0.0126305	0.0275975	0.0200608	0.0240081	0.025998	0.0196819	0.0257086	0.0189228	0.0286716	0.0173286	0.0132622	0.0210137	0.0148112	0.0131281	0.0182633	0.0208069	0.0202333	0.0165607	0.0334983	0.0204397	0.0188002	0.0242879	0.026786	0.040722	0.0211678	0.024792	0.0224393	0.0133095	0.0192634	0.0170429	0.0208525	0.017457	0.0146515	0.0160759	0.00795737	0.00547554	0.00633245	0.00454557	0.00357712	0.00246905	0.00194683	0.00310823	0.00184288	0.00240097	0.00108054	0.00190604	0.00146803	0.00119941	0.00196322	0.00250953	0.00186576	0.00269984	0.00308254	0.00264227	0.00197565	0.00208764	0.00180022	0.00254469	0.00368779
okoo	0.0109763	0.00603695	0.00392557	0.0023432	0.00116134	0.000645962	0.00148647	0.00252368	0.00363609	0.00466198	0.00617921	0.0116793	0.0198963	0.0147364	0.0218559	0.0196575	0.0172451	0.0183635	0.0199499	0.0183784	0.0168124	0.0219009	0.016006	0.0194669	0.0208316	0.0191659	0.0188585	0.0171525	0.0176652	0.0157962	0.022931	0.0137153	0.00929772	0.0225698	0.014393	0.0156797	0.0228333	0.0190545	0.018972	0.0155228	0.0249089	0.0208946	0.0198043	0.0277366	0.0267075	0.0264443	0.0254038	0.0271672	0.0255279	0.0156738	0.0283462	0.0237053	0.0218893	0.0220117	0.0139614	0.0143672	0.0139905	0.00619409	0.00719876	0.00614971	0.00675777	0.00381157	0.00311441	0.00317713	0.00115575	0.00171051	0.000965922	0.000714667	0.000381476	0.000510118	0.00100882	0.00101651	0.000866769	0.000836476	0.00111492	0.00150733	0.00108933	0.00122236	0.00121403	0.00189362	0.00388325
okonda	0.0102991	0.0052063	0.0029879	0.00250332	0.000968051	0.000410494	0.000875561	0.000871707	0.00148867	0.00176462	0.00169878	0.00564117	0.00901372	0.00831652	0.00977187	0.0116699	0.0126887	0.0149035	0.0146089	0.0117108	0.0107768	0.0204857	0.0141818	0.0155574	0.0142891	0.0270564	0.0269529	0.0220316	0.0260327	0.0180513	0.0280074	0.0184219	0.012066	0.0277179	0.0143929	0.0177653	0.0298592	0.0232899	0.019461	0.0182721	0.0331494	0.0211352	0.022952	0.022245	0.0326601	0.0326896	0.0283396	0.0301152	0.0246627	0.0114745	0.0205524	0.0186729	0.0160028	0.0188845	0.0116121	0.009963	0.0103024	0.00567794	0.00567715	0.00433629	0.00539924	0.00401349	0.00410661	0.00439214	0.00245395	0.00442154	0.00261754	0.00311553	0.00199925	0.00249012	0.00350909	0.00390693	0.00486232	0.00341516	0.00606603	0.00545288	0.00578417	0.00496096	0.00380566	0.00512531	0.00492845
et	0.0131253	0.0064102	0.0035585	0.00127759	0.000691804	0.000233349	0.000524674	0.000687748	0.00110565	0.00158	0.00172851	0.0051649	0.0060367	0.0065019	0.00859726	0.00869319	0.00964804	0.0100265	0.0104861	0.0120811	0.0103061	0.0166561	0.0145658	0.012083	0.0121717	0.0166249	0.0176095	0.0157451	0.0203958	0.0136953	0.0145656	0.018931	0.0110886	0.0236694	0.0116109	0.0144168	0.0227215	0.0178114	0.0173694	0.0203306	0.0290112	0.0169767	0.0239914	0.020072	0.0225618	0.02558	0.0204581	0.0222063	0.0172201	0.00841538	0.0154385	0.0134041	0.0137093	0.0173419	0.0147183	0.0138509	0.0100924	0.00566697	0.0114977	0.00781659	0.0104107	0.00690699	0.0076626	0.00923045	0.00367571	0.00817895	0.00580049	0.00846827	0.0063757	0.0093879	0.0112514	0.0146241	0.0167852	0.00857745	0.0164954	0.0178584	0.0158977	0.0156755	0.0122515	0.0167444	0.0171838
mboo	0.0153047	0.00728186	0.0037118	0.00156369	0.000663322	0.00029532	0.000715177	0.00148554	0.00189175	0.00252479	0.00306214	0.00635209	0.0072879	0.00969135	0.00920263	0.00837036	0.0111683	0.0125239	0.0109536	0.0117299	0.00968944	0.016505	0.0148251	0.0110629	0.0133406	0.0152241	0.0164275	0.0144101	0.0145657	0.0126881	0.012057	0.0155913	0.0129703	0.0207421	0.0133746	0.0136991	0.0199944	0.017288	0.0147291	0.0175492	0.0224757	0.0163408	0.0189474	0.0154685	0.0170195	0.0164606	0.0160889	0.0151583	0.0127376	0.00761329	0.0101647	0.0104712	0.0100636	0.0112128	0.0118397	0.0118441	0.0112517	0.00828191	0.0117807	0.00897116	0.00939258	0.00642409	0.00644298	0.00820539	0.00490888	0.00647584	0.00491213	0.0133861	0.0127651	0.0207299	0.0160142	0.0275686	0.0210487	0.0186477	0.0172402	0.0242581	0.0160606	0.017115	0.0130866	0.0199102	0.0287013
