 	a23	a87	a10	a87	a10	a87	a23	a20	a30	a35	a24	a83	a35	a14	a35	a24	a43	a75	a14	a35	a76	a94	a35	a85	a14	a73	a76	a73	a35	a14	a35	a24	a41	a14	a30	a57	a87	a23	a87	a23	a24	a32	a25	a38	a90	a35	a54	a14	a54	a14	a44	a57	a53	a69	a58	a84	a87	</S>
il	0.0594721	0.0264582	0.0252849	0.0234439	0.013248	0.0173604	0.0149433	0.0453897	0.0811708	0.095584	0.0334094	0.03413	0.0533289	0.0613978	0.06173	0.0340624	0.0220056	0.012664	0.0164073	0.0169954	0.0140234	0.010722	0.00694809	0.00506149	0.00270497	0.00185259	0.00345702	0.00222079	0.00186781	0.00174253	0.00209649	0.00170486	0.00194298	0.00244576	0.00314819	0.00289786	0.00349182	0.00367224	0.00303218	0.00279153	0.00312218	0.00189907	0.00211121	0.0020832	0.00309495	0.00357793	0.00486613	0.00416015	0.00419024	0.00582655	0.00362904	0.012619	0.0145538	0.0123859	0.0136394	0.0242469	0.0222904	0.0353931
a	0.00249982	0.00229185	0.0032286	0.00403436	0.00472429	0.00763835	0.00343106	0.00356035	0.00490594	0.0062796	0.00609889	0.0122086	0.042495	0.0477431	0.0472537	0.0799001	0.0523236	0.0467748	0.0303887	0.0260815	0.025109	0.0232318	0.0190997	0.0197433	0.0182065	0.0120153	0.00851985	0.0115915	0.0110557	0.0102293	0.0088156	0.0174323	0.0103387	0.0133887	0.00750851	0.00654373	0.00730263	0.00734171	0.00707319	0.0109588	0.00785935	0.00474287	0.00692613	0.00896059	0.00570496	0.00900863	0.013738	0.0169315	0.0179865	0.0195857	0.0259028	0.0240008	0.0269068	0.0259328	0.0177363	0.0292991	0.0259892	0.0234201
allumé	0.00638151	0.00708993	0.00563365	0.00460867	0.00474268	0.00800371	0.00404115	0.00289809	0.00374423	0.00705555	0.0213156	0.0142047	0.0318019	0.0580411	0.0659754	0.0782595	0.0522835	0.0390018	0.0271369	0.0165363	0.0155245	0.0121654	0.00982647	0.00813286	0.00541727	0.00558757	0.0041949	0.00334212	0.00378353	0.00247481	0.00354877	0.00459602	0.00316283	0.00242077	0.00248172	0.00298057	0.00344323	0.00324952	0.00441864	0.0061984	0.0058466	0.00293486	0.00495628	0.00524781	0.00292842	0.0062905	0.00720188	0.0097315	0.0160922	0.0203425	0.0745281	0.0376456	0.0412	0.0514488	0.0386104	0.0355972	0.0421617	0.0315298
son	0.011721	0.0186422	0.0127929	0.00939234	0.00656211	0.00883728	0.0139357	0.00627465	0.00356065	0.00317419	0.0106266	0.0198675	0.022101	0.0241856	0.0261098	0.0251442	0.0250566	0.0190558	0.0170923	0.030159	0.0235143	0.0194087	0.0200896	0.0204178	0.0160005	0.0181468	0.0130768	0.0185587	0.0218111	0.0244752	0.0246287	0.0195521	0.0227169	0.0246879	0.0353559	0.0286361	0.0206423	0.0231676	0.0332791	0.0323992	0.0283441	0.0308127	0.0215561	0.0170987	0.0196012	0.0152946	0.0149075	0.0148013	0.0114193	0.00811008	0.00930538	0.00832372	0.00816055	0.00700335	0.00318702	0.0031613	0.0023112	0.00174542
briquet	0.0296778	0.0191328	0.0129329	0.0109414	0.00749569	0.00886637	0.00896858	0.00844482	0.0128209	0.0129999	0.0199603	0.0240812	0.0239712	0.0298534	0.0411363	0.0339493	0.0226277	0.0234068	0.0218841	0.0210185	0.0197498	0.0265679	0.0184513	0.0185896	0.0212112	0.0190868	0.0189928	0.0217181	0.0215014	0.018967	0.0200687	0.022594	0.0245127	0.0272011	0.0226439	0.0194812	0.0218311	0.0228821	0.0201128	0.0223402	0.0194759	0.01549	0.0166853	0.0191949	0.0148993	0.0130598	0.0130863	0.0120875	0.00805327	0.00853665	0.00526874	0.00494163	0.00429006	0.00392876	0.00466186	0.0050957	0.00434131	0.00422925
pour	0.0449635	0.0367197	0.0280143	0.0176409	0.00858257	0.00463676	0.00484198	0.0109048	0.017919	0.0339805	0.0486411	0.0261304	0.042201	0.0292214	0.026678	0.0222558	0.0192384	0.0228242	0.0210635	0.0165924	0.013627	0.0058454	0.00663986	0.0061283	0.00482736	0.00342011	0.00262038	0.00490466	0.00314134	0.00980214	0.00788595	0.00548713	0.00806892	0.00509685	0.00989085	0.00595596	0.00570689	0.0048506	0.00505638	0.0058637	0.00631218	0.00554847	0.00412317	0.00497493	0.00359862	0.00357142	0.00648059	0.00636535	0.00949839	0.0176235	0.0284905	0.0251916	0.0320864	0.038335	0.0415816	0.0533508	0.0383155	0.0666819
mettre	0.0388121	0.0349062	0.0269489	0.0226726	0.0221861	0.0241108	0.0159337	0.0107123	0.0174616	0.017818	0.0324935	0.0179397	0.01469	0.0140065	0.0139634	0.00719229	0.00514659	0.00932986	0.00852876	0.00929652	0.00931544	0.011211	0.0134807	0.0110179	0.0179772	0.0230307	0.0150655	0.0264449	0.0111916	0.021385	0.0179093	0.0198035	0.0251795	0.0183352	0.0169849	0.0210391	0.0250838	0.0212071	0.0183958	0.0149781	0.0164002	0.0188033	0.0127055	0.0127771	0.0129299	0.0142476	0.0146448	0.00950287	0.0142408	0.0088988	0.0145369	0.0103017	0.00897313	0.0129936	0.00941844	0.0120635	0.0172847	0.0560913
feu	0.0318153	0.0302319	0.0188719	0.0161199	0.0169305	0.0142496	0.0100609	0.00778658	0.012061	0.0104349	0.0161964	0.0140506	0.0144387	0.00969228	0.00677245	0.00534234	0.00526215	0.0106047	0.00993777	0.0120006	0.0112974	0.00942565	0.0137045	0.00928956	0.0152011	0.0166235	0.00957107	0.020065	0.00969841	0.0201681	0.0174397	0.0117121	0.0206525	0.0175245	0.0166454	0.0200833	0.0251363	0.0222662	0.0218949	0.027613	0.0267522	0.0330455	0.0171334	0.0182428	0.0149435	0.0169333	0.0181354	0.0120506	0.0232766	0.01908	0.0327087	0.015705	0.0129805	0.0245216	0.0101122	0.0225627	0.0258793	0.0470639
à	0.0290928	0.0240766	0.0144373	0.0115109	0.00808349	0.00872454	0.00782431	0.00816837	0.00939724	0.00976033	0.0173361	0.0191822	0.0193333	0.0169414	0.0156224	0.00904896	0.0123276	0.0111416	0.0126397	0.0176917	0.0169021	0.014953	0.0160609	0.0118348	0.0140387	0.0125179	0.0122339	0.0175587	0.0135262	0.0134872	0.0162277	0.0106493	0.0133684	0.00910652	0.013237	0.0166405	0.0151158	0.0166592	0.0178932	0.0170131	0.0148895	0.00892988	0.00935976	0.00886484	0.0142527	0.0175096	0.0204967	0.0157665	0.0204062	0.0173273	0.0349181	0.0249086	0.021474	0.0312832	0.0187596	0.0342122	0.0468943	0.0683818
la	0.0394067	0.032064	0.022566	0.0182093	0.0138805	0.010021	0.0126878	0.014999	0.0121907	0.00730951	0.0105266	0.0158211	0.0191012	0.028013	0.0252753	0.0104054	0.0118453	0.0109443	0.0126266	0.0144616	0.0142406	0.0134378	0.0143196	0.0108978	0.0109754	0.00971083	0.0101994	0.0119444	0.00791835	0.0113931	0.0130441	0.0121191	0.011733	0.0106835	0.0107592	0.0122284	0.0130514	0.0131027	0.0121244	0.0110412	0.0107087	0.00893701	0.0104301	0.00983607	0.0128514	0.016487	0.0174334	0.014599	0.0212345	0.0197139	0.0374314	0.0292942	0.0255543	0.0329223	0.020341	0.0359885	0.0465674	0.0523906
