 	a66	a87	a23	a97	a30	a93	a4	a90	a98	a47	a36	a98	a47	a0	a43	a88	a71	a50	a62	a41	a36	a27	a82	a87	a23	a87	</S>
cet	0.0361864	0.0652415	0.052233	0.0474125	0.0295383	0.0186288	0.015023	0.0207233	0.0217578	0.0190303	0.0191165	0.0100033	0.00793734	0.00829448	0.0145533	0.0258502	0.0536848	0.0659305	0.056233	0.0791017	0.041447	0.0561454	0.0596183	0.0278698	0.0520406	0.040454	0.0559446
homme	0.00380695	0.00229831	0.00199034	0.00400355	0.00524762	0.0234509	0.0501163	0.0916464	0.094653	0.0778812	0.0707186	0.084458	0.207998	0.0969763	0.0516046	0.059291	0.0225916	0.0192404	0.00507402	0.00322189	0.00143084	0.00225143	0.00494515	0.00527145	0.00420418	0.00424344	0.00138489
est	0.0822509	0.0822654	0.0762695	0.069331	0.0390876	0.0309606	0.0228896	0.0258971	0.0276898	0.0272338	0.0315303	0.0435608	0.029677	0.0296535	0.0224688	0.0138797	0.0144143	0.0196799	0.0232177	0.0237821	0.0231693	0.0310714	0.0623312	0.0324528	0.0541943	0.0459228	0.0151187
en	0.0178345	0.0066657	0.00341193	0.00438817	0.00348869	0.00597649	0.0113441	0.0355596	0.0278823	0.0522828	0.0457379	0.0431518	0.0432269	0.053988	0.0547556	0.0452064	0.0449381	0.0538441	0.0537124	0.0783992	0.0526611	0.0539779	0.0423884	0.0542591	0.0265511	0.0460627	0.0383051
train	0.0183906	0.0226596	0.0149574	0.0164328	0.0294419	0.0209248	0.0120783	0.0210344	0.0266612	0.0500397	0.0646103	0.0936643	0.0872265	0.113417	0.0989457	0.0462271	0.0352341	0.0362476	0.0389266	0.041712	0.0269525	0.022611	0.0143039	0.0109891	0.0112131	0.0143717	0.0107269
de	0.0194826	0.0121455	0.00674457	0.00599665	0.00875876	0.0101855	0.00896753	0.00867494	0.0133995	0.0105755	0.0061513	0.00843319	0.00855853	0.0182449	0.01914	0.0278067	0.0228428	0.0401183	0.0713935	0.0700226	0.10111	0.0905918	0.0865159	0.0662339	0.079601	0.0702356	0.108069
percer	0.0638849	0.0811931	0.0453527	0.0818715	0.0458879	0.0372963	0.0322594	0.0248324	0.0326185	0.0350749	0.0387044	0.0340975	0.0365515	0.0195833	0.0129113	0.0154963	0.022665	0.0259174	0.0315277	0.0489816	0.0361876	0.0232827	0.0318705	0.0180486	0.0395166	0.0462448	0.0381416
le	0.0497592	0.0227772	0.012383	0.0101281	0.0106791	0.00451677	0.00290686	0.00333619	0.00529971	0.00793816	0.0108522	0.0149481	0.0132371	0.0099754	0.0100813	0.0123194	0.0433064	0.0499384	0.101528	0.107566	0.115334	0.0896673	0.0658331	0.0640376	0.0449744	0.0603902	0.056286
noyau	0.0595612	0.0164662	0.00658298	0.00940778	0.00969461	0.00360971	0.00210172	0.00314473	0.00470187	0.0160383	0.0155147	0.00803751	0.00742623	0.00905879	0.019439	0.0255281	0.039394	0.0565306	0.0986425	0.106707	0.131825	0.0885722	0.0934848	0.0425579	0.0595993	0.0339224	0.0324505
du	0.0331644	0.0165925	0.00680671	0.00971866	0.00968682	0.00519013	0.00281042	0.00358509	0.00364129	0.00379956	0.00568109	0.00410349	0.00623805	0.00692832	0.00552634	0.0114278	0.0175538	0.0373318	0.0437555	0.104261	0.0887939	0.0937021	0.0945885	0.0593035	0.0927261	0.131321	0.101761
palmier	0.0334258	0.019246	0.0110212	0.0109888	0.010686	0.00869056	0.00481769	0.00349906	0.00398709	0.00462714	0.00668554	0.00456835	0.00644356	0.00612604	0.00726826	0.0160649	0.0187526	0.0310505	0.0517452	0.103363	0.0852755	0.0785913	0.091871	0.0794295	0.0852717	0.0998814	0.116623
