 	a66	a87	a23	a99	a24	a88	a9	a38	a70	a66	a70	a90	a25	a79	a92	a6	a0	a43	a34	a37	a93	a90	a92	a21	a92	a37	a12	a96	a88	a27	a57	a87	a23	a3	a97	</S>
j'	0.0925467	0.0984029	0.0551682	0.0620878	0.0277639	0.0194318	0.0172287	0.0212784	0.0183192	0.0153211	0.0213582	0.0111781	0.011131	0.0181171	0.0215617	0.0259675	0.016177	0.0136486	0.0322963	0.0257917	0.020361	0.0275971	0.0351039	0.0339976	0.0349158	0.0291932	0.0182502	0.0246045	0.0144918	0.016706	0.0134921	0.0136675	0.018114	0.0222031	0.0173365	0.0351897
ai	0.0173772	0.0167397	0.0119131	0.0174104	0.0136886	0.0272874	0.0167071	0.0180744	0.021571	0.0439769	0.0473451	0.0492006	0.0459471	0.0329249	0.0336762	0.0243755	0.0332038	0.0599862	0.0272453	0.0196499	0.0282911	0.0194227	0.0171107	0.0222494	0.0160792	0.0252905	0.0188605	0.022416	0.0314075	0.0242739	0.0331445	0.0342524	0.0306309	0.0258404	0.0371277	0.035302
donné	0.0325905	0.023302	0.016269	0.0219779	0.0109241	0.0170611	0.010422	0.00833057	0.0111286	0.0210121	0.0478024	0.0514724	0.0417761	0.0288102	0.0241106	0.0178268	0.0197015	0.0167265	0.020166	0.0140285	0.0179369	0.0132346	0.0167606	0.0132698	0.0229227	0.0349137	0.0416272	0.0428636	0.0382872	0.0429863	0.0399771	0.0451298	0.0441034	0.0366019	0.054679	0.0392674
un	0.0836367	0.0352196	0.0526236	0.0529707	0.0544895	0.0280102	0.047564	0.0257388	0.0216569	0.0140588	0.0140718	0.0194478	0.0133919	0.0110941	0.0166437	0.0144423	0.0214793	0.0327886	0.0155065	0.0223677	0.0255135	0.0191335	0.0203009	0.0241066	0.0216329	0.0214127	0.0277878	0.0191567	0.0276521	0.0263118	0.0225734	0.0256278	0.0248488	0.02339	0.0229681	0.0503808
drap	0.0674579	0.036354	0.0625138	0.070036	0.13518	0.0540606	0.103329	0.055909	0.0319092	0.0124913	0.0113977	0.00911258	0.00817427	0.0119011	0.0133913	0.0170768	0.013866	0.0135517	0.016542	0.0150793	0.019519	0.0186575	0.0202437	0.01856	0.0296826	0.0217278	0.0147679	0.0163126	0.00959885	0.0111252	0.00735781	0.0113053	0.0104795	0.0123868	0.0102624	0.00867925
blanc	0.0817492	0.0537193	0.105802	0.0802639	0.0939603	0.064189	0.0996785	0.0484466	0.0291102	0.0174521	0.0193977	0.0105433	0.0155205	0.018893	0.0137673	0.0100484	0.00836697	0.00792445	0.00884574	0.00988857	0.0126549	0.0124301	0.0158325	0.0198782	0.0301972	0.0272083	0.0200492	0.0141741	0.00916348	0.0112254	0.00679643	0.00467167	0.0050545	0.00497831	0.00262405	0.00549436
comme	0.0662887	0.0555342	0.0589222	0.0555847	0.0308703	0.0470449	0.0392577	0.0268497	0.0163152	0.0163707	0.0264433	0.0196148	0.0309485	0.0356463	0.0349611	0.0222795	0.0209735	0.0174575	0.0184917	0.0208296	0.016016	0.0155574	0.0181089	0.0246082	0.0325563	0.0451623	0.0312753	0.0241564	0.0211189	0.0216613	0.0148178	0.0146869	0.0144128	0.0118903	0.0100021	0.0232852
contribution	0.0662211	0.0379348	0.0328459	0.0401398	0.0328498	0.0373056	0.0250638	0.0202528	0.0111294	0.0111728	0.0183239	0.0156581	0.021056	0.024975	0.0270213	0.0206277	0.0235552	0.0193609	0.0262036	0.0150128	0.0138456	0.0175438	0.0188877	0.027854	0.0415927	0.0391881	0.0454449	0.0396069	0.0375673	0.0363175	0.0329491	0.0316843	0.0230874	0.0193845	0.0216486	0.0266873
à	0.0514703	0.0275629	0.0238917	0.0308983	0.0135768	0.00809445	0.00840585	0.00557712	0.00414616	0.00260607	0.00368457	0.0055524	0.00476803	0.00586352	0.0137418	0.0151103	0.0102794	0.0115439	0.0214287	0.014274	0.0166179	0.0182369	0.020858	0.0348802	0.0501896	0.047357	0.0816062	0.0683682	0.0646746	0.0600128	0.0537925	0.0585122	0.0478066	0.0342432	0.0399881	0.0203798
l'	0.0350646	0.0228132	0.010888	0.0154799	0.00775124	0.00772291	0.00682771	0.0088061	0.007382	0.00592439	0.00974041	0.00672082	0.00591175	0.00585517	0.00838166	0.0111447	0.0111044	0.00990981	0.0173066	0.0116211	0.0136958	0.0152184	0.0225817	0.0387041	0.0538228	0.0468397	0.0845976	0.0626314	0.0610136	0.0420487	0.0679838	0.0484567	0.0608683	0.0403287	0.0442639	0.0705883
inhumation	0.0311178	0.029107	0.0249828	0.0246424	0.0227303	0.0223364	0.0221139	0.0242032	0.0230555	0.0197763	0.0246016	0.0154485	0.018332	0.0131954	0.0136971	0.0143436	0.014357	0.0122443	0.0135019	0.0115437	0.0133078	0.0135071	0.0144318	0.0159102	0.0226911	0.0266299	0.0436232	0.0468856	0.0444507	0.0441568	0.043847	0.0553816	0.0497545	0.0470066	0.0419566	0.0811289
de	0.044999	0.0246043	0.00561215	0.00974776	0.00662156	0.0102371	0.00658929	0.00355137	0.00808009	0.00725551	0.0102283	0.00963356	0.00819212	0.00612211	0.00472327	0.00306923	0.00404952	0.0034167	0.00712925	0.00422662	0.00335892	0.00244389	0.00607874	0.00759123	0.0350635	0.0404722	0.0430328	0.07694	0.051903	0.0615115	0.0631462	0.0806785	0.0674407	0.0807315	0.13989	0.0516284
ma	0.0322621	0.0227574	0.0151424	0.0165257	0.0138921	0.0161912	0.0134555	0.00934929	0.0122269	0.00985916	0.0147778	0.015982	0.015513	0.0197658	0.0234532	0.0179634	0.0233102	0.0172988	0.0270992	0.024856	0.02067	0.0248406	0.0390916	0.0377621	0.0672112	0.0554303	0.0351358	0.0480944	0.0479317	0.0392122	0.0373868	0.0386032	0.032357	0.03631	0.0434691	0.0348129
belle-mère	0.0358677	0.0424695	0.0264239	0.0356996	0.0243646	0.0211832	0.0125773	0.0152159	0.0180311	0.0140528	0.0159055	0.00854625	0.0113832	0.0140295	0.0176715	0.0211419	0.0142488	0.0142458	0.0214667	0.0214435	0.0236994	0.0317336	0.0394959	0.0399912	0.0442825	0.0304689	0.035884	0.0352632	0.0266169	0.0294906	0.0278836	0.0241241	0.0356104	0.0416932	0.0407865	0.0870078
</S>	0.0887504	0.0679058	0.0446837	0.046973	0.0287327	0.0292013	0.0119517	0.0116275	0.0101488	0.00769968	0.0101614	0.00508558	0.00634265	0.00917948	0.0112239	0.0128688	0.00878686	0.00816422	0.0152692	0.0177989	0.0167108	0.0299567	0.0289383	0.0305546	0.037657	0.0303947	0.0313046	0.033646	0.0292538	0.0276168	0.0333427	0.0355019	0.0368212	0.043589	0.0446483	0.0575077
