 	a87	a23	a54	a47	a15	a20	a47	a85	a41	a27	a10	a75	a85	a6	a37	a54	a44	a82	a53	a93	a13	a50	a83	a18	a62	a93	a13	a99	a97	a87	a23	a87	</S>
quand	0.0405062	0.055991	0.0408225	0.0343373	0.0512897	0.0683912	0.134728	0.0772417	0.094488	0.0725771	0.0408978	0.0213137	0.00940684	0.00968806	0.00627128	0.0065632	0.00354509	0.00525968	0.00832915	0.0123623	0.0166188	0.0127517	0.012904	0.0124922	0.0161395	0.0108359	0.00879662	0.00847995	0.00798292	0.0126132	0.0336204	0.0231283	0.0296265
le	0.01385	0.0103002	0.0115016	0.0171115	0.0155601	0.0185655	0.0393717	0.0743424	0.0618187	0.0696844	0.0349539	0.0644301	0.0357568	0.0171881	0.0128518	0.0131791	0.0242618	0.027687	0.0217596	0.0204087	0.017739	0.0220022	0.0298966	0.0533358	0.0375738	0.039325	0.0259308	0.0296696	0.0351763	0.026335	0.0299441	0.020649	0.0278397
père	0.0200915	0.0167663	0.0106676	0.0111814	0.0107906	0.0553003	0.0704731	0.0769071	0.0553762	0.150421	0.15303	0.0900554	0.0807571	0.0525413	0.0201394	0.0081117	0.00788741	0.0060135	0.00434554	0.00285627	0.00504548	0.00579096	0.00979429	0.00975492	0.00682803	0.00595366	0.00382405	0.00466315	0.00537226	0.00416098	0.00582147	0.0104648	0.0188134
te	0.19962	0.0584901	0.0340394	0.0229883	0.0204864	0.0197176	0.00738016	0.015156	0.00814654	0.0150735	0.0229898	0.0379046	0.0242091	0.0182917	0.0191868	0.0217155	0.0488559	0.0347747	0.0141761	0.0178024	0.00489616	0.00922226	0.0112292	0.0142329	0.0271495	0.0189657	0.0329986	0.0296254	0.0290858	0.0346922	0.035794	0.054944	0.0361593
parle	0.0785915	0.063428	0.0406161	0.0425416	0.0184386	0.0153016	0.00851509	0.0213351	0.0206479	0.0461642	0.0735144	0.06193	0.055742	0.0239955	0.0198847	0.0224894	0.0424406	0.0340921	0.023662	0.0417182	0.00811568	0.0128707	0.0180021	0.0180195	0.018872	0.0177064	0.010312	0.0072021	0.0152507	0.0243728	0.0201973	0.0454608	0.0285696
tu	0.0769565	0.0671622	0.0517396	0.0486193	0.033361	0.0482619	0.0117194	0.0174571	0.0129553	0.0178028	0.0315582	0.0335261	0.0345428	0.0286506	0.0349807	0.0295691	0.0266751	0.0333073	0.0237023	0.0225845	0.0146836	0.0137997	0.0353305	0.0338575	0.0317147	0.0340621	0.0245456	0.019312	0.0182437	0.0223495	0.0206207	0.0235862	0.0227622
dois	0.0480084	0.023737	0.027238	0.0230442	0.0188032	0.0260504	0.0116484	0.0191243	0.0110832	0.0160802	0.0226881	0.0229214	0.0157895	0.0161164	0.0102272	0.00923359	0.0228775	0.017588	0.0127666	0.0081595	0.00721061	0.00886086	0.0201838	0.0244752	0.03076	0.0365465	0.0211529	0.0293127	0.0443597	0.0708515	0.107174	0.124544	0.0913834
rester	0.0965462	0.0462212	0.0458549	0.0415771	0.0380144	0.0320653	0.0136142	0.0139264	0.0130923	0.020505	0.0180093	0.0288665	0.0111079	0.0117794	0.00945111	0.0110162	0.0228392	0.0189865	0.0141695	0.00938207	0.00894186	0.0135358	0.0277562	0.0367461	0.0502689	0.053311	0.0384454	0.0461332	0.0493727	0.0418895	0.0404312	0.0514049	0.0247389
calme	0.0802075	0.0675214	0.0537872	0.0393882	0.0351627	0.0367492	0.013804	0.0187352	0.0278284	0.0238812	0.0175173	0.0221303	0.0138747	0.00776559	0.00677267	0.00944028	0.0182703	0.0304045	0.0154804	0.0116418	0.00728687	0.0221286	0.0217107	0.0408792	0.0329205	0.0373723	0.0250268	0.0430248	0.0353917	0.0417482	0.0528037	0.0548564	0.0344872
</S>	0.0635903	0.0416584	0.0342825	0.0292596	0.0322857	0.0324999	0.0104572	0.0110144	0.0152564	0.0135873	0.0109578	0.0162241	0.00659124	0.00609057	0.00592815	0.00942704	0.010564	0.0123994	0.0116334	0.0111375	0.00964862	0.020727	0.0135686	0.0174361	0.0257324	0.0404127	0.0497397	0.0811052	0.0776452	0.0785358	0.0624602	0.0844782	0.0536652
