 	a66	a87	a23	a87	a30	a93	a70	a83	a11	a62	a96	a56	a96	a70	a83	a9	a99	a97	a87	a97	a40	a36	a11	a62	a75	a6	a37	a75	a47	a36	a2	a57	a87	a40	a36	a11	a54	a47	a15	a7	a84	a53	a69	a44	a79	a7	a44	a37	a66	a18	a25	a87	a23	a87	</S>
en	0.0115724	0.00953097	0.0134552	0.0202283	0.0122619	0.0111396	0.0229441	0.0249786	0.0269819	0.0507769	0.0527491	0.0478147	0.044633	0.0592768	0.0406699	0.0298199	0.0351464	0.0544656	0.0462106	0.0592793	0.038666	0.0292295	0.0218409	0.0198998	0.0122727	0.0183048	0.0155568	0.0251744	0.016126	0.0249185	0.0123475	0.0141551	0.0106226	0.00475675	0.00513088	0.0022903	0.00202956	0.00415661	0.00261971	0.00215031	0.00263727	0.00217387	0.00179562	0.00138499	0.00132819	0.00273753	0.00416493	0.00270015	0.00289011	0.00296951	0.00228781	0.00210346	0.00306546	0.00333866	0.00823877
ce	0.0146821	0.0147591	0.0149033	0.0148202	0.0217028	0.0123182	0.0128722	0.0117275	0.0238057	0.0302421	0.0205711	0.0246843	0.0217455	0.0299024	0.0276481	0.0226422	0.0187041	0.0208364	0.0240055	0.0229851	0.0468964	0.0338676	0.016307	0.0325378	0.012021	0.018586	0.0152467	0.0277744	0.015258	0.0106469	0.0154262	0.0212613	0.0161016	0.0161194	0.0126148	0.00918607	0.0174004	0.00953617	0.0146823	0.0158621	0.0216396	0.0467068	0.0469461	0.0350494	0.0282623	0.012343	0.00302956	0.000976682	0.00054546	0.000224132	0.000790596	0.00156747	0.00574755	0.00853329	0.0047479
temps	0.0261874	0.0171496	0.0156325	0.014476	0.0147475	0.0102615	0.00809106	0.00543339	0.0075577	0.0079001	0.00724172	0.00905957	0.006365	0.0109174	0.0199474	0.00722987	0.0191183	0.0106982	0.00787292	0.0135141	0.0575789	0.0340608	0.0146324	0.0387993	0.0318576	0.0230428	0.0161558	0.0159214	0.0132111	0.0129062	0.0192805	0.0351163	0.0376328	0.0281246	0.042027	0.0379485	0.0418535	0.0127109	0.0280263	0.0198427	0.0217261	0.0330053	0.0287084	0.0213212	0.0167579	0.00793821	0.00453793	0.00164212	0.00132558	0.00143895	0.00271099	0.00810289	0.0140047	0.0249428	0.0117062
là	0.0276937	0.0227316	0.00833205	0.00521652	0.00726023	0.00355257	0.00345606	0.00394558	0.00264538	0.00284622	0.00682261	0.00507188	0.00878056	0.00793395	0.0111399	0.0233183	0.017948	0.00924	0.0121309	0.021722	0.0207049	0.013368	0.032483	0.0155987	0.026313	0.0361235	0.0313563	0.0194844	0.026661	0.0322729	0.0578766	0.047136	0.0376702	0.0485812	0.0251821	0.0282864	0.0359301	0.0365831	0.0196512	0.0176356	0.0138924	0.0154109	0.00629461	0.0110885	0.0127123	0.00431675	0.00406393	0.00348861	0.00612134	0.00738791	0.00463388	0.012227	0.0147023	0.0247987	0.0381748
ma	0.0244094	0.0174666	0.0117026	0.00657833	0.00498076	0.00338661	0.0064654	0.0123571	0.0133086	0.00954245	0.0155836	0.0181022	0.0214606	0.0139412	0.0125031	0.0237742	0.0460328	0.0300563	0.0191498	0.0263339	0.0248416	0.0167505	0.0199599	0.0253434	0.0255049	0.0332385	0.0290896	0.0395902	0.050922	0.0450008	0.0522071	0.0397125	0.0373136	0.0220069	0.0175233	0.0349027	0.0209933	0.0240618	0.0107755	0.0115588	0.00603453	0.00985621	0.00561919	0.00434393	0.00435161	0.004085	0.00348656	0.00293109	0.00317765	0.00325739	0.00358376	0.00706966	0.00518944	0.00749243	0.0110893
machine	0.00662931	0.00679329	0.00316422	0.00346722	0.00300951	0.00158281	0.00232133	0.00384968	0.00475416	0.00628297	0.0118268	0.0103295	0.0141053	0.0146081	0.013205	0.0181608	0.0263036	0.0241558	0.017327	0.0228033	0.0343298	0.0373145	0.0353446	0.0454365	0.0548212	0.0422717	0.0358087	0.0353509	0.0364886	0.040529	0.0298794	0.0313388	0.0393485	0.0213752	0.0243279	0.0288266	0.0185203	0.0163836	0.00811869	0.0166821	0.0112324	0.0154389	0.00662107	0.00828984	0.0105454	0.00602087	0.00679762	0.00497758	0.00814705	0.00965901	0.0155083	0.0112475	0.00765482	0.00894866	0.0217347
était	0.00944307	0.0088599	0.00464052	0.00646089	0.00449414	0.00284446	0.00367328	0.00769269	0.0075164	0.00619333	0.00869211	0.00855927	0.00922586	0.00959121	0.0087336	0.0141635	0.0198042	0.0221619	0.0184574	0.0248129	0.0275306	0.0525475	0.0356065	0.0407965	0.0352922	0.0303192	0.0377461	0.0331984	0.0433737	0.0403141	0.0516557	0.0370846	0.0585883	0.0451415	0.0480616	0.0352696	0.0238638	0.0161266	0.0119319	0.0155515	0.0131776	0.0148168	0.00735968	0.00518347	0.00625529	0.001727	0.00160386	0.00184936	0.00185336	0.00213456	0.00394229	0.00349336	0.00333947	0.00312068	0.00412261
encore	0.0298334	0.0205572	0.0139238	0.0135917	0.00885719	0.00512371	0.00638675	0.00713924	0.00711084	0.00730923	0.0137782	0.0101397	0.0132022	0.0142658	0.0191102	0.0231505	0.0251916	0.0360116	0.0290227	0.0219077	0.0338353	0.0345568	0.0291982	0.02807	0.0342267	0.0313592	0.0319959	0.0245194	0.0182499	0.0212132	0.0293644	0.0183568	0.021637	0.02292	0.0287276	0.0197967	0.0131801	0.0109839	0.00958639	0.00812546	0.0096541	0.0131774	0.0104417	0.00904751	0.0110684	0.00595837	0.00624488	0.00817759	0.0111739	0.0111563	0.0157758	0.0142737	0.0316623	0.0166738	0.0299981
intacte	0.0273733	0.0212796	0.0211305	0.0183899	0.0101753	0.00646718	0.00853866	0.0131029	0.0143182	0.0106291	0.0221938	0.016475	0.0205001	0.0223869	0.0232165	0.0231475	0.0277325	0.0378342	0.0252082	0.0215686	0.0220812	0.0238947	0.0221404	0.0244666	0.02676	0.0254094	0.0285688	0.0244036	0.0226205	0.0224453	0.0270489	0.0236459	0.0206611	0.024823	0.025935	0.0187353	0.0131933	0.0147877	0.0103128	0.0076627	0.00963505	0.0112817	0.0130336	0.010209	0.00925966	0.0076349	0.00650126	0.0156625	0.0163049	0.0138482	0.01419	0.0106466	0.0149365	0.00881642	0.0167753
</S>	0.025374	0.023379	0.0324395	0.0389106	0.0214455	0.0113773	0.0131327	0.0189266	0.0191079	0.0151216	0.0193136	0.0183657	0.0188268	0.0231324	0.02109	0.020765	0.0219327	0.0303908	0.0234706	0.0265282	0.0219699	0.0253722	0.0202312	0.0246771	0.0206748	0.0207636	0.0237113	0.0251091	0.0208554	0.022545	0.0261081	0.0262372	0.0254265	0.0272437	0.0266224	0.0231819	0.0169423	0.0211117	0.0112652	0.0102096	0.00859501	0.0110116	0.0110789	0.00597732	0.00473472	0.00345562	0.00274261	0.00556507	0.00555638	0.00593528	0.00656788	0.00873487	0.0103901	0.00892554	0.0174408
