 	a87	a23	a30	a13	a11	a13	a90	a15	a98	a21	a85	a47	a36	a2	a57	a83	a70	a75	a5	a18	a75	a98	a79	a44	a98	a73	a56	a96	a90	a56	a70	a34	a25	a56	a70	a93	a13	a99	a93	a13	a9	a87	a23	a97	</S>
l'	0.0155756	0.0200085	0.0116157	0.0166014	0.016499	0.0155013	0.0167098	0.0111358	0.0135433	0.0336248	0.0348017	0.0382836	0.0135477	0.0165002	0.0307167	0.0224967	0.0229688	0.0163074	0.025187	0.0177107	0.0188239	0.0125195	0.00967695	0.0190496	0.0150865	0.0643247	0.0403863	0.0487002	0.0612252	0.0439863	0.0371603	0.0427537	0.0184512	0.0145462	0.00707557	0.00886069	0.0130622	0.0106406	0.0139298	0.0124837	0.013808	0.0112246	0.0178555	0.015468	0.0195651
année	0.00299981	0.00804818	0.0145772	0.0108662	0.0127001	0.0416969	0.116701	0.140135	0.177196	0.0943347	0.0516189	0.0604977	0.0471157	0.0344013	0.012566	0.00522222	0.0063571	0.00693646	0.00989012	0.00737013	0.0041711	0.00683791	0.00839051	0.0104665	0.0105513	0.0162607	0.00632936	0.00782753	0.0100052	0.00526399	0.00989889	0.00670885	0.00742306	0.00628371	0.0025348	0.0033352	0.00126232	0.00178615	0.000880704	0.000913883	0.00127124	0.0015077	0.00207684	0.00152871	0.00525254
prochaine	0.0111194	0.0146893	0.0127077	0.0253462	0.0230347	0.0232615	0.0257149	0.0375205	0.0945462	0.139409	0.110025	0.0669506	0.042575	0.0428913	0.028051	0.0150716	0.0195324	0.0240068	0.0268835	0.0251991	0.0218933	0.0230031	0.0171161	0.016745	0.0257752	0.00857055	0.00458474	0.00444395	0.00462713	0.00275023	0.00246068	0.00147652	0.00139282	0.00117254	0.000855024	0.0014714	0.00196648	0.00309088	0.00265657	0.00342228	0.00557265	0.00976782	0.00620413	0.010185	0.0102601
je	0.0387377	0.024492	0.0152025	0.0222554	0.0192994	0.0192699	0.0141436	0.012597	0.0118681	0.0174858	0.0415034	0.0389641	0.0357237	0.0246057	0.0266364	0.0135708	0.0156485	0.0159644	0.0163787	0.0143031	0.0208608	0.012834	0.0198807	0.0240424	0.0184417	0.0108524	0.0280755	0.0250273	0.0145099	0.0322469	0.00903264	0.0187476	0.0129961	0.0117259	0.00852101	0.00728435	0.00517638	0.0113539	0.011142	0.0224523	0.0295817	0.0424975	0.0366663	0.0363102	0.09109
rejoindrai	0.0212996	0.0181227	0.0212958	0.0193613	0.0173558	0.0122223	0.00899429	0.00367227	0.00304135	0.0134461	0.024948	0.0342436	0.0349167	0.0405354	0.0627649	0.0440081	0.0400988	0.0358122	0.0244511	0.031245	0.0338247	0.0232939	0.0242141	0.028739	0.0207932	0.0290479	0.0383578	0.0416664	0.0256509	0.04826	0.0168486	0.0190734	0.0116986	0.00808841	0.00601699	0.00489018	0.00374948	0.00616483	0.00348128	0.00445986	0.0082283	0.0122794	0.0118511	0.00924248	0.0482439
mon	0.0150012	0.0111052	0.0109087	0.0116018	0.00970291	0.00300988	0.00515522	0.00304106	0.00394001	0.00882736	0.0111848	0.0193688	0.0212916	0.0248693	0.0490069	0.0546719	0.0432349	0.0364191	0.0337928	0.0364478	0.0459275	0.0320979	0.0219151	0.0275292	0.0171884	0.0422729	0.0399953	0.0452007	0.0347613	0.0273362	0.0250728	0.0192485	0.0186541	0.0131987	0.00727933	0.00828783	0.00694886	0.0122228	0.0109195	0.00812479	0.0130961	0.0163375	0.0216066	0.0200447	0.0521521
oncle	0.0203558	0.0150033	0.0164565	0.0177743	0.0126685	0.0107549	0.0101451	0.00828918	0.00624802	0.00584921	0.0122843	0.0127074	0.0177642	0.0173658	0.017744	0.0277065	0.023454	0.0233848	0.0171981	0.022371	0.0250152	0.0198683	0.0192221	0.016951	0.0200914	0.0281782	0.0246774	0.0266087	0.0297789	0.0305955	0.0246266	0.019583	0.0189908	0.0186464	0.0164914	0.0115248	0.0248455	0.0452597	0.0265687	0.0288373	0.0404388	0.0492326	0.0356472	0.0393123	0.0434831
en	0.0158005	0.0136562	0.0146156	0.0158894	0.00905614	0.00937414	0.00882019	0.00852745	0.00991942	0.00735917	0.0106885	0.00983512	0.0161252	0.0196913	0.0126304	0.0200043	0.0208097	0.0238822	0.0126818	0.0238374	0.0231572	0.0189997	0.0258494	0.0170713	0.0278922	0.0167883	0.0232642	0.0305503	0.0241065	0.0217425	0.0146951	0.0113084	0.0112837	0.0102822	0.01356	0.0103842	0.0242301	0.0477348	0.0260302	0.0305017	0.0481243	0.0685925	0.0485287	0.0489867	0.0731315
europe	0.0170718	0.0146965	0.0179214	0.0203935	0.0129339	0.0105863	0.00535653	0.00281621	0.0038018	0.00551825	0.0118077	0.018536	0.0254413	0.0211858	0.0251791	0.0246767	0.0244775	0.0230984	0.0176255	0.0209978	0.0212085	0.0209743	0.0218801	0.0259189	0.0248886	0.0337251	0.022918	0.0196594	0.0221805	0.0190252	0.0118955	0.013248	0.0144827	0.0134039	0.011479	0.00899189	0.0208258	0.0288182	0.0321438	0.0350557	0.0471171	0.0435527	0.0542834	0.0395056	0.0686959
</S>	0.0266644	0.0185445	0.020108	0.0199972	0.0130737	0.00938048	0.00944265	0.0071531	0.0138638	0.0183867	0.0167782	0.0201741	0.0251762	0.0260995	0.036497	0.0360576	0.0350369	0.0280029	0.0204695	0.0172418	0.0178916	0.0164848	0.0188807	0.0247412	0.0226073	0.0321354	0.0264252	0.016975	0.0226562	0.0138022	0.00847763	0.00833445	0.0105337	0.00915838	0.0115665	0.00952743	0.0210742	0.0203725	0.0236055	0.0217241	0.0248428	0.0449607	0.0434675	0.0646213	0.0469854
