 	a66	a87	a23	a40	a6	a36	a11	a21	a85	a5	a37	a75	a5	a37	a53	a93	a44	a13	a3	a97	a99	a97	a99	a97	</S>
les	0.0468916	0.0430553	0.0317929	0.0736543	0.107912	0.0826789	0.0660815	0.032823	0.0352404	0.0215863	0.0221128	0.0123044	0.00782328	0.00667625	0.0223	0.0264146	0.039234	0.040723	0.0333355	0.0384545	0.0418928	0.0331577	0.0452616	0.0454785	0.0431144
ouvrières	0.00613902	0.0130018	0.0174826	0.0363927	0.068109	0.134794	0.13759	0.116067	0.117263	0.0874757	0.0747759	0.0533194	0.0362412	0.0303896	0.0237428	0.00238898	0.00170746	0.000643695	0.000410521	0.000691957	0.00308727	0.00676605	0.00889754	0.0149797	0.00764351
des	0.0711723	0.0631849	0.0296475	0.0372647	0.0408129	0.0411745	0.0545878	0.0509932	0.073461	0.0264582	0.0304756	0.0207144	0.0122201	0.00677309	0.00866784	0.00645789	0.0120166	0.0120427	0.0148875	0.0306543	0.0603601	0.0716854	0.054349	0.0952523	0.0746863
termites	0.0195699	0.0145729	0.00945237	0.0111932	0.00590087	0.00522497	0.00607215	0.00636103	0.0116358	0.0394167	0.0859704	0.0576537	0.059185	0.0588695	0.0549949	0.0968733	0.0692138	0.0647054	0.0689326	0.0616927	0.0405801	0.0622198	0.0356658	0.0176861	0.0363573
sont	0.0336431	0.026317	0.0293658	0.0308429	0.0102848	0.00743114	0.0109292	0.0133422	0.0312037	0.0786426	0.0947729	0.064089	0.0865713	0.0878324	0.0583295	0.066355	0.0394664	0.0691877	0.0598883	0.0365558	0.0197518	0.0188269	0.0118267	0.006939	0.00760491
sur	0.0234626	0.0127104	0.0117017	0.0120557	0.0115233	0.00689567	0.00744589	0.0102756	0.0259391	0.0466319	0.0559826	0.043067	0.0398272	0.0681732	0.0647488	0.092653	0.0926087	0.115317	0.100566	0.0654121	0.0313547	0.0317771	0.0167686	0.00752533	0.00557697
le	0.0237373	0.0141442	0.00897285	0.00727322	0.00460138	0.00445186	0.00968998	0.0140607	0.0201752	0.0229709	0.0310433	0.0278796	0.0259228	0.0445521	0.0813171	0.121015	0.0974189	0.129871	0.0938779	0.0669329	0.0490066	0.0309536	0.0277055	0.0208777	0.0215481
bois	0.031304	0.0266723	0.0324642	0.0353177	0.0275934	0.0168642	0.0194359	0.0216863	0.0258466	0.0728134	0.0895449	0.113177	0.103623	0.0570893	0.0353697	0.0154737	0.0176001	0.0118508	0.013439	0.0281052	0.0347973	0.0507632	0.0352142	0.0361645	0.0477902
mort	0.0517684	0.0419424	0.0407204	0.0325641	0.0312606	0.0241234	0.0273031	0.0329425	0.0480786	0.0743904	0.0649792	0.0746486	0.0703634	0.0456113	0.0329072	0.013742	0.0131527	0.010955	0.00968263	0.0152381	0.0373059	0.0543328	0.0458691	0.0534516	0.0526667
</S>	0.101187	0.0674591	0.0351077	0.0126651	0.00571707	0.00512485	0.0100041	0.0126191	0.0154765	0.0137545	0.0277307	0.0260758	0.0267336	0.0494417	0.0573926	0.0627249	0.0535892	0.0730646	0.0597705	0.0554929	0.0545811	0.0283049	0.0424347	0.0406761	0.0628711
