 	a66	a97	a99	a97	a87	a23	a97	a40	a79	a37	a90	a98	a85	a5	a75	a25	a20	a40	a47	a15	a7	a56	a75	a79	a37	a44	a37	a43	a75	a92	a37	a61	a47	a18	a71	a25	a87	a23	a99	a97	a99	a3	</S>
les	0.0244171	0.0421309	0.0302922	0.0220936	0.0182583	0.0122408	0.0137728	0.0137386	0.0169814	0.0305683	0.0723618	0.0427921	0.0950444	0.0475576	0.0965068	0.0679336	0.0508685	0.025677	0.0190532	0.0176478	0.00997387	0.0104243	0.0112745	0.00786884	0.00556077	0.00430378	0.00426769	0.00319022	0.00416606	0.00536991	0.0081046	0.00996179	0.012657	0.0119681	0.0149114	0.0121064	0.0124796	0.0109867	0.012671	0.0108548	0.021865	0.0113876	0.0237089
soldats	0.00089304	0.00177508	0.00133544	0.00225077	0.00585071	0.00490151	0.014705	0.0161399	0.0200145	0.027149	0.022342	0.0536192	0.0268665	0.0433726	0.0397383	0.0319393	0.0310228	0.0516414	0.0786198	0.106972	0.115064	0.0752037	0.0813846	0.0591164	0.0378756	0.0208	0.0058736	0.00195491	0.00107025	0.00119021	0.0014002	0.00166661	0.00136223	0.0012941	0.00134121	0.00119378	0.00133692	0.00113066	0.0012712	0.00119769	0.00193115	0.00232851	0.00186334
étaient	0.0211779	0.0173005	0.0125502	0.0190665	0.0130303	0.0119473	0.0312814	0.0226034	0.0298384	0.0296489	0.0284962	0.0971709	0.0490542	0.0441819	0.0329156	0.0582043	0.042711	0.084949	0.0610988	0.0444988	0.0684645	0.023861	0.0280624	0.0164183	0.00935338	0.00803043	0.00464201	0.00349852	0.00223946	0.0027283	0.00448985	0.00382379	0.0040167	0.00539928	0.00453116	0.00529035	0.00573301	0.00623154	0.00822704	0.00981653	0.00893217	0.0091335	0.00535158
venus	0.0238144	0.0209979	0.0140532	0.0155589	0.00766718	0.0138961	0.0109348	0.0150077	0.0131272	0.0163539	0.0184528	0.0324775	0.0253398	0.021699	0.0190813	0.0276898	0.0194236	0.0271033	0.0220564	0.0176629	0.0218301	0.0166404	0.0245494	0.0280889	0.0335542	0.0475088	0.0341434	0.0336458	0.0204517	0.0145431	0.0184973	0.0203243	0.0249535	0.0238166	0.0252718	0.0237075	0.0265895	0.0290882	0.0299046	0.0267744	0.0388278	0.0293009	0.0255901
surprendre	0.0962229	0.0639086	0.0456734	0.0460717	0.0609182	0.0322566	0.0332386	0.0228221	0.0345273	0.0236294	0.024308	0.0156759	0.0257656	0.0145506	0.0144623	0.0140414	0.00884323	0.00942422	0.00892513	0.00683986	0.00660152	0.00563674	0.00446868	0.00263181	0.00523673	0.00694061	0.0110478	0.0150372	0.0201698	0.0240988	0.0275085	0.022928	0.0151099	0.0109805	0.0151663	0.013893	0.0236871	0.0258932	0.0303648	0.0280123	0.0263156	0.0256197	0.0305465
le	0.0555059	0.0335631	0.0315738	0.0259789	0.0146669	0.0103078	0.0101882	0.0090178	0.0131096	0.0218234	0.0321092	0.0248239	0.0399034	0.0215613	0.0214675	0.0236922	0.0154837	0.0170486	0.0106425	0.00790827	0.00839987	0.00582178	0.00660977	0.00545663	0.00764409	0.00819411	0.0105396	0.0123184	0.0176502	0.0303191	0.0513834	0.066975	0.0854197	0.05132	0.0464687	0.0291422	0.0243872	0.0229197	0.0269733	0.0148365	0.0122699	0.00863954	0.00593528
voleur	0.0747066	0.026357	0.0244118	0.0120702	0.00752176	0.00549334	0.00426099	0.00509878	0.00641106	0.00845684	0.0189405	0.0219848	0.0227813	0.020691	0.0162335	0.0449829	0.0267135	0.0233139	0.0183541	0.00867532	0.0131015	0.014249	0.0159326	0.0151236	0.0106161	0.00889535	0.00825497	0.0093755	0.0131373	0.027072	0.0363006	0.0354753	0.0373619	0.0356456	0.0462731	0.0464817	0.0452391	0.0472245	0.0541907	0.033777	0.0212537	0.0189021	0.00865729
dans	0.105932	0.0481826	0.041201	0.0292557	0.0187029	0.0172193	0.00869633	0.00745768	0.0120893	0.0115768	0.00966376	0.00606205	0.00801943	0.00944929	0.0110595	0.0233929	0.0267581	0.0221628	0.0244279	0.00802912	0.0103249	0.00605437	0.00579942	0.0020748	0.0022465	0.00595985	0.0100495	0.0180615	0.0150935	0.0197774	0.0163913	0.015129	0.0193443	0.025608	0.0305955	0.0362084	0.0482476	0.0472727	0.0734662	0.0353488	0.0297105	0.0516782	0.02622
la	0.102867	0.0738288	0.0442102	0.0303194	0.0173049	0.0113312	0.00618161	0.00713706	0.00992859	0.00600757	0.00309577	0.00215063	0.00361126	0.00251691	0.00570339	0.0058746	0.0109979	0.00582283	0.0071234	0.0033411	0.00368513	0.00290233	0.00188985	0.00112864	0.000790716	0.00124468	0.00222654	0.00406735	0.00466032	0.0101219	0.012552	0.0149916	0.0136779	0.0178348	0.0293018	0.0237875	0.0631017	0.0538902	0.0996236	0.0697241	0.0679965	0.10125	0.0401966
maison	0.0413071	0.0305822	0.0292898	0.0302097	0.0203559	0.0210579	0.0138152	0.00970044	0.0186754	0.0142618	0.0104286	0.0121144	0.0106619	0.0109631	0.0100773	0.0144304	0.0145404	0.0124662	0.0143733	0.0100946	0.0136811	0.0181353	0.0151971	0.00923124	0.00971077	0.0127098	0.0192117	0.018567	0.0222641	0.0241137	0.0376991	0.02375	0.0138787	0.0124159	0.0157714	0.0136571	0.0431525	0.0247855	0.0628374	0.0474722	0.0727719	0.0700201	0.0495604
