 	a66	a87	a23	a83	a88	a75	a79	a75	a5	a18	a98	a85	a6	a0	a43	a0	a31	a24	a88	a9	a10	a87	a23	a87	</S>
il	0.0478871	0.0514895	0.0422156	0.0237032	0.0191617	0.017104	0.0160929	0.0160905	0.015896	0.0182341	0.0235417	0.0154619	0.0141547	0.0164658	0.0146305	0.0377697	0.0531794	0.0683564	0.0649128	0.0852399	0.0838473	0.0555512	0.0493478	0.063472	0.0861941
y	0.06833	0.0333383	0.0689294	0.0520934	0.0516815	0.0473879	0.0299645	0.0401128	0.0408912	0.0332838	0.0315583	0.0450622	0.0376929	0.0258543	0.0181616	0.0188241	0.0178031	0.022284	0.0283161	0.0322305	0.0358206	0.0401266	0.0481304	0.0599833	0.0721394
a	0.0355732	0.0264074	0.0286551	0.0223152	0.0194728	0.0146264	0.0123944	0.0140594	0.0148391	0.0168054	0.013695	0.0191563	0.0131788	0.0230852	0.0179837	0.026341	0.0320615	0.0446411	0.0449151	0.0639728	0.0538578	0.103402	0.104815	0.136897	0.0968494
plusieurs	0.11877	0.113582	0.0895525	0.0845272	0.0666631	0.0561958	0.0706208	0.0511653	0.0278758	0.0315557	0.0128092	0.00943882	0.0102802	0.0155113	0.0161871	0.0188613	0.0160825	0.020256	0.0223326	0.01742	0.0198552	0.0167309	0.0254648	0.021837	0.0464241
manières	0.102235	0.10175	0.0619093	0.0599864	0.0865921	0.0789259	0.0412489	0.043939	0.0504368	0.0428724	0.0330842	0.0328832	0.0121611	0.00878573	0.00848643	0.00746109	0.00694092	0.01226	0.0219127	0.022992	0.0213572	0.0297033	0.032741	0.0395165	0.0398196
de	0.190311	0.0674723	0.0731748	0.0483145	0.0279055	0.0145387	0.00967811	0.00913723	0.00902313	0.0102728	0.0128796	0.0149672	0.0142311	0.0289807	0.0297943	0.0297696	0.0378426	0.0533754	0.0537088	0.0356314	0.0334772	0.0364382	0.038767	0.0566607	0.063648
pêcher	0.085809	0.0663933	0.077181	0.0781118	0.0742675	0.0688468	0.0391241	0.0503575	0.0376372	0.0276146	0.0131733	0.0241803	0.0159158	0.0301658	0.0254669	0.0383161	0.033978	0.0229838	0.0247902	0.0211923	0.0187786	0.0275769	0.0277707	0.0337071	0.0366615
du	0.107122	0.0493927	0.0414812	0.0389011	0.0424991	0.0473638	0.0432802	0.0495334	0.0377231	0.0399296	0.0219041	0.01543	0.0173638	0.0454377	0.0525951	0.0508321	0.0521964	0.04396	0.0344283	0.0354258	0.0264405	0.0289215	0.0277056	0.0233592	0.0267738
poisson	0.0430133	0.0286277	0.0227959	0.0221747	0.024284	0.0257795	0.0322863	0.0327151	0.0306021	0.0287865	0.0349933	0.0265312	0.0283366	0.0394671	0.0468222	0.0641561	0.0567542	0.0527625	0.0566215	0.0676628	0.0520823	0.0626961	0.0455971	0.0384074	0.0360444
</S>	0.0276077	0.0110007	0.00988652	0.00603387	0.00493236	0.0043131	0.00376178	0.00332946	0.00287255	0.00321344	0.00461202	0.00457274	0.00482308	0.0146952	0.0210747	0.0341914	0.048781	0.0696473	0.0875782	0.0993687	0.0878216	0.112576	0.113444	0.11916	0.100703
