 	a66	a87	a23	a83	a99	a53	a90	a56	a98	a92	a12	a21	a12	a75	a85	a37	a61	a88	a54	a47	a0	a54	a47	a92	a21	a5	a37	a79	a44	a57	a82	a87	a23	a99	a97	a87	</S>
mon	0.0153874	0.0307903	0.0579147	0.0922459	0.129333	0.0958537	0.0446144	0.0174371	0.0198199	0.0166733	0.0138313	0.0134218	0.0107896	0.0149784	0.0135045	0.0130825	0.0135717	0.0178832	0.0101043	0.0101397	0.0110998	0.0109964	0.0163365	0.0257526	0.0289074	0.0406228	0.0227405	0.0153806	0.0225868	0.0183222	0.0167404	0.0122036	0.0142889	0.0179142	0.0152271	0.0164006	0.0431025
oncle	0.00550012	0.00705341	0.0103918	0.00716102	0.0261719	0.015358	0.0312678	0.0319032	0.0364389	0.0623743	0.0646428	0.0336632	0.0413452	0.0457411	0.0276016	0.0640958	0.0301667	0.0590664	0.0550288	0.0524053	0.0498713	0.0396245	0.0805	0.0461136	0.0234713	0.0144735	0.017469	0.00377095	0.00217291	0.00223475	0.000590068	0.00127936	0.00265542	0.00100625	0.00251388	0.00374156	0.00113466
m'	0.028857	0.0256924	0.0482401	0.0320689	0.0365069	0.0462649	0.0717495	0.139712	0.0549467	0.0863793	0.0333549	0.0596272	0.0329856	0.0335166	0.0346873	0.0178926	0.0174777	0.0154346	0.0137263	0.0153223	0.0142443	0.0113677	0.0117567	0.00501383	0.003982	0.00367579	0.00500475	0.0100329	0.00957184	0.0102307	0.00706854	0.0106665	0.00887427	0.00903111	0.013712	0.0143208	0.00700371
avait	0.0417162	0.0230664	0.0220474	0.0126997	0.0124569	0.0188705	0.0191351	0.050645	0.0263804	0.0421478	0.0302776	0.0374881	0.0215393	0.0278161	0.0569116	0.0436043	0.0666544	0.0363774	0.0334209	0.0298557	0.0325699	0.0293363	0.0214808	0.0225878	0.0222014	0.0192473	0.0152974	0.0163138	0.0209095	0.0189129	0.0170035	0.00906275	0.0178535	0.0195292	0.0167031	0.0179126	0.0299674
appris	0.0257514	0.0417667	0.0399172	0.0371566	0.0418825	0.0317324	0.0217685	0.0164555	0.0247754	0.0366993	0.0580093	0.071312	0.0353614	0.0278617	0.0459826	0.0403081	0.029306	0.0324018	0.0217413	0.0280525	0.0265321	0.0250922	0.0248701	0.0285064	0.0200139	0.0183041	0.0117917	0.0112374	0.0106231	0.0131199	0.0135499	0.00753097	0.0146105	0.0113825	0.00814343	0.0138824	0.0325674
à	0.039977	0.0315797	0.0294387	0.0195349	0.0179676	0.019773	0.0366166	0.0350159	0.0359536	0.0302618	0.0211319	0.0180957	0.0139152	0.0133076	0.0173596	0.0198197	0.0227337	0.0215893	0.0178989	0.0138078	0.0160053	0.0174311	0.0184247	0.0216587	0.024956	0.0327039	0.028059	0.0441222	0.043285	0.0378548	0.0522103	0.0284785	0.0367139	0.0351902	0.0185493	0.0285697	0.0400093
déchirer	0.0387948	0.0259366	0.0219057	0.0162205	0.0157915	0.0161157	0.0196721	0.0199482	0.018592	0.02047	0.0175979	0.0192652	0.0147174	0.0129382	0.0207453	0.0192106	0.0198964	0.0123366	0.0135658	0.0118067	0.012786	0.012457	0.00956498	0.0114351	0.0161861	0.0184567	0.0245266	0.0490545	0.0447772	0.042324	0.0656786	0.0570828	0.0489244	0.0641417	0.0499183	0.0422011	0.0549579
la	0.0459483	0.0316381	0.0274109	0.0174515	0.017885	0.0199961	0.0255477	0.0192705	0.0167135	0.0156625	0.014685	0.0191579	0.0140452	0.0163182	0.0194698	0.0189132	0.0181533	0.0125977	0.00992384	0.00990403	0.0115842	0.0125423	0.0142639	0.0222718	0.0259046	0.0209559	0.0350505	0.0520704	0.055101	0.0534186	0.0452767	0.0502569	0.0552189	0.0448475	0.0354329	0.0322643	0.0428475
liane	0.0208789	0.0171557	0.0172251	0.0152687	0.019135	0.0172438	0.0166746	0.00575028	0.00442186	0.0038992	0.00338639	0.00575594	0.0113281	0.0124878	0.0197313	0.0271167	0.0304586	0.0336178	0.0273272	0.0366065	0.0282886	0.0314138	0.0353756	0.0431036	0.0311593	0.0374381	0.0347536	0.0277829	0.0491481	0.0815235	0.0393491	0.0303935	0.0645984	0.0488816	0.0235241	0.0280717	0.019725
elo	0.0227628	0.03939	0.051146	0.0493161	0.0620747	0.055452	0.0425705	0.0104884	0.00879472	0.00795715	0.00685178	0.00798651	0.00638277	0.00815736	0.00937722	0.0116617	0.00973994	0.0121602	0.00877976	0.010081	0.0115567	0.0108988	0.0150517	0.0200268	0.0238641	0.0334583	0.0196502	0.0259505	0.0421179	0.0500619	0.0665664	0.0370258	0.0454217	0.0463064	0.032575	0.0267543	0.0515829
</S>	0.0179587	0.0273628	0.0344238	0.0338595	0.0326948	0.0270558	0.0208239	0.00590931	0.00574784	0.00436922	0.00394614	0.00438323	0.00247244	0.00359226	0.00470783	0.0064901	0.00771434	0.00665384	0.00455994	0.00475431	0.00656096	0.00700891	0.0101253	0.0155943	0.0248282	0.0459032	0.0273612	0.0446388	0.0686953	0.0742636	0.0821029	0.0466311	0.0447781	0.0549441	0.0380171	0.0394267	0.10964
