 	a66	a87	a23	a83	a62	a5	a37	a56	a12	a47	a34	a56	a98	a56	a75	a92	a37	a93	a94	a70	a27	a30	a10	a87	a23	a87	</S>
le	0.0846009	0.0551523	0.0351571	0.0286064	0.0250503	0.0182307	0.0103258	0.0141937	0.0176887	0.0195879	0.027021	0.0190289	0.0204525	0.0175745	0.0170138	0.0138569	0.0193692	0.0441603	0.0527281	0.0735688	0.0879787	0.070911	0.0659868	0.0469593	0.0343724	0.0354594	0.0449645
feu	0.0255024	0.0257603	0.0261984	0.0386641	0.0197719	0.0361004	0.0135187	0.0220477	0.036396	0.0527045	0.074388	0.105229	0.0616669	0.0739538	0.056727	0.0363986	0.0431117	0.120198	0.0153261	0.0170847	0.0155596	0.0193454	0.0150665	0.0115616	0.0209874	0.0130811	0.00365072
est	0.0923106	0.0765267	0.0903545	0.0956108	0.068312	0.051038	0.0342802	0.0288225	0.0379909	0.0256948	0.0309169	0.0445162	0.029074	0.0168817	0.0149917	0.00970862	0.0127769	0.0185493	0.0141285	0.0177815	0.0296272	0.0388096	0.0358747	0.028869	0.0227325	0.0297557	0.00406515
en	0.0108652	0.00733761	0.00877897	0.00753611	0.0101376	0.0138143	0.0364345	0.0513203	0.0694333	0.103735	0.0981688	0.139162	0.115574	0.0596265	0.0234768	0.0157711	0.014334	0.0314532	0.0159076	0.0241173	0.0255211	0.0209939	0.0193442	0.0204581	0.0223019	0.014116	0.0202806
train	0.0132846	0.0149183	0.0185963	0.0161784	0.0224315	0.0231367	0.0471858	0.0574227	0.124398	0.146663	0.160249	0.116105	0.0866409	0.0444402	0.0284117	0.00875064	0.00464637	0.0108592	0.00641488	0.00691189	0.00710409	0.00501929	0.00559237	0.00750347	0.00747983	0.00503467	0.00462078
de	0.0618455	0.0490038	0.0486578	0.0358081	0.0395127	0.0299501	0.017835	0.00759173	0.006298	0.00291262	0.00332871	0.00621834	0.00574338	0.00812954	0.00593576	0.00604953	0.0120152	0.0127813	0.0229354	0.0227356	0.0530372	0.0783051	0.064926	0.0805962	0.0747745	0.116891	0.126182
brûler	0.0438066	0.0362313	0.0313181	0.0515252	0.0683928	0.0952073	0.065991	0.059325	0.0702899	0.0706825	0.0775078	0.055331	0.0484476	0.0399761	0.0238125	0.00999175	0.00973616	0.00626552	0.00967292	0.010216	0.0140535	0.0141465	0.0137134	0.0136859	0.02054	0.0199118	0.0202217
dans	0.0413	0.024587	0.0122431	0.0102329	0.0122692	0.0147433	0.00862913	0.0100911	0.00913576	0.00831185	0.00968808	0.00610512	0.00784016	0.00770519	0.0139157	0.0148238	0.0348374	0.0178881	0.051585	0.0576019	0.10755	0.0926504	0.0611017	0.0741797	0.0674956	0.100015	0.123474
le	0.0236665	0.0155825	0.00859284	0.00841473	0.00843986	0.00850399	0.00878833	0.0114912	0.00964966	0.00938892	0.00873876	0.00855137	0.0123954	0.00940874	0.0093953	0.0141925	0.0275159	0.022713	0.0583896	0.0948135	0.135651	0.115776	0.0945283	0.0614264	0.0690629	0.0612375	0.0836847
champ	0.00766077	0.00702656	0.00797823	0.00897307	0.0112779	0.016782	0.0297574	0.0449258	0.0488093	0.0448905	0.0329515	0.0322186	0.0297317	0.0206209	0.016796	0.0148317	0.0208669	0.00763731	0.0301091	0.0735666	0.120183	0.102256	0.0884047	0.044322	0.0629374	0.038493	0.0359924
</S>	0.0562932	0.0501315	0.0310996	0.0246501	0.0283148	0.0305933	0.0204398	0.017915	0.0177826	0.0122587	0.0101338	0.0111108	0.00798309	0.00561292	0.0114286	0.0174495	0.0252047	0.0253143	0.0347804	0.0327422	0.0451676	0.0560682	0.0608237	0.0594899	0.0750204	0.0983139	0.133877
