 	a11	a84	a87	a23	a87	a99	a83	a50	a83	a11	a12	a70	a11	a88	a24	a61	a41	a70	a54	a14	a0	a54	a7	a26	a44	a70	a34	a75	a6	a37	a5	a6	a37	a26	a54	a47	a6	a37	a70	a11	a54	a69	a44	a26	a44	a13	a99	a44	a26	a57	a87	a23	a87	</S>
mon	0.0228859	0.0361495	0.0271741	0.0294911	0.0159916	0.0187397	0.0212931	0.015127	0.0125074	0.00496024	0.0144136	0.0160952	0.013238	0.0134355	0.0160357	0.00990537	0.00710505	0.0111358	0.0118415	0.0165198	0.0131318	0.0224049	0.011075	0.0114151	0.021133	0.017776	0.0239147	0.012499	0.0118164	0.0184194	0.0119725	0.0145672	0.0130816	0.0126472	0.0282834	0.0218748	0.00641865	0.0284085	0.0253808	0.0322821	0.0254965	0.0147104	0.0174999	0.0243458	0.0123908	0.0177523	0.0148053	0.0286594	0.0280777	0.0243707	0.0285322	0.0235037	0.0259472	0.0213609
fils	0.00508979	0.0108825	0.0142972	0.0155538	0.0206949	0.0274567	0.00942607	0.0180475	0.0120444	0.0210752	0.0169884	0.013974	0.0166653	0.0217616	0.0254306	0.0482034	0.0515828	0.0146725	0.0287861	0.0421125	0.0746812	0.0687785	0.0596996	0.0388979	0.0386342	0.0179275	0.0203019	0.0277204	0.0217483	0.0295047	0.00660421	0.0110304	0.0179633	0.00952747	0.00370148	0.0102586	0.0152031	0.00192711	0.0037122	0.00739258	0.0098131	0.0105037	0.0162451	0.0158369	0.0050541	0.00295048	0.00236003	0.0036408	0.00197172	0.00274577	0.00154919	0.00153305	0.00485681	0.000979077
est	0.0349764	0.0140283	0.0112309	0.0131257	0.0075511	0.00502879	0.00608569	0.0174126	0.00983834	0.00919239	0.0146343	0.00905747	0.00833596	0.00443685	0.0107659	0.00756567	0.0108633	0.0246716	0.0221445	0.0176767	0.0332906	0.0183742	0.0694893	0.0394588	0.064895	0.0303149	0.0654547	0.0476165	0.0472343	0.0448521	0.0336958	0.0388877	0.0275287	0.0146179	0.0108676	0.00820975	0.0163488	0.00399878	0.00247669	0.00364571	0.0043503	0.00630952	0.0148478	0.0036195	0.00510984	0.007536	0.00923344	0.00966857	0.00754098	0.00789845	0.00965293	0.00905791	0.0196468	0.00564749
tenu	0.0491725	0.0370712	0.0237602	0.027604	0.033894	0.0355011	0.0213507	0.0220787	0.0236604	0.0327659	0.0109119	0.0138503	0.0122646	0.00895785	0.00973315	0.00917967	0.00983378	0.013721	0.0115809	0.0126551	0.0158788	0.0135345	0.0507432	0.0446869	0.0410224	0.0509349	0.0226717	0.0262526	0.0243186	0.0145062	0.0125425	0.0122948	0.0106694	0.0100416	0.00864447	0.00670996	0.0177904	0.0135028	0.0111985	0.00881823	0.0169797	0.0138986	0.0245696	0.00999569	0.0147917	0.00993443	0.0123128	0.0101268	0.00904786	0.00603314	0.00762654	0.00629541	0.00960967	0.0124687
responsable	0.0212559	0.0138867	0.0130706	0.00924026	0.0104035	0.00814615	0.00841703	0.0112727	0.0143454	0.00712844	0.0106511	0.0232465	0.00972059	0.0125271	0.0115748	0.0147935	0.016841	0.0351058	0.0367045	0.0350976	0.0258188	0.0281303	0.020752	0.0327403	0.0448874	0.0492855	0.032503	0.0336665	0.0335872	0.0333407	0.01986	0.0354897	0.0229246	0.0128599	0.0234249	0.0117157	0.00689875	0.0111956	0.00753134	0.00722214	0.0103471	0.0101722	0.0119981	0.00736395	0.0109961	0.0205903	0.020099	0.0116928	0.0115932	0.012399	0.00794259	0.0120199	0.00860627	0.0269158
pour	0.0455103	0.0331047	0.0281522	0.0197165	0.015967	0.0103426	0.0157927	0.0162199	0.0146104	0.0211753	0.0194486	0.0328169	0.0169014	0.0191136	0.0163684	0.017809	0.0197042	0.0198704	0.0209097	0.0181183	0.0125105	0.0179876	0.0121049	0.0277249	0.0414143	0.0316259	0.0242737	0.026745	0.0311666	0.0293984	0.028019	0.0269766	0.0187146	0.015274	0.0149643	0.0108865	0.0108184	0.0106128	0.0125321	0.0113325	0.00950715	0.0099346	0.0135004	0.00751845	0.0147816	0.0114885	0.012015	0.00977804	0.0117531	0.00907771	0.00825643	0.014227	0.00949749	0.0219302
tout	0.0267938	0.0198666	0.0186608	0.0137151	0.00946461	0.00920894	0.00940939	0.00975095	0.00959465	0.0147692	0.0136442	0.0155674	0.0169322	0.0128371	0.0183945	0.0201486	0.0206588	0.0213793	0.0184159	0.0246064	0.0180436	0.0237782	0.0212114	0.0344338	0.0416692	0.0325693	0.025122	0.0289693	0.0273811	0.0260833	0.0246696	0.0198342	0.0144385	0.0129016	0.0114018	0.00797894	0.0119547	0.00842574	0.00976754	0.0129051	0.0126911	0.0165004	0.0232655	0.0165055	0.0259079	0.022136	0.0214421	0.0201895	0.0192808	0.0181321	0.0160656	0.0167443	0.0155748	0.0182074
ce	0.0221425	0.0225689	0.022587	0.0198125	0.0095208	0.00851338	0.0110105	0.00926609	0.0100054	0.0125365	0.0191158	0.0163175	0.0162646	0.0167734	0.0236768	0.0193844	0.0166149	0.0172416	0.0144123	0.0180269	0.0173769	0.0171841	0.0225052	0.0292064	0.0319268	0.0250644	0.0199186	0.0236792	0.0207624	0.0171759	0.0168552	0.0135718	0.00894031	0.00924436	0.0118939	0.00849919	0.010342	0.0117276	0.0113524	0.0148693	0.0170878	0.0210238	0.0218269	0.0199251	0.0296484	0.0393767	0.0293396	0.0348195	0.0272791	0.0290714	0.0188077	0.0222622	0.0142134	0.00743087
qui	0.0139557	0.0193285	0.0189647	0.0158727	0.0121209	0.0150467	0.012368	0.019836	0.0141185	0.00797201	0.00922225	0.0117891	0.0126905	0.0106246	0.016674	0.0150866	0.0127691	0.0126398	0.0124841	0.0109392	0.00828899	0.00914069	0.011763	0.0126248	0.0254603	0.0163604	0.0188786	0.0130441	0.0157065	0.016502	0.0120984	0.01127	0.0102376	0.010761	0.0130031	0.00974328	0.00977892	0.0155701	0.0146139	0.0163639	0.0250133	0.0289177	0.0312045	0.0369887	0.0349048	0.0445811	0.0378202	0.0404618	0.0442146	0.0368878	0.0306291	0.0306386	0.0199836	0.0120417
se	0.0128207	0.0153863	0.0146623	0.0100215	0.0045301	0.00782495	0.00920189	0.00700621	0.00659676	0.00398164	0.00568971	0.00670751	0.00877242	0.00801849	0.0169173	0.0154194	0.00966773	0.0117681	0.00894381	0.014862	0.00764943	0.0105892	0.0162679	0.0144451	0.0269982	0.0233113	0.0223645	0.0182421	0.024243	0.021659	0.0256067	0.0163649	0.00771996	0.0109084	0.015724	0.00921093	0.0116567	0.0320594	0.0214056	0.0299501	0.0220343	0.0188115	0.0347534	0.0239738	0.0514043	0.0258322	0.0444769	0.040337	0.0502946	0.0148668	0.0308551	0.033827	0.0234904	0.0198676
