 	a87	a23	a10	a11	a24	a41	a35	a98	a14	a30	a40	a30	a14	a35	a26	a61	a75	a76	a90	a38	a75	a41	a35	a24	a41	a35	a2	a57	a87	a23	a26	a24	a41	a35	a98	a14	a35	a76	a35	a76	a56	a66	a11	a62	a96	a24	a98	a25	a75	a98	a73	a84	a57	a87	a23	a87	</S>
le	0.019901	0.0163955	0.0243383	0.0284664	0.0140755	0.00720957	0.0057463	0.0129986	0.0136398	0.0202375	0.0137563	0.0184259	0.0204598	0.0186135	0.0148058	0.0205466	0.0119193	0.0149954	0.0165031	0.00840479	0.0281633	0.0224203	0.0198411	0.0121464	0.0144892	0.0334007	0.0351851	0.0342119	0.0403231	0.0524551	0.02534	0.0295847	0.0296489	0.0230135	0.0179077	0.0158514	0.0185544	0.0142714	0.0108386	0.0132614	0.0063775	0.00733942	0.00454203	0.00717248	0.0249586	0.0270409	0.00881632	0.0132309	0.0073304	0.00523675	0.00965269	0.00911693	0.00736066	0.0113226	0.00834973	0.00821793	0.0215871
singe	0.00174611	0.00448098	0.00443221	0.0166031	0.00900738	0.0231367	0.0201568	0.0628825	0.0246672	0.0645464	0.0192315	0.0286904	0.0303315	0.0185289	0.0171154	0.0208783	0.0174248	0.0244799	0.0185536	0.0225252	0.0225054	0.0105934	0.0164177	0.0185995	0.0164621	0.0177835	0.0317763	0.0219922	0.0188144	0.0196015	0.0185446	0.0254805	0.0184171	0.0320587	0.0302499	0.0339086	0.0493494	0.0686378	0.0222786	0.0162584	0.00800081	0.0107645	0.00930883	0.00268957	0.00260226	0.00184884	0.00116632	0.000763553	0.000790963	0.000301522	0.000221199	0.000208379	0.000137632	0.000295627	0.000384711	0.000831707	0.000534751
n'	0.0380106	0.0388387	0.038663	0.0355913	0.0317809	0.0330019	0.0286535	0.03115	0.01203	0.0199676	0.0148093	0.0143614	0.0117953	0.0145244	0.0161578	0.0123443	0.0120701	0.0178221	0.015603	0.0171455	0.026847	0.0197698	0.0153985	0.0205696	0.0186537	0.0351477	0.0208995	0.0190282	0.0226965	0.016297	0.0146434	0.0208026	0.027175	0.023059	0.0204963	0.0126939	0.0256771	0.0180738	0.0226092	0.031662	0.0199475	0.0277847	0.0111599	0.0200686	0.00844078	0.00434878	0.00355396	0.00253143	0.00173742	0.00105118	0.000918515	0.00172253	0.000885408	0.00208705	0.00168999	0.00358888	0.00196294
adopte	0.0267402	0.0156345	0.0107623	0.0156424	0.0263249	0.0301403	0.0395666	0.0256754	0.0281182	0.0235008	0.0227774	0.015622	0.0330692	0.0200895	0.0208545	0.026693	0.0197393	0.0214435	0.0131735	0.0233136	0.0198802	0.0172327	0.0197648	0.020648	0.0196957	0.0144969	0.0228471	0.0210907	0.0171883	0.0206782	0.0201761	0.0189574	0.0181531	0.0138969	0.0223595	0.0127727	0.0276217	0.0234521	0.0279196	0.0326507	0.0240191	0.0217009	0.0143291	0.0108557	0.0116935	0.00434773	0.00430217	0.00349767	0.0022067	0.0018089	0.00214356	0.00191879	0.0032336	0.00487101	0.00369527	0.00553275	0.00947981
pas	0.067146	0.077662	0.0416904	0.0461795	0.0309771	0.0267959	0.017349	0.0116515	0.0165069	0.0116209	0.013554	0.00989791	0.00946462	0.0121539	0.0131559	0.0131305	0.0114427	0.0114953	0.00730569	0.00674732	0.0165528	0.0207374	0.0128311	0.0156432	0.010779	0.017702	0.0238136	0.0180354	0.0227037	0.0203432	0.0165719	0.0145294	0.0196798	0.0162003	0.0132541	0.00667905	0.0133918	0.00763613	0.00731356	0.00928819	0.00542317	0.00803509	0.00636293	0.00436203	0.00656663	0.0149903	0.00891045	0.0117642	0.0130543	0.0111345	0.0162553	0.0144453	0.014719	0.0269807	0.0127282	0.0167617	0.0478936
le	0.0197257	0.0174582	0.0166814	0.0209141	0.0162442	0.0143567	0.01017	0.00757622	0.00925778	0.00777721	0.008407	0.00859458	0.00848852	0.00993759	0.0122203	0.0124022	0.0124819	0.0137384	0.0155105	0.0297918	0.0237414	0.0225876	0.0218338	0.022615	0.0282656	0.0210906	0.0243464	0.0226248	0.0201926	0.0197732	0.0221878	0.0270655	0.0223851	0.0285178	0.0290841	0.0289856	0.0279402	0.0234205	0.019007	0.0150659	0.00773823	0.0144626	0.00978723	0.00867617	0.00945248	0.0112003	0.0124379	0.0152726	0.0143505	0.0112473	0.0128645	0.012177	0.0141147	0.0225134	0.0242818	0.0257056	0.0312531
fils	0.0186023	0.0170211	0.0189871	0.0155774	0.0120807	0.00774072	0.00637125	0.00529025	0.00802071	0.00649448	0.0134842	0.00831663	0.00596879	0.0170582	0.0161119	0.0128993	0.0163226	0.0248574	0.0397204	0.0197584	0.0320582	0.0312751	0.0260281	0.0243626	0.0211887	0.0338871	0.0247028	0.031878	0.0310868	0.0275455	0.0274041	0.046431	0.0397515	0.0404455	0.0265494	0.0234436	0.0316229	0.0224906	0.016777	0.0170225	0.00654992	0.0127614	0.00467281	0.00294623	0.00321358	0.00246513	0.00129559	0.0021915	0.00332469	0.00306661	0.0142565	0.0105182	0.0115757	0.0154078	0.0154683	0.0136027	0.0100486
de	0.0303641	0.0171627	0.0210152	0.0138971	0.0114964	0.00454677	0.00303467	0.00490706	0.00740217	0.00984285	0.0103667	0.0166521	0.0166507	0.0234154	0.0200239	0.0278062	0.021786	0.0277429	0.0308992	0.0182052	0.0299528	0.0259058	0.0202424	0.0202847	0.023961	0.0344637	0.0296138	0.0413287	0.0353391	0.0431659	0.0263862	0.0319124	0.0302407	0.0304392	0.0189789	0.00935638	0.0188747	0.0117702	0.00623303	0.0111252	0.00545722	0.00623573	0.00297473	0.0027426	0.003632	0.00352398	0.0021382	0.00352682	0.00539024	0.00493681	0.0173667	0.0136983	0.0100247	0.0128344	0.014134	0.012769	0.0418227
son	0.0178562	0.0129377	0.0148184	0.0100185	0.00904212	0.00378803	0.00291096	0.0031575	0.00459926	0.00585381	0.00590676	0.00601346	0.00604372	0.0136904	0.0165456	0.016781	0.0167284	0.0191358	0.0244934	0.024232	0.0360879	0.0319619	0.0309145	0.025776	0.0223373	0.0284994	0.0335786	0.0297297	0.0263599	0.0275734	0.0255017	0.0435234	0.0340113	0.0522781	0.0342866	0.0364235	0.0378221	0.0270509	0.0121459	0.0145433	0.00714633	0.0105776	0.00616944	0.00369722	0.00545543	0.00489204	0.00325472	0.00420844	0.00634394	0.00446811	0.0114978	0.0114524	0.0109583	0.011901	0.0187633	0.0160416	0.0182138
frère	0.0166647	0.0103117	0.0103906	0.00702833	0.00573875	0.00344855	0.00343675	0.00386035	0.00429413	0.00451537	0.00563685	0.00559655	0.00553891	0.00860672	0.0163248	0.0133657	0.0121413	0.0130295	0.0170424	0.0176838	0.0286186	0.0362098	0.0364091	0.0257338	0.0266043	0.0325384	0.0396035	0.0407095	0.0335636	0.035385	0.0409886	0.0533099	0.0426508	0.0454622	0.0365583	0.0316655	0.0278967	0.0141658	0.00883859	0.00951072	0.00758308	0.00821613	0.00678727	0.00541223	0.00579661	0.00775712	0.00423638	0.00541772	0.0112046	0.00856737	0.00870061	0.00939146	0.00830061	0.0124396	0.0188944	0.0181904	0.022026
