 	a87	a40	a37	a43	a47	a70	a98	a47	a85	a34	a92	a70	a61	a21	a47	a96	a66	a38	a31	a24	a9	a10	a99	a54	a47	a37	a26	a34	a96	a0	a90	a25	a56	a43	a11	a70	a83	a50	a62	a21	a41	a26	a9	a99	a87	a97	a87	a97	a87	a97	a3	a30	a38	</S>
les	0.0290882	0.0369406	0.0229897	0.0316167	0.036177	0.0391628	0.0247672	0.0296323	0.0511148	0.0476586	0.0384761	0.0475858	0.0658691	0.039651	0.0404929	0.0556513	0.0355038	0.0405732	0.0312758	0.021804	0.0231796	0.00885207	0.00596217	0.00590081	0.00621429	0.00515689	0.00627595	0.00610988	0.00447413	0.00616613	0.00845039	0.00666449	0.0040124	0.00359579	0.00535973	0.00396444	0.00489452	0.00415941	0.00429386	0.00482646	0.00332323	0.00373224	0.00428318	0.00360091	0.00553237	0.0043848	0.00509328	0.00791667	0.00526478	0.0096424	0.00817685	0.0119976	0.00921675	0.0232903
poissons	0.00342706	0.0069468	0.00535186	0.0233532	0.0284282	0.0927357	0.0622045	0.0646425	0.0666156	0.0730069	0.0558653	0.0766258	0.0746089	0.0289081	0.0346035	0.0246724	0.0115124	0.0128697	0.0153239	0.00475831	0.00996601	0.00589925	0.00839626	0.0139142	0.0161285	0.0165149	0.0213581	0.0319823	0.0309087	0.0104905	0.00865842	0.0133959	0.00477076	0.00573703	0.00417504	0.00245558	0.00228798	0.00201165	0.00104747	0.00175171	0.00204807	0.00190847	0.00185273	0.0014015	0.00160148	0.00113056	0.0015976	0.00163703	0.00145008	0.00111527	0.00123936	0.00118747	0.0019032	0.00161625
qui	0.0110949	0.0150935	0.0368155	0.0507806	0.051449	0.0563028	0.053531	0.0549848	0.0400178	0.0349182	0.0262818	0.0187178	0.020374	0.0193131	0.0215774	0.0202729	0.0205722	0.0221412	0.0277341	0.0408645	0.028576	0.0277296	0.023223	0.0192077	0.0158609	0.0252485	0.0248025	0.0202022	0.0166599	0.0170592	0.0116024	0.0147669	0.00915734	0.00699678	0.00918984	0.00432885	0.00648558	0.00334744	0.00164021	0.0020907	0.00199678	0.00126951	0.00159614	0.000964862	0.00180857	0.00315588	0.0029362	0.00350463	0.00636877	0.0058133	0.0104506	0.00970695	0.0151679	0.00424715
entrent	0.0181126	0.0325977	0.0137205	0.0272814	0.0274375	0.0240409	0.0332935	0.0304236	0.0235753	0.0293681	0.0210162	0.0207438	0.0182378	0.0206006	0.022024	0.0118165	0.0125766	0.014854	0.011914	0.0273448	0.0200914	0.0234052	0.0191289	0.0356166	0.0320845	0.0270438	0.0294001	0.0237346	0.0223637	0.0172515	0.0125755	0.0143742	0.0262798	0.0166223	0.0149461	0.010958	0.00515761	0.00433861	0.00780758	0.00953257	0.0086058	0.0110302	0.0120311	0.00817954	0.00860713	0.0110331	0.00993124	0.0128187	0.0144473	0.0149865	0.0204275	0.0171336	0.0224129	0.0146634
dans	0.0227456	0.0163964	0.00591414	0.0116278	0.008016	0.0116811	0.00766054	0.00855335	0.0101199	0.00985015	0.0108211	0.0122205	0.0112319	0.00880081	0.0182886	0.0270641	0.0332515	0.0387039	0.0395045	0.063784	0.0475916	0.0414471	0.0358027	0.0491647	0.0390172	0.0322073	0.0285084	0.0315393	0.0232574	0.0208194	0.0244282	0.0242915	0.0278435	0.0298837	0.0218439	0.0221813	0.0172279	0.0116126	0.00614268	0.0062808	0.00333969	0.00348613	0.0031249	0.00268184	0.00356929	0.00543304	0.00539954	0.0051478	0.00801493	0.00767089	0.0100228	0.00941028	0.00651051	0.00886131
le	0.0173135	0.0123912	0.00795195	0.00625967	0.00885572	0.00755952	0.00766004	0.00698695	0.00810673	0.00966903	0.00905844	0.0089844	0.00932807	0.00810314	0.00927621	0.0149581	0.0202831	0.0192763	0.0274823	0.0613045	0.0442826	0.0656067	0.0666828	0.0585275	0.0438271	0.0303068	0.032426	0.0197045	0.0190204	0.0180602	0.0112284	0.00865144	0.0173164	0.0139096	0.0194073	0.0121609	0.00993279	0.0101903	0.007921	0.00899282	0.00451001	0.00535583	0.00665471	0.00831171	0.0101194	0.0137827	0.014189	0.0168599	0.0178147	0.0230785	0.0193184	0.0270023	0.0163772	0.0176612
tuyau	0.0126047	0.00780892	0.0044798	0.00304588	0.00412491	0.00306811	0.00288222	0.00402089	0.00715518	0.00547984	0.00721005	0.00722817	0.0079124	0.0100215	0.00809366	0.0203163	0.0233083	0.023472	0.0401307	0.108564	0.059308	0.141408	0.105844	0.0804908	0.0325439	0.0380864	0.0319413	0.0135746	0.0112441	0.0144565	0.00479203	0.00738953	0.00990663	0.00854626	0.00871816	0.00469216	0.0049426	0.00552811	0.00641943	0.0102389	0.00401572	0.00924143	0.00697443	0.00405714	0.0051215	0.00691992	0.00611398	0.00746389	0.00794985	0.00482556	0.0082048	0.00715906	0.0068045	0.00414911
embí	0.0419489	0.0108524	0.00605332	0.00414237	0.00494664	0.0027299	0.00354955	0.00383114	0.00653304	0.00611465	0.00800568	0.00618653	0.00837943	0.016022	0.0135757	0.026032	0.0383287	0.0452508	0.0512201	0.0832266	0.0646243	0.076359	0.0498232	0.0370332	0.03067	0.0191952	0.0218445	0.0132929	0.0130628	0.017172	0.0111076	0.0115344	0.0128898	0.0128049	0.0148643	0.00451593	0.00273536	0.00244787	0.00153237	0.00313827	0.0021438	0.00200228	0.00329105	0.00134446	0.00451574	0.0051338	0.0115676	0.0106008	0.0253211	0.0112349	0.037345	0.024405	0.0343019	0.0192155
finissent	0.0558961	0.0167542	0.0100706	0.00832735	0.00853906	0.00404597	0.00590483	0.00490539	0.00667003	0.00730364	0.00842175	0.00728982	0.0111329	0.0154949	0.014851	0.0199945	0.0269017	0.0444766	0.0407686	0.044327	0.0355811	0.0303358	0.0240934	0.0166478	0.0193659	0.0146462	0.0132722	0.0121688	0.00918645	0.0117033	0.0195838	0.0132353	0.0116813	0.0153991	0.0160323	0.0082769	0.00646582	0.0060392	0.00704418	0.0128554	0.00796463	0.00611817	0.00978857	0.00848259	0.0105277	0.0127561	0.0246374	0.0216576	0.0424154	0.0294678	0.0512056	0.0345115	0.0445533	0.0302232
dans	0.064305	0.0145652	0.00853135	0.00638342	0.00610081	0.00597522	0.00559728	0.0047986	0.00625125	0.00673951	0.00683451	0.00764048	0.00820113	0.0103854	0.0103607	0.0243995	0.0248264	0.0352792	0.0364219	0.0348424	0.0425618	0.0282489	0.027268	0.0182618	0.0210999	0.0155688	0.0148923	0.0145099	0.0110452	0.0142522	0.0209872	0.0171854	0.0116148	0.0228387	0.0202143	0.00692584	0.00562994	0.00530439	0.00804609	0.00816783	0.00759054	0.00719146	0.0120994	0.00891298	0.0170919	0.0120485	0.0186921	0.0186929	0.0340379	0.0271798	0.0507027	0.029882	0.0515306	0.0412848
