 	a66	a87	a23	a18	a53	a79	a56	a43	a11	a31	a21	a5	a37	a36	a90	a56	a43	a11	a93	a90	a44	a93	a90	a69	a4	a53	a90	a69	a58	a71	a50	a62	a47	a62	a47	a31	a0	a75	a56	a96	a93	a4	a58	a40	a47	a92	a37	a34	a21	a47	a62	a70	a4	a44	a84	a82	a87	a23	a87	</S>
la	0.0327698	0.035525	0.037484	0.0302895	0.0227959	0.0206449	0.0375564	0.020615	0.0269706	0.0259389	0.0152674	0.0150382	0.0107712	0.00777766	0.00471539	0.0171912	0.00971333	0.0128354	0.0200534	0.0222918	0.00980872	0.0184906	0.0147041	0.0193441	0.0146142	0.0178142	0.0231065	0.0216072	0.0211212	0.0202887	0.0286998	0.0235701	0.0243528	0.0250943	0.0143925	0.0146747	0.0165174	0.0111914	0.00719	0.0115791	0.00414889	0.0104337	0.0115699	0.0158886	0.0106668	0.0195201	0.0187015	0.0139465	0.0119372	0.0110092	0.010539	0.00679559	0.00994892	0.0091428	0.00860484	0.00503765	0.00825937	0.00599033	0.00651286	0.0169398
manière	0.00304977	0.0124208	0.0178	0.0212208	0.0274146	0.0122663	0.0385416	0.0286175	0.0844217	0.0966608	0.0440014	0.0388289	0.0125901	0.0301357	0.015411	0.0281276	0.0104768	0.012112	0.0403767	0.0346426	0.0194257	0.0567937	0.0195558	0.0412054	0.025744	0.0326812	0.0114069	0.0142895	0.00957111	0.0206675	0.013018	0.00943681	0.00798044	0.0132862	0.00524791	0.00689026	0.00802262	0.00318879	0.00991232	0.00795694	0.00428447	0.00760991	0.00413822	0.00420022	0.00439815	0.00220646	0.00276164	0.00628657	0.00328491	0.00403101	0.00301091	0.00140717	0.0014188	0.00139145	0.000380008	0.000716466	0.000953599	0.0005878	0.000939205	0.000595255
dont	0.018101	0.0125229	0.01075	0.00991853	0.0121783	0.00771107	0.0113297	0.0219484	0.0399006	0.0913714	0.136777	0.121712	0.0549781	0.0502099	0.0292989	0.036973	0.023871	0.0222582	0.027602	0.0288329	0.0319822	0.03181	0.0122706	0.0185886	0.0201487	0.0197982	0.00963448	0.00915799	0.00535543	0.00460585	0.00754282	0.00628928	0.00515646	0.00387478	0.00501436	0.00510169	0.00549853	0.00366077	0.00466542	0.00168695	0.00254301	0.00141295	0.00181245	0.000795646	0.00114453	0.000646657	0.000585827	0.000860113	0.000849926	0.000744763	0.000404933	0.000767217	0.00065592	0.000729061	0.000713594	0.000981412	0.00100542	0.000816165	0.00140816	0.00103423
il	0.00675771	0.00665615	0.00369008	0.00498869	0.00479429	0.00565749	0.00681635	0.00649273	0.0151843	0.0165261	0.0172929	0.0551741	0.0270894	0.0177443	0.0177731	0.0296008	0.0197576	0.0120786	0.0142232	0.0170561	0.0131291	0.018711	0.0148474	0.021081	0.0240975	0.0322008	0.0154113	0.0211465	0.0176153	0.0176444	0.0338526	0.0187089	0.0181114	0.0355616	0.0220715	0.0468837	0.0205682	0.0132905	0.00936847	0.00797293	0.0124885	0.00627748	0.0113449	0.0115159	0.0149741	0.00815085	0.00702287	0.010062	0.0117975	0.00804692	0.00686542	0.0123439	0.0139038	0.0102153	0.0150079	0.0191259	0.0181211	0.0198213	0.0365913	0.0186948
est	0.0156749	0.0123336	0.00727244	0.00501524	0.00741508	0.0092512	0.00735055	0.00836675	0.022292	0.0141586	0.00735384	0.0139485	0.00754728	0.00922157	0.0112893	0.0209365	0.0126109	0.00956451	0.0325374	0.022564	0.0207182	0.0128933	0.0286571	0.032931	0.0444817	0.0327719	0.0264903	0.0464253	0.0304107	0.0333345	0.0487602	0.0246171	0.0315793	0.0392048	0.0329389	0.0625129	0.0408341	0.0215622	0.0208806	0.0171863	0.0109292	0.0117255	0.0101749	0.00841157	0.00803736	0.00427588	0.00354069	0.00411681	0.00321108	0.00159547	0.0018882	0.0014026	0.00218574	0.00202409	0.00259512	0.00242937	0.00261992	0.0033036	0.00653972	0.00309844
blessé	0.0237644	0.0111951	0.00972034	0.00467085	0.00510779	0.011054	0.00445052	0.00394393	0.00675165	0.00759472	0.00713815	0.0190744	0.0221314	0.0153444	0.0163046	0.0257611	0.0408239	0.0400708	0.0300346	0.0236079	0.0291001	0.0193451	0.0242899	0.0227076	0.028974	0.028102	0.0332681	0.0353219	0.0260771	0.0247691	0.028707	0.026326	0.0260338	0.0211636	0.0247899	0.0298488	0.0268835	0.0174981	0.0138182	0.0114302	0.00822713	0.00854654	0.0115317	0.0106076	0.00646039	0.00809838	0.00861792	0.00825541	0.010358	0.00689802	0.00519705	0.00769716	0.0057677	0.00874603	0.00848484	0.00594921	0.00715087	0.00702235	0.0129692	0.0164159
au	0.0149678	0.00518792	0.00566794	0.00244855	0.0033323	0.0052508	0.00264175	0.00155913	0.00198095	0.00325538	0.0139882	0.037294	0.0700402	0.0297795	0.0328611	0.0225697	0.091823	0.0454882	0.0190375	0.018854	0.0357533	0.0276173	0.0237645	0.0117437	0.0259158	0.0232322	0.028773	0.0183743	0.0213802	0.0210311	0.0160934	0.0195855	0.0120587	0.012482	0.0129578	0.00639023	0.00755215	0.00716184	0.00881166	0.00932742	0.00841255	0.00726124	0.0104961	0.00775529	0.00792904	0.00917477	0.0105433	0.00815936	0.0100215	0.0100201	0.00558122	0.0103621	0.0089019	0.012856	0.0187506	0.0127644	0.0166211	0.015043	0.0201587	0.0111541
dos	0.0153809	0.00890343	0.0178963	0.0106956	0.0100402	0.0132865	0.0195103	0.0071694	0.00802836	0.0181843	0.0321069	0.0502287	0.074415	0.0208164	0.0206	0.0280832	0.0879787	0.037091	0.0193663	0.0198785	0.0237892	0.0195037	0.0209528	0.00763059	0.0148388	0.0222621	0.0171524	0.0108509	0.0151986	0.0125638	0.00893187	0.014521	0.00793372	0.00694273	0.00994221	0.00715526	0.00563943	0.00714926	0.00778184	0.00738337	0.00515929	0.00558613	0.00780442	0.00557631	0.00826314	0.0111569	0.0132504	0.010329	0.00815162	0.00814026	0.00595453	0.00554557	0.0145892	0.0120302	0.0196409	0.0137772	0.0266631	0.0170328	0.019012	0.0145534
montre	0.0151612	0.00865162	0.00762741	0.0038704	0.00356335	0.0105116	0.00267738	0.00273331	0.00269082	0.00395096	0.00454812	0.00803454	0.0194344	0.00927993	0.0155666	0.0149646	0.0514423	0.0394385	0.0194479	0.0219413	0.0313841	0.0181825	0.0369859	0.0114893	0.0176916	0.0253364	0.0186343	0.0147921	0.0159765	0.0119238	0.0093219	0.014019	0.0102146	0.00716154	0.00765726	0.00256946	0.00451843	0.0049036	0.00710452	0.00642749	0.00576612	0.00576415	0.00910138	0.00637827	0.00832724	0.0126184	0.0155477	0.0100537	0.0113348	0.0151786	0.0170474	0.0145015	0.030141	0.0235476	0.0244078	0.0372933	0.0569097	0.0407508	0.067248	0.0462517
que	0.011413	0.014137	0.00859979	0.00562467	0.00453342	0.00828219	0.00838828	0.00826898	0.0120067	0.0101725	0.00795015	0.0125488	0.0130502	0.0215484	0.0173497	0.0248305	0.0330016	0.0402136	0.038092	0.053831	0.0496334	0.0252971	0.044802	0.0216959	0.0183421	0.0318868	0.0301783	0.0293023	0.0243955	0.0135796	0.0181566	0.0157049	0.0159521	0.0104554	0.00774483	0.00216232	0.00319503	0.00372165	0.00369124	0.00248172	0.00220924	0.00277477	0.00420859	0.0054864	0.00751361	0.00953403	0.00914402	0.00849956	0.00727419	0.0123704	0.0153763	0.0099305	0.0258937	0.0241324	0.020364	0.0151943	0.0216947	0.0215416	0.038824	0.0118122
