 	a66	a87	a10	a87	a99	a83	a50	a83	a50	a93	a70	a93	a70	a50	a70	a90	a69	a93	a44	a93	a56	a70	a11	a43	a24	a50	a34	a54	a37	a34	a70	a83	a34	a54	a37	a70	a90	a79	a69	a4	a93	a70	a99	a62	a12	a56	a96	a70	a11	a53	a4	a58	a26	a82	a27	a10	a87	a23	a87	</S>
je	0.0231791	0.0246519	0.0199425	0.0212486	0.0133458	0.01153	0.0200781	0.0287922	0.0173416	0.0181656	0.0102958	0.0216503	0.0145519	0.0116229	0.0180228	0.0172004	0.0210268	0.025405	0.0204176	0.0272777	0.0229542	0.0129223	0.00715234	0.0081355	0.0116169	0.0181482	0.0179365	0.0217392	0.0137343	0.0117378	0.0130307	0.00708388	0.0119586	0.0108201	0.0116625	0.0126077	0.0136403	0.017662	0.0336759	0.0631564	0.0337706	0.0340498	0.0234984	0.0195609	0.00998641	0.00566345	0.00633933	0.00979431	0.00952929	0.00478707	0.00689644	0.0124139	0.00736844	0.00782565	0.00854397	0.00976177	0.00927823	0.0149256	0.0140668	0.0248178
m'	0.0163238	0.00948873	0.0226126	0.0161085	0.00973896	0.0131231	0.00672981	0.00818458	0.0125026	0.0180334	0.0203609	0.017658	0.0109078	0.0103162	0.0158777	0.0141061	0.0162089	0.0177968	0.0130103	0.019323	0.0140449	0.0230995	0.0322162	0.0242349	0.0196155	0.0224573	0.0232049	0.0399347	0.0407461	0.024743	0.0234115	0.024211	0.0243805	0.0294523	0.0374698	0.0330789	0.0249017	0.0168348	0.0171669	0.0100903	0.0117196	0.0128742	0.00492763	0.00515578	0.00521042	0.00518948	0.00645992	0.00563584	0.00643203	0.00918382	0.0142799	0.0122714	0.0136337	0.0127804	0.0105342	0.0110029	0.012183	0.0109504	0.0182863	0.0175825
en	0.0427573	0.0124217	0.0121419	0.00711739	0.0074331	0.00672945	0.00708719	0.00768589	0.00967657	0.00480049	0.00309664	0.00357205	0.00343045	0.00747558	0.00932655	0.0134566	0.0223652	0.0271352	0.015179	0.0311056	0.0199609	0.0295766	0.0425722	0.0358902	0.0374842	0.0252122	0.0334698	0.0494702	0.0353598	0.0206924	0.0374106	0.0222103	0.0206619	0.0254227	0.0159425	0.0112952	0.00719854	0.00677494	0.00398931	0.00192427	0.00290781	0.00156965	0.00170743	0.00222147	0.00230479	0.00213775	0.00238875	0.00423034	0.00379626	0.0102084	0.0119555	0.0130466	0.0182247	0.0194707	0.0178183	0.0221733	0.0273971	0.0216838	0.0327519	0.0454926
vais	0.0141538	0.0130019	0.00898627	0.00944298	0.00644177	0.013955	0.0114863	0.0112431	0.00968015	0.00288122	0.00295752	0.00215673	0.00709498	0.00721157	0.00517242	0.00747881	0.0104769	0.00906569	0.0176693	0.0139953	0.0173534	0.0149774	0.0154119	0.0319173	0.0308469	0.0194876	0.0284394	0.0237793	0.0328256	0.0260473	0.0336201	0.0230863	0.0224763	0.0269218	0.0242704	0.0214333	0.0248998	0.0230243	0.0219323	0.0260755	0.0243081	0.0305976	0.0498463	0.0235159	0.0469273	0.0401695	0.0286751	0.0119692	0.0132048	0.00757042	0.00449201	0.00408824	0.0030837	0.00322546	0.00794191	0.00467136	0.00486339	0.00549431	0.00504692	0.00693056
chercher	0.0318102	0.0225208	0.0134676	0.014244	0.0107176	0.0167025	0.0181318	0.0158478	0.0118316	0.00274125	0.00352691	0.00190115	0.00498693	0.00514001	0.00349088	0.00725261	0.0102556	0.011215	0.0364611	0.0320497	0.0459488	0.0322952	0.0301014	0.0340305	0.029035	0.0326404	0.0254095	0.0312617	0.0298943	0.0232249	0.0195582	0.0161052	0.0148483	0.0150912	0.0123127	0.0119507	0.0131756	0.0132707	0.0134279	0.0130868	0.0117594	0.0105079	0.0165213	0.00667207	0.0121869	0.0111436	0.0122209	0.00631048	0.00662711	0.00805966	0.00821123	0.0076928	0.0116624	0.012784	0.0184818	0.0162719	0.0192528	0.021838	0.0255474	0.0252843
le	0.0243374	0.0140439	0.0134022	0.0102537	0.00906471	0.0137715	0.012301	0.0133371	0.0107568	0.00346611	0.00301805	0.0020497	0.00237127	0.00443333	0.00531806	0.00862417	0.0125461	0.0168297	0.0225905	0.0213651	0.021438	0.0296974	0.040433	0.0306767	0.0264415	0.0341962	0.0285699	0.0465226	0.0452861	0.0780488	0.0480328	0.0277549	0.026849	0.0198354	0.0107027	0.011966	0.00830537	0.0152162	0.00690102	0.00486326	0.010745	0.00910416	0.00866307	0.0082023	0.00932274	0.00661132	0.00805077	0.00653842	0.00971164	0.00965926	0.00927871	0.00994762	0.0130758	0.01492	0.0162896	0.0148478	0.0141584	0.0140343	0.012612	0.00861006
notable	0.0238941	0.00933457	0.00821227	0.00588231	0.00289827	0.00306553	0.00427678	0.0039557	0.00429321	0.00163802	0.0015151	0.00144734	0.00187454	0.00229962	0.00284264	0.00351243	0.00454964	0.00876498	0.00765382	0.0123837	0.0156947	0.0222591	0.0363254	0.0296422	0.0299711	0.0187869	0.022364	0.0281174	0.0350848	0.0573315	0.062225	0.0454652	0.053517	0.0512791	0.0367222	0.033992	0.0220501	0.0347748	0.0159287	0.00966954	0.0173378	0.0148248	0.010656	0.0109326	0.0134299	0.0105134	0.0127606	0.0106619	0.0125198	0.007324	0.00754844	0.00263308	0.00492691	0.00751592	0.0178792	0.0139294	0.0129703	0.0140955	0.0158947	0.00615042
car	0.047026	0.030233	0.0277702	0.0172635	0.00893075	0.00774175	0.00966236	0.00592222	0.0043345	0.00435734	0.00211662	0.0029579	0.00412235	0.00355532	0.00598516	0.00616094	0.0151297	0.0210691	0.0136703	0.0178483	0.0229239	0.0313965	0.0255261	0.0189053	0.0248877	0.0308212	0.0166674	0.0242491	0.0205134	0.0260072	0.0280259	0.0150219	0.0222453	0.0110186	0.0145926	0.0113563	0.00947034	0.0110758	0.00745606	0.00788369	0.0104469	0.00838594	0.00773375	0.0056807	0.00609079	0.0037638	0.00513478	0.00503428	0.00379801	0.005369	0.00626874	0.00602853	0.0112587	0.0194824	0.0234969	0.0317781	0.0476644	0.0416868	0.0666805	0.0483152
on	0.0242976	0.0125968	0.00889028	0.00399487	0.00512972	0.00523354	0.00370465	0.0032243	0.00218311	0.00254931	0.0017861	0.00220707	0.00270796	0.00274771	0.00658044	0.00620386	0.0136462	0.0164734	0.0160494	0.019431	0.0150318	0.0277333	0.0242135	0.0152791	0.0244475	0.0420193	0.031599	0.031883	0.0329429	0.0358548	0.0313083	0.0108868	0.0218422	0.0153505	0.0150068	0.0138282	0.00927732	0.0223127	0.0150354	0.0143441	0.0234195	0.0166303	0.0186664	0.0164525	0.0152036	0.00733065	0.0099786	0.0146088	0.0129671	0.00792276	0.0102744	0.00941773	0.0200523	0.0235515	0.028543	0.0409023	0.0321018	0.0286287	0.0395427	0.0139715
a	0.0168524	0.00944315	0.00849971	0.00593674	0.00302955	0.0032408	0.00277813	0.00160134	0.00212141	0.0014634	0.000553491	0.000835462	0.00116513	0.00156267	0.00344956	0.00520834	0.0149705	0.0200075	0.018235	0.0240498	0.0259696	0.0293776	0.0245266	0.0258332	0.027473	0.0317872	0.0433737	0.0265057	0.0333748	0.0308933	0.0417788	0.0204406	0.0331997	0.0230648	0.0229449	0.018386	0.0168827	0.0220774	0.0207727	0.0165344	0.0162702	0.0105363	0.013076	0.00947279	0.00901137	0.00631421	0.0121364	0.0175903	0.0125984	0.00603006	0.00773204	0.00623534	0.010256	0.0113977	0.0196618	0.0293519	0.0279951	0.0295081	0.042909	0.0217161
