 	a23	a99	a75	a41	a35	a41	a61	a35	a41	a76	a73	a76	a73	a84	a57	a87	a40	a73	a44	a57	a90	a25	a90	a38	a24	a41	a44	a84	a40	a54	a73	a84	a57	a87	</S>
attends-le	0.057761	0.0475146	0.0521648	0.0399845	0.0318319	0.0312298	0.0164218	0.0200254	0.0251986	0.0382071	0.0339863	0.0553011	0.0323599	0.0548711	0.0249586	0.0344111	0.0104458	0.00720681	0.0106568	0.00846275	0.0100586	0.0123185	0.0212571	0.0497605	0.0362318	0.0246838	0.0296066	0.0428228	0.0270487	0.0143386	0.0166363	0.0220174	0.0167222	0.0143374	0.02916
ici	0.0173184	0.0233469	0.0543688	0.0619036	0.0395599	0.0360142	0.0245376	0.024626	0.0257656	0.0249823	0.0264318	0.0209086	0.0241007	0.0249798	0.0402812	0.054638	0.0206384	0.00950749	0.0159798	0.0217179	0.0269737	0.0174706	0.0171647	0.018893	0.0106686	0.0157008	0.0204096	0.0317555	0.0241156	0.0318713	0.03064	0.0485521	0.0298504	0.0477126	0.0366147
il	0.0679077	0.0318333	0.0374589	0.0407056	0.0307219	0.0418283	0.0223193	0.0235876	0.0240153	0.0162492	0.0108305	0.00683765	0.0085241	0.00587328	0.0132424	0.0143657	0.008346	0.00560271	0.00431624	0.00353779	0.00382794	0.0047359	0.00554791	0.00436995	0.00430749	0.0103028	0.00975591	0.00906597	0.0185901	0.0436418	0.0441777	0.0818434	0.0742235	0.0694435	0.198063
n'	0.0239353	0.0183129	0.0203132	0.0235977	0.0352776	0.0316734	0.049432	0.0671143	0.0511955	0.03959	0.0503955	0.0450533	0.0537685	0.0300752	0.0520262	0.026305	0.0200539	0.0283946	0.0213055	0.0326881	0.0347078	0.0358516	0.0253897	0.0207033	0.0255452	0.0350503	0.0218694	0.0103751	0.0165355	0.0158094	0.00820523	0.00754482	0.00669293	0.00565319	0.00955889
en	0.0433494	0.0147442	0.0151809	0.0121092	0.0207024	0.0184402	0.0207399	0.0326095	0.0228899	0.0189117	0.0205107	0.0209555	0.022869	0.0247858	0.02523	0.0208591	0.0212732	0.0317912	0.0308615	0.0663662	0.0477064	0.0366972	0.024947	0.0176774	0.0310564	0.0259963	0.0220657	0.024415	0.0379237	0.050117	0.0320535	0.0307353	0.0283594	0.0264905	0.0585797
a	0.0183966	0.0207091	0.0153782	0.0185963	0.0203176	0.0194453	0.0246136	0.0323356	0.0202154	0.0185447	0.0109301	0.0159425	0.0169533	0.0172131	0.0170614	0.0193887	0.0198882	0.0230392	0.022605	0.0525542	0.0363932	0.0581108	0.067836	0.0555726	0.0966567	0.0549109	0.0393214	0.0339421	0.0320796	0.0193077	0.0145915	0.0139214	0.0155816	0.015661	0.0219853
pas	0.0615241	0.0463271	0.0468932	0.0379961	0.0377205	0.0347425	0.0407223	0.0614787	0.0336127	0.0306347	0.0173134	0.0164438	0.0235906	0.0167855	0.02391	0.0234001	0.0196499	0.0214456	0.0290975	0.0461681	0.0393302	0.0346911	0.0283198	0.0265751	0.0386596	0.0291552	0.0176723	0.0087902	0.0130392	0.0111969	0.00860064	0.0106594	0.0104692	0.0132593	0.0401253
pour	0.0745657	0.0534836	0.0531757	0.0413304	0.0301094	0.0267897	0.0209299	0.0306242	0.0313156	0.0277828	0.0226876	0.0306019	0.0235847	0.031454	0.0255726	0.0309533	0.0164573	0.0122514	0.0142449	0.0215933	0.0158823	0.0152724	0.0126043	0.0154079	0.0183116	0.0158024	0.0206041	0.02169	0.0273823	0.025899	0.0253286	0.0352373	0.0297969	0.0371739	0.0640989
longtemps	0.0853022	0.0577888	0.0553532	0.0383754	0.0242766	0.0237797	0.0170139	0.0286138	0.0289379	0.0263099	0.017763	0.0238411	0.0210865	0.0267257	0.0248651	0.0336964	0.0164092	0.0107832	0.0145898	0.0263197	0.017273	0.0171234	0.0143664	0.0173332	0.0237277	0.0192521	0.0246553	0.0201678	0.0229638	0.0164662	0.0164488	0.0221564	0.0289951	0.0487324	0.0885078
</S>	0.0358746	0.0325108	0.029063	0.0231124	0.016075	0.0143426	0.0122013	0.0146375	0.015198	0.0149079	0.0148228	0.0142383	0.0130967	0.0164081	0.0142245	0.0178334	0.0184796	0.0127079	0.0187057	0.0185409	0.0133763	0.0183707	0.0143425	0.0333437	0.0261468	0.0317687	0.0446126	0.0367938	0.0430889	0.0182031	0.0189293	0.0374762	0.0466002	0.0669352	0.183031
