 	a23	a87	a38	a73	a20	a47	a2	a75	a6	a37	a85	a0	a11	a66	a75	a85	a37	a92	a43	a75	a34	a61	a62	a83	a93	a70	a83	a9	a10	</S>
ils	0.0251344	0.0435797	0.0231935	0.0903806	0.0642344	0.0528552	0.0999944	0.0822107	0.0584286	0.0521565	0.059581	0.0342334	0.0144599	0.0370926	0.041818	0.0245327	0.0178729	0.0194334	0.0168979	0.0150432	0.00978206	0.0129096	0.0109142	0.00858129	0.00776365	0.0123099	0.0150077	0.0178326	0.0118457	0.0199202
font	0.0081031	0.0091253	0.00831122	0.00837206	0.0173531	0.0195833	0.0547258	0.0769999	0.231709	0.206505	0.104648	0.0612185	0.024417	0.021751	0.0245715	0.0244203	0.0106851	0.00729787	0.0098644	0.00902595	0.00574021	0.00406996	0.00515558	0.0033417	0.00430519	0.0055558	0.00664661	0.00671878	0.00967412	0.0101043
une	0.0145329	0.0101468	0.0156479	0.00954899	0.0184453	0.0195878	0.0329311	0.0424556	0.0437752	0.0438949	0.0325986	0.0333054	0.0533185	0.0308871	0.0518686	0.0686788	0.0619634	0.0657281	0.0516524	0.0483393	0.0300251	0.0358718	0.0234917	0.0143902	0.0138818	0.0184661	0.0217796	0.0209938	0.0513583	0.020435
botte	0.0281842	0.0162827	0.0101901	0.00868664	0.00976039	0.0147222	0.0386359	0.0536803	0.0572255	0.0600841	0.0458169	0.0490061	0.0616218	0.0610121	0.060961	0.0395446	0.0437038	0.0352136	0.0567331	0.0446896	0.0458989	0.0346734	0.034473	0.0219791	0.0161491	0.0121806	0.00677249	0.0080666	0.00808701	0.0159653
avec	0.0633276	0.0415074	0.0290548	0.0158901	0.00366785	0.00532773	0.00592872	0.00936239	0.0144715	0.0130256	0.0269311	0.0742688	0.0616561	0.0505236	0.0415614	0.0340317	0.0493308	0.0755788	0.0455519	0.0276522	0.0148742	0.0187417	0.0202057	0.0241531	0.029652	0.0334266	0.023751	0.020224	0.0330915	0.0932301
la	0.091266	0.0704322	0.0404858	0.0165261	0.00858807	0.00899888	0.00961984	0.00842127	0.00960627	0.00812075	0.0159836	0.0206714	0.0209315	0.0216258	0.0256651	0.0155946	0.0194184	0.0243144	0.0165452	0.0190947	0.0187793	0.0301853	0.0354133	0.0365528	0.0430115	0.0548235	0.0561505	0.0722089	0.0711027	0.109862
paille	0.06894	0.0598034	0.0508556	0.0228296	0.0138577	0.0150378	0.010487	0.00997828	0.00962159	0.00986321	0.0166234	0.0314423	0.0308231	0.0300765	0.0311559	0.0281555	0.0361642	0.0615225	0.0423189	0.0507934	0.0427703	0.0557535	0.0504381	0.0317206	0.0208678	0.0225192	0.029498	0.0333406	0.0372529	0.0454888
de	0.0366078	0.0435093	0.0500188	0.037399	0.0211608	0.020727	0.00983035	0.00738177	0.00470023	0.00566397	0.00741154	0.0139291	0.0106442	0.0157685	0.0159209	0.01386	0.0186749	0.023943	0.0255087	0.0377807	0.0217812	0.0518068	0.0408203	0.0248384	0.0288564	0.0434275	0.0543978	0.0665059	0.0692537	0.177871
riz	0.0566964	0.0602067	0.0438176	0.02763	0.0138087	0.0163596	0.013388	0.0126884	0.0091723	0.00987844	0.012501	0.0179698	0.0107918	0.0106176	0.0112182	0.00998007	0.00970457	0.0170455	0.0134489	0.0265747	0.0181719	0.0285698	0.0420257	0.0602349	0.038796	0.0524629	0.0554105	0.0621017	0.0680233	0.170705
</S>	0.0329309	0.0337579	0.0423401	0.0372804	0.0150128	0.0129104	0.00785677	0.00600771	0.00574282	0.00560087	0.00804132	0.0150381	0.0108394	0.00843354	0.00941266	0.0105609	0.0111666	0.00979993	0.00597167	0.0110527	0.00745818	0.0210294	0.031136	0.0336549	0.0376205	0.0745688	0.0703214	0.0859577	0.106337	0.232159
