 	a66	a87	a97	a99	a13	a53	a79	a44	a96	a34	a93	a70	a53	a4	a70	a93	a44	a11	a66	a70	a34	a70	a53	a69	a4	a70	a53	a20	a44	a84	a82	a97	a87	a97	a87	</S>
il	0.0318499	0.0337583	0.0223921	0.0438022	0.0501752	0.0400609	0.0764269	0.0463772	0.0327938	0.0242505	0.0191199	0.0149362	0.0167463	0.0157402	0.0344428	0.0262351	0.0467783	0.033489	0.0284978	0.0428563	0.0346738	0.0180007	0.0115976	0.0124162	0.00492206	0.00890248	0.0273381	0.0166438	0.0228538	0.0196829	0.0279233	0.0294185	0.0116122	0.0277087	0.0158256	0.0297516
est	0.0241022	0.0155017	0.0171819	0.0208447	0.0174081	0.0297327	0.0211825	0.0141093	0.0251143	0.0177148	0.0145901	0.0156558	0.0269597	0.0177713	0.0147195	0.0136891	0.0151906	0.0251579	0.0119489	0.0101467	0.0180586	0.0217348	0.0278666	0.0445385	0.0304044	0.0396448	0.0473473	0.0527758	0.0558131	0.0494149	0.0373454	0.0519316	0.0435519	0.0332259	0.0348095	0.042815
mélancolique	0.00601525	0.00415943	0.00299579	0.00263749	0.00345192	0.0037431	0.00359957	0.00656155	0.00614792	0.0058524	0.00645884	0.00665985	0.00713231	0.0068414	0.00696445	0.00703694	0.0089285	0.00959106	0.00718445	0.0088765	0.00892701	0.0256586	0.0247785	0.0310319	0.0305024	0.0356605	0.0346451	0.0210898	0.0344927	0.0700658	0.0480764	0.0537745	0.106087	0.0864685	0.0816196	0.186283
parce	0.0390899	0.0289568	0.0184466	0.0108605	0.010548	0.0118585	0.00352708	0.00472859	0.00559887	0.00710795	0.0220189	0.0182048	0.0109826	0.0190993	0.0247251	0.0198342	0.0188188	0.0154587	0.0208744	0.0157024	0.0171825	0.0311404	0.0158186	0.0206665	0.0253812	0.0264607	0.0338725	0.018739	0.0220952	0.0249031	0.0311473	0.0547478	0.049148	0.0802735	0.102527	0.119455
qu'	0.061684	0.039749	0.0284924	0.0256436	0.0269305	0.0347065	0.0156914	0.0132672	0.0171858	0.0178622	0.0251021	0.029787	0.0264981	0.0272568	0.0364185	0.0250915	0.0342275	0.0372703	0.0268515	0.0344594	0.0301922	0.0345061	0.0323056	0.0402428	0.0344245	0.0326714	0.0283615	0.0150127	0.00796172	0.0105118	0.016677	0.0180916	0.0176419	0.0172068	0.0360618	0.0439552
il	0.0323959	0.0198167	0.0125349	0.0166772	0.0129494	0.0128954	0.00525371	0.00575581	0.00676379	0.00458321	0.00693327	0.00714534	0.0062044	0.0110963	0.0217951	0.0168903	0.0251119	0.0408953	0.0313563	0.0377653	0.0277514	0.0363826	0.0592393	0.0422587	0.0597797	0.0629302	0.0418446	0.023526	0.0204065	0.0203202	0.0350426	0.0468804	0.0248935	0.0385624	0.0620475	0.0633152
a	0.028466	0.0258523	0.0174798	0.0165151	0.0133087	0.0116743	0.0053125	0.00707642	0.0112324	0.0114179	0.0139659	0.0145458	0.0106892	0.0348037	0.0382901	0.0323359	0.0315154	0.0406823	0.0236638	0.0456142	0.0281538	0.0305786	0.035178	0.034054	0.036721	0.0623785	0.0421464	0.0171083	0.0251282	0.0284547	0.0324675	0.0381579	0.0371443	0.0273228	0.0424316	0.0481331
perdu	0.0153101	0.0126145	0.0191784	0.0172656	0.0138688	0.0166391	0.00780546	0.00574866	0.00837901	0.0122751	0.0148643	0.0178364	0.0101897	0.0206333	0.0248107	0.0190858	0.0186091	0.0224847	0.0173179	0.020782	0.0285191	0.022971	0.0281755	0.0480061	0.0448804	0.0569751	0.0497994	0.0482919	0.0608826	0.0495363	0.0440411	0.04089	0.0384814	0.0339748	0.0433086	0.0455684
sa	0.0316962	0.0163359	0.0120487	0.0109618	0.0100518	0.00729508	0.00199786	0.00214966	0.0030222	0.00519875	0.0102136	0.00875849	0.00552006	0.0110246	0.0160126	0.0103528	0.0141808	0.0163476	0.0121011	0.0174047	0.0142643	0.0161803	0.0288762	0.0255264	0.0264781	0.0338503	0.0436482	0.0346535	0.0651306	0.0628467	0.0769919	0.0783957	0.0715365	0.0652695	0.0620012	0.0716765
mère	0.025618	0.0156979	0.0140973	0.012151	0.0122736	0.0105336	0.00635321	0.00689369	0.00576713	0.00926676	0.0101899	0.0100121	0.0114431	0.0118079	0.0176427	0.0132671	0.0177423	0.0144774	0.0111595	0.0196789	0.0158071	0.0221828	0.0189468	0.0218848	0.0207976	0.0271781	0.0252341	0.00867821	0.0250982	0.0229857	0.0373124	0.0660779	0.0789583	0.0857866	0.107981	0.159017
</S>	0.0632468	0.0254004	0.0162839	0.00799598	0.00706244	0.00556411	0.00572552	0.00458049	0.00559112	0.00953155	0.00948139	0.0075683	0.00950683	0.0102654	0.015733	0.0132126	0.0166504	0.0156432	0.0100917	0.0188639	0.0103548	0.0139274	0.019236	0.0138667	0.0170317	0.0273192	0.0281613	0.0274781	0.0470084	0.0422812	0.0542285	0.0702664	0.0644604	0.0747183	0.0875592	0.124103
