 	a15	a87	a79	a70	a96	a90	a13	a98	a47	a44	a98	a47	a37	a75	a47	a36	a57	a40	a47	a15	a44	a38	a70	a83	a98	a85	a37	a27	a11	a98	a15	a44	a57	a98	a47	a37	a70	a62	a83	a9	a10	a9	a50	a83	a36	a27	a30	a99	a87	a97	a23	a9	a97	</S>
la	0.0284187	0.0172195	0.0297849	0.0510345	0.0510869	0.0903769	0.0649884	0.0769408	0.0586825	0.0551834	0.0374272	0.0288571	0.0344529	0.0273368	0.0294925	0.0158937	0.0171536	0.0128189	0.0145613	0.0176929	0.0161314	0.0134777	0.00929486	0.0102832	0.00606953	0.00910451	0.00919868	0.00662958	0.00899718	0.00475578	0.00803149	0.0058164	0.00578164	0.00827031	0.0102187	0.00557641	0.00480809	0.00559627	0.00299231	0.00398243	0.00416559	0.00398869	0.00335356	0.0039955	0.00368537	0.00472959	0.00726086	0.00553084	0.00408078	0.0070099	0.00534146	0.00668056	0.0067907	0.0189668
mère	0.00233318	0.00576198	0.00862338	0.0162691	0.0170687	0.0637307	0.0301629	0.0242612	0.0276147	0.0346718	0.0381416	0.0440946	0.0252363	0.0325832	0.0279249	0.0283651	0.0171677	0.0389219	0.0217151	0.0432927	0.0238279	0.0375797	0.0276095	0.0131706	0.0276948	0.0289508	0.018956	0.0303347	0.0395978	0.0322137	0.0186837	0.0324928	0.0339406	0.0169676	0.00879036	0.011787	0.0126232	0.0107286	0.00355921	0.00317749	0.00123448	0.000888367	0.00100414	0.000684606	0.00140596	0.00120411	0.00121294	0.000720261	0.00111576	0.00141406	0.00111824	0.00183911	0.00231468	0.00321659
et	0.0203248	0.0146252	0.015582	0.0280773	0.0273797	0.00880324	0.0251914	0.0186635	0.0212131	0.0347959	0.0418061	0.0305256	0.0423172	0.0431408	0.0502798	0.0549783	0.0331172	0.043769	0.0422589	0.0421684	0.025711	0.0230622	0.0280907	0.0276562	0.0266442	0.0258583	0.0183402	0.0154167	0.0153922	0.0156675	0.00703564	0.0194878	0.0123742	0.00965645	0.0105659	0.00567156	0.00459238	0.00397099	0.00265932	0.00264959	0.00198502	0.00189989	0.00188186	0.00142738	0.00252057	0.00342639	0.002345	0.00349439	0.00426674	0.00672665	0.00877931	0.00576979	0.0121911	0.00376546
l'	0.0131948	0.0121468	0.00487561	0.011179	0.00995637	0.00878943	0.01018	0.023003	0.0252321	0.0269277	0.0261386	0.0205121	0.0193923	0.0302212	0.0221402	0.0212949	0.0213592	0.0291778	0.021718	0.0231571	0.0171997	0.0234142	0.0357939	0.0347417	0.0364499	0.0375449	0.0399313	0.0478567	0.029374	0.0182659	0.0165013	0.0167152	0.0121902	0.00877071	0.00667575	0.00901061	0.0111807	0.010022	0.00986337	0.00758021	0.0087629	0.0118401	0.00841418	0.0127285	0.0099949	0.010095	0.0141114	0.0201468	0.0157632	0.0114396	0.0149716	0.0131433	0.0155127	0.0233971
enfant	0.0218385	0.0182389	0.0131725	0.010861	0.00682134	0.0130288	0.013289	0.0109686	0.0117907	0.0050312	0.00512837	0.00595668	0.0045779	0.00486049	0.00540343	0.00879439	0.00989615	0.0089512	0.0120598	0.0225323	0.0331222	0.0500478	0.0549106	0.0342248	0.0416574	0.0437656	0.0504436	0.056064	0.0425631	0.0391206	0.0314456	0.0319441	0.0317249	0.0313833	0.0154206	0.0199867	0.0173951	0.0147827	0.00903497	0.00656056	0.00764482	0.0086503	0.0103112	0.00768061	0.00684534	0.00463303	0.0061398	0.00615938	0.00783266	0.0121505	0.0110506	0.0119871	0.0195535	0.0105617
ont	0.0134534	0.00709326	0.0042898	0.00770033	0.00661305	0.00243827	0.00566014	0.004929	0.00582409	0.00443033	0.0062301	0.00650748	0.0146322	0.0103161	0.0129441	0.0279581	0.0354054	0.0286403	0.044348	0.0585685	0.0655804	0.0695988	0.0715758	0.0538574	0.0505149	0.0535404	0.0434227	0.0279703	0.0307116	0.0232905	0.0188845	0.0235846	0.0136179	0.00752007	0.00632698	0.00539694	0.00459863	0.00596445	0.00451074	0.00585415	0.00670346	0.00582954	0.005585	0.00237846	0.00334506	0.0040385	0.00442712	0.00565703	0.00691445	0.0127999	0.00802863	0.0102431	0.0119339	0.017812
mis	0.0245215	0.00882362	0.00566182	0.00605459	0.00596488	0.00169315	0.00659834	0.00283317	0.00328742	0.00252552	0.00380529	0.00401105	0.00918432	0.00683962	0.00817829	0.021144	0.0245707	0.0149936	0.0290127	0.0305148	0.0469856	0.0453144	0.0464893	0.0411354	0.0434715	0.0372417	0.036387	0.0215114	0.0242697	0.024741	0.0232409	0.0296172	0.0161134	0.0111029	0.0113873	0.00803714	0.00616489	0.00670367	0.00587654	0.00714029	0.011101	0.0188468	0.0191899	0.00984703	0.0201983	0.0141976	0.0205783	0.0253461	0.0324458	0.0240432	0.0251903	0.0227348	0.0239779	0.0191535
ensemble	0.0209796	0.01234	0.00983367	0.00751564	0.00618977	0.0040041	0.00884448	0.00438571	0.00341863	0.00213722	0.00276247	0.0031211	0.00608507	0.00428627	0.00703932	0.0101778	0.0157	0.0117102	0.0177033	0.0226607	0.0273158	0.037306	0.0485876	0.0519144	0.0399287	0.0500694	0.0423752	0.0284802	0.036347	0.0323693	0.0325739	0.0208929	0.013893	0.0132613	0.0120109	0.0102621	0.00974836	0.0106539	0.00658399	0.00966324	0.00827112	0.00967229	0.0104523	0.00954547	0.0163257	0.0114015	0.0200148	0.018605	0.0336998	0.0216944	0.0323859	0.0278322	0.0326697	0.0322975
leurs	0.0335304	0.0279789	0.0203077	0.0182701	0.013383	0.0083128	0.0125974	0.0050506	0.00265652	0.00204052	0.00189508	0.00214089	0.0053313	0.00412856	0.00589268	0.00664928	0.0119097	0.0069547	0.0104504	0.00948309	0.0127413	0.0107514	0.0220613	0.0189808	0.0205387	0.0293341	0.0269177	0.0197962	0.0326976	0.0270782	0.0248094	0.0137712	0.00956381	0.009072	0.0108785	0.00856396	0.0102195	0.0189312	0.0169015	0.0160911	0.02678	0.0190562	0.0184388	0.0139108	0.0282852	0.025954	0.0325385	0.0429587	0.0406709	0.031357	0.0533237	0.0295391	0.0344637	0.0340601
poissons	0.0456334	0.0332807	0.0202721	0.0232149	0.0166184	0.00993206	0.0152107	0.0063453	0.00358717	0.0024015	0.00187961	0.00236554	0.00559324	0.00400969	0.00557074	0.00585469	0.01034	0.00681145	0.0100001	0.00952702	0.0139611	0.0115453	0.0201923	0.0184037	0.0193298	0.027104	0.0256649	0.0192089	0.0321588	0.0292357	0.0300477	0.0197162	0.0169519	0.0117115	0.0152048	0.0124208	0.0149241	0.0265536	0.0237547	0.0230644	0.0270599	0.014343	0.0160393	0.0095158	0.01966	0.0149185	0.0198291	0.0264417	0.0264337	0.0296603	0.0441776	0.0293914	0.0412458	0.0316811
pour	0.0190049	0.0269443	0.0167733	0.0168893	0.00846446	0.0123273	0.0141793	0.0074841	0.00569845	0.00342167	0.00345475	0.00432219	0.00703981	0.0068896	0.0112036	0.0140832	0.024119	0.0167943	0.0238938	0.0225012	0.0236975	0.0213286	0.0206631	0.0204635	0.0190333	0.0230431	0.020875	0.0185695	0.0251281	0.0209936	0.022166	0.0165987	0.0142135	0.0104083	0.0106811	0.00909363	0.00764466	0.0095462	0.00693314	0.00891132	0.00687143	0.00607876	0.00615576	0.00356071	0.00828803	0.00729413	0.016434	0.013899	0.0177338	0.0417368	0.0522327	0.0430797	0.0712461	0.109909
les	0.0308035	0.0372567	0.0312828	0.0304041	0.0144669	0.0190277	0.0186986	0.00710374	0.00396381	0.00370725	0.00394763	0.00392517	0.00695884	0.00624345	0.00840393	0.00917815	0.0126417	0.0106753	0.0148015	0.0151259	0.0197095	0.0194123	0.0251411	0.025048	0.0249276	0.0259915	0.0261786	0.0239993	0.0310919	0.0243697	0.0199425	0.0194884	0.0118484	0.00982488	0.0113273	0.00899257	0.00924279	0.0142827	0.0121848	0.015463	0.0126161	0.0115496	0.0165234	0.00706699	0.0123194	0.0126793	0.0171432	0.016624	0.0178065	0.0284018	0.037743	0.0336577	0.0423356	0.0664501
vendre	0.0351138	0.0320733	0.0263659	0.0257129	0.0188898	0.0185695	0.0246154	0.0147147	0.0104446	0.00839538	0.00987973	0.010716	0.0113465	0.0112624	0.0145151	0.0204524	0.0247929	0.0185211	0.0241094	0.0226493	0.029265	0.022114	0.0212845	0.0221181	0.0210068	0.0232422	0.0227162	0.0218892	0.0280512	0.022334	0.0242985	0.0191791	0.016224	0.013178	0.0133814	0.0115952	0.010635	0.0122572	0.0101243	0.0137592	0.00771732	0.00676645	0.00807473	0.0043956	0.00635058	0.00767747	0.00791953	0.00956599	0.00983732	0.0205657	0.0271577	0.0228202	0.0508512	0.0485071
