 	a79	a41	a32	a71	a26	a35	a66	a38	a14	a35	a14	a35	a4	a13	a82	a87	a23	a13	a11	a24	a41	a66	a38	a90	a9	a87	a23	a57	a30	a70	a83	a9	a57	a99	a87	</S>
cela	0.0856264	0.099466	0.0428907	0.0581746	0.0366944	0.0442136	0.0543212	0.0356793	0.0979983	0.107186	0.0699442	0.0199166	0.0160579	0.0134919	0.011444	0.0190303	0.0100757	0.0046978	0.00750844	0.00429593	0.00290545	0.00379864	0.00546895	0.00430993	0.00462712	0.0100854	0.00790715	0.014512	0.0146319	0.00814769	0.0116119	0.0135498	0.00831141	0.0125985	0.00911713	0.0297035
a	0.00649117	0.0119123	0.0383364	0.041438	0.0616888	0.0697933	0.0374904	0.0359349	0.012631	0.0214694	0.0195518	0.0331974	0.0102465	0.00966623	0.0173867	0.0191502	0.0174367	0.0142583	0.0163229	0.0264805	0.0178165	0.0156178	0.0178479	0.0200217	0.0182834	0.0273497	0.0369489	0.0318204	0.0469666	0.0671596	0.0495654	0.0409222	0.0223906	0.0220707	0.0236198	0.0207159
l'	0.0305076	0.0149873	0.0221352	0.0200465	0.0179137	0.0114414	0.00849676	0.00740894	0.00742979	0.00775641	0.00858634	0.00690999	0.00441275	0.00387764	0.00589673	0.00894908	0.00741941	0.0105514	0.00455737	0.00972736	0.00942699	0.00902205	0.0306054	0.0142341	0.0139056	0.0240382	0.0162265	0.0210466	0.0443594	0.0475994	0.0623049	0.0789855	0.103238	0.0988892	0.071085	0.136021
apparence	0.0548998	0.0301975	0.0299122	0.0207979	0.0277646	0.0292456	0.0158338	0.0155444	0.0286244	0.0458251	0.0265027	0.0145991	0.0203209	0.0188881	0.0254299	0.0184578	0.032719	0.0266786	0.0351786	0.0340684	0.0528782	0.0606703	0.0426581	0.0418878	0.0346623	0.0207207	0.0262336	0.0220964	0.0153035	0.0140363	0.0177002	0.0153877	0.0180817	0.0138583	0.0120795	0.0402569
d'	0.031818	0.0193333	0.0245267	0.0205838	0.0107126	0.0130582	0.0039136	0.00319036	0.00459865	0.00866402	0.00781858	0.00607965	0.00871749	0.0214778	0.0307976	0.0209743	0.0239539	0.00968636	0.0142261	0.00883104	0.0126957	0.0128853	0.0204654	0.0296695	0.0216499	0.0281445	0.0300526	0.0346728	0.0465283	0.0385758	0.0545181	0.0524615	0.0511966	0.0596437	0.0782687	0.13561
un	0.0175604	0.01208	0.013074	0.0114315	0.0154607	0.0119961	0.0126191	0.0132759	0.0128387	0.0137288	0.0151533	0.0207524	0.0165726	0.0228037	0.0135367	0.0137193	0.0224155	0.0225419	0.0218029	0.0179071	0.0298875	0.0234313	0.0238481	0.0194515	0.0139478	0.0228799	0.0247949	0.0283411	0.0313107	0.0262729	0.0422947	0.0479833	0.0609573	0.101407	0.0743801	0.107542
homme	0.0247868	0.0174168	0.0160553	0.0197003	0.0272819	0.023619	0.0359256	0.0370778	0.0378886	0.0421954	0.0541114	0.0568883	0.0438402	0.0359589	0.0126814	0.016594	0.0143299	0.0119369	0.0127356	0.00857624	0.00945782	0.00581268	0.0113847	0.00834665	0.00546097	0.00963146	0.0156993	0.0170252	0.0140373	0.0135174	0.0267029	0.0329119	0.0449191	0.0989125	0.0627954	0.0737845
mais	0.0681821	0.030281	0.0312044	0.0460235	0.0604344	0.0312799	0.0335809	0.0233878	0.0273089	0.0241245	0.0349028	0.0264892	0.0274303	0.0422921	0.0190087	0.0288965	0.0247901	0.0102489	0.012767	0.00401974	0.00430999	0.0025678	0.00687405	0.00615005	0.00671306	0.0150315	0.0208456	0.0193522	0.0162492	0.018174	0.0196677	0.0196972	0.0223848	0.0550602	0.0780357	0.0822344
c'	0.0282484	0.0146679	0.0126379	0.0172413	0.0232497	0.012567	0.0153688	0.00995169	0.0162466	0.0142346	0.0176192	0.0126799	0.0106831	0.0226267	0.0141136	0.0295651	0.023565	0.0127053	0.0162688	0.00689836	0.00780715	0.00592105	0.0129983	0.00955764	0.00897509	0.0182316	0.0312414	0.0325999	0.0580219	0.0286332	0.0245589	0.0425555	0.0333186	0.0856032	0.0838712	0.184966
est	0.0417106	0.0362365	0.022574	0.0306287	0.0331082	0.01263	0.0095364	0.00684687	0.0125046	0.0118318	0.0114952	0.00572604	0.00533148	0.00964307	0.00854256	0.0280623	0.0242463	0.00592989	0.0124788	0.00497982	0.00658548	0.00726339	0.014901	0.014099	0.0125043	0.0231305	0.0409528	0.0473779	0.0579541	0.0587677	0.0704154	0.0744125	0.0592133	0.0447982	0.0598169	0.0737645
