 	a66	a87	a23	a87	a23	a83	a54	a36	a5	a85	a6	a36	a0	a34	a70	a61	a62	a88	a71	a99	a87	a23	a99	a83	a5	a12	a88	a61	a34	a93	a96	a61	a66	a26	a82	a87	a23	a87	</S>
ceux-ci	0.0237754	0.0351462	0.0506402	0.0271181	0.0314272	0.0426824	0.120237	0.112748	0.0801985	0.0431698	0.0249539	0.0209498	0.0152391	0.00733303	0.00780414	0.00836167	0.00641626	0.01449	0.0221831	0.0222944	0.0338857	0.0342669	0.0213907	0.016997	0.0166628	0.0167759	0.0142694	0.0147466	0.008128	0.00823864	0.0053565	0.00518021	0.00619986	0.00638958	0.00778204	0.0100524	0.0151134	0.00754477	0.0338516
sont	0.036786	0.0286402	0.0445928	0.028614	0.0262915	0.0252669	0.0223229	0.0434491	0.0480062	0.0363322	0.0291715	0.0260322	0.0160583	0.0213285	0.0189669	0.0118666	0.0157234	0.0215473	0.023778	0.0181871	0.0217394	0.0218545	0.0222886	0.0165702	0.0139115	0.0128346	0.0147295	0.0189246	0.0155489	0.0235393	0.0230831	0.0243828	0.0341796	0.0310248	0.0294851	0.032004	0.0308514	0.0365323	0.0335539
des	0.0817292	0.028898	0.0423393	0.0231833	0.0366038	0.0214206	0.0409002	0.0357961	0.0374526	0.0205653	0.0331427	0.02569	0.0220798	0.0204482	0.0272112	0.026771	0.0435177	0.0382379	0.0361371	0.0284443	0.0230332	0.0247868	0.021165	0.0133397	0.0142427	0.0126556	0.00890849	0.016264	0.00956987	0.0116026	0.00961401	0.0144195	0.0180769	0.0108558	0.0202502	0.0219576	0.0191772	0.0230643	0.0364481
seins	0.0733423	0.0278685	0.0129254	0.015264	0.0214226	0.024053	0.0381367	0.0284031	0.0241318	0.0172525	0.0358078	0.060588	0.0454271	0.0976481	0.071869	0.0593495	0.0972748	0.0440734	0.0311601	0.0372553	0.0178378	0.0102849	0.0124126	0.00842764	0.00621265	0.00829835	0.0050183	0.00266577	0.00313184	0.00311036	0.0065387	0.00748389	0.0100435	0.00496111	0.0069043	0.00538594	0.00416957	0.00538617	0.00847367
de	0.0326909	0.0208095	0.0145791	0.0241831	0.0303617	0.0401334	0.0321045	0.0219599	0.0291639	0.0248409	0.0339736	0.0349907	0.0537427	0.0474042	0.073906	0.0484203	0.068151	0.0442162	0.0324812	0.0271641	0.0181755	0.0157729	0.0191418	0.0112083	0.0131886	0.0145195	0.0143079	0.0134815	0.0105579	0.0127262	0.0115112	0.0107865	0.0179055	0.00909324	0.0161292	0.0133192	0.0130037	0.0146501	0.0152443
jeunes	0.0412666	0.0314312	0.0244679	0.0287935	0.0296604	0.0353527	0.0438479	0.0313549	0.0282287	0.0290937	0.0287264	0.0411539	0.0300821	0.0180634	0.0236322	0.0181371	0.0192002	0.0216171	0.022155	0.0323541	0.0297992	0.0242318	0.0202635	0.013272	0.0195237	0.0157326	0.0150215	0.0144844	0.0156268	0.0231981	0.0156922	0.0145825	0.025515	0.0173254	0.0189286	0.0276604	0.0244797	0.0294975	0.056546
filles	0.0247334	0.019772	0.0143931	0.019297	0.0178285	0.0132059	0.0138069	0.00877273	0.0136574	0.0163643	0.0170107	0.0154594	0.0178915	0.0132395	0.0268737	0.0150246	0.0243233	0.0216622	0.0233739	0.0220628	0.022033	0.021868	0.0280425	0.023566	0.0286577	0.0309727	0.0355128	0.0365858	0.0275302	0.0416822	0.0295882	0.0205145	0.0398995	0.0245883	0.0377755	0.0392149	0.0441983	0.0408071	0.0682099
et	0.0213844	0.0198282	0.0255272	0.0280925	0.0322175	0.0255446	0.0237487	0.0235105	0.0283521	0.026082	0.0294584	0.024292	0.0150788	0.0123159	0.0185544	0.0102494	0.0139079	0.0119304	0.0114574	0.013126	0.0127229	0.0115818	0.0174447	0.0120412	0.0166615	0.0177894	0.0193699	0.0199738	0.0169985	0.0253647	0.0334129	0.0270356	0.0394602	0.0446052	0.0410274	0.0528631	0.0482374	0.0592507	0.0695009
ceux-là	0.0289785	0.0145226	0.0129914	0.0158246	0.0181536	0.0174594	0.0124735	0.01141	0.0169329	0.0276226	0.0293898	0.0256323	0.0247672	0.0326237	0.0345664	0.0226479	0.0313718	0.0268425	0.0241641	0.0270715	0.026976	0.0257575	0.0297939	0.0220959	0.0199863	0.0299445	0.023655	0.0211235	0.0223373	0.0234947	0.0252338	0.0284787	0.0300982	0.0327433	0.0327344	0.0306737	0.0318975	0.048504	0.0390256
d'	0.0308335	0.0162821	0.0138005	0.0159303	0.016805	0.0191057	0.015201	0.0136214	0.0143177	0.0236891	0.01914	0.0123633	0.017265	0.0244398	0.0227612	0.0147929	0.0213563	0.0204034	0.0190144	0.0291007	0.0281649	0.0322262	0.0332858	0.0253139	0.0192445	0.0271939	0.0163465	0.0188062	0.0196635	0.019022	0.0269729	0.0431224	0.0401914	0.044844	0.048575	0.0389595	0.0385121	0.0613603	0.0379717
