 	a87	a23	a87	a23	a44	a75	a0	a75	a25	a90	a57	a53	a75	a21	a47	a66	a11	a90	a15	a73	a7	a2	a57	a87	a23	a87	a23	a62	a70	a24	a31	a96	a31	a96	a21	a96	a88	a43	a56	a66	a9	a38	a47	a36	a11	a54	a44	a70	a4	a13	a99	a27	a57	a99	a87	a23	a87	</S>
après	0.0302378	0.0340124	0.038112	0.0307604	0.0305072	0.0708536	0.0600249	0.0169445	0.0106404	0.00804973	0.0105518	0.00687949	0.00937285	0.00532053	0.00725712	0.00514367	0.00473308	0.00508047	0.00474362	0.00439282	0.00409647	0.00483295	0.0215908	0.0564636	0.047927	0.0336003	0.0409292	0.0199483	0.0173563	0.0146608	0.0380991	0.0376288	0.0420655	0.0290612	0.0139621	0.0134237	0.0126346	0.00645965	0.0121853	0.00756927	0.00306225	0.00256362	0.00241044	0.00313258	0.00230372	0.00267583	0.00432397	0.0108127	0.00702245	0.0103998	0.00931052	0.00732252	0.00852725	0.012478	0.0067532	0.0125426	0.0075991	0.0186462
avoir	0.00190211	0.00301834	0.0037656	0.00527299	0.0104015	0.0095176	0.0134389	0.0133143	0.0127731	0.0267075	0.0228218	0.0284317	0.0297615	0.0743502	0.058794	0.0607024	0.0848863	0.0848558	0.0872599	0.0648964	0.0437371	0.0317878	0.0219976	0.0184535	0.0084241	0.0088099	0.00601886	0.0052967	0.00474661	0.00330118	0.00478864	0.00337778	0.00484824	0.00384952	0.00269658	0.00458468	0.00397679	0.00696639	0.00779476	0.00800754	0.00672719	0.0104172	0.00662657	0.00691229	0.00802564	0.00429388	0.00552618	0.00622145	0.00595762	0.00557694	0.0045164	0.00480304	0.00517821	0.00403596	0.00332321	0.00336116	0.00436606	0.00379468
abattu	0.0130582	0.00964083	0.00907308	0.0073767	0.0111021	0.00996726	0.00687515	0.0250952	0.0193949	0.0338074	0.0179876	0.041995	0.0376396	0.0581022	0.0774346	0.0904638	0.0850461	0.0589791	0.0524947	0.0223839	0.0158827	0.0274479	0.00697204	0.00502384	0.00364006	0.00609615	0.00488447	0.00762592	0.00653993	0.00423599	0.00855365	0.00603609	0.0082112	0.00676276	0.00550195	0.00877354	0.00955423	0.00800223	0.00602888	0.00646691	0.00412329	0.0045552	0.00782887	0.00455098	0.0042311	0.00223134	0.00623093	0.00449962	0.00448465	0.00990265	0.00602576	0.01292	0.0172686	0.014688	0.0136596	0.00934378	0.0132278	0.0100699
l'	0.0292691	0.0198494	0.0112786	0.00887583	0.00568211	0.00587765	0.00520359	0.00608953	0.00550771	0.00695676	0.00634927	0.0127297	0.0183998	0.0172169	0.0440806	0.0526408	0.0699249	0.060186	0.0444392	0.0431428	0.0374656	0.0330746	0.0242218	0.0122492	0.00990179	0.0135536	0.0140219	0.0175341	0.00995691	0.00910006	0.0147938	0.0131148	0.0165937	0.0118634	0.0154683	0.0127966	0.0116546	0.0197354	0.019953	0.0132806	0.00943927	0.020592	0.0160456	0.0157812	0.0208301	0.0104097	0.00957122	0.00771629	0.00679461	0.0103063	0.00715791	0.0079346	0.00955521	0.011034	0.00826354	0.00790292	0.00614898	0.0104825
arbre	0.0288507	0.0180711	0.0106498	0.0126763	0.0150336	0.013166	0.0142592	0.00756484	0.00928297	0.00986092	0.00746351	0.00545399	0.0134439	0.00729024	0.00785799	0.0100811	0.0138852	0.0212634	0.0198934	0.025539	0.0234729	0.0351225	0.0289899	0.0296432	0.0330156	0.0356197	0.0254572	0.0376885	0.0216267	0.0434323	0.0125298	0.0243888	0.0146784	0.0181318	0.0281065	0.014423	0.012033	0.00977538	0.0161648	0.014997	0.012059	0.0102431	0.015176	0.0132626	0.0102969	0.0104117	0.0134638	0.00672472	0.00926768	0.0117564	0.0124637	0.0184211	0.021503	0.0249526	0.0160092	0.0248514	0.0116893	0.0065639
la	0.0173375	0.0127585	0.00770116	0.00628713	0.00576046	0.00490085	0.00354806	0.00211872	0.00214957	0.00403897	0.00241423	0.00220415	0.00462225	0.00344554	0.00470313	0.0105551	0.0235615	0.036388	0.0378734	0.0506679	0.0504482	0.0661355	0.0555565	0.0256556	0.0398697	0.0464673	0.0615382	0.0705344	0.0302783	0.0467397	0.0167044	0.0316299	0.0211402	0.0122446	0.0223699	0.0117708	0.0146007	0.00454844	0.00261005	0.00353373	0.0018455	0.00172782	0.00291517	0.0019933	0.00115623	0.00277345	0.00467966	0.0043278	0.00378953	0.00600432	0.0047801	0.0115491	0.0126089	0.0110104	0.0140817	0.0150989	0.0111391	0.0111068
souche	0.0199448	0.0143867	0.00993313	0.010797	0.00954533	0.0109031	0.0110121	0.00722373	0.0074205	0.0111228	0.00609473	0.00459377	0.010124	0.00550359	0.00837591	0.0108041	0.0291091	0.0407208	0.0405914	0.0559195	0.0577104	0.0802036	0.0647439	0.0310571	0.0497864	0.0475482	0.0609855	0.062716	0.0181412	0.0405571	0.00795579	0.0237631	0.012677	0.00579985	0.00746057	0.00535194	0.00483835	0.00138846	0.00112348	0.00157049	0.000450056	0.000577487	0.000816036	0.000605245	0.000283821	0.000610785	0.00168997	0.00126467	0.0014781	0.00280707	0.00179062	0.00977066	0.00727746	0.00994751	0.0153828	0.0159941	0.0112587	0.00849038
demeure	0.0301946	0.0237601	0.0218634	0.0163319	0.0103569	0.0102449	0.00743685	0.0061304	0.00626841	0.00695726	0.0046795	0.00554217	0.00617475	0.00742724	0.0108289	0.0158114	0.0252709	0.0370329	0.0260354	0.0322886	0.0394654	0.0568361	0.0479119	0.0243414	0.0313528	0.0348854	0.0410975	0.0399088	0.020352	0.0257278	0.0175173	0.0215009	0.0178173	0.0109461	0.00782354	0.00574186	0.00658577	0.00570935	0.00631221	0.00618703	0.0022715	0.00220987	0.00211621	0.00277936	0.00182117	0.00226518	0.00477121	0.00793469	0.00543173	0.00901759	0.0122621	0.021355	0.0187465	0.0200441	0.0269576	0.02511	0.02275	0.0334992
plantée	0.020717	0.0185408	0.0185427	0.0149087	0.0162321	0.01974	0.0118551	0.00672796	0.00718793	0.00629506	0.00547926	0.00432998	0.00894867	0.00494828	0.00875282	0.00994597	0.0150038	0.020007	0.0228255	0.0328089	0.0331965	0.0578711	0.0394625	0.0375386	0.0656958	0.042249	0.0369244	0.0365977	0.022171	0.0263552	0.0124431	0.0190573	0.0147665	0.00900728	0.0077467	0.00751695	0.00546507	0.0074667	0.00844951	0.00684547	0.00493067	0.00427749	0.00427479	0.00397641	0.00274783	0.0042118	0.00653417	0.00512672	0.00640403	0.00627793	0.00980121	0.0179925	0.019169	0.0205531	0.0294412	0.0276135	0.024912	0.0311315
dans	0.0875688	0.037933	0.042623	0.0165122	0.0175159	0.0238808	0.00921894	0.00539631	0.0067036	0.00542344	0.0057408	0.00825823	0.00587995	0.00632884	0.0076015	0.0111298	0.0063777	0.00588242	0.00426346	0.0049443	0.00592573	0.0109874	0.00895314	0.0119279	0.0175593	0.0148386	0.0179624	0.0219529	0.0143326	0.0106475	0.00984751	0.0136255	0.00601265	0.00459018	0.00303725	0.0041032	0.00280619	0.00332417	0.00574849	0.00911818	0.00604286	0.00220363	0.00337638	0.00324314	0.00214785	0.00330869	0.00963451	0.0167101	0.0185334	0.0240971	0.029719	0.0711639	0.0572718	0.0448131	0.0744291	0.0487351	0.0439667	0.0241201
le	0.0348802	0.0265525	0.031223	0.0179263	0.0112804	0.0159315	0.00978276	0.00670297	0.00997378	0.00699665	0.00738619	0.00701631	0.00714254	0.00526719	0.00756284	0.0100937	0.0108437	0.0114192	0.00652476	0.00878619	0.0158957	0.0234525	0.022593	0.0227457	0.0252503	0.0235806	0.0235982	0.0229799	0.0209464	0.014443	0.0241647	0.0156745	0.01256	0.0145779	0.0130458	0.0113189	0.0115542	0.00901341	0.0123522	0.0154574	0.0148389	0.00739298	0.00909698	0.0105887	0.00740032	0.00974218	0.011167	0.0123926	0.0151202	0.0155165	0.0222973	0.0365414	0.0276369	0.0298859	0.0334952	0.0420963	0.0337353	0.0525586
champ	0.0419471	0.0171163	0.0188835	0.00914329	0.00603156	0.0105817	0.00519161	0.00435841	0.00283336	0.00279704	0.00189218	0.00290896	0.00275427	0.00402831	0.00373754	0.00664565	0.00623577	0.00735199	0.00546625	0.0114308	0.0176981	0.0402543	0.0215162	0.0175373	0.0203432	0.0167336	0.0198804	0.0274086	0.0225661	0.0247182	0.016011	0.0239808	0.0125148	0.0144391	0.0145557	0.0109742	0.00789365	0.0106557	0.0119216	0.0141967	0.00961325	0.00408421	0.00750436	0.0102954	0.0076098	0.0109393	0.0292418	0.0140715	0.02178	0.0315518	0.0333624	0.0439999	0.0471268	0.0449293	0.0382067	0.0505035	0.0333377	0.0247071
</S>	0.0338358	0.0181779	0.0201192	0.011825	0.0162284	0.0382079	0.0147252	0.00908311	0.0115979	0.00867471	0.00962747	0.00713982	0.00722322	0.00325893	0.00453159	0.00407566	0.0025035	0.00228572	0.00238048	0.00219583	0.003354	0.00422275	0.00747146	0.0246014	0.0319276	0.0224171	0.020501	0.0255338	0.0288532	0.014477	0.0282086	0.0340543	0.0236953	0.0191987	0.0129115	0.0212109	0.0162131	0.0155322	0.0271049	0.0317073	0.0276283	0.0132734	0.0143982	0.0100178	0.00491351	0.00743614	0.0203605	0.0298739	0.0185481	0.0205256	0.0201824	0.0515046	0.0253162	0.0160255	0.0260348	0.0234559	0.0216293	0.00798224
