 	a84	a82	a10	a30	a87	a23	a87	a23	a99	a50	a62	a0	a93	a70	a11	a62	a75	a98	a15	a7	a44	a4	a44	a79	a37	a47	a62	a47	a88	a56	a90	a25	a56	a75	a21	a12	a18	a36	a26	a57	a87	a23	a87	a97	a9	a87	a97	a87	a23	a99	a87	</S>
je	0.0320284	0.047991	0.0320593	0.0196514	0.0192855	0.014339	0.0293379	0.0232313	0.0149821	0.0274009	0.047535	0.0663354	0.0363546	0.0364886	0.0329345	0.0139307	0.0152698	0.0161092	0.0117687	0.00921393	0.00708899	0.00929488	0.0111923	0.0132682	0.00991651	0.0133602	0.0203402	0.0170376	0.025035	0.0193362	0.0442798	0.0215533	0.0220424	0.0192919	0.0103646	0.00718826	0.00549159	0.00620513	0.0114157	0.00815586	0.0110409	0.0134671	0.00938491	0.00766114	0.00880303	0.0100839	0.0117934	0.0116041	0.0113004	0.0125224	0.012065	0.0321678
n'	0.0189725	0.010147	0.0146547	0.0168676	0.00977903	0.00763767	0.00723573	0.00699917	0.00644652	0.0136859	0.00615428	0.00812439	0.0091282	0.0133747	0.0130234	0.0365804	0.0342276	0.0335881	0.033723	0.0446157	0.0393817	0.0459585	0.0323812	0.0368503	0.0352283	0.0376147	0.0252945	0.0119052	0.0266844	0.0298055	0.0132117	0.0110416	0.00730165	0.0078287	0.0102315	0.011951	0.02132	0.0317439	0.0216829	0.0225232	0.0202959	0.0237439	0.0223299	0.0191566	0.015527	0.0151265	0.0109335	0.00968587	0.00782366	0.00832258	0.0090832	0.0130653
ai	0.0502454	0.0199083	0.0153156	0.0176498	0.00934152	0.0089948	0.00642942	0.0100901	0.00971746	0.018158	0.00664391	0.00985019	0.00511733	0.00695033	0.0055596	0.0189426	0.0154387	0.0154589	0.0531283	0.0772615	0.0654297	0.112439	0.0639171	0.0674401	0.0529741	0.0374064	0.0189161	0.0151779	0.00940079	0.0113341	0.00637626	0.00303781	0.00542125	0.00666829	0.00633517	0.00708172	0.00695663	0.00662785	0.00625039	0.0100778	0.00669952	0.00738631	0.00632513	0.00568885	0.00609799	0.00530381	0.00524861	0.00758594	0.00965173	0.0113069	0.013595	0.0156394
pas	0.0329912	0.0267033	0.0416853	0.0612658	0.0367549	0.0230378	0.0225477	0.0208993	0.0179463	0.0227379	0.0149218	0.00701717	0.00565316	0.00714564	0.0070462	0.00369723	0.0056885	0.0041643	0.00590375	0.00764124	0.00710494	0.0122638	0.0101904	0.0123604	0.0119441	0.0101505	0.0162636	0.0193131	0.015746	0.0281392	0.0179775	0.0246408	0.0211935	0.0158627	0.0150613	0.0116045	0.0112461	0.00566007	0.0113116	0.00888719	0.00762789	0.0136069	0.0112494	0.0176839	0.0210537	0.0311485	0.0277024	0.0391653	0.0389534	0.0350521	0.030616	0.063771
encore	0.0553933	0.0321472	0.04169	0.0587054	0.0367635	0.0223431	0.0162701	0.0157839	0.0128607	0.0102434	0.00750894	0.00334622	0.00667585	0.00522516	0.00232761	0.00182071	0.00385833	0.00396655	0.0114118	0.0143787	0.0118044	0.0117313	0.0161705	0.0174137	0.0219152	0.0184332	0.024592	0.0307464	0.0255667	0.044934	0.0251176	0.0285696	0.0370204	0.0312615	0.0216937	0.019426	0.0244282	0.00840904	0.00910487	0.00841658	0.00679221	0.00725631	0.00530016	0.00861088	0.0098947	0.0120872	0.0187876	0.0259161	0.0270153	0.0244193	0.0327535	0.0216914
trouvé	0.0246365	0.00975471	0.0123039	0.0154774	0.0091575	0.00667763	0.0039847	0.00417662	0.00306566	0.00338752	0.00264113	0.00358708	0.00439848	0.00401441	0.00346646	0.00537707	0.00945336	0.0177997	0.0370613	0.0433624	0.0400413	0.0480471	0.0344117	0.0344317	0.0289841	0.0333315	0.0139641	0.0152506	0.0116798	0.0178957	0.0122398	0.020673	0.0295248	0.027492	0.0388974	0.032464	0.04708	0.031794	0.0300621	0.0308967	0.0207151	0.0233304	0.0199441	0.0211429	0.0198865	0.0134912	0.0154817	0.0127729	0.0178379	0.0135927	0.011921	0.00693869
de	0.0458095	0.0240548	0.0191456	0.0210516	0.00835926	0.00418163	0.00309088	0.00273555	0.00204981	0.00412907	0.00325765	0.00299326	0.00344976	0.0033509	0.00286186	0.00743671	0.00785266	0.0163952	0.0422527	0.0294541	0.036578	0.039648	0.0304958	0.0356901	0.0247098	0.0282343	0.0161596	0.0158198	0.00814359	0.0232362	0.0100457	0.0161021	0.0284736	0.0306819	0.0334143	0.035271	0.0320495	0.0313247	0.0303479	0.0358546	0.024677	0.0184545	0.0203191	0.0210106	0.0196202	0.0153052	0.0194435	0.013008	0.0196539	0.0155033	0.0131585	0.00365314
piliers	0.0496731	0.0226413	0.0236838	0.0227172	0.0114636	0.00546367	0.00300155	0.00354369	0.0033331	0.00456765	0.00230248	0.00383304	0.00318538	0.00403222	0.00217492	0.0068774	0.00868557	0.0200742	0.0322716	0.031181	0.0336537	0.03578	0.0273932	0.0330534	0.0216599	0.0291162	0.0161021	0.0192753	0.0121409	0.0220944	0.00922018	0.0163436	0.0298068	0.029716	0.0326942	0.0300488	0.0385092	0.0298563	0.0308662	0.0322606	0.0251681	0.0175626	0.0224485	0.0204216	0.0197381	0.016836	0.0178764	0.0151963	0.0189164	0.0124451	0.012658	0.00643533
pour	0.0312368	0.0161793	0.0264233	0.0395246	0.0314967	0.0199798	0.0114865	0.00979683	0.00455311	0.00477962	0.00493726	0.0028466	0.00704817	0.00550888	0.00271092	0.00341261	0.00856883	0.0117808	0.0282212	0.0196353	0.0328181	0.0495469	0.0461379	0.0451002	0.0262136	0.0200915	0.0129596	0.00875101	0.00577219	0.00700451	0.00681565	0.0125472	0.0135513	0.0131558	0.0124535	0.0139702	0.0171303	0.0118515	0.0301944	0.022365	0.0392042	0.0324478	0.0234812	0.0145284	0.0172688	0.015025	0.0210013	0.0211082	0.0198125	0.023689	0.0322931	0.0415831
cette	0.0398031	0.0279808	0.0302891	0.0376936	0.0242446	0.0171049	0.0132179	0.0121113	0.00802701	0.00817582	0.00589979	0.00851725	0.0112621	0.00736562	0.00694764	0.0115825	0.0158549	0.0170066	0.036927	0.0248277	0.0319701	0.0336105	0.0236656	0.0314604	0.0206385	0.0195385	0.0176191	0.019823	0.010131	0.0234132	0.0163469	0.0246545	0.0194579	0.0179094	0.0128411	0.0111559	0.0163463	0.0144209	0.0239845	0.0260351	0.0298396	0.0272378	0.0180416	0.0180508	0.0144389	0.0133152	0.022844	0.0169284	0.0152442	0.0118515	0.0184376	0.0139088
