 	a66	a87	a23	a5	a23	a5	a12	a21	a41	a5	a23	a5	a21	a98	a85	a6	a85	a47	a36	a2	a57	a87	a79	a53	a15	a47	a98	a92	a79	a56	a75	a47	a36	a47	a36	a2	a57	a38	a98	a47	a15	a79	a15	a7	a2	a10	a87	a23	a87	</S>
la	0.0397932	0.0653567	0.0646096	0.027135	0.0387087	0.0467953	0.0397795	0.0324697	0.0317153	0.0401773	0.0175675	0.00869558	0.00451539	0.00336364	0.00387789	0.00350901	0.00255559	0.00486039	0.00634565	0.00694562	0.0138151	0.00910166	0.00999984	0.00851397	0.0161382	0.0115766	0.00811894	0.00511115	0.00339145	0.00322535	0.00457321	0.0056998	0.00266661	0.00681084	0.0103644	0.0191187	0.0100692	0.00642963	0.00676769	0.0095176	0.00973536	0.0159737	0.0267991	0.0307201	0.0739566	0.0376124	0.047354	0.0377469	0.035664	0.0246514
manière	0.00125685	0.00262065	0.00460847	0.00561763	0.0133491	0.0201312	0.0345924	0.0164876	0.0148943	0.04375	0.0614866	0.161745	0.241135	0.125631	0.0392699	0.0799917	0.0646945	0.0347608	0.0107663	0.00220816	0.0029145	0.00349132	0.0012753	0.00110646	0.00144362	0.000935578	0.00164949	0.0011431	0.000609403	0.000162716	0.000304628	0.000220095	0.000397055	0.000165776	0.0007575	0.000220822	0.000206768	0.000208442	0.000476945	0.000542417	0.000406482	0.000522275	0.000135559	0.000174338	0.000106934	0.00010225	0.000106951	0.000274711	0.000503977	0.000437234
dont	0.0434028	0.036972	0.0312724	0.0392754	0.0254705	0.0143254	0.010384	0.0205033	0.0242801	0.0125948	0.0280729	0.0382255	0.0513516	0.0540946	0.0618754	0.0638072	0.0428824	0.0719582	0.071012	0.0261308	0.0165991	0.00498729	0.0162737	0.0117237	0.0104203	0.0146528	0.00433785	0.00590409	0.005263	0.00419215	0.00529075	0.00307514	0.00281029	0.0064759	0.00597418	0.00578135	0.00686071	0.00472244	0.003309	0.0041689	0.00917708	0.00679117	0.00144654	0.00339836	0.00641375	0.00228963	0.00436694	0.0136419	0.0265237	0.015237
il	0.0191159	0.0101379	0.0071631	0.00683161	0.00302367	0.00212467	0.00221598	0.00175663	0.00252433	0.00251393	0.00310081	0.00514167	0.00640727	0.00415693	0.00917553	0.00606771	0.00941194	0.0190771	0.0225103	0.0168553	0.016298	0.0142166	0.0112816	0.0100544	0.00431435	0.00701507	0.00538979	0.0118013	0.0101696	0.031857	0.0238581	0.038212	0.0237929	0.041836	0.0223182	0.069385	0.0557514	0.128861	0.052452	0.0436766	0.0768445	0.0434419	0.027054	0.0214898	0.010397	0.00637015	0.00573791	0.0110807	0.00931225	0.00641849
s'	0.0275243	0.0133928	0.00530286	0.00234136	0.00571612	0.00460542	0.00345484	0.00368108	0.0047053	0.00235046	0.00322789	0.00224552	0.00318677	0.00373428	0.00490694	0.00430176	0.00688722	0.00838444	0.0168191	0.0079639	0.0153598	0.0237644	0.0452455	0.0331282	0.0244787	0.0205074	0.0276775	0.0219218	0.0171565	0.0190114	0.0180215	0.0313691	0.0533098	0.0436985	0.0257998	0.0402216	0.042717	0.0584785	0.0471674	0.0391227	0.0389699	0.0277961	0.0245231	0.0264292	0.0180334	0.0104516	0.0207154	0.0229287	0.0164459	0.0108174
est	0.030447	0.016445	0.0192447	0.014697	0.0258965	0.023083	0.0155915	0.020842	0.0236507	0.00565506	0.00634841	0.00464639	0.010843	0.014545	0.0169785	0.0132069	0.0190479	0.0180849	0.0269231	0.018668	0.0263668	0.0220389	0.0296386	0.0316805	0.021853	0.0217289	0.0348724	0.0303784	0.0239163	0.0355596	0.0336425	0.0278917	0.0397544	0.0367742	0.019523	0.0150678	0.0132352	0.0147185	0.0122402	0.0126826	0.0189938	0.011258	0.00334512	0.00804164	0.0115113	0.00438049	0.0121607	0.0221326	0.012737	0.0470313
plaint	0.0380259	0.0205017	0.0310504	0.0217307	0.0194133	0.0161261	0.0123371	0.0102265	0.0110586	0.0114336	0.0115178	0.0109926	0.016577	0.0197345	0.0254847	0.0196885	0.0211874	0.0159267	0.0231271	0.0181624	0.0093107	0.00886642	0.00769314	0.0141629	0.00653102	0.00823618	0.0126016	0.00877156	0.0113943	0.0197626	0.0203823	0.0222592	0.0212037	0.0172353	0.0153406	0.0229429	0.0145809	0.0390377	0.0299006	0.0254539	0.0416184	0.0348639	0.0126728	0.00764152	0.0121986	0.00533343	0.0127818	0.0364694	0.0213924	0.105057
s'	0.0376615	0.0390958	0.0460462	0.037981	0.0255312	0.0195702	0.0156483	0.0154715	0.0155515	0.0201097	0.0236381	0.0165693	0.0136884	0.0121393	0.0153459	0.0149076	0.0135173	0.00982132	0.0130886	0.0221342	0.0107764	0.0123599	0.00949473	0.0119733	0.00691769	0.00467617	0.00536747	0.00316078	0.00283202	0.00319093	0.00240396	0.00266991	0.00568679	0.00668032	0.00801639	0.0205272	0.021229	0.0269054	0.0304732	0.0171509	0.0508385	0.0298567	0.0243202	0.0129402	0.0194324	0.0259173	0.0229481	0.0576763	0.0547344	0.0613264
il	0.0197706	0.0171416	0.0201367	0.0120968	0.0104914	0.00787135	0.00440208	0.00743411	0.00740362	0.00772517	0.00980187	0.00754863	0.00916629	0.0197896	0.0267757	0.0184159	0.0323848	0.0199744	0.0349206	0.0233653	0.0211352	0.0131645	0.0147575	0.0177312	0.010587	0.0104042	0.00770382	0.00958938	0.00761408	0.0062335	0.00537864	0.00577758	0.0120686	0.0120938	0.0157236	0.0293614	0.0337153	0.0231354	0.0325058	0.0205305	0.0324483	0.0265567	0.0293451	0.0281462	0.0317988	0.0361077	0.0286267	0.0489123	0.0505208	0.0617097
ne	0.0218123	0.0188403	0.0219223	0.00905179	0.0152209	0.0124455	0.00610187	0.0107703	0.0123727	0.00540777	0.00606897	0.00276839	0.00507666	0.0117357	0.0165266	0.0123772	0.0203049	0.0130382	0.0253744	0.0270413	0.0336802	0.0241904	0.0218424	0.0212549	0.0195446	0.0179947	0.0120884	0.0147616	0.0139512	0.00880868	0.0121298	0.0104362	0.0147368	0.0162961	0.0193797	0.0179678	0.0212865	0.0160703	0.0372034	0.0214631	0.0282552	0.0227884	0.0147711	0.0208301	0.0227549	0.0236049	0.0314948	0.0377935	0.041197	0.107165
mange	0.0325236	0.0343377	0.0368391	0.0261294	0.0325421	0.0210886	0.00975112	0.0136443	0.011645	0.00570832	0.0046726	0.00304875	0.00512906	0.00625787	0.00993757	0.00710343	0.00999575	0.0078621	0.0141903	0.0261702	0.0305583	0.0211345	0.018898	0.0163438	0.0160039	0.0145402	0.00863501	0.0100854	0.00854262	0.0060991	0.0102126	0.00974553	0.0111367	0.0130637	0.0196429	0.0121637	0.0135125	0.0129858	0.0269724	0.0189154	0.0292162	0.0323274	0.0137396	0.0245885	0.0268953	0.0229438	0.0346952	0.0367159	0.0555344	0.105575
pas	0.0186738	0.0200929	0.0244433	0.0146526	0.0194305	0.0170777	0.0102971	0.0150123	0.0150868	0.00900177	0.00872808	0.00625696	0.00781898	0.0089659	0.012664	0.00929387	0.0125851	0.00954782	0.0177997	0.0293243	0.0374951	0.0371828	0.0318745	0.0312858	0.0300648	0.0265098	0.0229962	0.0231253	0.017801	0.0137321	0.01637	0.0164026	0.0238475	0.0264018	0.017196	0.0174608	0.0192702	0.0144736	0.0279069	0.0150324	0.0157839	0.0179717	0.0104322	0.011167	0.012583	0.0189732	0.0206638	0.0289122	0.0328151	0.0775149
