 	a23	a53	a20	a14	a35	a24	a0	a11	a10	a26	a41	a14	a94	a13	a90	a35	a75	a41	a24	a25	a87	a38	a90	a76	a94	a32	a75	a14	a44	a57	a38	a53	a90	a76	a69	a84	a57	a87	</S>
il	0.023802	0.0415843	0.136134	0.208985	0.107013	0.110197	0.0677911	0.03301	0.0155228	0.0207116	0.0212297	0.0187474	0.00521802	0.00804478	0.0076008	0.00426486	0.00203592	0.00228728	0.0025437	0.0023448	0.00318259	0.00420652	0.00397912	0.00398117	0.00365567	0.00429651	0.00795863	0.00804019	0.00651636	0.0206585	0.0106583	0.00835509	0.00581147	0.0102235	0.0200881	0.0149215	0.00883119	0.00619664	0.00937023
a	0.00158703	0.00254304	0.00326462	0.0068851	0.0295012	0.029154	0.0674388	0.0418248	0.0255768	0.0342791	0.0336983	0.0280029	0.0377843	0.0165469	0.0314933	0.0315972	0.0111555	0.0214104	0.0136892	0.00987518	0.0213479	0.0130307	0.01149	0.0138063	0.0161504	0.0223522	0.0190255	0.0329341	0.0389596	0.0234799	0.0221911	0.0267998	0.0324231	0.0390791	0.0423399	0.0352887	0.0441122	0.0398507	0.0280311
planté	0.00812547	0.0117608	0.0109639	0.0271281	0.0197725	0.030489	0.0589824	0.0449939	0.0408369	0.0314449	0.0365879	0.0240599	0.0203482	0.0149119	0.0161393	0.00765184	0.0047119	0.00793068	0.00271616	0.00417239	0.00529541	0.00392442	0.00359192	0.00517313	0.00486852	0.0062657	0.00689887	0.0160428	0.0181276	0.0323347	0.0357956	0.0318681	0.055618	0.0553275	0.0501272	0.0423964	0.0466617	0.0436842	0.11227
un	0.0380112	0.0472004	0.0206853	0.0221039	0.0130628	0.0338857	0.0106137	0.0127724	0.00794355	0.0188582	0.0207192	0.0268312	0.0250156	0.0425095	0.0277232	0.0281993	0.0402197	0.048042	0.0330053	0.0404812	0.0310013	0.028357	0.0368305	0.0308343	0.0289961	0.0293306	0.0296532	0.0231522	0.0299553	0.0252602	0.0201792	0.0196617	0.0145962	0.0143121	0.0141657	0.0144628	0.0167047	0.0121024	0.0225614
champ	0.0299981	0.0231439	0.0155573	0.0116993	0.022965	0.0357373	0.0321508	0.030266	0.0289204	0.0277743	0.0412512	0.0748707	0.0558958	0.123563	0.0739226	0.0695492	0.0378074	0.034699	0.0183472	0.0137219	0.0129752	0.0142021	0.0175306	0.0185293	0.0122061	0.0102425	0.00639717	0.00789652	0.0124209	0.00654429	0.00754155	0.00877959	0.0063837	0.00907507	0.0100808	0.010956	0.00810086	0.00781113	0.0104862
d'	0.0360044	0.0347492	0.0254544	0.0154317	0.0298879	0.0442425	0.0342523	0.0324668	0.0267219	0.0361997	0.0238231	0.027706	0.0251058	0.0255358	0.0190494	0.0145402	0.00908018	0.00673172	0.00520769	0.00455579	0.00713066	0.00655274	0.0063512	0.00761583	0.00917179	0.00628891	0.00574947	0.0156532	0.0206807	0.0209899	0.0232719	0.0269209	0.0234846	0.0380917	0.0596486	0.046825	0.0515199	0.0716125	0.0756941
ananas	0.0587794	0.0431459	0.0272835	0.00826748	0.0129387	0.032378	0.0319358	0.0433334	0.0191799	0.0460307	0.0227889	0.0402782	0.0210663	0.0270553	0.0238568	0.0186864	0.014653	0.014421	0.0265743	0.0242114	0.0127986	0.0297653	0.0333377	0.018318	0.0285873	0.0185502	0.0205606	0.0168518	0.0197799	0.0363456	0.0259586	0.0128007	0.0194816	0.0113146	0.0163994	0.0145971	0.024244	0.0265379	0.0569071
dans	0.04092	0.0375541	0.0249844	0.0122068	0.0302161	0.0392241	0.0409372	0.0285731	0.0178159	0.011264	0.00977642	0.0118969	0.00804234	0.00730666	0.00652053	0.00672284	0.00627897	0.00781731	0.00827722	0.00830813	0.00736611	0.0173142	0.0131928	0.0125467	0.0193442	0.021435	0.0213994	0.0224259	0.0171855	0.0311749	0.0299209	0.0280164	0.0322506	0.0253719	0.034318	0.0356346	0.0565639	0.0536638	0.156232
la	0.0323805	0.0335652	0.0313042	0.0258476	0.0311666	0.0473117	0.0257291	0.0207174	0.0147225	0.0100022	0.00931404	0.00859263	0.0122562	0.0108006	0.00791428	0.00843498	0.00913372	0.0144993	0.00989852	0.0153296	0.0137395	0.0125252	0.0115782	0.0107439	0.0153727	0.0122298	0.0179989	0.0220496	0.0166215	0.0518087	0.0387819	0.0284609	0.0303022	0.0308287	0.0272942	0.026427	0.042057	0.041616	0.170643
brousse	0.0176264	0.0128018	0.0149457	0.00817514	0.00978886	0.0124322	0.0116733	0.0121929	0.0106731	0.00882685	0.00771555	0.00945337	0.0158797	0.0203837	0.0134459	0.0149685	0.0178913	0.0238023	0.0224292	0.0212202	0.0242755	0.0219972	0.0217633	0.0262348	0.02428	0.0202785	0.0320265	0.0493233	0.0424436	0.0584087	0.0547483	0.0473752	0.041318	0.0465208	0.0383047	0.0415442	0.0319823	0.0310327	0.0598165
</S>	0.0101899	0.00966731	0.0274127	0.0175325	0.0339095	0.047277	0.0414934	0.0253122	0.016832	0.0127216	0.0137451	0.00759131	0.00623457	0.00542901	0.00502892	0.00433904	0.00467362	0.00737034	0.00372465	0.00619395	0.00617469	0.00360611	0.0049951	0.00943366	0.0109011	0.00656891	0.00947918	0.0202956	0.0207228	0.058778	0.0245152	0.0391622	0.024551	0.0410409	0.0656226	0.0607128	0.0941752	0.0794779	0.113108
