 	a66	a87	a23	a13	a4	a13	a96	a93	a4	a90	a94	a44	a54	a7	a2	a57	a87	a23	a10	a11	a36	a37	a79	a37	a79	a44	a53	a20	a6	a92	a6	a0	a54	a7	a4	a53	a15	a79	a44	a70	a13	a18	a27	a82	a87	a23	a97	</S>
tu	0.0220785	0.0374281	0.0375851	0.0744321	0.0631726	0.0453897	0.0485728	0.0263701	0.0340451	0.0419305	0.0308232	0.0191173	0.0346453	0.0202477	0.0311965	0.0152261	0.0273704	0.023375	0.0171129	0.0226263	0.015364	0.0191642	0.0163422	0.0160015	0.0123564	0.0121837	0.0123744	0.0115372	0.0161373	0.0150951	0.0301251	0.0157293	0.0116894	0.0108073	0.00392362	0.00777563	0.00510483	0.00351545	0.00380114	0.00360824	0.00626506	0.00835954	0.00757975	0.00970958	0.0120288	0.0173808	0.00749716	0.0157979
es	0.0103204	0.00611561	0.0053611	0.00826825	0.017023	0.0143467	0.0127133	0.0145831	0.0253763	0.019726	0.0201875	0.0224001	0.0273095	0.0218467	0.0227786	0.0240732	0.0300209	0.0194645	0.0543609	0.0300521	0.035991	0.0517206	0.0249419	0.0306574	0.0188325	0.0269433	0.0221421	0.0114843	0.004295	0.00683297	0.00397055	0.00337999	0.00753467	0.00596027	0.00758631	0.0110777	0.0143342	0.011686	0.0287082	0.0261641	0.0342922	0.0452803	0.0416827	0.0196688	0.0229055	0.0260253	0.0285921	0.0209821
vraiment	0.0200538	0.01502	0.00911476	0.019518	0.0224818	0.0141909	0.0220781	0.0212179	0.0191868	0.0292999	0.0148689	0.0245604	0.0164816	0.023801	0.0175634	0.0249646	0.0179035	0.0210013	0.0599476	0.0341607	0.0511975	0.0398509	0.0290631	0.0447359	0.030727	0.0567058	0.0433353	0.028453	0.0274229	0.0155408	0.00634439	0.00828177	0.00587871	0.00396787	0.00433237	0.00518571	0.00509453	0.00758778	0.00631117	0.00559116	0.00514219	0.0120119	0.0199381	0.0121867	0.0147837	0.0126991	0.0219709	0.0282447
mal	0.0476559	0.0357932	0.0370952	0.022042	0.025583	0.0142958	0.0145347	0.0166566	0.00934973	0.0115733	0.0129331	0.0205758	0.0152817	0.0120773	0.0114686	0.00949332	0.0142668	0.0110639	0.0131259	0.0107286	0.0162752	0.0153061	0.0127562	0.022409	0.0257043	0.0216613	0.0110848	0.0224892	0.0121778	0.0117986	0.0132275	0.0230389	0.0179189	0.0422418	0.018461	0.0438273	0.0381	0.0315892	0.0122256	0.0158379	0.0147499	0.0262469	0.0202388	0.0181882	0.0187974	0.0412501	0.0176656	0.0491379
intentionné	0.0425214	0.0377624	0.0288893	0.0212557	0.0292733	0.0141393	0.0107045	0.0156879	0.00637984	0.00893914	0.0188729	0.0304961	0.0188928	0.0153872	0.00907636	0.00809302	0.0138776	0.0153419	0.0113735	0.0189537	0.0219514	0.0171429	0.0159739	0.0266081	0.0228272	0.0288887	0.0136604	0.0168744	0.0144156	0.0137864	0.0155838	0.0199732	0.016997	0.0169449	0.0106339	0.0163314	0.0113351	0.0150615	0.0106854	0.0187726	0.0168571	0.045554	0.0418624	0.0209019	0.0326388	0.0348597	0.0252623	0.0616977
car	0.0472006	0.0311633	0.0256505	0.0276031	0.0360308	0.0228819	0.0315547	0.030215	0.0312736	0.0251303	0.0298187	0.0210166	0.0186536	0.0289483	0.0226175	0.0218326	0.0253084	0.0216276	0.0304451	0.0231647	0.0362708	0.0348012	0.0233126	0.0491918	0.0226032	0.0313301	0.0117981	0.0162148	0.00850972	0.0101238	0.00594642	0.00486062	0.00786648	0.0123544	0.00801769	0.0144237	0.0122341	0.00971844	0.00508541	0.00674806	0.00821076	0.0163672	0.0158141	0.00851599	0.0161755	0.0205075	0.0123551	0.0185056
tu	0.027294	0.0088852	0.00723969	0.0112247	0.0115196	0.00677719	0.0160846	0.0182179	0.0295518	0.0300893	0.0183661	0.0183999	0.0244212	0.0325199	0.0415292	0.043412	0.0460029	0.0304593	0.0657313	0.0281075	0.0527419	0.0333651	0.0160785	0.0419794	0.0178882	0.0256377	0.0132523	0.0138915	0.0113337	0.00877513	0.00349504	0.00428149	0.0046736	0.00521505	0.00793454	0.0120466	0.00700676	0.0113248	0.00642283	0.0243977	0.0257968	0.0366006	0.0254413	0.0172192	0.0140936	0.0142181	0.0180643	0.0109908
es	0.021069	0.00881099	0.00633918	0.00923669	0.0145375	0.0095047	0.0155933	0.0174131	0.0233669	0.0169835	0.0210061	0.0228149	0.0228496	0.0362926	0.0364014	0.0330441	0.0420439	0.0259901	0.0551046	0.0287095	0.0457794	0.0313142	0.0175143	0.0433163	0.0135394	0.0272783	0.0102482	0.00813626	0.00609965	0.00538549	0.00247116	0.00310214	0.00423594	0.00707757	0.00805075	0.0174752	0.0126563	0.0131442	0.0146266	0.0316286	0.040329	0.054095	0.0293153	0.0183073	0.0118056	0.012285	0.0236313	0.0200397
parti	0.0430344	0.0381953	0.0278613	0.0136367	0.0150867	0.0161553	0.0104304	0.00444093	0.00282254	0.0061177	0.00633718	0.00860287	0.00772846	0.0201567	0.014083	0.0178882	0.0173874	0.0165988	0.0211424	0.0193084	0.0192661	0.0161242	0.0174321	0.0698836	0.0566788	0.0389885	0.0186187	0.0263362	0.0208872	0.0226998	0.0196027	0.0150766	0.0179434	0.0220965	0.0270144	0.0324355	0.0218422	0.0267427	0.0105568	0.0101932	0.0232766	0.0272167	0.0154314	0.0127463	0.0188182	0.0191378	0.0175866	0.0283524
cueillir	0.0235419	0.0138393	0.00974219	0.00706728	0.0122291	0.00861416	0.00666154	0.0073537	0.0042866	0.00983229	0.00748	0.0123234	0.0199422	0.0323715	0.0263649	0.0353706	0.0325686	0.0357845	0.0320966	0.0319149	0.0345121	0.0255226	0.0187927	0.0407948	0.0245488	0.0416795	0.0188382	0.0151961	0.011788	0.0109658	0.00592543	0.00621925	0.00808465	0.00974904	0.0228899	0.0264904	0.0118867	0.0159143	0.00898399	0.0145274	0.0213049	0.0381499	0.0308623	0.0252298	0.0313769	0.0260773	0.0374559	0.0468479
