 	a23	a87	a10	a87	a23	a87	a79	a90	a13	a11	a26	a98	a11	a24	a41	a14	a73	a76	a73	a35	a14	a94	a66	a53	a76	a94	a58	a9	a87	a23	a79	a90	a9	a97	a79	a75	a41	a35	a66	a26	a66	a94	a76	a90	a38	a11	a62	a70	a83	a9	a87	a97	a87	</S>
sa	0.0363348	0.0243705	0.0230015	0.0232548	0.0256874	0.0305031	0.0533401	0.0587107	0.0196329	0.0251362	0.0201585	0.0111418	0.0156285	0.0187432	0.0213626	0.0125524	0.0167403	0.017783	0.0083274	0.00655191	0.00728637	0.00624669	0.0111538	0.00595068	0.007177	0.00607209	0.0064172	0.00764453	0.00510891	0.00573252	0.00529684	0.00643273	0.00624505	0.00581658	0.0104977	0.0234215	0.0174598	0.0226195	0.0167631	0.00624739	0.00875856	0.0110413	0.00652674	0.00481444	0.00659605	0.0197604	0.0149411	0.0306074	0.0297371	0.0334688	0.0426338	0.0252793	0.0363799	0.0709036
mère	0.00251371	0.0030102	0.00793339	0.0122597	0.0387239	0.0453316	0.0390904	0.0448047	0.0238544	0.0349693	0.0565633	0.0114945	0.0272979	0.023854	0.0256703	0.0238944	0.0288513	0.0410013	0.0181661	0.0235235	0.0363523	0.0144606	0.0202795	0.0119004	0.0256321	0.025088	0.0324692	0.0691926	0.0317245	0.0296641	0.0268468	0.0340451	0.0144126	0.025535	0.0103147	0.0141067	0.00504738	0.0055354	0.00712097	0.0039998	0.00297757	0.00333632	0.00266094	0.00264062	0.000928106	0.00107152	0.000511019	0.000761906	0.00117167	0.000891369	0.000673571	0.00134052	0.00209445	0.00240488
a	0.0325878	0.0171823	0.0182446	0.0158301	0.0182614	0.0227258	0.0197271	0.0151093	0.0383521	0.0529905	0.0469853	0.0404205	0.0552857	0.0409972	0.0300384	0.0230707	0.0420905	0.0323009	0.0180623	0.0101807	0.0036533	0.00363254	0.00721497	0.00832865	0.00712091	0.0201037	0.0174497	0.0262374	0.0112521	0.015715	0.0298165	0.0380672	0.0259145	0.010129	0.00677722	0.0120162	0.0185927	0.0146563	0.00424704	0.00336674	0.00357626	0.00225266	0.0041468	0.003838	0.00238957	0.00406906	0.00386787	0.00412748	0.00762804	0.0112753	0.0151976	0.0111819	0.0259809	0.0257334
plus	0.0103314	0.0162021	0.0134779	0.014671	0.0197308	0.0174261	0.0180747	0.0139153	0.0233422	0.0678499	0.0803121	0.0960083	0.0927692	0.0745477	0.0552079	0.034314	0.0228254	0.0127849	0.0192285	0.00800527	0.00498413	0.0101365	0.00965566	0.0130455	0.00985525	0.0144098	0.0103759	0.0168078	0.0144398	0.0117952	0.0128265	0.00942385	0.00948768	0.0143984	0.0105761	0.00630945	0.00873585	0.0105368	0.0158032	0.00594418	0.00639447	0.00411488	0.00421579	0.00411238	0.00335209	0.00417082	0.00322001	0.00405468	0.00477822	0.00460029	0.00473572	0.00565806	0.00686616	0.0091541
d'	0.0572904	0.0445461	0.0369665	0.0291046	0.0265189	0.0264575	0.0304736	0.0352717	0.0155257	0.0303781	0.0146793	0.0160763	0.0123668	0.0271167	0.00998898	0.00882956	0.00683367	0.0073435	0.00658298	0.00727025	0.00485677	0.00706636	0.0139309	0.0117918	0.0193148	0.0198649	0.0177743	0.0172773	0.0110045	0.00903189	0.0127234	0.00677396	0.00736986	0.00543836	0.00812064	0.0113286	0.00978199	0.0106375	0.014264	0.00510516	0.00785304	0.00749727	0.0055139	0.00490299	0.00646639	0.00866817	0.00938977	0.0185074	0.0167558	0.0230064	0.0437334	0.045885	0.0496523	0.0790902
amour	0.0493665	0.0320884	0.0291812	0.019381	0.0166876	0.014762	0.0161052	0.019331	0.0141782	0.0208916	0.0147649	0.0116062	0.00779167	0.0171531	0.00522376	0.00596699	0.00557399	0.00616074	0.0046992	0.00545129	0.00441982	0.00590654	0.0101983	0.00932198	0.015278	0.0155901	0.0149437	0.0147191	0.00980272	0.0107529	0.0122251	0.00813048	0.00756704	0.00651888	0.00750474	0.00945818	0.00797213	0.0100085	0.0117469	0.00794906	0.0105811	0.0180256	0.0167207	0.013026	0.0148059	0.0224349	0.0199816	0.0494647	0.0402893	0.056466	0.0572658	0.0453676	0.0479499	0.071242
pour	0.0355215	0.0138448	0.0128534	0.00771733	0.00494473	0.00438291	0.00526766	0.00681464	0.00635513	0.00983241	0.00549264	0.00604226	0.00548259	0.00724126	0.00368756	0.00459964	0.00501907	0.00620456	0.00533544	0.00657647	0.00656736	0.00673935	0.0111172	0.0108281	0.0185007	0.0220434	0.025252	0.0224342	0.0191689	0.0184048	0.0265841	0.0243778	0.0234605	0.0148798	0.0107305	0.0162006	0.0136285	0.013875	0.00713788	0.0073232	0.00688188	0.011842	0.0103913	0.00870794	0.00801477	0.0131417	0.0128741	0.0298109	0.0382119	0.0666585	0.0625059	0.0538826	0.0808884	0.113718
lui	0.015878	0.00857738	0.0082702	0.00713523	0.00548194	0.0055032	0.00577804	0.00590124	0.0048413	0.0120005	0.00751706	0.0120984	0.00930297	0.0120484	0.00979555	0.0106557	0.010471	0.0118631	0.0126082	0.0196732	0.0160609	0.0209727	0.0274701	0.0344864	0.0475068	0.0518963	0.046483	0.0485557	0.0432568	0.0434828	0.0524053	0.039842	0.036518	0.0180138	0.0172431	0.0152779	0.0114998	0.0111355	0.00536288	0.00436556	0.00557404	0.00514597	0.00460616	0.00508805	0.00280868	0.00496349	0.00519506	0.00728429	0.00996365	0.0200804	0.0246289	0.0252578	0.0381253	0.0540424
que	0.0113779	0.0108823	0.00899742	0.0085998	0.00810272	0.00769357	0.0101444	0.0101596	0.00627225	0.0149142	0.0109022	0.0119933	0.0163092	0.0171488	0.0126314	0.011218	0.00878173	0.0109609	0.0108267	0.014032	0.0159557	0.0203357	0.0273002	0.0244303	0.0394281	0.0455029	0.034677	0.0494551	0.041948	0.0414719	0.0364656	0.0256929	0.0233348	0.0240804	0.0205456	0.0202481	0.0102207	0.0128798	0.00955347	0.0074674	0.0059997	0.00483478	0.0058649	0.00724661	0.00599586	0.0107178	0.0146074	0.0138589	0.0264593	0.0257342	0.0157757	0.0283638	0.0303057	0.0512932
pour	0.0254053	0.0207919	0.0195668	0.0118605	0.00749659	0.00921853	0.00755798	0.007681	0.00308703	0.00982734	0.00279	0.00479817	0.00418797	0.00610496	0.00417187	0.00436017	0.00324679	0.00450792	0.00491332	0.00540705	0.0065937	0.00714408	0.00667912	0.0103193	0.02466	0.0258318	0.0259926	0.0294727	0.0264834	0.0229305	0.0245483	0.0158975	0.0172645	0.0123513	0.0150469	0.0219862	0.0137905	0.0196234	0.00883747	0.00389579	0.00759723	0.00909021	0.0137237	0.0089201	0.0133748	0.0185811	0.0255259	0.0327796	0.0501827	0.0588896	0.0465268	0.0469638	0.0548689	0.106646
