 	a66	a87	a23	a10	a20	a47	a36	a15	a0	a75	a47	a7	a44	a53	a94	a96	a70	a90	a15	a69	a4	a57	a3	a87	a23	a87	a23	a3	</S>
ils	0.0536881	0.0607103	0.0674473	0.0764249	0.119032	0.101716	0.0556368	0.0326743	0.018152	0.013325	0.00901632	0.0109655	0.00389148	0.00198281	0.00254197	0.00470391	0.00476598	0.00948564	0.0110185	0.0181325	0.0191807	0.0299744	0.0282718	0.0290753	0.0426038	0.044384	0.0393213	0.0426399	0.0492371
avaient	0.00857279	0.00976029	0.0110016	0.0118489	0.0131266	0.0224492	0.0444807	0.0320106	0.0311586	0.0373814	0.0386299	0.0359391	0.0368677	0.0332941	0.0117106	0.00949069	0.0149432	0.0216819	0.0289778	0.0523838	0.0656187	0.0742843	0.0550585	0.0601905	0.0567529	0.057649	0.0475481	0.0531692	0.0240194
implanté	0.0083701	0.00406635	0.0036563	0.00254972	0.00187329	0.00127319	0.00115913	0.0010051	0.00329939	0.00477577	0.0092764	0.00900358	0.0182262	0.0220345	0.0228074	0.0131525	0.0204493	0.00890667	0.0230652	0.033042	0.0467083	0.0742017	0.11458	0.100655	0.124207	0.138528	0.0949419	0.063022	0.0311653
un	0.0561297	0.0345721	0.0238042	0.0232885	0.019057	0.0101744	0.00469808	0.00441752	0.0142939	0.019228	0.0272269	0.0251097	0.0508135	0.0339926	0.0235354	0.0318015	0.0567399	0.0237927	0.0384474	0.0305956	0.0257719	0.0395	0.0690295	0.0534192	0.051661	0.0580524	0.0504424	0.0387945	0.0616105
village	0.0632628	0.0715811	0.0562692	0.0436695	0.0259761	0.0272077	0.0218905	0.0160711	0.0228884	0.0224577	0.021475	0.0157764	0.0286883	0.03148	0.0288086	0.0266223	0.0300181	0.0111508	0.0225283	0.0463622	0.030918	0.064274	0.0554836	0.0487666	0.0403541	0.0444098	0.0318554	0.0166438	0.0331105
sur	0.0493326	0.029893	0.0237221	0.0211979	0.0179803	0.0141645	0.0100372	0.0136241	0.0240556	0.0189937	0.0234954	0.0210019	0.0144771	0.0046713	0.00480239	0.00827112	0.0188296	0.0273703	0.0336744	0.0459449	0.0465048	0.0649607	0.0495875	0.065012	0.0646759	0.0858795	0.0722979	0.0452964	0.0802458
la	0.105398	0.109883	0.0569381	0.0415202	0.0127096	0.00635384	0.00380028	0.00292282	0.00513493	0.00476456	0.00759362	0.00795613	0.00457502	0.00362555	0.00318236	0.00721681	0.0143074	0.0107236	0.0204218	0.0306531	0.0243886	0.0363428	0.027281	0.047966	0.0525619	0.0685118	0.0866871	0.0842998	0.11228
grande	0.0513039	0.0611641	0.0295705	0.0234123	0.00655391	0.00605713	0.00342893	0.00350626	0.0146445	0.0128998	0.0109982	0.00772513	0.00542716	0.00243429	0.00238546	0.00799986	0.0104707	0.00909426	0.0123618	0.0303747	0.0267877	0.0710476	0.0597914	0.0775218	0.100247	0.112474	0.11166	0.0891543	0.0395029
route	0.0538222	0.0425318	0.0295347	0.0254922	0.00922856	0.00601971	0.00550831	0.0102932	0.028653	0.0182127	0.0223929	0.0193732	0.0142622	0.00676806	0.00512444	0.0117415	0.0149391	0.0110473	0.0111854	0.0162623	0.0146613	0.0192207	0.0185423	0.0232502	0.0305546	0.0585233	0.0919146	0.139813	0.241127
</S>	0.0554825	0.036549	0.0306265	0.0359216	0.0115402	0.00584542	0.00558013	0.0103473	0.0334295	0.0214064	0.0202548	0.0158883	0.0131783	0.00444674	0.00254611	0.00435366	0.00692929	0.00542846	0.00809014	0.0149065	0.0195236	0.0295015	0.0377716	0.0460552	0.0525945	0.0840225	0.0826646	0.0900325	0.215083
