 	a87	a23	a83	a99	a54	a47	a41	a66	a75	a85	a47	a44	a13	a53	a76	a20	a84	a87	a99	a38	a9	a10	a75	a44	a98	a47	a44	a57	a38	a21	a85	a44	a57	a54	a47	a41	a66	a62	a21	a6	a37	a90	a13	a90	a56	a11	a10	a87	a23	a87	a23	a87	</S>
cet	0.0336874	0.0399994	0.0529317	0.0489909	0.0273385	0.0282139	0.0204375	0.0183939	0.0154621	0.0102656	0.0156657	0.0172935	0.0212477	0.0319709	0.0406315	0.0346955	0.02477	0.0214061	0.0255598	0.0195384	0.0209825	0.0203418	0.0212873	0.0151108	0.0191225	0.0218115	0.0191804	0.012235	0.013513	0.00817125	0.00855093	0.010487	0.0133814	0.0143086	0.0139207	0.0184335	0.0128778	0.0308877	0.0221712	0.0167407	0.0132741	0.00838852	0.00842048	0.00940791	0.00954207	0.0110692	0.007657	0.00815367	0.00718829	0.00824101	0.00614867	0.00576617	0.0147273
homme	0.0045202	0.0130999	0.0147169	0.0193252	0.041272	0.0482019	0.020974	0.0517486	0.0351242	0.0200668	0.0167986	0.0181139	0.0150913	0.0261826	0.0314451	0.0496398	0.0262489	0.0505373	0.0265786	0.0293211	0.025078	0.0244321	0.0272187	0.0226752	0.0182797	0.0146071	0.0182506	0.0180789	0.0203433	0.0268398	0.0265265	0.0292701	0.018083	0.00746858	0.00819274	0.00726846	0.00459964	0.00617657	0.00591982	0.00793096	0.0170808	0.0126675	0.00968848	0.0100942	0.00726607	0.00533207	0.00381178	0.00535454	0.00504046	0.00726533	0.00656535	0.00575275	0.00783414
avait	0.0289596	0.0159954	0.0118717	0.00858829	0.0290632	0.0154736	0.0161451	0.014226	0.0517068	0.0147302	0.0218314	0.0278537	0.011787	0.00900065	0.0262285	0.0152755	0.0247674	0.0242536	0.012877	0.0269508	0.0297411	0.0292263	0.0317203	0.0251837	0.0295431	0.0260069	0.0358711	0.0491899	0.0417309	0.0236596	0.0226947	0.024649	0.00853066	0.00472732	0.00402098	0.00224363	0.00171024	0.00273629	0.00211944	0.00681033	0.00458467	0.00591672	0.00910068	0.0196388	0.00990507	0.00708067	0.0143158	0.0149747	0.0254038	0.0208528	0.0242872	0.0167825	0.0174556
éprouvé	0.0328801	0.0287784	0.0179442	0.0151029	0.0137527	0.00761303	0.0117259	0.00726676	0.0147591	0.0198673	0.0128449	0.0165456	0.0178205	0.0287894	0.0428382	0.0640938	0.0386255	0.0210846	0.0263284	0.0182602	0.031153	0.0267187	0.0272483	0.0158744	0.0168776	0.0228846	0.0149118	0.0144541	0.0181392	0.0118351	0.0132268	0.0119112	0.0232945	0.0323719	0.0264042	0.0231435	0.03059	0.0237766	0.018873	0.0179894	0.0106602	0.00655807	0.00629243	0.00682331	0.00839135	0.00734724	0.00900984	0.00808919	0.0113965	0.010513	0.0122117	0.00752254	0.0165853
une	0.0341543	0.0234241	0.0173972	0.0123052	0.0129346	0.00700768	0.0111045	0.00817116	0.0198039	0.00925571	0.030757	0.0291273	0.0336395	0.0199337	0.0334095	0.0367696	0.0330028	0.0274134	0.0378796	0.0253343	0.0415378	0.039337	0.0536333	0.0362626	0.0410411	0.0477046	0.0433412	0.0381147	0.0531032	0.0252958	0.0141052	0.009851	0.00602842	0.00561074	0.00583539	0.00585708	0.00895623	0.00545859	0.00472319	0.00590132	0.00293157	0.00124882	0.00194663	0.00318849	0.00166569	0.00223451	0.00343304	0.00322082	0.00559062	0.0041181	0.00410913	0.00371611	0.00807297
grande	0.0145573	0.00845173	0.00576103	0.00553938	0.00489588	0.00525436	0.00796142	0.00535704	0.0140297	0.0199974	0.0208209	0.0237044	0.0218091	0.0169679	0.0260579	0.0181695	0.035908	0.0325177	0.0351567	0.0617323	0.0669603	0.0392513	0.0403108	0.0537718	0.0441604	0.0319216	0.0555081	0.0593966	0.0606083	0.034573	0.0276277	0.015929	0.00894567	0.00677664	0.00534803	0.00770286	0.0100229	0.00686529	0.00531303	0.00593001	0.00399629	0.00166187	0.0017547	0.00353017	0.00127992	0.000815633	0.00122396	0.00162167	0.00342147	0.00185942	0.00233405	0.00158727	0.00334052
honte	0.0155968	0.00899508	0.00606833	0.00563558	0.00688337	0.00724026	0.0109961	0.00685761	0.0152333	0.0108836	0.01619	0.0218663	0.0233756	0.0207324	0.0381194	0.0320348	0.0463313	0.0516014	0.0458191	0.0519678	0.0673309	0.0411874	0.0442118	0.032119	0.0401283	0.0189451	0.039899	0.0384457	0.0357824	0.0135362	0.00988285	0.00908845	0.00546919	0.00413838	0.00362353	0.00408783	0.00657904	0.00524463	0.00499683	0.00993834	0.00624744	0.0057284	0.00691746	0.00896758	0.00473164	0.00460337	0.00714778	0.00956188	0.0139731	0.00947486	0.0165146	0.00947715	0.0195915
le	0.0188811	0.0117609	0.00811907	0.00828501	0.00700813	0.00586193	0.00767368	0.00905318	0.00819638	0.00619132	0.0115792	0.0167822	0.0233021	0.0339132	0.0336219	0.0378099	0.042288	0.036472	0.0493382	0.0487635	0.0647141	0.0471603	0.0461864	0.0299143	0.0416157	0.0268461	0.0342459	0.0323214	0.0258041	0.0177428	0.014581	0.0144172	0.0105667	0.00735394	0.00909192	0.00486912	0.0100451	0.00587406	0.00534687	0.00746225	0.00437227	0.00527773	0.0074814	0.0065678	0.00606913	0.00715397	0.00803297	0.00867705	0.0121167	0.0089551	0.0143961	0.0129816	0.0168583
jour	0.0268664	0.0120711	0.007322	0.00926642	0.00371431	0.00282075	0.00426672	0.00521113	0.00457771	0.0056939	0.0106213	0.0174914	0.0291485	0.0311393	0.0321492	0.0350189	0.0395904	0.0396098	0.0425244	0.0345905	0.0404271	0.0376119	0.0381793	0.0253208	0.0347677	0.0237205	0.0310827	0.0263653	0.0237022	0.0127526	0.0115003	0.011497	0.010647	0.00863996	0.009032	0.0080198	0.0100904	0.00857723	0.00870152	0.0102588	0.00565137	0.00533977	0.00748372	0.0110141	0.00577927	0.0134291	0.0135135	0.0217964	0.027678	0.0217357	0.0278052	0.0179662	0.0362194
où	0.028716	0.0247753	0.0223733	0.0191578	0.00906462	0.00598969	0.00595713	0.0124532	0.00762224	0.00580626	0.0107908	0.0152357	0.013964	0.0187563	0.0172952	0.0236847	0.0149332	0.0219253	0.0172045	0.0134625	0.0189984	0.0206861	0.0197955	0.0153572	0.0145388	0.0138633	0.016543	0.0140342	0.013562	0.0102557	0.00708915	0.00989754	0.00475679	0.00492178	0.00745145	0.00682935	0.0104518	0.0093554	0.014791	0.0173896	0.0168949	0.0152983	0.0215305	0.0257863	0.0196862	0.0248316	0.0235654	0.0279124	0.0431617	0.0408285	0.0477209	0.0445151	0.0885327
