 	a66	a87	a23	a38	a94	a93	a56	a93	a90	a69	a20	a47	a37	a43	a11	a75	a98	a73	a69	a32	a75	a47	a15	a44	a7	a2	a57	a87	a23	a87	</S>
cet	0.0494002	0.0641852	0.0678246	0.0423264	0.0441117	0.0428208	0.0428552	0.0234849	0.0228643	0.0209057	0.0296761	0.029813	0.0235366	0.0257252	0.0219141	0.0317344	0.0412406	0.0624889	0.0259697	0.0237646	0.0141805	0.0141261	0.0187756	0.0131759	0.0240745	0.0113814	0.0223566	0.0197793	0.024896	0.0276259	0.072986
homme	0.00828835	0.00816347	0.0183285	0.0301744	0.06148	0.0307547	0.04792	0.0436996	0.0222918	0.0229913	0.0706965	0.109085	0.100918	0.099268	0.069856	0.0429568	0.0599817	0.0502281	0.0481425	0.0188356	0.00777302	0.00515456	0.00482394	0.00274315	0.00146238	0.00106197	0.00185187	0.00193309	0.00289224	0.00275634	0.00348675
a	0.0433897	0.0428363	0.0393561	0.0705364	0.0840644	0.0654058	0.0617101	0.0438399	0.0363477	0.0076952	0.016916	0.0125664	0.0159776	0.0284228	0.014508	0.00708976	0.00749664	0.00739913	0.0079379	0.00693144	0.0146345	0.0195098	0.0202448	0.025849	0.0365378	0.0413473	0.0513661	0.0411447	0.0470092	0.0404073	0.0415223
mis	0.0330913	0.0198914	0.0155238	0.0176338	0.0177068	0.0559926	0.0415702	0.0311941	0.0319681	0.0230928	0.0258825	0.0398817	0.0360455	0.0414058	0.0253616	0.0223096	0.0201257	0.0226187	0.034749	0.024724	0.0325187	0.0351151	0.0383137	0.0280668	0.026356	0.0216484	0.0413335	0.0534501	0.0409126	0.0461147	0.0554014
un	0.0566228	0.0400292	0.0462758	0.0231213	0.0207718	0.0245055	0.0225698	0.0131611	0.0129582	0.0191561	0.0307277	0.0245965	0.0320423	0.0155363	0.0191112	0.0316537	0.0421741	0.0521515	0.0408275	0.0380435	0.0301229	0.0327677	0.0339707	0.0423642	0.026745	0.0395594	0.038431	0.0316087	0.0312465	0.02927	0.0578783
gris-gris	0.0750477	0.0593133	0.0584169	0.0455683	0.0464241	0.0473491	0.0553007	0.0387098	0.0363168	0.0494409	0.0461642	0.0509686	0.0266003	0.0183745	0.0115856	0.0127222	0.0151249	0.0243638	0.0168887	0.0275079	0.0379496	0.0302147	0.0184772	0.0224145	0.0164189	0.018337	0.0155283	0.0200663	0.0196695	0.0176033	0.0211322
dans	0.0650078	0.0530736	0.0449639	0.0343711	0.027096	0.0264593	0.0298902	0.0224191	0.0219903	0.0276128	0.0381485	0.0243813	0.0241896	0.0166341	0.0150863	0.0126396	0.0157764	0.0239351	0.0144586	0.0188231	0.0135468	0.0186549	0.0233463	0.0376171	0.047716	0.0789387	0.0418978	0.0528121	0.037431	0.038979	0.0521036
son	0.0512041	0.0490423	0.0255331	0.0241655	0.0154743	0.00617526	0.00991259	0.00841975	0.00431877	0.00477394	0.0151824	0.0141681	0.0189208	0.0169879	0.0139287	0.0209551	0.017247	0.0238647	0.0147875	0.0180758	0.0325335	0.0508393	0.0529363	0.063093	0.092475	0.126943	0.0434517	0.0659135	0.033232	0.0401492	0.0252959
safoutier	0.0248473	0.02201	0.0151802	0.00989372	0.00579903	0.00139723	0.00303958	0.00232792	0.00138087	0.00108588	0.0028599	0.00579591	0.0106067	0.0143312	0.021898	0.0289639	0.0236824	0.0288337	0.0250364	0.0183305	0.026284	0.0451513	0.0541511	0.0870741	0.0989201	0.0843981	0.0776992	0.0878773	0.0712062	0.0675612	0.0323773
</S>	0.0219179	0.0210977	0.0263596	0.0135462	0.0111376	0.00683389	0.00844608	0.00592106	0.00381272	0.00264856	0.00345756	0.00314975	0.00404539	0.00384049	0.00462726	0.00715561	0.00751677	0.0123671	0.00698855	0.00726997	0.00903568	0.0194691	0.0430388	0.0520238	0.0960554	0.0862167	0.0946774	0.0744025	0.0852709	0.0829391	0.174731
