 	a66	a87	a23	a97	a87	a23	a83	a18	a50	a62	a21	a5	a12	a96	a12	a62	a21	a85	a47	a98	a79	a37	a92	a21	a12	a18	a31	a61	a96	a62	a88	a71	a9	a10	a87	a23	a87	a23	a97	</S>
un	0.065325	0.0340038	0.0352043	0.0143782	0.0154819	0.00878356	0.0212008	0.00969525	0.0206785	0.0256495	0.0270814	0.0169956	0.0133498	0.00807915	0.0191306	0.0379088	0.0308981	0.0296295	0.0531713	0.0390853	0.0244971	0.022459	0.0135732	0.0100631	0.0136327	0.0164259	0.0160641	0.0216155	0.0158559	0.0510217	0.0437223	0.0200005	0.0257742	0.0262161	0.0244035	0.0172341	0.0175406	0.0215174	0.0267251	0.0459277
furoncle	0.00927897	0.0073276	0.0109401	0.0131038	0.0172012	0.0182314	0.0271935	0.0268984	0.0207965	0.0284443	0.0200248	0.0439025	0.019667	0.0455998	0.0625261	0.0622067	0.0824577	0.0689512	0.113932	0.0558566	0.0415083	0.0420636	0.0270899	0.0218142	0.0272204	0.0186532	0.0132368	0.0107499	0.00586967	0.0114743	0.00783107	0.00262027	0.00316433	0.00121	0.00098464	0.00109038	0.00112787	0.00238137	0.0039555	0.00141411
lui	0.0216702	0.0300859	0.0374093	0.0572059	0.0569976	0.0618595	0.0859495	0.0424644	0.0854197	0.0773812	0.0615972	0.0309504	0.0350933	0.0293352	0.0311558	0.0219851	0.0204695	0.020893	0.017405	0.011231	0.0108238	0.00591474	0.00669359	0.00303703	0.0025261	0.00210088	0.00311527	0.00188338	0.00212913	0.00448318	0.00538653	0.00623307	0.00694777	0.0116795	0.0153901	0.00958249	0.0123901	0.0165943	0.0235799	0.0129504
est	0.0205986	0.0182779	0.0182103	0.0166466	0.011366	0.00968617	0.00630875	0.0078976	0.0215432	0.0296559	0.0411613	0.0242252	0.0272384	0.0191529	0.0148416	0.0249951	0.0208224	0.0187268	0.0123208	0.0184652	0.0274781	0.0261496	0.0211467	0.0195824	0.02504	0.0234772	0.0247141	0.016066	0.0138045	0.0238448	0.0183476	0.0338277	0.0293741	0.0403725	0.0439231	0.0449685	0.0486439	0.0493437	0.0407429	0.0470119
apparu	0.018946	0.0224648	0.017864	0.0171696	0.0149243	0.0290561	0.0160007	0.0255911	0.0410676	0.0317052	0.0323112	0.0303304	0.0343561	0.0260662	0.0256872	0.0265994	0.0220294	0.022126	0.0158288	0.0127189	0.0148227	0.0157151	0.0277288	0.0444465	0.0385507	0.0383219	0.0459858	0.0671535	0.0268702	0.0308773	0.0225724	0.0164338	0.0286257	0.0187438	0.0196369	0.0103343	0.0128597	0.0100567	0.014004	0.0134168
entre	0.0373538	0.0265087	0.0217207	0.0150446	0.00832256	0.00800957	0.00593939	0.00590368	0.0109885	0.016519	0.019128	0.0171985	0.0157373	0.0101512	0.012299	0.0221057	0.0138665	0.0118071	0.0116553	0.0110779	0.00695533	0.00626423	0.00702349	0.00742916	0.0098702	0.017979	0.0193494	0.0192978	0.0343873	0.0276807	0.0245542	0.0604701	0.0464171	0.0578268	0.0570845	0.0522797	0.0713034	0.0582417	0.0420989	0.0721501
l'	0.0394015	0.0269485	0.0240675	0.0210748	0.0149103	0.0119516	0.0120153	0.0104151	0.0141293	0.0170571	0.0156389	0.0145425	0.0163031	0.0144354	0.0153792	0.0152426	0.0142818	0.0189592	0.0151262	0.0149052	0.0145275	0.0136968	0.0119659	0.0117371	0.0170178	0.0221821	0.0258322	0.0171565	0.0315812	0.0208161	0.0290198	0.0424246	0.0400527	0.0460547	0.0459823	0.0517049	0.0653605	0.0556758	0.0483829	0.0420438
anus	0.043122	0.0309596	0.0271387	0.0247992	0.0185129	0.0124824	0.0131348	0.00897679	0.0109676	0.0185344	0.0138249	0.015978	0.0168051	0.0166469	0.017383	0.0198863	0.0173673	0.0211503	0.0168263	0.0147819	0.0140844	0.0102147	0.00947422	0.0106773	0.0146168	0.0155188	0.013839	0.0137384	0.0172085	0.0148966	0.0224059	0.032185	0.036537	0.0455371	0.0536254	0.0629994	0.0643008	0.0724543	0.0568591	0.0395487
et	0.0295196	0.0173557	0.0145742	0.0103893	0.00971138	0.010209	0.021081	0.015273	0.0301545	0.0377059	0.0294364	0.0326489	0.0294636	0.0294274	0.027934	0.0277961	0.0246072	0.021769	0.0221415	0.0241312	0.0238642	0.0229367	0.0222229	0.0157893	0.0200231	0.0253319	0.0288245	0.0208841	0.0321851	0.034302	0.0372217	0.0148172	0.038998	0.0285483	0.0304959	0.0238723	0.0292402	0.0308223	0.0212018	0.0330896
le	0.0211235	0.0196322	0.0215618	0.015823	0.0155483	0.0120102	0.0181287	0.011083	0.0151159	0.0244501	0.016526	0.0244524	0.0213277	0.0244791	0.0264661	0.03076	0.0298512	0.0293912	0.0296756	0.0289383	0.0300781	0.0265214	0.0225628	0.0152597	0.0181501	0.0194721	0.0252992	0.0199223	0.0308271	0.0272372	0.0319274	0.030808	0.0328568	0.0335155	0.0342021	0.0320591	0.0328141	0.0346983	0.0318849	0.0335596
sexe	0.0134379	0.0124891	0.0135563	0.00975542	0.00877844	0.0102154	0.0121331	0.0116663	0.016854	0.023086	0.0208383	0.0180264	0.01832	0.0194283	0.0237964	0.0344207	0.0399502	0.0397492	0.0438497	0.0341	0.0345601	0.0232595	0.0175508	0.0117726	0.0140771	0.0144433	0.0179093	0.0159772	0.01901	0.0218513	0.0315067	0.0221739	0.0311998	0.0421141	0.0556676	0.0301042	0.0349765	0.0436175	0.0417007	0.0520764
</S>	0.0211466	0.0104479	0.011389	0.00809586	0.00829021	0.00465804	0.00663327	0.00347237	0.00574808	0.00976346	0.00822608	0.00797758	0.00617083	0.00702736	0.0114056	0.0196554	0.0210656	0.0224491	0.0315589	0.0216172	0.0137014	0.014979	0.00995341	0.0103741	0.0155734	0.0231636	0.0274972	0.0347445	0.0414904	0.0477995	0.0584833	0.0385544	0.0412884	0.0604443	0.0569114	0.0389486	0.037646	0.0524663	0.0347195	0.094463
