 	a23	a99	a54	a14	a41	a35	a41	a96	a18	a24	a25	a38	a90	a96	a62	a83	a9	a0	a24	a50	a83	a56	a94	a57	a87	a40	a41	a44	a27	a75	a21	a47	a43	a75	a41	a26	a11	a75	a41	a44	a94	a93	a43	a75	a76	a44	a82	a87	</S>
ils	0.0491215	0.029395	0.0644422	0.0604703	0.0583027	0.0585919	0.0472223	0.0388142	0.0467644	0.0404401	0.0330168	0.0417744	0.0332599	0.0401398	0.0419143	0.0275978	0.0388169	0.0188171	0.0205519	0.013734	0.00630864	0.00650119	0.0030327	0.00325097	0.00346749	0.00546662	0.0045722	0.00530655	0.0060308	0.00516802	0.00448576	0.00663592	0.00558381	0.00393736	0.00297831	0.00439596	0.00714437	0.00790302	0.00890859	0.00870426	0.00783585	0.00803343	0.0078788	0.00753209	0.00924281	0.0113962	0.0120806	0.00689918	0.0161307
ont	0.00643172	0.00751638	0.00931424	0.00794758	0.00942878	0.0160352	0.0247092	0.0266526	0.0378548	0.0267885	0.0378306	0.0267022	0.0307754	0.0271552	0.0156926	0.0295993	0.0349667	0.0186822	0.015029	0.015761	0.0136516	0.0090328	0.0178861	0.0139935	0.00767735	0.00904204	0.0068186	0.00744005	0.0164283	0.024548	0.0359132	0.0392434	0.0429443	0.0365615	0.0361723	0.0249257	0.0282664	0.0284383	0.0219882	0.0194146	0.0140304	0.0192543	0.0218831	0.0182724	0.00940499	0.0175651	0.0128377	0.011163	0.0103298
marché	0.00686803	0.00740177	0.0062292	0.00988593	0.00774825	0.0135659	0.0202656	0.0184875	0.0364377	0.0286813	0.0159745	0.0178178	0.0152869	0.0131146	0.0122559	0.0132534	0.0172837	0.00954007	0.00399805	0.00389499	0.00387519	0.00224356	0.00492332	0.00544541	0.00791823	0.00874409	0.0146297	0.0101236	0.0258666	0.0238563	0.021762	0.0304404	0.0283796	0.0123237	0.0243706	0.0116213	0.022807	0.0179614	0.0218139	0.0389081	0.065467	0.0305092	0.0466477	0.0504353	0.0613727	0.0381124	0.0282013	0.0374314	0.0258175
toute	0.0118611	0.0117542	0.0102266	0.00963599	0.00654501	0.00710236	0.0108888	0.014718	0.0297854	0.0288027	0.0306516	0.0573467	0.0442441	0.0485714	0.0854952	0.0405302	0.0504844	0.0582846	0.0337476	0.0340627	0.0317039	0.0170396	0.0166541	0.0165002	0.0164739	0.0121235	0.0204875	0.0152484	0.0193333	0.0214783	0.0131686	0.0147291	0.0164807	0.0125468	0.00715405	0.00900982	0.00770896	0.0132548	0.0137419	0.00859268	0.00790319	0.00968805	0.0101885	0.00938692	0.00842194	0.00797464	0.00679736	0.00522036	0.00624997
la	0.0223741	0.0170196	0.0159657	0.0174335	0.0188133	0.0304609	0.0306854	0.0271835	0.0307908	0.0286366	0.0388194	0.0302115	0.034408	0.0460021	0.0421769	0.0355987	0.0446628	0.0400971	0.0231668	0.029439	0.0195172	0.0198238	0.0166442	0.0166518	0.0177531	0.0124818	0.0167499	0.0181932	0.015108	0.012605	0.0128391	0.0201382	0.0103025	0.00904969	0.00881904	0.00866324	0.0110356	0.010723	0.0111867	0.0166476	0.0149771	0.0111197	0.012009	0.0120742	0.00990198	0.0112532	0.0128512	0.00964142	0.017294
nuit	0.025256	0.0207119	0.026519	0.0230631	0.0417746	0.0612625	0.0634039	0.0355351	0.0402982	0.03961	0.04108	0.0359013	0.0449581	0.06173	0.0484802	0.0231537	0.0586377	0.0357793	0.018914	0.0242489	0.0175311	0.0196485	0.0101964	0.0147883	0.019402	0.0260742	0.015389	0.0122814	0.0069087	0.00729751	0.00548781	0.00971989	0.00483806	0.00244402	0.00141183	0.00245589	0.00297321	0.00279925	0.00315699	0.00412376	0.00477503	0.00387591	0.00361687	0.00373322	0.00365244	0.00467809	0.00619786	0.00323264	0.00699271
et	0.0475197	0.0530691	0.0415436	0.0350379	0.0259016	0.0203905	0.0387621	0.0352769	0.0348877	0.0358935	0.0296765	0.0331297	0.0309875	0.0463239	0.0430811	0.0319519	0.0493444	0.0296962	0.0379276	0.0407094	0.0251669	0.0259708	0.0141603	0.0126808	0.0125285	0.0213941	0.0161845	0.008543	0.0092117	0.00753075	0.00335279	0.0038896	0.00622231	0.00267133	0.00245481	0.00204081	0.00444345	0.00296101	0.00219065	0.00320222	0.00175543	0.00188896	0.002943	0.00348223	0.00344364	0.0079349	0.00906696	0.00934674	0.032227
son	0.0236104	0.00880824	0.0160473	0.00910863	0.00984669	0.0102143	0.00938879	0.00543421	0.00508859	0.00538341	0.00700432	0.0165174	0.0123199	0.0247945	0.0264393	0.0142272	0.0295947	0.0249939	0.0121974	0.0307576	0.0313061	0.0404534	0.0389984	0.0399416	0.0469975	0.0279429	0.0334742	0.0301685	0.0248292	0.0337435	0.0272836	0.0128584	0.0202901	0.00999891	0.0120692	0.00763036	0.0176742	0.0155845	0.0177678	0.0209582	0.016451	0.0161547	0.016996	0.0258171	0.0242421	0.028658	0.0207465	0.0156408	0.0235461
arrivés	0.0193186	0.0141299	0.0164105	0.0135256	0.0126339	0.0163391	0.01768	0.0121622	0.0153902	0.0163239	0.01306	0.0199822	0.0144641	0.0169253	0.0135103	0.0147239	0.0194792	0.0189766	0.0162577	0.022897	0.0266797	0.0343406	0.0333486	0.027085	0.0298735	0.0293161	0.0239081	0.0244259	0.0171979	0.0278493	0.0195461	0.0341326	0.0351518	0.0170178	0.0161198	0.0121243	0.0189737	0.0211621	0.0220327	0.0270725	0.0226656	0.0143309	0.0180794	0.0220339	0.0204995	0.0211917	0.0193217	0.0177196	0.0226097
à	0.0193346	0.00890238	0.0103323	0.00622675	0.00497209	0.00329032	0.00370393	0.00517363	0.00803197	0.0100022	0.029198	0.0389558	0.0217808	0.0268285	0.0309595	0.0349673	0.0227719	0.0259692	0.0278509	0.0327298	0.0245124	0.0190693	0.0137266	0.0132755	0.0130257	0.0138142	0.0142944	0.0139879	0.0135905	0.0138119	0.0108103	0.0109189	0.0129086	0.00479452	0.00577513	0.00386962	0.0107343	0.00981537	0.0111411	0.0189044	0.0125077	0.017214	0.032175	0.0484639	0.0516747	0.0593798	0.0642925	0.0492353	0.0402946
