 	a66	a87	a23	a79	a20	a44	a12	a47	a62	a88	a75	a6	a36	a2	a57	a83	a62	a83	a9	a54	a79	a7	a79	a6	a37	a96	a62	a83	a53	a90	a44	a70	a71	a9	a62	a75	a79	a15	a7	a15	a47	a7	a26	a44	a7	a11	a10	a87	a23	a87	</S>
il	0.0418992	0.0603727	0.0302257	0.0286795	0.0330853	0.0165893	0.0233198	0.0413213	0.0306685	0.0303941	0.0117115	0.0205256	0.0257471	0.0143442	0.0223714	0.0165282	0.0196933	0.0239577	0.0371589	0.0249755	0.0198728	0.0150643	0.0171674	0.0124074	0.0146878	0.012828	0.0128215	0.0151874	0.00730938	0.00813766	0.00623595	0.00680441	0.00691366	0.00876576	0.0117753	0.00695748	0.0100852	0.00812996	0.00718509	0.00712297	0.00570171	0.00994328	0.022618	0.0213908	0.0277178	0.0209816	0.0233628	0.0211084	0.021927	0.0230494	0.0331709
m'	0.00364323	0.00339286	0.00283905	0.00380818	0.00735789	0.0263254	0.0514411	0.119654	0.0498272	0.0604541	0.0490186	0.00987317	0.0118652	0.0160609	0.0104451	0.0118879	0.0160803	0.0199952	0.0128769	0.0155124	0.0134816	0.0116169	0.0100607	0.00884319	0.0114565	0.0102582	0.0116682	0.0163863	0.0136598	0.0156268	0.00770884	0.00866355	0.00652477	0.00892112	0.00934389	0.00476737	0.00364668	0.00411803	0.00410201	0.00677472	0.0130353	0.0366294	0.0226383	0.0437363	0.042458	0.040393	0.0290066	0.0278524	0.0246498	0.0173239	0.0122887
a	0.0104637	0.00832585	0.00613746	0.00642496	0.0167524	0.0426289	0.0786608	0.134155	0.0627292	0.029245	0.0297555	0.0128746	0.0189445	0.0150877	0.0179756	0.0194007	0.011396	0.0154905	0.0161776	0.0186704	0.0160769	0.0159941	0.0196829	0.0130308	0.0159076	0.0114893	0.0101089	0.0200317	0.0232731	0.0173331	0.0145335	0.0057474	0.00555524	0.00373417	0.00726299	0.00251282	0.00183402	0.00111984	0.00219424	0.00357167	0.00685825	0.0182903	0.0170397	0.0295672	0.0203029	0.0210533	0.0227494	0.0201952	0.0258204	0.0191942	0.0166386
appelé	0.0443368	0.0416193	0.0394167	0.0416335	0.0181778	0.076789	0.0976427	0.0655228	0.0339778	0.0498873	0.0362434	0.0203453	0.0148696	0.00918757	0.00667815	0.0037826	0.00745609	0.00873441	0.0109452	0.00724366	0.0091346	0.0125127	0.00866204	0.0139317	0.0129234	0.0166293	0.0285815	0.0176339	0.0175072	0.0180059	0.0207758	0.0273489	0.024585	0.0236508	0.0124393	0.014319	0.00837367	0.0123887	0.0140013	0.00819879	0.00855616	0.00427776	0.00319289	0.00205256	0.00317442	0.00482811	0.00272248	0.00290163	0.00340067	0.0020936	0.00670629
pour	0.0134114	0.00825828	0.00632518	0.00488993	0.00337541	0.00284315	0.00265314	0.00307369	0.0031332	0.00583614	0.0111777	0.0144044	0.0198752	0.0130468	0.0246545	0.017324	0.025086	0.0193269	0.0268192	0.0327572	0.0324164	0.0432379	0.036501	0.075888	0.0804898	0.0693906	0.0628499	0.0497901	0.0371332	0.0327877	0.0343655	0.0266558	0.0185761	0.0177955	0.0117859	0.00453037	0.00417769	0.00355993	0.00303577	0.00349054	0.00439856	0.00681406	0.00684055	0.00912161	0.00857454	0.00734969	0.0106379	0.00761878	0.0133549	0.00690679	0.0116538
juger	0.0217888	0.0200158	0.0123435	0.0108063	0.0103639	0.00712976	0.00761181	0.0105548	0.0199311	0.0107414	0.0129817	0.0233103	0.0325571	0.0242241	0.0319107	0.0351405	0.0266182	0.0413908	0.0331072	0.0509145	0.0360446	0.0443368	0.045313	0.0521221	0.0345336	0.0367276	0.0283467	0.0284154	0.0183509	0.016847	0.02427	0.0106482	0.0111378	0.00834712	0.00760366	0.00588778	0.00467362	0.00403673	0.00312502	0.00321295	0.00418821	0.00565777	0.00771785	0.0105766	0.0132835	0.0171482	0.0156545	0.0136249	0.0134028	0.0127246	0.0185982
l'	0.0174979	0.0152819	0.0126864	0.00971919	0.00491461	0.00594558	0.00317372	0.00354213	0.0151241	0.0132759	0.0160547	0.0168587	0.026956	0.0273217	0.0266651	0.0354259	0.0291336	0.0342411	0.0308381	0.052688	0.0423004	0.0409401	0.0382921	0.057163	0.0390197	0.0443395	0.0324933	0.0263849	0.0284111	0.0117476	0.0248857	0.0129401	0.0177333	0.0109128	0.0105366	0.00567908	0.00498287	0.0061496	0.00603199	0.00686586	0.0078007	0.0105586	0.0119948	0.0154479	0.0131595	0.0144463	0.0143481	0.0126199	0.01261	0.010093	0.0117669
affaire	0.00668484	0.00312015	0.00250412	0.00262827	0.00322709	0.00538034	0.00293619	0.00280879	0.00433784	0.00360011	0.0199527	0.0116085	0.0187665	0.0146002	0.0201863	0.0349266	0.032779	0.0268579	0.034325	0.0430448	0.0537609	0.0377997	0.0365808	0.0632237	0.0522168	0.0670646	0.0483261	0.0357974	0.0441075	0.0203002	0.0323529	0.0147251	0.0185176	0.0135699	0.0133637	0.0067774	0.00545352	0.00653641	0.00643647	0.00442	0.00622013	0.00867814	0.0130857	0.0126098	0.0165442	0.0162999	0.0128361	0.0139817	0.0114313	0.00716551	0.00554136
qui	0.0203956	0.0123764	0.00734916	0.0067292	0.00487956	0.00247369	0.00120315	0.000713267	0.00120876	0.00139789	0.0104427	0.0128104	0.0162239	0.0135282	0.020054	0.021469	0.0153074	0.0222516	0.030994	0.030463	0.0433196	0.029594	0.0332986	0.0434929	0.0360015	0.035499	0.0236031	0.0217044	0.0190149	0.0140989	0.0193312	0.0122581	0.0164197	0.0167385	0.0167782	0.0133694	0.0150629	0.00782926	0.00816875	0.00689223	0.00780286	0.0163564	0.0302599	0.0276757	0.0322798	0.0327182	0.0384926	0.0403604	0.0278587	0.0285707	0.0328788
l'	0.0198788	0.0177984	0.0084636	0.0060269	0.00383085	0.00189603	0.00109113	0.00084597	0.0026548	0.00337646	0.00882008	0.0111849	0.0142317	0.0147088	0.0189574	0.0222794	0.0147158	0.0247615	0.0314834	0.0251992	0.0340018	0.0254021	0.029394	0.0406722	0.0276854	0.0238457	0.0135654	0.0146883	0.0113258	0.00863157	0.0112636	0.0116268	0.0136899	0.0164156	0.0156083	0.0171899	0.020063	0.0157174	0.0150266	0.0150512	0.0148505	0.0201242	0.0334283	0.031918	0.0341884	0.0354658	0.039936	0.0483113	0.0303589	0.0350448	0.0433042
