 	a66	a87	a23	a87	a23	a99	a83	a24	a31	a24	a31	a32	a88	a75	a85	a6	a36	a5	a12	a56	a25	a79	a37	a21	a5	a18	a88	a71	a9	a87	a23	a87	a23	a99	a38	a54	a47	a36	a40	a6	a0	a11	a0	a11	a70	a13	a9	a99	a87	a40	a6	a37	a85	a5	a12	a21	a12	a88	a71	a38	a36	a2	a57	a87	a23	a87	</S>
beaucoup	0.027216	0.0391647	0.0293191	0.0297508	0.0238589	0.0226826	0.0302155	0.0373222	0.0442017	0.028037	0.0239108	0.0357614	0.0489179	0.0466515	0.0231909	0.0200995	0.0135236	0.023323	0.0145656	0.00961483	0.0126214	0.0127577	0.00932363	0.0100484	0.0109952	0.0114545	0.00886641	0.010983	0.00854331	0.00661398	0.00726888	0.00624987	0.00620043	0.00505849	0.00542229	0.00524264	0.00257054	0.00422751	0.00250746	0.0039673	0.0062539	0.00566327	0.0106592	0.00901008	0.00788866	0.00928194	0.0110697	0.00892395	0.00779915	0.0109592	0.0149774	0.00900878	0.0110088	0.00719958	0.00732775	0.00903972	0.00831253	0.00869813	0.00975525	0.0132473	0.00889623	0.00857485	0.0097621	0.00911918	0.0130721	0.0160634	0.0261775
de	0.00355945	0.00441704	0.00353042	0.00419509	0.00317761	0.00144992	0.00265656	0.00158071	0.0037687	0.0053905	0.00867968	0.0114873	0.0123258	0.0388342	0.0530645	0.0674418	0.0435726	0.0728243	0.0386395	0.0491096	0.0224744	0.0660568	0.0239788	0.0115842	0.00963042	0.0133283	0.00652672	0.00719555	0.00736332	0.00206347	0.0136272	0.0769458	0.0155717	0.0216238	0.0227723	0.0402557	0.0265059	0.0258912	0.0294349	0.0239748	0.00927063	0.0194466	0.021269	0.0185738	0.00785671	0.00310329	0.00169638	0.000801795	0.00138629	0.00192884	0.00115058	0.00090457	0.000942572	0.000698831	0.00107866	0.000857224	0.000803773	0.000842084	0.000241769	0.00114167	0.000735878	0.000925551	0.00148164	0.00096213	0.00170277	0.00245244	0.00123404
voleurs	0.0263608	0.00830518	0.00735198	0.00961777	0.00823233	0.00623288	0.00758715	0.00602966	0.0108294	0.00937435	0.0150747	0.0105141	0.0102981	0.0146761	0.0138933	0.0449166	0.0349365	0.0342387	0.0469202	0.0428104	0.0470654	0.0440922	0.0272875	0.024114	0.0312991	0.0268259	0.0204304	0.0245013	0.0168893	0.0121272	0.0136302	0.00760844	0.0107674	0.00985921	0.00822919	0.023653	0.0199905	0.0180388	0.0142317	0.0199122	0.0152084	0.0160959	0.0184011	0.0122542	0.00856647	0.0166774	0.0068919	0.0107221	0.00779848	0.00564686	0.00453876	0.00304911	0.0043872	0.00200799	0.00171635	0.00325185	0.00385109	0.0047234	0.00227734	0.0050205	0.00497038	0.00612983	0.00937299	0.00753525	0.0124515	0.0111647	0.00653595
sont	0.0282066	0.00808362	0.00407424	0.00430777	0.00257951	0.00392247	0.00303627	0.00672728	0.0149289	0.00783033	0.00795853	0.0111833	0.00682984	0.00881056	0.0066225	0.00740427	0.012674	0.00830295	0.0131674	0.0334214	0.013024	0.0348323	0.0148265	0.0253233	0.0235952	0.0149813	0.0234599	0.0237757	0.015273	0.0178519	0.00859003	0.0125462	0.0126437	0.0128182	0.00991719	0.0179103	0.0207549	0.0122163	0.0170161	0.0120338	0.0175544	0.0221893	0.0279148	0.0211621	0.0231845	0.0243188	0.0198728	0.0224421	0.0255621	0.0292573	0.0104908	0.0139095	0.0141292	0.0136201	0.0106287	0.0129841	0.0120699	0.0117335	0.01597	0.0141013	0.0159002	0.0149142	0.0137578	0.0143818	0.0136356	0.0122257	0.00862776
prudents	0.0485523	0.0152498	0.00796057	0.00907134	0.00636535	0.00750088	0.00836876	0.0166146	0.0194686	0.0217011	0.00785106	0.00594023	0.00322189	0.00212223	0.00368725	0.0033311	0.00640336	0.00468019	0.00952692	0.0149141	0.0210753	0.0253998	0.0138166	0.0165376	0.02732	0.0210367	0.0199348	0.0208128	0.0119346	0.0142641	0.00531038	0.00831097	0.015422	0.00863626	0.0126558	0.0119971	0.0201126	0.0129614	0.009051	0.00875375	0.0183988	0.0200366	0.0280806	0.0179544	0.0258928	0.0415696	0.0214937	0.0217915	0.0253969	0.00984338	0.0131352	0.0152278	0.0116275	0.0164956	0.00881692	0.0134206	0.0160036	0.023717	0.0136606	0.0148164	0.0108447	0.0181363	0.018042	0.00977722	0.0137593	0.00943837	0.0147476
mais	0.0205288	0.0125034	0.00902126	0.011813	0.00686492	0.0085763	0.00930918	0.0115008	0.0187624	0.00936149	0.00738531	0.0114647	0.0107015	0.00945706	0.0182026	0.0223721	0.0180855	0.027335	0.0378424	0.0245915	0.0351892	0.0539067	0.0211497	0.0355987	0.0385399	0.034048	0.0244715	0.0222129	0.0156935	0.036433	0.0121477	0.0118299	0.0163087	0.0124624	0.0156238	0.0137958	0.00838996	0.0143523	0.00742227	0.0159104	0.0291989	0.0286295	0.022844	0.0154619	0.0157483	0.018884	0.0213029	0.0176844	0.0100917	0.00506599	0.00733194	0.00445592	0.00410261	0.00634528	0.0033406	0.00592415	0.00334849	0.00422657	0.00371932	0.00436638	0.00182151	0.00266273	0.00220082	0.00181184	0.0023185	0.001804	0.0041419
certain	0.0128499	0.00965908	0.0079557	0.00968526	0.00644042	0.00471158	0.00412797	0.00360759	0.00974828	0.0045878	0.00251517	0.00520573	0.00784439	0.00493642	0.0162314	0.0173863	0.0392322	0.021278	0.0275721	0.0215829	0.031852	0.0366517	0.0295267	0.0393715	0.0409542	0.0246856	0.025776	0.0282743	0.01885	0.017791	0.0118662	0.0118497	0.0212518	0.0256952	0.0314187	0.0208326	0.0202207	0.0324703	0.0131489	0.0200537	0.013561	0.0108451	0.00783755	0.00501501	0.0123129	0.0211475	0.0263781	0.0318779	0.016789	0.0150097	0.00934788	0.00737525	0.00796835	0.00722347	0.00635107	0.00974446	0.00463697	0.00502303	0.00538231	0.00678006	0.00528281	0.00504426	0.00397485	0.00344821	0.00490532	0.0030599	0.00397878
d'	0.00926264	0.0093422	0.00634364	0.00850576	0.00557384	0.0062848	0.0048286	0.00555048	0.013353	0.00695571	0.0069916	0.00745989	0.0137551	0.0118012	0.0257499	0.0130723	0.0317144	0.0149978	0.017299	0.027975	0.0259366	0.0405871	0.0281037	0.0282416	0.0234094	0.0167543	0.0273823	0.0178357	0.0154464	0.0200642	0.0147098	0.0235147	0.0214001	0.0327591	0.0298689	0.0204522	0.0203971	0.0236631	0.0164103	0.0155249	0.00811434	0.00833273	0.00707288	0.00620613	0.00994389	0.0154891	0.0229054	0.0247846	0.0147067	0.0174638	0.0127659	0.00660683	0.0105935	0.0143471	0.0116141	0.00902802	0.0064217	0.00665036	0.00984494	0.0112348	0.00906575	0.0104335	0.00848175	0.00960171	0.00736393	0.00599695	0.00565141
entre	0.00637103	0.00656156	0.00494443	0.00593341	0.00463303	0.00468098	0.00580233	0.00685586	0.0106667	0.00842513	0.00391336	0.00610186	0.0138646	0.0102029	0.0165423	0.00706151	0.0127261	0.00931561	0.00882516	0.0112335	0.0189493	0.0213265	0.0186202	0.0184059	0.0188838	0.0155355	0.0177491	0.0106855	0.0102518	0.0123966	0.00733285	0.0170529	0.0101749	0.0110788	0.0132933	0.00807215	0.0154039	0.0175853	0.0116622	0.010038	0.0102502	0.0107729	0.00990688	0.00748989	0.0113639	0.0220114	0.0266042	0.0309153	0.0271129	0.0297972	0.0219935	0.0162218	0.0144598	0.0199797	0.0111968	0.0122519	0.0162789	0.0237612	0.0184792	0.0307897	0.0280378	0.0265772	0.0331472	0.0237719	0.0242275	0.0203632	0.0230784
eux	0.008934	0.00702144	0.00499196	0.00617295	0.00633368	0.00540484	0.00592738	0.00975447	0.0206657	0.0132845	0.00674823	0.00692803	0.01473	0.0102597	0.0118422	0.00758123	0.0152453	0.0076641	0.01121	0.0138734	0.0223155	0.0243147	0.0191785	0.0145062	0.0189704	0.019033	0.0190887	0.0122623	0.010643	0.0162252	0.00769196	0.00860952	0.00835748	0.00664725	0.00692547	0.00750294	0.0101613	0.0103467	0.0069833	0.00695553	0.00985474	0.00756157	0.00935626	0.00707718	0.00823519	0.0196805	0.0196105	0.019677	0.0248855	0.0199301	0.0293161	0.0225862	0.0233583	0.033678	0.015531	0.0218918	0.0263104	0.029675	0.0163469	0.0365016	0.0209013	0.0317201	0.0303416	0.0199307	0.0190317	0.0125332	0.0131855
