 	a10	a79	a47	a83	a66	a34	a93	a34	a21	a75	a96	a34	a93	a90	a25	a56	a96	a21	a66	a62	a47	a83	a13	a62	a83	a9	a87	a23	a87	a23	a99	a87	</S>
la	0.0749044	0.0702746	0.0419438	0.0515243	0.0499214	0.0401963	0.0264478	0.0288259	0.0442915	0.0261505	0.036815	0.0317241	0.0369818	0.0327474	0.0222752	0.0185269	0.0156206	0.0129948	0.0164589	0.00847051	0.0079613	0.00429016	0.00780716	0.0157068	0.0227241	0.0371281	0.0312608	0.0332214	0.0211701	0.0213134	0.0306599	0.0186664	0.0609945
manière	0.0123001	0.0457674	0.155603	0.0478231	0.158093	0.116267	0.0783122	0.0837099	0.0557499	0.0573329	0.0487197	0.0386283	0.0370949	0.0166097	0.0113978	0.00878464	0.00554986	0.00515457	0.00288043	0.00214166	0.00247584	0.000928871	0.000695536	0.00111234	0.000756293	0.000423741	0.000632865	0.000860873	0.000471488	0.000893928	0.000709235	0.00124252	0.000875384
dont	0.0567806	0.0510335	0.0296811	0.0388904	0.0238561	0.0456643	0.0669582	0.0614352	0.0882393	0.0802353	0.0814119	0.0609445	0.0419156	0.0320393	0.0265154	0.0288579	0.0212208	0.0108602	0.0167678	0.0145395	0.0082892	0.0039781	0.0035936	0.0028218	0.00994914	0.0055575	0.00936509	0.00905752	0.0124221	0.0132265	0.0131114	0.0208152	0.00996601
elle	0.0199663	0.0143613	0.00670487	0.00879013	0.00799586	0.0124901	0.0205626	0.013416	0.0277749	0.0727066	0.0669536	0.0573684	0.0476272	0.187375	0.0573359	0.0317903	0.0488523	0.0292224	0.0553149	0.0421767	0.0211549	0.00549626	0.00634295	0.00523016	0.00898301	0.00822073	0.0201429	0.0108334	0.0153691	0.0196304	0.0125044	0.0274729	0.00983396
m'	0.140527	0.0921278	0.0603862	0.0368924	0.0466251	0.0313909	0.0261013	0.0174889	0.0261201	0.0265637	0.0367268	0.0379709	0.0271424	0.0286863	0.0166616	0.0266461	0.0236107	0.0281756	0.0381244	0.0221912	0.00616528	0.00284396	0.00293853	0.00654433	0.0137318	0.0115229	0.013809	0.0115419	0.0189505	0.0224458	0.019457	0.0400253	0.0398644
a	0.0578254	0.0436048	0.0640841	0.0231413	0.0345595	0.0311977	0.0244148	0.0261318	0.0564935	0.0210791	0.0314659	0.0301276	0.0177668	0.0147664	0.0102741	0.0184115	0.0158162	0.0153318	0.0221614	0.0117127	0.00725394	0.00243219	0.00357803	0.00466373	0.0118862	0.0130961	0.0221143	0.0331349	0.0301765	0.0686565	0.0607881	0.0604185	0.111435
demandé	0.0171822	0.0113883	0.0161523	0.00966743	0.0180449	0.0196242	0.0203955	0.0273825	0.0482144	0.0395853	0.0593526	0.0721977	0.0735359	0.0701378	0.0510025	0.0518345	0.0636996	0.043307	0.0358411	0.0229632	0.0101949	0.00298397	0.00406311	0.00321902	0.00368819	0.00601733	0.0116168	0.0148562	0.0218179	0.0414219	0.0286879	0.0341862	0.0457376
était	0.00714969	0.00587382	0.00330101	0.0033497	0.00307446	0.00409266	0.00612474	0.00902102	0.0110586	0.0103322	0.0239134	0.0321556	0.0302882	0.0385328	0.0303223	0.0179078	0.0205317	0.0169236	0.0187549	0.0122966	0.00967189	0.0146096	0.0177867	0.0214183	0.0408487	0.0606208	0.0647391	0.0545126	0.102329	0.0844454	0.0787086	0.0756483	0.0696562
mauvaise	0.0125325	0.00815654	0.00548981	0.00469418	0.00266617	0.00271312	0.00357733	0.00473758	0.00604385	0.00503513	0.0198247	0.0254102	0.0325629	0.0379666	0.0277228	0.0175345	0.0149903	0.0152369	0.0285841	0.0279465	0.0243856	0.0206803	0.0220483	0.02794	0.0390356	0.0676037	0.0547373	0.0422899	0.0733006	0.0710494	0.0659854	0.0796266	0.107892
</S>	0.0305332	0.0208683	0.023083	0.0223295	0.0100822	0.00952708	0.0125225	0.0112129	0.0170352	0.0108438	0.0225909	0.0470034	0.0415947	0.0490183	0.0372114	0.0324586	0.040534	0.0419202	0.0701625	0.0353542	0.0199745	0.00953249	0.0127795	0.0217117	0.0274162	0.0366148	0.0332631	0.0358586	0.0390382	0.0475973	0.0366923	0.056184	0.0374516
