 	a66	a10	a87	a23	a87	a23	a50	a83	a9	a38	a99	a70	a13	a18	a50	a62	a47	a96	a66	a71	a83	a70	a93	a90	a98	a47	a7	a44	a93	a56	a96	a66	a57	a9	a87	a99	a50	a83	a38	a93	a70	a13	a93	a70	a66	a3	a97	a87	a23	a87	</S>
je	0.0279895	0.0272398	0.0174201	0.0188975	0.0242525	0.0208208	0.0216295	0.0329038	0.0167646	0.0102302	0.014229	0.00855496	0.0157602	0.016494	0.0212339	0.0107939	0.0213508	0.024378	0.0195038	0.0103288	0.00660981	0.00592297	0.00279143	0.00798578	0.00824543	0.0146363	0.0191794	0.0218104	0.0250655	0.0686323	0.0545109	0.0475434	0.0369272	0.0366314	0.0236782	0.0224426	0.0202358	0.0147912	0.00764843	0.00455287	0.00899966	0.0161102	0.0109096	0.0125754	0.0101389	0.0129075	0.0119081	0.0175189	0.0210858	0.00870351	0.0385255
ne	0.0236699	0.0206911	0.0242414	0.0186126	0.0158733	0.0142525	0.0102553	0.0191344	0.0093054	0.00944611	0.0133109	0.00885097	0.00643179	0.0120681	0.0154466	0.0180344	0.019683	0.0160646	0.0186516	0.0333048	0.0331842	0.0590097	0.0493623	0.0371062	0.035684	0.0399779	0.0390319	0.0410896	0.0295725	0.0227505	0.0224918	0.0132202	0.0192599	0.0140675	0.00900075	0.0101205	0.00494894	0.00835415	0.0139656	0.0165678	0.0140347	0.0178406	0.0201729	0.0118187	0.0132027	0.0102162	0.0117596	0.0126682	0.0149524	0.0162366	0.0110026
comprends	0.0171055	0.00949208	0.0125553	0.00601731	0.00636283	0.00503332	0.00622715	0.015782	0.0117345	0.0134378	0.0159092	0.0313192	0.00912507	0.0142236	0.0390177	0.0961394	0.0539614	0.0314311	0.0327916	0.11344	0.0702717	0.0557401	0.0522422	0.0460837	0.0412338	0.0213445	0.0117757	0.0162553	0.00557062	0.00192336	0.00202607	0.00436102	0.00392121	0.00179948	0.00190187	0.00130501	0.00435929	0.00531859	0.00246181	0.0055386	0.00358374	0.00658034	0.00743907	0.00647763	0.00907309	0.00546616	0.00957868	0.0102066	0.0123584	0.0177057	0.0149912
pas	0.0467217	0.0312643	0.0371409	0.0260134	0.0164134	0.0112036	0.0142512	0.00715646	0.00522572	0.0113218	0.00848796	0.010681	0.0111438	0.0156535	0.0113581	0.0114672	0.0114152	0.0215865	0.00756679	0.0104771	0.00690742	0.00370629	0.00375359	0.00344189	0.00610954	0.00427356	0.00437228	0.00890168	0.014159	0.0117505	0.0207815	0.0309482	0.0209012	0.0210369	0.0187543	0.0177561	0.01895	0.0270998	0.0222551	0.0243016	0.0225765	0.0433612	0.0303092	0.0219508	0.0200274	0.048968	0.0517457	0.0376783	0.0289818	0.0435285	0.0341625
comment	0.0458065	0.0286934	0.0321603	0.0297841	0.0168196	0.0180551	0.0165833	0.00708	0.0108381	0.0203298	0.00869605	0.0167819	0.00944858	0.0147733	0.0093907	0.0126452	0.0137779	0.0273407	0.0100328	0.018528	0.013821	0.0109391	0.011282	0.00972704	0.0132507	0.010896	0.011657	0.0102309	0.0173134	0.012368	0.0218019	0.0225375	0.0165891	0.0188935	0.0175315	0.020669	0.0286546	0.0226947	0.0305219	0.0160152	0.0297764	0.0203147	0.0263758	0.0190753	0.0191214	0.0198937	0.0324399	0.027603	0.0307716	0.0337221	0.0359466
il	0.0469505	0.0278551	0.0226035	0.0112688	0.00644558	0.00601387	0.00426027	0.0040846	0.00348138	0.00586221	0.00360192	0.00847783	0.0064069	0.017948	0.0155449	0.0335579	0.0440847	0.0514638	0.0267743	0.0706026	0.0876613	0.0456404	0.0431845	0.0245674	0.0246038	0.0136452	0.0156474	0.020956	0.0280735	0.0103517	0.0121034	0.015649	0.0141201	0.00919741	0.00845902	0.0076931	0.0114093	0.00739366	0.0139169	0.00850821	0.0172214	0.01269	0.0220372	0.00806326	0.0202169	0.0124619	0.0185294	0.0136603	0.0163957	0.0138797	0.00477424
a	0.0303222	0.0199343	0.019858	0.0103524	0.00670937	0.0045287	0.002982	0.0030159	0.00243694	0.00624759	0.00198401	0.00855297	0.00303637	0.00785859	0.0127664	0.0491303	0.0522562	0.0409827	0.0180408	0.069999	0.0778132	0.0618156	0.0557528	0.0346889	0.0444639	0.0295329	0.0283533	0.0329586	0.0190766	0.006622	0.00826513	0.0111272	0.00759934	0.0072625	0.00567134	0.00469607	0.00784937	0.00462888	0.00531749	0.00443056	0.0125848	0.00999896	0.0236132	0.00934621	0.0229663	0.0161769	0.018613	0.0122404	0.0168035	0.0220805	0.00665583
trompé	0.0291268	0.0143277	0.0138211	0.0100449	0.00902714	0.00608841	0.00385943	0.00723635	0.00516492	0.00845828	0.00635433	0.0117539	0.00594277	0.0161276	0.0222964	0.0395579	0.0473245	0.0420676	0.016056	0.0305806	0.0363499	0.0292896	0.0282366	0.0190076	0.0283371	0.0244198	0.0152293	0.0130868	0.0139738	0.0157593	0.012916	0.0172455	0.0108577	0.0130562	0.012025	0.00864028	0.0300968	0.0204258	0.018407	0.00516691	0.0211418	0.0169795	0.0239281	0.0148823	0.0278033	0.0294269	0.0312222	0.0258948	0.0277247	0.0328447	0.0304082
sa	0.0263958	0.0188306	0.0232974	0.0238093	0.0195322	0.0209318	0.0127829	0.0143747	0.0148131	0.0101424	0.0111287	0.00866966	0.0051405	0.010699	0.0129035	0.0137179	0.021241	0.0227615	0.0100801	0.0143108	0.0216566	0.0150811	0.0229603	0.0139771	0.021779	0.0178492	0.0267409	0.0155884	0.0244947	0.0299722	0.0194189	0.0289273	0.0283242	0.0221057	0.019763	0.0147616	0.0265598	0.028112	0.0257504	0.0132814	0.0200997	0.0193247	0.021232	0.0227266	0.0195325	0.0223871	0.0221407	0.0187633	0.0294142	0.0159479	0.0357644
belle	0.0124849	0.0074587	0.0096878	0.00856074	0.00680749	0.00721581	0.00369762	0.00651285	0.00616963	0.00560859	0.00634196	0.00773387	0.00368486	0.00570853	0.00805015	0.0127101	0.0118622	0.0101443	0.00870564	0.0147128	0.0165225	0.0116097	0.02003	0.0172888	0.0146357	0.0284834	0.0290061	0.0364121	0.0451234	0.0457731	0.0282112	0.0199681	0.0263954	0.0209983	0.018025	0.0255702	0.0228877	0.0295096	0.0419275	0.0396038	0.0438683	0.0379649	0.0401689	0.0333601	0.0247132	0.0192711	0.0176998	0.0208181	0.016331	0.0220835	0.0218806
famille	0.014591	0.00713413	0.00949096	0.0068999	0.00516053	0.005932	0.00450181	0.00494328	0.00584734	0.00667678	0.0057733	0.00610921	0.00324656	0.00351379	0.00441802	0.00697838	0.00679878	0.0073831	0.00764877	0.0170298	0.0177439	0.0104496	0.0153735	0.0109569	0.0116709	0.0164316	0.0144858	0.0188795	0.0222433	0.031512	0.0189678	0.0191022	0.0218569	0.0157308	0.0119834	0.0189994	0.0445888	0.0375198	0.0466227	0.0402293	0.041738	0.0445362	0.0586626	0.0654304	0.0514712	0.0398269	0.0252465	0.0233085	0.0224467	0.0202228	0.0216845
</S>	0.0299177	0.0236155	0.02166	0.0164507	0.0130531	0.00759059	0.00616508	0.0155492	0.00804165	0.0103434	0.00680394	0.00912844	0.00611885	0.00946838	0.0148849	0.0188372	0.0203248	0.0257326	0.0268228	0.0225908	0.0155954	0.0138072	0.00956081	0.00749939	0.00753947	0.00510224	0.00605757	0.0101931	0.00765065	0.00983628	0.00960051	0.016046	0.0147839	0.0130191	0.0135588	0.0164932	0.0258564	0.0173795	0.0247774	0.0277752	0.0259649	0.0382084	0.0406914	0.054982	0.0642949	0.0528124	0.0337838	0.0251976	0.0299757	0.0224437	0.0264134
