 	a66	a87	a23	a83	a9	a24	a47	a31	a43	a75	a56	a98	a85	a21	a85	a21	a61	a75	a92	a75	a5	a37	a18	a82	a87	a23	a99	a97	a3	</S>
nous	0.0916352	0.0965278	0.0335792	0.0325252	0.0436608	0.0173389	0.0115735	0.0113901	0.00836496	0.0081015	0.0110352	0.0162812	0.0133502	0.0145224	0.0238637	0.0278204	0.0299782	0.0258518	0.0186103	0.0210764	0.0207186	0.0418822	0.040426	0.0380479	0.0406611	0.0387734	0.053707	0.0530529	0.0547601	0.060884
avons	0.0170031	0.0181395	0.0305498	0.0207726	0.0343561	0.0402616	0.0517032	0.0743808	0.0673425	0.0670566	0.0388365	0.0416149	0.0309145	0.024248	0.0299881	0.0201345	0.0134163	0.0130978	0.0247975	0.0160466	0.0225694	0.0134177	0.0166574	0.0253563	0.0242293	0.0324687	0.0408457	0.0454329	0.0493205	0.0550417
acheté	0.0223685	0.0116141	0.00923381	0.00725138	0.0148022	0.022928	0.0219092	0.0299605	0.0370197	0.0430676	0.0277539	0.0257069	0.0293205	0.0278832	0.0104124	0.0142491	0.0133293	0.0122877	0.0265835	0.0233541	0.0495376	0.0444493	0.047073	0.059826	0.0611833	0.0729682	0.0761368	0.0578301	0.074004	0.025956
les	0.0747954	0.0443652	0.0269639	0.0390412	0.0323173	0.0444291	0.0251865	0.0311592	0.0420274	0.0328341	0.0491046	0.0449389	0.058691	0.0464842	0.0222025	0.0328217	0.0326229	0.0275563	0.024802	0.0320706	0.028112	0.037548	0.0268538	0.0206741	0.0270811	0.0226393	0.0188933	0.0158336	0.0219878	0.0159628
feuilles	0.0726355	0.0399513	0.0510746	0.0480012	0.0380868	0.0276918	0.0221305	0.0302916	0.0281541	0.0453165	0.0509023	0.0565372	0.0547862	0.0705097	0.0471349	0.0328794	0.0460243	0.0283065	0.030077	0.0332027	0.0196366	0.0289298	0.026115	0.0134286	0.0109787	0.0118257	0.0121479	0.00584935	0.0116052	0.00578899
de	0.118908	0.0690425	0.0365526	0.0408666	0.0458948	0.0415931	0.022351	0.00854255	0.00550185	0.00419861	0.00458219	0.00601613	0.00504093	0.00952274	0.0133989	0.0270252	0.0285503	0.0337574	0.046231	0.0361669	0.0356529	0.0416882	0.0394832	0.039003	0.0336362	0.0516968	0.0384194	0.0389139	0.0502418	0.0275206
man-	0.0993797	0.0426205	0.0297041	0.0305933	0.0415144	0.0370614	0.0226963	0.0156839	0.0103371	0.00933545	0.00907753	0.0142079	0.00993947	0.00662403	0.0115735	0.014364	0.0190946	0.0205451	0.0293887	0.0340426	0.0626658	0.0764258	0.0602244	0.0611577	0.0438088	0.0520906	0.0421929	0.0332286	0.0479913	0.0124305
ioc	0.071644	0.0464512	0.0347783	0.0266199	0.0203542	0.0259381	0.0211118	0.0130398	0.00842301	0.00680603	0.00607739	0.00566396	0.00532401	0.00518314	0.00502849	0.00598228	0.0083654	0.0103811	0.0206938	0.0207262	0.032924	0.0445321	0.0548644	0.0650725	0.0558857	0.0822106	0.063936	0.0731702	0.0774684	0.0813439
au	0.0541929	0.0365839	0.0250923	0.0181618	0.0159895	0.0161071	0.0158333	0.0149314	0.00704805	0.00523319	0.00481838	0.00535919	0.00475313	0.00440482	0.00476733	0.00507233	0.00893246	0.0124347	0.0292981	0.0278022	0.0409034	0.0409604	0.0604555	0.0693426	0.0772201	0.0966226	0.081047	0.062065	0.0817788	0.0727882
marché	0.0682838	0.0595375	0.0505102	0.0411876	0.0365765	0.0294162	0.0216383	0.0162372	0.0101344	0.0110321	0.0149694	0.0181271	0.0174852	0.0173719	0.0201009	0.0218515	0.025436	0.0262821	0.0411123	0.0349141	0.049772	0.0304669	0.0421314	0.044095	0.0371535	0.0493466	0.0457733	0.0341609	0.0507164	0.0341796
</S>	0.0646592	0.0432321	0.0315199	0.0216067	0.0293642	0.0185133	0.00998285	0.00745793	0.00395619	0.00266325	0.00378166	0.00535428	0.00470272	0.00413214	0.00495077	0.00712303	0.0132359	0.0172636	0.0311466	0.0331941	0.0483537	0.0402366	0.0522973	0.0593331	0.0768254	0.085264	0.0758015	0.0650866	0.0711401	0.0678213
