 	a66	a82	a3	a10	a97	a9	a53	a90	a76	a69	a98	a79	a44	a90	a56	a75	a24	a61	a62	a83	a18	a9	a99	a35	a98	a85	a21	a92	a37	a98	a47	a7	a98	a85	a5	a24	a18	a75	a41	a94	a24	a12	a93	a90	a94	a38	a9	a10	a82	a27	</S>
sa	0.0129028	0.0151234	0.0201446	0.0222563	0.0334583	0.0322256	0.0424329	0.0261878	0.0233171	0.027828	0.0493127	0.0228391	0.0237175	0.0261425	0.0415914	0.0233623	0.0138759	0.0284704	0.0335926	0.0168271	0.0153667	0.0135249	0.0143984	0.0125031	0.0126368	0.015232	0.015194	0.0165796	0.0130143	0.0154307	0.0120786	0.0160653	0.0183782	0.0216582	0.0182661	0.0243828	0.0122945	0.0164379	0.0228727	0.0220559	0.0120092	0.0135061	0.0139147	0.009442	0.010196	0.00584353	0.00871398	0.00912055	0.00908015	0.0127638	0.0314311
joue	0.00352696	0.00553257	0.0111961	0.00840439	0.0126928	0.011408	0.0226193	0.0605837	0.0841764	0.108461	0.0926709	0.151691	0.103037	0.0805071	0.0336442	0.0218566	0.0186975	0.00840144	0.0136845	0.0148555	0.00873378	0.00734383	0.0125151	0.0131145	0.00767184	0.00534731	0.00408498	0.00331387	0.00490145	0.00500553	0.00524377	0.00360768	0.00668125	0.00502079	0.00710059	0.0016956	0.00382724	0.00373263	0.00250107	0.00171284	0.00163235	0.00237904	0.00119046	0.00101285	0.00169492	0.000859444	0.00100103	0.00107959	0.00125085	0.00180529	0.00529157
s'	0.0213027	0.0157507	0.0331835	0.0128834	0.0205164	0.0222084	0.0279034	0.0126511	0.0137239	0.0191515	0.0187808	0.022587	0.0370336	0.0267631	0.0168288	0.0270903	0.0206483	0.0306783	0.0169337	0.0254014	0.0266843	0.0169724	0.0370721	0.0157751	0.0147571	0.0161585	0.014699	0.0268076	0.0251514	0.0533928	0.0221877	0.0283154	0.0171332	0.0175747	0.0188516	0.00910051	0.00845181	0.0088907	0.00983509	0.00499913	0.00839899	0.00762698	0.00742309	0.0157052	0.0264846	0.0221654	0.0309805	0.0143766	0.0116027	0.0104582	0.00994722
est	0.0120077	0.0044475	0.0042769	0.00234955	0.00287779	0.0047826	0.0055299	0.0042738	0.00840553	0.00940321	0.0132271	0.0145411	0.0111982	0.0156483	0.0212282	0.0175362	0.0159114	0.023647	0.0105424	0.0332722	0.0381507	0.0263808	0.0308443	0.0305609	0.0375663	0.0369829	0.0390007	0.0339229	0.0276335	0.0425739	0.033848	0.0441144	0.0298862	0.0189265	0.0340608	0.0305362	0.045233	0.0129387	0.0167205	0.0126564	0.0179737	0.0128669	0.00872473	0.00868309	0.0076991	0.0076762	0.0108368	0.017991	0.0148226	0.0168978	0.0181841
contusionnée	0.0183634	0.0133468	0.0104561	0.0107195	0.0189567	0.0166845	0.0419748	0.0288497	0.0319976	0.0415097	0.0542707	0.0575249	0.0207442	0.0334599	0.040224	0.0259587	0.0194579	0.014895	0.023905	0.0274088	0.0295696	0.0277563	0.0274107	0.0336305	0.0325052	0.0319535	0.0402008	0.0286716	0.0386495	0.0214924	0.0167717	0.0134502	0.0101835	0.00791516	0.00958495	0.00982731	0.00910591	0.00753033	0.00742857	0.00823095	0.00764301	0.0044277	0.00220031	0.00231749	0.00259952	0.00119363	0.0015478	0.00245686	0.0031022	0.00461393	0.00532104
suite	0.0176811	0.0102037	0.00512404	0.00365543	0.00329689	0.00415664	0.00437093	0.00299042	0.00397426	0.00648356	0.0128347	0.0350526	0.0167684	0.0336825	0.0286411	0.0587974	0.0605265	0.0460317	0.0359884	0.0389259	0.0507487	0.0434059	0.0375398	0.0453344	0.0397206	0.0388971	0.0395168	0.0236834	0.0335346	0.0180835	0.010741	0.00847459	0.00639905	0.00696174	0.00824616	0.0164379	0.0140303	0.0105932	0.0121077	0.014743	0.0155487	0.0108675	0.00640353	0.00638391	0.00431371	0.00438833	0.00558281	0.0061724	0.00943017	0.00949239	0.0130307
à	0.0119081	0.00437517	0.00548135	0.00341748	0.00374307	0.00474259	0.00470363	0.0026147	0.00279288	0.00429088	0.00971723	0.0247112	0.0288072	0.0341767	0.025497	0.036239	0.0279947	0.0389393	0.033984	0.0439852	0.0460909	0.0566727	0.0480058	0.0432669	0.0417365	0.0457518	0.0394139	0.0312124	0.0372817	0.0234434	0.0193011	0.0176096	0.0108237	0.0122896	0.00913463	0.0159533	0.00914029	0.00889299	0.0157967	0.0135594	0.00843212	0.00724667	0.0129957	0.00911796	0.00797708	0.00627403	0.0064843	0.0077392	0.0110885	0.00672324	0.0184226
la	0.0196209	0.0162558	0.0134225	0.0110472	0.00886949	0.00797381	0.00416282	0.00331315	0.00315879	0.00180672	0.00460956	0.0038068	0.00739525	0.0167023	0.00918557	0.0200304	0.0357169	0.0306711	0.0244306	0.0290856	0.0512381	0.0392868	0.0533042	0.0498017	0.0397018	0.0332593	0.0327982	0.0306062	0.0239605	0.0202358	0.0191233	0.0163057	0.00844887	0.0097638	0.00945578	0.0126046	0.00977502	0.00897663	0.0114214	0.0181527	0.0174797	0.0154739	0.0165222	0.0149915	0.0158103	0.0218864	0.0247173	0.0258019	0.0258013	0.0233623	0.0286674
giffle	0.0125484	0.00926008	0.00809191	0.00572073	0.00423019	0.00543906	0.00387673	0.00381838	0.00653998	0.00434893	0.00660433	0.00759266	0.0128466	0.0231057	0.0102184	0.0230424	0.0430383	0.0285531	0.0334994	0.0502943	0.0887747	0.0370002	0.0536708	0.0535358	0.0352066	0.0413596	0.0453717	0.0133545	0.0219802	0.00941265	0.0075849	0.0128096	0.00626475	0.00667737	0.00610683	0.0120169	0.00739888	0.00640165	0.00670975	0.0168355	0.0157631	0.0125954	0.0132704	0.0117712	0.0129066	0.0250319	0.0195509	0.0191986	0.038349	0.0261023	0.0143181
qu'	0.0231324	0.0287128	0.0359927	0.0431079	0.0462797	0.060034	0.0316386	0.0182897	0.0148893	0.0098353	0.0154322	0.0179136	0.0320599	0.0510984	0.0301295	0.0315067	0.0272661	0.0359709	0.0255731	0.0284448	0.0293839	0.0232549	0.0268323	0.0297134	0.0256682	0.0234655	0.0179013	0.0157265	0.0204741	0.0146607	0.0123818	0.0147163	0.00839266	0.00825067	0.00825253	0.0102628	0.00808582	0.00470035	0.00405125	0.00620388	0.00495418	0.00421093	0.00442022	0.00384585	0.00429124	0.00905908	0.00800957	0.0065094	0.00767697	0.0139874	0.0133489
