 	a10	a9	a83	a34	a56	a96	a75	a96	a75	a88	a75	a85	a98	a85	a43	a11	a75	a85	a66	a75	a5	a96	a62	a83	a9	a87	a23	a87	a10	a87	a23	a87	</S>
les	0.171293	0.0878	0.0495774	0.0791009	0.0306304	0.0221382	0.0135656	0.0143899	0.0134597	0.010561	0.00955352	0.0108413	0.0101614	0.01086	0.00946526	0.0124362	0.0118614	0.0205763	0.0172744	0.0207552	0.0275276	0.0248149	0.0258255	0.0200735	0.0451069	0.0238277	0.0203817	0.017905	0.0189131	0.0338236	0.0335868	0.0372779	0.0446353
mauvaises	0.00731356	0.00693405	0.00551208	0.00565517	0.00675691	0.0101903	0.0117951	0.014148	0.0345621	0.0662295	0.0860122	0.112202	0.117028	0.0956427	0.122805	0.100886	0.104826	0.0286191	0.00502169	0.00552494	0.00224961	0.00270583	0.00223244	0.00179209	0.00632363	0.00191665	0.00298448	0.0044151	0.0030296	0.00685889	0.00679978	0.00805976	0.00296792
herbes	0.0645513	0.0441986	0.0229964	0.020369	0.0148373	0.0187173	0.0154608	0.0376185	0.0393517	0.0400415	0.0381295	0.0373073	0.0286433	0.032389	0.0395267	0.0378065	0.0170127	0.0201279	0.0072764	0.00943114	0.0078178	0.0112115	0.0135496	0.00980681	0.0359707	0.0433251	0.0614597	0.0425234	0.0581302	0.0570814	0.0395702	0.0238489	0.00991184
se	0.0562223	0.0230876	0.0430024	0.048236	0.0624987	0.0534602	0.0533085	0.0567913	0.046971	0.0476624	0.0581405	0.0592111	0.044087	0.0392025	0.0427131	0.0377056	0.0149202	0.020706	0.0142056	0.00786402	0.00850619	0.00822844	0.010014	0.00769425	0.0153151	0.0130856	0.0163191	0.0154383	0.0138302	0.0157714	0.0160153	0.0181844	0.0116018
sont	0.0564031	0.0393477	0.0798196	0.0834779	0.0745131	0.0464204	0.0317174	0.0157415	0.0115717	0.00835847	0.0112147	0.0168587	0.0246776	0.0334784	0.031753	0.0792559	0.0879766	0.0725363	0.0315665	0.0217575	0.0275465	0.0173184	0.00652217	0.0129595	0.0116414	0.0107512	0.0108744	0.00772863	0.00785535	0.00670803	0.00621826	0.00595716	0.00947304
répandues	0.0452719	0.0450363	0.0376181	0.0398895	0.0360229	0.033151	0.0211918	0.0173183	0.00628991	0.00619872	0.00871036	0.0109155	0.0176251	0.0292367	0.0231286	0.0626407	0.0568657	0.0620549	0.0418101	0.0353272	0.0476018	0.0369601	0.0284702	0.0477103	0.0355406	0.0444045	0.0287994	0.0141853	0.0178684	0.0209305	0.0120791	0.0133009	0.0158453
dans	0.0299947	0.0300281	0.0366241	0.0459549	0.0374183	0.0325867	0.0344745	0.0405832	0.0323405	0.0349214	0.0400704	0.0355457	0.0291351	0.0302055	0.0243568	0.026492	0.0201701	0.0314141	0.0238571	0.0203498	0.0190098	0.0228485	0.0297504	0.0203578	0.0256651	0.028643	0.0369892	0.0317041	0.039934	0.0319511	0.0252137	0.029352	0.0220582
la	0.0220811	0.0212834	0.0169391	0.0223035	0.0139434	0.0165978	0.0158858	0.0273449	0.0212607	0.0299783	0.0436644	0.0295511	0.0213982	0.0188378	0.0262866	0.0221952	0.0214755	0.0276848	0.0253426	0.0263263	0.033111	0.033131	0.0356146	0.0424779	0.039317	0.0520011	0.0518207	0.0489835	0.0526423	0.0449702	0.0344314	0.031066	0.0300526
cour	0.0389111	0.0372556	0.0213539	0.0209241	0.0183621	0.0216244	0.0211926	0.0254267	0.0129622	0.0147669	0.0171627	0.0111729	0.00830088	0.00688712	0.00988405	0.00892373	0.0103026	0.010653	0.0137369	0.0177266	0.0193493	0.026955	0.0368164	0.0248834	0.0452117	0.0511479	0.0542585	0.0568746	0.0583193	0.0626485	0.0700698	0.0602661	0.0856691
</S>	0.0682202	0.058972	0.0332496	0.0366907	0.0214581	0.0177857	0.0102549	0.0122044	0.00536782	0.00666262	0.00699644	0.00654141	0.00719742	0.00673661	0.0072755	0.0068668	0.00722336	0.0242544	0.0208747	0.0172432	0.0208125	0.0270914	0.0329876	0.0335189	0.030309	0.0494513	0.0524811	0.041346	0.0450788	0.0696295	0.0516165	0.0890888	0.0745127
