 	a66	a87	a23	a87	a23	a13	a31	a61	a43	a56	a75	a92	a12	a75	a5	a12	a18	a31	a21	a56	a44	a57	a82	a87	a23	a99	a97	</S>
je	0.076971	0.0748685	0.0425726	0.0159444	0.0088589	0.0105573	0.0132208	0.00619063	0.00568971	0.00796999	0.00552269	0.0083592	0.011526	0.0123092	0.0117289	0.0113699	0.0240573	0.0620956	0.106402	0.0811953	0.0464403	0.0588781	0.0615168	0.0526196	0.0571391	0.0554465	0.0292478	0.0413021
l'	0.047046	0.0357628	0.0304348	0.034748	0.0389211	0.0522465	0.0430573	0.0246481	0.0225018	0.0254061	0.0405501	0.0414378	0.0425408	0.0371055	0.0472	0.0364109	0.0427086	0.0616971	0.0230432	0.0261093	0.0423164	0.0254525	0.039251	0.030514	0.0305571	0.0293764	0.0257742	0.0231827
ai	0.0396819	0.0223107	0.0189224	0.0159882	0.00821363	0.0199438	0.0157801	0.00866646	0.00608256	0.0100853	0.0162531	0.016837	0.0202426	0.0171703	0.0163911	0.0115891	0.0145226	0.0316515	0.0249578	0.0296799	0.0709993	0.0561961	0.0524906	0.054914	0.089654	0.0745468	0.127681	0.108548
payé	0.0167597	0.0187824	0.028215	0.0362489	0.0810052	0.0917094	0.0985972	0.0574224	0.074823	0.0338834	0.0666138	0.077089	0.0536484	0.0399034	0.0245008	0.0362942	0.0340623	0.0404127	0.0157372	0.0153572	0.00926914	0.0073398	0.00660162	0.00637056	0.00761963	0.00915386	0.00442204	0.00815762
pour	0.128673	0.0794964	0.0650172	0.0641175	0.0495416	0.032716	0.0237417	0.0271188	0.0186388	0.0106783	0.0166521	0.00923583	0.00926057	0.0113965	0.0178143	0.0229916	0.0194045	0.0338722	0.025003	0.0235195	0.0425311	0.0493222	0.0412786	0.0523873	0.0371916	0.0306809	0.036868	0.0208514
le	0.0657551	0.0374628	0.0244233	0.0228035	0.0137132	0.0155566	0.0156863	0.0188445	0.0170799	0.0188512	0.0147302	0.013741	0.0185661	0.0168705	0.0149435	0.0321236	0.041865	0.0675828	0.0608988	0.0640083	0.0772876	0.0495109	0.0500486	0.0569435	0.0521269	0.0509477	0.0441474	0.0234812
travail	0.0398364	0.0314511	0.0245586	0.0152583	0.0189675	0.015112	0.0181104	0.0256545	0.0237746	0.0175535	0.0175138	0.0162067	0.0210657	0.0230431	0.0198491	0.0673918	0.0615266	0.110152	0.0874839	0.0622985	0.0605913	0.0609606	0.0359369	0.0373534	0.0291586	0.0250166	0.0237368	0.010438
qu'	0.103068	0.0675304	0.0508836	0.0256965	0.0212388	0.0230926	0.0360985	0.0152773	0.0142038	0.0149599	0.00907477	0.00810465	0.0103815	0.0125279	0.0215681	0.0345867	0.0448693	0.0569186	0.0817056	0.0443844	0.0434247	0.0438642	0.0253618	0.0350509	0.0241775	0.0360787	0.0465527	0.0493185
il	0.0476851	0.0355541	0.0276177	0.0239788	0.0129598	0.0176525	0.0183541	0.0117992	0.00709818	0.0150915	0.0126719	0.0120048	0.0242678	0.0215826	0.0307345	0.0411717	0.0319661	0.0469577	0.044567	0.0415562	0.0552983	0.0477273	0.0612586	0.0685145	0.0663549	0.0646664	0.0745155	0.0363932
a	0.0328106	0.0236797	0.0174977	0.0148702	0.00939433	0.0136282	0.0159754	0.0174887	0.0104763	0.0153521	0.019338	0.0173385	0.0261394	0.0249553	0.0248924	0.0268432	0.0135441	0.0324344	0.0266802	0.0247339	0.0426567	0.0401754	0.0658428	0.0620989	0.082247	0.0776311	0.093067	0.128208
fait	0.0585277	0.0385532	0.0231196	0.0156152	0.00591136	0.00819412	0.00972911	0.0101426	0.00634763	0.00696009	0.00625997	0.00697517	0.0166336	0.0229185	0.0254476	0.0267196	0.0149425	0.0361323	0.0259325	0.0198927	0.0484261	0.0374794	0.0646807	0.0706	0.0874995	0.0851425	0.131765	0.0894514
</S>	0.0504486	0.0328608	0.0197309	0.0139893	0.00536764	0.00754482	0.0077122	0.00750397	0.00590264	0.00730213	0.00602674	0.0062682	0.0160712	0.0190016	0.0290583	0.0321191	0.0219316	0.044872	0.0286829	0.0258436	0.0626446	0.0450093	0.0762159	0.0819618	0.0909319	0.0802819	0.107587	0.0671296
