 	a66	a87	a23	a79	a40	a7	a26	a62	a34	a90	a15	a69	a58	a40	a98	a47	a7	a90	a25	a92	a37	a34	a75	a85	a47	a6	a37	a96	a18	a38	a70	a11	a61	a0	a47	a96	a62	a47	a88	a62	a96	a79	a69	a7	a36	a2	a57	a87	a23	a99	a97	a87	</S>
il	0.0410319	0.0575767	0.028674	0.0236294	0.0219749	0.0727347	0.0580039	0.0447107	0.0514094	0.0483263	0.0345499	0.0368428	0.0244534	0.0230868	0.0254862	0.0204392	0.0141549	0.013396	0.0204834	0.0166082	0.0118745	0.0144646	0.0246881	0.0106061	0.00752439	0.0120981	0.00953469	0.00969974	0.0095508	0.0119694	0.0104551	0.0104782	0.0114381	0.0117329	0.00526063	0.0022791	0.00254948	0.00282311	0.00411117	0.00468399	0.00431854	0.00396854	0.00398673	0.00557707	0.00467133	0.00638282	0.00886316	0.00583584	0.0106163	0.0117829	0.0183813	0.0117168	0.0385037
ne	0.0100489	0.0104874	0.0114362	0.0126877	0.0171796	0.0153927	0.0329621	0.0471977	0.0307277	0.0272217	0.0415936	0.0356073	0.0421261	0.0241853	0.0384135	0.0343151	0.0398974	0.0346265	0.0418602	0.0261575	0.0280614	0.0179379	0.0285804	0.0187979	0.0330115	0.0223772	0.0216864	0.0198008	0.0200207	0.0127025	0.0160671	0.0158026	0.0104724	0.00776	0.00546511	0.00347324	0.00456319	0.00251091	0.00226288	0.00215224	0.00148412	0.00391622	0.00620737	0.00889117	0.00738589	0.0136232	0.0106967	0.020519	0.0109307	0.0157984	0.0108667	0.0132996	0.00875016
manque	0.0228333	0.020118	0.0145502	0.0133601	0.0186755	0.020586	0.016659	0.0259093	0.0232576	0.0119262	0.0117436	0.0154329	0.01258	0.0115646	0.017557	0.0223782	0.0315672	0.029797	0.0274873	0.0339368	0.0276594	0.0260905	0.0325442	0.0361434	0.064523	0.0552177	0.0334286	0.0314477	0.0596236	0.03645	0.0377181	0.0262232	0.0232341	0.00921465	0.00703202	0.00387083	0.00352351	0.00121294	0.00130932	0.00120214	0.000787438	0.00180817	0.00317557	0.00410681	0.00363859	0.00451128	0.00545638	0.00712904	0.00771386	0.0108088	0.0108022	0.0120723	0.00840132
pas	0.0790811	0.0351329	0.0208842	0.0150893	0.00768206	0.00868475	0.00729329	0.0095489	0.0106746	0.0102802	0.00496113	0.00492513	0.00316316	0.00458814	0.00441542	0.00333035	0.00438813	0.00451174	0.00584012	0.00386708	0.00680655	0.00724727	0.00486864	0.0074798	0.00845223	0.00728622	0.00656564	0.00550354	0.00990667	0.0142622	0.00809838	0.0095782	0.0119287	0.0138611	0.0203543	0.0221808	0.0417581	0.0418239	0.0423875	0.0466936	0.048543	0.0381071	0.0160361	0.0293935	0.0247679	0.0185212	0.0267984	0.0270136	0.0307858	0.0323944	0.0340262	0.0300193	0.0582083
de	0.0162379	0.0116079	0.00597797	0.00696516	0.00552661	0.0069165	0.00740113	0.014757	0.0170805	0.0172669	0.0183587	0.0181369	0.0189662	0.0332718	0.0258712	0.0311586	0.0533072	0.0808592	0.0704648	0.0498732	0.047279	0.0523098	0.0275362	0.0437019	0.0365493	0.0299947	0.0445952	0.0244905	0.0261343	0.0154813	0.0195722	0.0162507	0.00660814	0.00628028	0.00658893	0.00525911	0.00495506	0.00225592	0.00188491	0.00391706	0.0037473	0.00608484	0.00499236	0.00860241	0.00520794	0.00382189	0.00469863	0.00540062	0.00470177	0.00555862	0.00446074	0.00615506	0.00491782
commettre	0.0177978	0.0160384	0.0114393	0.0107328	0.00810864	0.00965033	0.00793059	0.0103057	0.0118745	0.0116484	0.0190879	0.0345667	0.0329401	0.052186	0.0386474	0.0452306	0.061692	0.0899129	0.0881796	0.0615413	0.045269	0.0488609	0.0354373	0.028189	0.015709	0.0173121	0.0258493	0.013091	0.0108653	0.0136543	0.0090411	0.0104922	0.00436113	0.00573731	0.00527821	0.00445024	0.00336725	0.00374446	0.00228926	0.00429841	0.0038735	0.00275782	0.0030625	0.0069813	0.00305151	0.00504374	0.00523255	0.00403381	0.00538192	0.00336581	0.00401954	0.00284242	0.00354569
un	0.0201639	0.00824367	0.00652075	0.00497979	0.00550462	0.00253581	0.00204781	0.0068055	0.00721859	0.00671993	0.0122	0.0201752	0.0183144	0.0310937	0.0326967	0.0331178	0.0403283	0.0627527	0.0610408	0.0649531	0.0478482	0.0492156	0.0441761	0.0294709	0.0226378	0.0225175	0.0166759	0.0204853	0.0196677	0.0289464	0.021363	0.024648	0.00974166	0.0127968	0.0107632	0.00784863	0.00660245	0.00583126	0.00443502	0.00497924	0.00519752	0.0100266	0.00911952	0.0167325	0.0125017	0.0121409	0.0121579	0.0161062	0.0117979	0.0109714	0.009275	0.00862316	0.00728617
délit	0.0105261	0.00369745	0.00268337	0.00263718	0.00197223	0.000694529	0.000940083	0.00282468	0.00297752	0.00605309	0.0154011	0.0214967	0.040079	0.0458312	0.0293709	0.0353649	0.0420293	0.0764293	0.0606628	0.0528589	0.0670045	0.0633999	0.0505215	0.0214948	0.018685	0.022325	0.0183336	0.0253255	0.0185092	0.023183	0.0121266	0.0191352	0.0101305	0.0095765	0.0072519	0.00462662	0.00445159	0.0055125	0.00398436	0.00798932	0.00789127	0.00905719	0.00662138	0.0108971	0.00919002	0.0126632	0.0176629	0.0154869	0.0120166	0.01105	0.00805576	0.00725727	0.00405308
là	0.0290198	0.00731604	0.00479669	0.00390838	0.00128546	0.000642735	0.000515044	0.00194571	0.00160477	0.00242448	0.00717142	0.0132379	0.025793	0.0310417	0.0115425	0.0244054	0.0285989	0.032314	0.0281879	0.0253745	0.0266926	0.0354276	0.024032	0.0136256	0.0189951	0.0144883	0.0101363	0.023256	0.0100919	0.0126678	0.0118359	0.0155085	0.00888984	0.00692493	0.00708503	0.00711145	0.00760602	0.00772197	0.010969	0.0227434	0.0206544	0.0178721	0.0117548	0.0225901	0.0200059	0.0428097	0.0334248	0.043009	0.0412156	0.061548	0.044034	0.0472012	0.0169448
où	0.0422236	0.0151988	0.00636301	0.00459689	0.00189573	0.00319844	0.00197067	0.0107233	0.00598048	0.00532302	0.0107514	0.016399	0.0250434	0.0269869	0.0176471	0.0254899	0.0175123	0.0184566	0.0197662	0.0225633	0.0177543	0.0229519	0.0206695	0.0207408	0.0267248	0.0233986	0.0215256	0.028693	0.0154226	0.0235311	0.0223985	0.021255	0.0163346	0.0124583	0.0103609	0.00792799	0.0117541	0.00702204	0.00753514	0.0183387	0.0119077	0.0083245	0.00913232	0.0195679	0.0112263	0.0156034	0.0149227	0.0191352	0.0221512	0.0531468	0.0457334	0.0599378	0.0543229
