 	a87	a30	a57	a10	a79	a54	a47	a37	a61	a21	a66	a25	a11	a96	a98	a73	a44	a13	a90	a25	a90	a38	a75	a12	a25	a87	a23	a87	a23	a99	a97	</S>
l'	0.0513188	0.0684908	0.0650521	0.065382	0.067047	0.0694601	0.0279937	0.0157244	0.0110158	0.0111682	0.0231837	0.0108588	0.0102566	0.00554894	0.00710934	0.00521809	0.00539849	0.00302077	0.00189226	0.00131624	0.00180645	0.0050013	0.0160562	0.0315262	0.0383814	0.050468	0.0554141	0.0480051	0.0510635	0.0532766	0.0507773	0.0717678
oseille	0.00582131	0.0238008	0.0680592	0.0904376	0.143874	0.135316	0.165535	0.11647	0.0798142	0.0658749	0.0330032	0.0169449	0.0076428	0.00496105	0.00455456	0.00485279	0.00514287	0.00213451	0.00149012	0.00150669	0.00122957	0.000799444	0.0012424	0.00134499	0.0015178	0.00136038	0.00236671	0.00220321	0.00233539	0.00181593	0.00336854	0.00317858
cuite	0.0269457	0.0216269	0.0379824	0.0330393	0.0382847	0.0428645	0.0284451	0.028758	0.0762334	0.0686211	0.0906032	0.0371011	0.0381486	0.037222	0.0460386	0.0456694	0.0393468	0.0117699	0.00286037	0.00139162	0.00161426	0.00128928	0.00229527	0.00348329	0.00706487	0.00739476	0.0175042	0.0283255	0.0343232	0.0314933	0.0641095	0.0481497
à	0.0132582	0.00936237	0.00883248	0.00414504	0.00480813	0.00437979	0.00821999	0.00962782	0.0129285	0.0141815	0.0199566	0.0159438	0.0278068	0.0337626	0.0305422	0.0257329	0.0212271	0.0258105	0.0353861	0.0528557	0.0397089	0.0555517	0.0289947	0.03586	0.0522055	0.0770316	0.0683874	0.0508727	0.0558697	0.0627545	0.0557475	0.0382476
l'	0.0448488	0.0220866	0.0245887	0.0230348	0.0238816	0.0228201	0.0180221	0.0176419	0.0172837	0.0189001	0.0138767	0.0100872	0.00930659	0.0140749	0.0133485	0.0215315	0.0430033	0.0164698	0.0173462	0.0192918	0.0323457	0.0425913	0.0202468	0.0195913	0.0390535	0.033777	0.0669652	0.0509442	0.0728184	0.0813298	0.0476216	0.0812701
étouffée	0.0251196	0.0244301	0.0232106	0.0171237	0.0278565	0.0243123	0.0208402	0.0200456	0.0220501	0.0320229	0.0454286	0.028375	0.0336975	0.0366287	0.0417777	0.0263641	0.0218993	0.0084387	0.00930606	0.0158461	0.0389378	0.0537847	0.0309438	0.0279044	0.0365263	0.0258348	0.0530149	0.0376301	0.0530413	0.0594701	0.0335223	0.0446161
s'	0.0706658	0.0304911	0.0373	0.0478603	0.0381295	0.0388464	0.0274374	0.0195943	0.0337515	0.0263041	0.0171035	0.0142316	0.0134662	0.00698976	0.00841433	0.00423339	0.00492976	0.00367884	0.00339224	0.00294702	0.00766981	0.00787755	0.0101571	0.0155155	0.0241639	0.0275712	0.0521992	0.070379	0.0811783	0.0698021	0.072494	0.111225
attendrit	0.0568483	0.0404878	0.0395269	0.0470857	0.0419009	0.0447665	0.0462423	0.0312996	0.0794054	0.0421395	0.0366182	0.0324032	0.0226381	0.0227683	0.0130939	0.00755968	0.00515682	0.0044784	0.00651691	0.00838886	0.0149634	0.019965	0.0109031	0.0132852	0.0165937	0.0193027	0.0296523	0.0381945	0.0405433	0.0293828	0.0501046	0.0877844
vite	0.0786414	0.0555341	0.0530601	0.0428187	0.0343842	0.0251766	0.00898056	0.00475773	0.00998493	0.00422172	0.00584983	0.00507087	0.00496314	0.00386154	0.00344321	0.00349219	0.00374159	0.00585861	0.00456894	0.00530508	0.00675777	0.0104099	0.00951958	0.0149094	0.0218652	0.0230124	0.0523121	0.0684737	0.0613408	0.0605194	0.0912099	0.215955
</S>	0.0435674	0.0331431	0.0296133	0.0255114	0.0233305	0.0181333	0.0134564	0.0113118	0.0128877	0.0113219	0.00987523	0.00962494	0.00656502	0.0052111	0.00494599	0.00515938	0.00911707	0.0108734	0.00732587	0.0064324	0.0054309	0.00560331	0.00501208	0.0111516	0.0244045	0.0401929	0.0800195	0.0905654	0.0852186	0.0855871	0.124039	0.145368
