 	a66	a87	a23	a18	a83	a54	a47	a6	a36	a11	a31	a83	a9	a40	a47	a5	a12	a21	a85	a92	a94	a93	a75	a92	a36	a26	a57	a87	a23	a87	</S>
cet	0.0346066	0.0612785	0.038948	0.0478595	0.0395447	0.0340583	0.0940201	0.0577669	0.0336638	0.0255706	0.0310318	0.021844	0.0317827	0.0257756	0.023093	0.0262045	0.0237558	0.0406971	0.0286155	0.0317374	0.0237604	0.0150821	0.014905	0.0164653	0.0228021	0.0275428	0.0351294	0.0207842	0.0218245	0.0195374	0.0303123
homme-là	0.00770045	0.00939587	0.015112	0.0146746	0.0228674	0.043385	0.102152	0.183287	0.179344	0.0904917	0.115627	0.061549	0.0222647	0.0284863	0.0146002	0.011864	0.010878	0.0156189	0.0192096	0.00706988	0.00453945	0.00164006	0.00169439	0.00104771	0.00154625	0.00177905	0.00222102	0.00167394	0.00154299	0.00433882	0.00239867
avait	0.0194941	0.0201766	0.0270105	0.0264438	0.0463515	0.0411462	0.0438655	0.0765921	0.0765978	0.103809	0.109727	0.0891683	0.0406637	0.0429515	0.0348773	0.0227698	0.0172159	0.0225551	0.0155996	0.00678056	0.00617946	0.0130985	0.00926975	0.00999036	0.00930521	0.00816693	0.00920187	0.0105793	0.0147044	0.0192724	0.00643589
eu	0.0725775	0.0418347	0.0427926	0.0322741	0.0308127	0.0252109	0.0095875	0.00995483	0.0150391	0.0142201	0.0154996	0.0207606	0.0208698	0.0244054	0.029095	0.0304998	0.027762	0.0238343	0.0182024	0.0198581	0.0145242	0.0375282	0.0218219	0.0287022	0.0681246	0.039574	0.0472867	0.0335923	0.0734923	0.0429114	0.067351
des	0.0509663	0.0471351	0.0362703	0.0477224	0.0517763	0.0468062	0.0378065	0.0263444	0.0277571	0.0338134	0.0366031	0.041816	0.0363028	0.0288093	0.0282159	0.0315441	0.0218382	0.0255873	0.0240194	0.0233975	0.0260703	0.0277387	0.0284114	0.023924	0.0335079	0.0154726	0.0300685	0.0248389	0.0263857	0.0171056	0.0419449
rapports	0.0576282	0.0315549	0.0272626	0.0283234	0.0356734	0.0334276	0.017075	0.018996	0.0259434	0.03815	0.0489838	0.0461155	0.0420331	0.0401875	0.0430059	0.0584529	0.0393705	0.0416164	0.0321316	0.0329191	0.0271526	0.0331815	0.02992	0.0262258	0.0245555	0.0174559	0.0254529	0.0281244	0.0238851	0.00792882	0.0172667
sexuels	0.0339823	0.0206442	0.0165147	0.0169328	0.014832	0.0117828	0.0111125	0.0135064	0.0106657	0.01006	0.0116227	0.014906	0.00835149	0.0103957	0.0125294	0.012858	0.0115262	0.018785	0.0262282	0.0370385	0.0314248	0.0407099	0.0526873	0.0651557	0.0806785	0.0778799	0.0651905	0.0887567	0.0670344	0.0315422	0.0746653
avec	0.0563427	0.0354325	0.0400513	0.0300735	0.0262311	0.0234277	0.0242188	0.0333941	0.0384871	0.030035	0.0366188	0.0388642	0.0241432	0.024477	0.0246218	0.0300127	0.0275734	0.0367401	0.016003	0.0199092	0.0199197	0.033639	0.0355823	0.0260452	0.0504957	0.0382016	0.033	0.0424038	0.0283549	0.0334389	0.0422614
ta	0.0541849	0.0333683	0.0284366	0.0222905	0.0229381	0.0199951	0.0158589	0.0290679	0.0263171	0.0192006	0.0265785	0.0455452	0.0279185	0.0291933	0.0428149	0.0331714	0.033129	0.0337234	0.0295515	0.0334632	0.0220469	0.0474578	0.0384448	0.0363492	0.050361	0.02809	0.028058	0.0435598	0.0394543	0.031977	0.0274543
soeur	0.0502591	0.04093	0.0431223	0.0328598	0.0327251	0.0344167	0.0261316	0.0358156	0.0307825	0.0265363	0.0234958	0.0309207	0.0314624	0.0340999	0.0388981	0.0209306	0.0179234	0.0238977	0.0168698	0.0272263	0.0180945	0.0205855	0.0225607	0.0315127	0.0425671	0.0433794	0.0291447	0.0369948	0.0445915	0.0524028	0.0388622
</S>	0.0466658	0.0313232	0.0298847	0.0237927	0.0233053	0.0212934	0.0146095	0.0176607	0.0166738	0.0134422	0.0136304	0.018011	0.020557	0.025969	0.0277074	0.0201997	0.0305231	0.0398304	0.0346717	0.0480425	0.0366582	0.033284	0.0347589	0.0383273	0.0530512	0.0326745	0.0423036	0.0447333	0.0498098	0.0434612	0.0731445
