 	a15	a84	a87	a23	a79	a20	a15	a79	a90	a44	a56	a37	a11	a56	a96	a66	a90	a15	a25	a90	a25	a92	a79	a37	a85	a5	a18	a75	a21	a12	a18	a25	a97	a87	a97	a87	a23	a99	a87	a97	</S>
si	0.0306495	0.0358289	0.0317903	0.0336542	0.0292807	0.0880788	0.0456509	0.0889423	0.0493681	0.0611571	0.0572107	0.0420026	0.0221859	0.0279058	0.0201827	0.019817	0.0275792	0.032255	0.0102553	0.0069011	0.00561173	0.00400013	0.00411291	0.00330503	0.00439046	0.0087375	0.00592706	0.00995101	0.00767798	0.00759289	0.0131756	0.013077	0.0138845	0.0137372	0.0117671	0.0142625	0.0159071	0.0178013	0.0201758	0.0226159	0.0215932
tu	0.00871177	0.00963496	0.0152257	0.0110465	0.0125095	0.0216806	0.0271567	0.0241282	0.0213751	0.0297328	0.0390076	0.08719	0.0815577	0.0776005	0.0509444	0.043791	0.0345418	0.0157739	0.0056421	0.0101271	0.00831673	0.00554438	0.0167341	0.0156365	0.0184122	0.0214217	0.0145675	0.0165297	0.0201553	0.0205162	0.0316936	0.0388033	0.0171272	0.029784	0.0165822	0.0199692	0.0196535	0.011306	0.0105753	0.0105747	0.00871882
oses	0.0338465	0.0196591	0.0176833	0.0137388	0.00932296	0.00929574	0.0166792	0.0133281	0.0336501	0.0452334	0.0369292	0.0776386	0.0949501	0.0667403	0.0594651	0.054852	0.0302701	0.0196588	0.00490802	0.00742371	0.00484209	0.00494814	0.00385439	0.00598112	0.0111944	0.00851121	0.00680223	0.00675909	0.00579246	0.00389955	0.00288191	0.00509676	0.00396476	0.00473303	0.00473555	0.00954078	0.0112546	0.0201083	0.0298255	0.0555084	0.124492
insulter	0.0691475	0.0691432	0.0668496	0.0512664	0.0402551	0.0338873	0.0187143	0.00978709	0.0153599	0.0180267	0.0162792	0.019214	0.0255097	0.0236361	0.022808	0.0284115	0.0123179	0.00958664	0.0144238	0.00977205	0.0137481	0.0111618	0.0224485	0.0146366	0.00922137	0.00937978	0.00856246	0.0167638	0.0211885	0.0187104	0.0190087	0.0329327	0.0182682	0.0213939	0.0262495	0.0280487	0.0367908	0.0324073	0.021182	0.0276064	0.0158946
ma	0.0683654	0.0473392	0.06556	0.0472941	0.0375365	0.0426009	0.0394401	0.0105959	0.0121103	0.0207746	0.0211727	0.0309314	0.0284099	0.0257503	0.0231475	0.0299855	0.0263949	0.0117929	0.00948695	0.0173108	0.0170313	0.0135954	0.0167717	0.0279968	0.0363438	0.0271721	0.0188958	0.0139515	0.0216884	0.00812035	0.00736105	0.0145263	0.00682171	0.0136066	0.00569885	0.0255028	0.0256955	0.0195092	0.01946	0.0223293	0.0219213
mère	0.028228	0.0322784	0.0249708	0.0315171	0.0216743	0.0227144	0.0352355	0.0345276	0.0377644	0.0575933	0.051227	0.0531956	0.0392759	0.0385966	0.0495801	0.0270025	0.0241876	0.0198063	0.0152613	0.0119045	0.00457392	0.00357012	0.00428311	0.00485787	0.00958475	0.0125913	0.0110734	0.021639	0.0263058	0.0389605	0.0220592	0.0245613	0.0168957	0.0161005	0.0119089	0.0269996	0.0266491	0.0186645	0.0154303	0.0163316	0.0104185
je	0.0375395	0.0353686	0.0337157	0.0240029	0.0147388	0.0165526	0.019438	0.0208349	0.0198355	0.0266794	0.0207362	0.0260601	0.0197592	0.0141765	0.0198659	0.0146806	0.00924584	0.0052367	0.00362905	0.00440166	0.0044011	0.00349576	0.0034149	0.00462338	0.010141	0.0200274	0.00907024	0.0217493	0.0332027	0.0197111	0.0176941	0.0230176	0.0114995	0.0250701	0.0203199	0.0526054	0.0642416	0.063294	0.0721118	0.0611211	0.0726905
vais	0.0320171	0.023226	0.0185196	0.0140512	0.0112894	0.0187118	0.0218419	0.015728	0.0188313	0.0272098	0.020494	0.0237584	0.0243856	0.0146361	0.0186483	0.0131143	0.0130613	0.00906624	0.00388667	0.00739411	0.00589515	0.00508825	0.00733243	0.0106214	0.0202964	0.0226668	0.0154689	0.0247467	0.0417266	0.0205126	0.0248032	0.0355601	0.0266006	0.0327343	0.0272716	0.0822239	0.0753536	0.0525864	0.0470768	0.0423533	0.0292098
te	0.0477086	0.0455903	0.0478612	0.0317359	0.0299183	0.0499989	0.0423689	0.040464	0.0372511	0.0263932	0.0193431	0.0124924	0.0115939	0.00787366	0.00990796	0.00687654	0.00963588	0.00780767	0.00323628	0.00712257	0.00833712	0.00867584	0.00573895	0.00990018	0.0107089	0.0153327	0.0100873	0.0142596	0.0198866	0.0120521	0.0156698	0.01927	0.0179527	0.0228078	0.0232851	0.038786	0.0341688	0.0356954	0.0456604	0.0504764	0.086068
taper	0.0234826	0.0228475	0.0244231	0.0185409	0.0228755	0.0323997	0.0330129	0.0472874	0.0355892	0.022952	0.0196606	0.0142241	0.0169051	0.0108978	0.0137618	0.00878173	0.0144934	0.0149891	0.00860504	0.0145041	0.0196272	0.0212578	0.0151191	0.0190436	0.017204	0.0208982	0.0141641	0.0152896	0.0173085	0.0112805	0.00931301	0.0102885	0.0110829	0.01538	0.021343	0.0439097	0.0295217	0.0435828	0.0542563	0.0445045	0.125391
