 	a87	a23	a30	a4	a57	a9	a53	a4	a13	a15	a44	a84	a75	a92	a37	a85	a21	a5	a26	a84	a53	a15	a92	a75	a85	a5	a66	a62	a21	a85	a37	a61	a62	a83	a38	a98	a6	a66	a75	a47	a44	a54	a92	a66	a34	a56	a13	a9	a97	a13	a3	a87	a23	a87	</S>
okomba	0.00606412	0.00551277	0.00663881	0.0158206	0.00992868	0.0122477	0.0264601	0.0231679	0.0203233	0.0462018	0.0623872	0.0635258	0.0554041	0.0643467	0.0712665	0.0573539	0.0362591	0.0420555	0.0302737	0.0163972	0.0235675	0.0156255	0.0139112	0.0152372	0.00890294	0.00927042	0.0077148	0.0144924	0.0146319	0.0106563	0.017068	0.0102799	0.0144576	0.00919374	0.00972134	0.00730775	0.0046695	0.00545628	0.00395528	0.00488401	0.00796168	0.00798892	0.00645945	0.0063197	0.0071646	0.0060124	0.00484174	0.00678077	0.00683529	0.00526592	0.00599432	0.00626041	0.00759119	0.00629052	0.015594
a	0.0142818	0.017245	0.022436	0.0244265	0.0255447	0.0173399	0.0119792	0.0131893	0.0171055	0.0226914	0.036385	0.0399637	0.0246844	0.0162976	0.0154453	0.0172661	0.0163769	0.0094671	0.00937095	0.0175562	0.0177196	0.0202591	0.0241861	0.0214159	0.027914	0.0295063	0.029331	0.0283442	0.0214167	0.0207216	0.0156275	0.0156711	0.0160923	0.014961	0.0131436	0.0111631	0.0116375	0.0354198	0.0186461	0.0115682	0.0106112	0.00478216	0.00762849	0.00928632	0.01304	0.0175555	0.0183001	0.0137534	0.0147494	0.0213118	0.0104617	0.0168281	0.0146346	0.0176336	0.0156266
a	0.0145815	0.00854575	0.00779835	0.00890914	0.0127074	0.0145916	0.0134017	0.0145554	0.0172103	0.0123285	0.0196983	0.023684	0.0163261	0.0062517	0.0087488	0.0169578	0.0167657	0.00945265	0.0105315	0.0190133	0.0119487	0.0176309	0.0182878	0.0201606	0.0270212	0.0258973	0.0234224	0.02789	0.0211357	0.0415888	0.0214142	0.0307383	0.0193365	0.027984	0.0224916	0.0158804	0.0271347	0.0328522	0.0170703	0.0154432	0.015002	0.00576379	0.00647202	0.00613074	0.00650644	0.0077964	0.0107502	0.0123495	0.0154099	0.0183546	0.0225677	0.0350804	0.0221717	0.0457841	0.0324725
quitté	0.044107	0.0304309	0.0381837	0.0262275	0.0386219	0.024788	0.015581	0.00949561	0.00786576	0.00680226	0.00443374	0.00775966	0.00683342	0.0062296	0.00589194	0.00491968	0.00524129	0.00638405	0.00935541	0.0103975	0.00549478	0.00957618	0.00815292	0.0099323	0.00888584	0.0094507	0.0164522	0.0114964	0.0176433	0.0208672	0.0237413	0.0385347	0.0432619	0.0225543	0.0348436	0.0294458	0.0261016	0.0417395	0.0338251	0.0274971	0.0256889	0.0225945	0.0171607	0.0138571	0.0104315	0.0163281	0.00792467	0.00958917	0.0232124	0.0167896	0.0198858	0.014979	0.0127895	0.013496	0.0262266
l'	0.0163869	0.0105607	0.00818065	0.0141361	0.0171437	0.0161983	0.0168242	0.0151072	0.0109484	0.0092981	0.00507128	0.0103273	0.0113811	0.00815061	0.0117805	0.00899404	0.0105497	0.0121638	0.0221968	0.0192855	0.0195148	0.0273724	0.0250124	0.0415522	0.0345255	0.0363487	0.0445364	0.0268293	0.0318654	0.0245686	0.0329299	0.0297984	0.0370057	0.037752	0.0564638	0.0443278	0.0268606	0.0349646	0.0173466	0.0117524	0.00895564	0.00499963	0.00633841	0.00677252	0.0064769	0.00827279	0.00306779	0.0041473	0.00622859	0.00959966	0.00667337	0.00734395	0.00571268	0.00982659	0.00957213
école	0.00511062	0.00323812	0.00486318	0.00534287	0.00642475	0.00846305	0.00605989	0.00716743	0.00451675	0.00447304	0.00589785	0.00422978	0.00610446	0.00557137	0.00515063	0.00512241	0.0073165	0.00621744	0.00904479	0.0178165	0.0178511	0.037717	0.0392655	0.0371249	0.0227982	0.0242984	0.0341069	0.0313823	0.0335598	0.0242887	0.0459673	0.078432	0.0935139	0.119415	0.0926964	0.0507438	0.029922	0.0230967	0.0133863	0.0052678	0.00279422	0.00167827	0.00140616	0.00110176	0.000786872	0.000983366	0.000993075	0.000932937	0.000804182	0.00100883	0.00100783	0.00110432	0.00100491	0.000513458	0.000913896
pour	0.0134717	0.00693926	0.00634667	0.00566853	0.00456618	0.0059163	0.00378366	0.00579745	0.00972123	0.00829245	0.0060827	0.00767734	0.00988052	0.00823891	0.00705687	0.00977032	0.0114481	0.00757575	0.00936793	0.0203319	0.0234655	0.0270344	0.0309822	0.0270079	0.0381602	0.0439826	0.0459074	0.0575156	0.0567845	0.0470109	0.0822729	0.0810211	0.0453514	0.0572531	0.0253159	0.014082	0.0156664	0.023906	0.00785896	0.00679303	0.00514573	0.00373986	0.00399607	0.00397107	0.00178685	0.00321461	0.00238244	0.00264832	0.00436182	0.00838586	0.00629808	0.0102965	0.00714455	0.00680109	0.00452151
la	0.0141132	0.00897137	0.00745215	0.00854607	0.0074567	0.00753731	0.00567448	0.0066368	0.0115492	0.0101818	0.00703493	0.0108186	0.010982	0.0120048	0.0129199	0.0135125	0.0186963	0.0107528	0.0164784	0.0222485	0.0180167	0.0199435	0.0263956	0.0235204	0.0381785	0.0374785	0.0402254	0.0469094	0.0339996	0.0306256	0.0350603	0.0362946	0.0198712	0.0285601	0.0147987	0.0101621	0.0148176	0.0180082	0.00939517	0.00866608	0.0104445	0.0087322	0.0114037	0.0199165	0.0154243	0.0201329	0.0118264	0.0155332	0.0257766	0.0268972	0.0256953	0.0219178	0.0201826	0.0185219	0.0130996
campagne	0.0116142	0.00777332	0.0129355	0.015104	0.0161348	0.0149764	0.00881244	0.00922939	0.00756361	0.00593224	0.00600137	0.00584345	0.00547344	0.00753685	0.00663385	0.00672765	0.0119576	0.00772117	0.0173715	0.0271535	0.0185169	0.0282309	0.0315842	0.030036	0.0300788	0.0367401	0.0463395	0.0340831	0.0297841	0.0306972	0.0317184	0.0381202	0.0375824	0.0451312	0.0401851	0.0295172	0.0326339	0.0433154	0.027276	0.0123698	0.0123914	0.00585205	0.00687579	0.00818124	0.00540794	0.00692392	0.00466782	0.00624514	0.012158	0.0092456	0.013527	0.0109074	0.00948058	0.00864646	0.0130526
où	0.0163282	0.00567938	0.00678247	0.0126319	0.0111459	0.00836179	0.00613001	0.00497529	0.0049364	0.00482596	0.00734125	0.00915612	0.0103675	0.0139119	0.0149986	0.0139581	0.0245726	0.0154742	0.0267374	0.0414548	0.0224475	0.0351785	0.034199	0.0253351	0.0350263	0.033366	0.0359323	0.0304393	0.0228746	0.0244261	0.0174124	0.0240287	0.0209408	0.0261899	0.0157243	0.00854418	0.00857554	0.0107382	0.00583929	0.00649907	0.00645589	0.00631052	0.00924197	0.0133773	0.0106712	0.0110939	0.00599174	0.0134876	0.0259792	0.035419	0.0266053	0.0265122	0.0343643	0.0336217	0.0373813
