 	a85	a87	a23	a87	a23	a87	a83	a62	a47	a88	a9	a38	a56	a21	a47	a31	a47	a96	a75	a5	a18	a38	a21	a47	a31	a21	a47	a98	a71	a9	a3	a97	a87	a23	a83	a75	a5	a61	a31	a88	a75	a5	a66	a9	a54	a47	a5	a61	a5	a18	a9	a54	a47	a6	a18	a9	a10	a87	a23	a87	</S>
depuis	0.0382414	0.0352108	0.0367899	0.0296644	0.0331358	0.0251518	0.0273845	0.0321455	0.0316235	0.0323423	0.036217	0.0453708	0.0388126	0.0276453	0.0323484	0.0321389	0.0217327	0.0169224	0.0185906	0.0137457	0.0105512	0.0092682	0.00870325	0.0120843	0.0126702	0.018302	0.0225752	0.0141293	0.0137869	0.0127365	0.0140471	0.0138191	0.0110139	0.0133908	0.0115577	0.0075523	0.00975523	0.00768377	0.00774258	0.00750965	0.00804366	0.012124	0.0118453	0.00803522	0.00607888	0.0059047	0.00536986	0.00476965	0.00262514	0.00354573	0.00318017	0.00418465	0.00446647	0.00615392	0.00870104	0.00776392	0.00692358	0.00623396	0.0127395	0.00977992	0.0174375
que	0.0163535	0.0116957	0.00924431	0.0141578	0.00750898	0.00461432	0.00542732	0.00575998	0.011766	0.0115599	0.0148963	0.0207761	0.0114561	0.00793908	0.00820954	0.0139025	0.015712	0.0242893	0.0261172	0.0209221	0.0565547	0.0424188	0.0447644	0.0585351	0.0711328	0.0534188	0.0442309	0.04718	0.0423547	0.0329893	0.0189511	0.0208839	0.0163375	0.014175	0.00784155	0.00649746	0.00471129	0.00388178	0.00298868	0.00536962	0.00596544	0.00584025	0.00387683	0.00664203	0.00657625	0.00403029	0.00366255	0.00397404	0.00483834	0.00405358	0.00492874	0.0128307	0.00469047	0.00829553	0.00777291	0.013027	0.00771115	0.00830012	0.00528147	0.0117656	0.00841131
j'	0.0285565	0.0184064	0.0117491	0.00995584	0.00725078	0.00660033	0.00446282	0.00391801	0.00383822	0.00517052	0.00740721	0.00957674	0.00720895	0.00611717	0.00657515	0.00961155	0.0115041	0.0217039	0.0213109	0.0182811	0.0340494	0.0433066	0.0426519	0.0676772	0.0405522	0.0554771	0.0463961	0.0445056	0.0351697	0.0268978	0.0204024	0.0162776	0.00913228	0.00965229	0.00987157	0.0102368	0.0065573	0.00951056	0.00933484	0.0125437	0.0144306	0.0151553	0.0153525	0.0180037	0.0190945	0.00605348	0.00243189	0.0031498	0.00297938	0.00282212	0.0025001	0.00420976	0.00246346	0.00704706	0.00572818	0.00710175	0.00659552	0.0138526	0.0118974	0.0460042	0.0237184
ai	0.0238381	0.0204407	0.0123533	0.00760499	0.00500148	0.00268829	0.00317244	0.00350053	0.00763624	0.010027	0.0102105	0.013803	0.00969531	0.00709039	0.00680983	0.00532443	0.00567438	0.0075293	0.00757676	0.00582374	0.00770488	0.0136871	0.0107358	0.0111164	0.0106788	0.00906902	0.00961142	0.0101675	0.0169015	0.0125458	0.0086343	0.0130403	0.00867504	0.0100626	0.010196	0.0136797	0.0126051	0.0197949	0.020198	0.0339722	0.0512437	0.0388456	0.0574549	0.0481677	0.0475024	0.0330054	0.024901	0.0281095	0.0208475	0.0238967	0.0197401	0.0151397	0.0155442	0.0160348	0.0218657	0.015033	0.0120899	0.0122332	0.0192297	0.0225787	0.0176595
emmenagé	0.0596577	0.0390278	0.0344238	0.0250429	0.0169936	0.0115901	0.0112262	0.0123043	0.0169933	0.0213611	0.0080214	0.00788252	0.00413761	0.00398702	0.00298304	0.00416054	0.0039062	0.00474916	0.00560748	0.00653432	0.0066369	0.00762244	0.00818775	0.0114146	0.0179444	0.01428	0.0213944	0.0146726	0.0272487	0.0260223	0.0174559	0.0165749	0.0201958	0.0203917	0.0177849	0.0209282	0.0197446	0.0171828	0.0159156	0.0173462	0.0179365	0.0187832	0.0206712	0.0191842	0.0239394	0.0173529	0.0148901	0.0114283	0.0122125	0.0138179	0.0119456	0.0151606	0.0150701	0.0224347	0.0212409	0.0204752	0.0136458	0.0119122	0.0165109	0.0265363	0.0153166
dans	0.0163337	0.00808584	0.00470639	0.00401881	0.00213001	0.00275218	0.00180232	0.00190171	0.00204361	0.00230197	0.00294053	0.0052592	0.00350483	0.00379121	0.00538102	0.00896355	0.00874377	0.0180342	0.0194341	0.0148451	0.0289784	0.0423133	0.0478481	0.0586989	0.060274	0.0674491	0.0744097	0.0761575	0.062335	0.0288248	0.0220863	0.0252523	0.0194648	0.0228635	0.0205239	0.0192528	0.0178635	0.0125923	0.010494	0.0120293	0.0141305	0.0105995	0.0144161	0.00918498	0.0116977	0.00492818	0.00513446	0.00467023	0.0036504	0.00259764	0.00660604	0.00504464	0.00377297	0.00656522	0.0074469	0.00504521	0.00377931	0.00374899	0.00282176	0.00440308	0.00307055
cette	0.0324786	0.0156695	0.0078453	0.00392115	0.0025271	0.00279821	0.00135153	0.00145021	0.0017013	0.00212367	0.00276052	0.00438085	0.00397041	0.00369984	0.00546773	0.00868001	0.00771784	0.00841941	0.0121174	0.00919015	0.0163158	0.0259821	0.0238468	0.0679781	0.064716	0.0769361	0.116727	0.074919	0.0582931	0.0306265	0.0257178	0.0142714	0.0093009	0.00873533	0.00980029	0.00761497	0.00631532	0.00859483	0.00782082	0.00881757	0.00978083	0.00938264	0.0113839	0.0104244	0.0161874	0.00801224	0.00639812	0.00773472	0.00396217	0.00366901	0.0141162	0.00945342	0.00694297	0.0123033	0.0166412	0.0144223	0.00777478	0.0084174	0.00655518	0.0110655	0.00377181
maison	0.0503381	0.0294665	0.0231957	0.0100297	0.00801526	0.00346277	0.0021587	0.00271078	0.00255019	0.00339623	0.00546087	0.00619978	0.00716529	0.00545635	0.00586203	0.00994361	0.00927956	0.0134391	0.0164349	0.0113764	0.0158158	0.0330564	0.0244975	0.0504414	0.0355916	0.0461482	0.0501294	0.0262675	0.0291532	0.0224556	0.016435	0.0124489	0.0102968	0.010708	0.00896444	0.0101522	0.00849189	0.0117958	0.0144229	0.0151458	0.0206928	0.0130498	0.0129105	0.0156538	0.0209289	0.0136738	0.0103195	0.0102822	0.0059189	0.00641848	0.00942486	0.00875103	0.00776145	0.014937	0.0109886	0.0139558	0.0137294	0.0217359	0.0190957	0.0398317	0.0315797
je	0.0343154	0.031571	0.0292226	0.022271	0.0240423	0.0111956	0.00689557	0.00815585	0.00944784	0.00841869	0.00877259	0.013014	0.0126123	0.0135011	0.00929617	0.0180822	0.0152034	0.016406	0.0170513	0.0180731	0.0180336	0.0253612	0.0168324	0.0332019	0.0281981	0.0302736	0.0337843	0.0275279	0.0239682	0.0283563	0.0224613	0.0167199	0.0118033	0.0125162	0.0103771	0.00854734	0.00879386	0.00994057	0.0153973	0.0130433	0.0125511	0.0123863	0.0106777	0.0107156	0.0156068	0.0120227	0.00870709	0.0079702	0.00671972	0.00610873	0.00467764	0.00991699	0.00638909	0.013217	0.00708762	0.0111848	0.0134015	0.0253772	0.0195222	0.0343516	0.0287229
souffre	0.0574603	0.0480105	0.0508903	0.0343256	0.02813	0.0102623	0.00884025	0.0121805	0.0143923	0.0112338	0.0113468	0.0139741	0.0121893	0.00789538	0.00409625	0.0077359	0.0065803	0.00644472	0.00800653	0.00739626	0.00652388	0.0108974	0.00807302	0.0139463	0.0155869	0.0152533	0.0211804	0.0135823	0.0167078	0.0182179	0.0136513	0.0094043	0.0102389	0.0105172	0.00887618	0.00858194	0.00848133	0.00962018	0.0136809	0.0137781	0.0155339	0.0168461	0.0132928	0.0148451	0.0192328	0.0121215	0.00688142	0.00521838	0.00609929	0.00790894	0.00617287	0.0156958	0.00925467	0.0221759	0.0127895	0.0244777	0.0205645	0.0306484	0.0305933	0.0465053	0.054951
