 	a66	a87	a23	a50	a0	a75	a85	a92	a21	a12	a62	a88	a75	a85	a47	a36	a2	a57	a87	a23	a57	a87	a23	a87	</S>
il	0.035998	0.0244904	0.0255827	0.0182572	0.0126695	0.00906068	0.0106104	0.00760363	0.00361334	0.00311367	0.00697816	0.0206502	0.0377192	0.0522795	0.0768803	0.114564	0.078297	0.0729576	0.0706551	0.0736203	0.0520543	0.0518452	0.0511537	0.0411289	0.0482168
y	0.0312877	0.0199864	0.024077	0.0109153	0.00926937	0.0168138	0.0160623	0.0375624	0.055416	0.0484363	0.0347585	0.0242934	0.0411103	0.0777857	0.0462933	0.0507984	0.0263487	0.0566671	0.0662858	0.0426319	0.0485028	0.0693433	0.055848	0.0526793	0.0368271
a	0.0167615	0.0218355	0.0260944	0.0256675	0.020113	0.0178828	0.0172125	0.0207193	0.0318158	0.0298773	0.020119	0.0166368	0.0162986	0.0311338	0.0394304	0.0266022	0.0267176	0.0308916	0.0533618	0.0497768	0.0703575	0.0678223	0.103099	0.0982485	0.121525
belle	0.128047	0.15177	0.112076	0.115123	0.0997039	0.047305	0.0230176	0.0161257	0.0135784	0.0172929	0.0206226	0.0232422	0.0206989	0.0186321	0.0218049	0.0170107	0.0199233	0.0168611	0.0136313	0.0156027	0.0162242	0.0120294	0.0167943	0.010962	0.0319214
lurette	0.0536264	0.0510573	0.0420047	0.0429711	0.0419154	0.0507223	0.0406982	0.0442653	0.0565428	0.054531	0.0695431	0.0912906	0.0694105	0.0268145	0.0407136	0.0305566	0.0180024	0.0194688	0.0217752	0.0209529	0.0248368	0.0230866	0.0233652	0.0210562	0.0207928
qu'	0.157388	0.132245	0.113682	0.101428	0.0621419	0.0441989	0.0316607	0.0303809	0.0247184	0.0342281	0.0282617	0.0207133	0.0124388	0.00943446	0.0221049	0.0111016	0.0205437	0.0160782	0.020278	0.0158836	0.0227273	0.0160229	0.0235567	0.0126907	0.016092
on	0.168022	0.101619	0.120941	0.0702517	0.0425151	0.00897316	0.0102986	0.00575481	0.00636965	0.0100887	0.0252423	0.0301187	0.020455	0.017246	0.0266619	0.0147287	0.0367239	0.0359017	0.0363726	0.0345231	0.0483772	0.0312948	0.0435846	0.0352439	0.0186922
s'	0.0812433	0.0840907	0.0971807	0.115031	0.0865057	0.0267147	0.0262365	0.0130538	0.00547262	0.00799973	0.0153281	0.0117464	0.0083646	0.00796692	0.0154221	0.0128936	0.0331994	0.0414041	0.0300329	0.0267931	0.0615587	0.0240664	0.0473897	0.0505638	0.0697415
est	0.0664371	0.0493356	0.0545443	0.0491188	0.0443137	0.0122872	0.0122612	0.00768476	0.00438517	0.00564894	0.0172736	0.0137099	0.014004	0.0112515	0.022708	0.0166442	0.0420384	0.0659628	0.0469849	0.0396667	0.101933	0.036422	0.0822399	0.0843798	0.0987646
vu	0.0814444	0.0549409	0.0545108	0.0603249	0.048318	0.0220847	0.0224147	0.0160481	0.018726	0.0222543	0.0356687	0.0310991	0.0258381	0.0167958	0.0299492	0.0184084	0.026125	0.0343257	0.0419226	0.0470477	0.0634488	0.041485	0.0584869	0.04833	0.0800022
toi	0.102277	0.0474052	0.0569558	0.0328973	0.0299555	0.0182036	0.0238917	0.0155464	0.0217833	0.0218155	0.0268009	0.0370586	0.0269674	0.0304963	0.0239026	0.0244452	0.0401505	0.0353745	0.0451463	0.0501114	0.0519673	0.0524147	0.0465163	0.0410434	0.0968734
et	0.033944	0.0151045	0.0213346	0.0113743	0.0112682	0.00677216	0.00825192	0.0072255	0.00471166	0.00460215	0.00945091	0.00756758	0.018374	0.031993	0.0248259	0.0216991	0.0612189	0.0751627	0.0772724	0.063136	0.111412	0.0684862	0.086896	0.0783208	0.139595
moi	0.0295452	0.0151358	0.0203043	0.0141736	0.0148747	0.0103345	0.0106619	0.00685396	0.00749914	0.0100614	0.0244636	0.0217728	0.0354895	0.0470466	0.0390909	0.0328122	0.0561259	0.0619103	0.0712298	0.0623954	0.083835	0.0710956	0.0776204	0.075345	0.100323
</S>	0.0219307	0.0121979	0.0165315	0.0115657	0.00912744	0.00989106	0.0111641	0.00921917	0.00846198	0.0117487	0.0236274	0.0193039	0.0283345	0.0405856	0.0488295	0.0319456	0.0719428	0.0675605	0.072884	0.0612638	0.0877474	0.056859	0.0785827	0.0840868	0.104608
