 	a66	a87	a23	a10	a87	a23	a71	a9	a38	a21	a41	a21	a12	a21	a5	a75	a5	a56	a44	a4	a38	a94	a4	a44	a11	a54	a44	a4	a57	a84	a57	a87	a23	a87	</S>
le	0.0833945	0.0857652	0.0790492	0.0455425	0.0217922	0.0147462	0.0168798	0.0137403	0.0123185	0.010401	0.00767952	0.00708661	0.00701054	0.00502978	0.00518483	0.00533962	0.00509772	0.00633569	0.00517655	0.00604133	0.00805014	0.00943982	0.0150021	0.0186722	0.0268182	0.0608682	0.0439387	0.0716409	0.0552058	0.0553002	0.0503591	0.0517255	0.0418658	0.0170513	0.0304503
dépécage	0.00239029	0.00779756	0.0177364	0.0179987	0.0165711	0.0493241	0.0470047	0.0351638	0.104844	0.0937066	0.0912717	0.0570184	0.0409965	0.0351471	0.018915	0.0315585	0.0228266	0.0237425	0.075344	0.0426247	0.0178573	0.0159262	0.0223667	0.00826246	0.0129357	0.0179458	0.0138603	0.00825018	0.00434636	0.00495578	0.0098471	0.0065186	0.00839021	0.00922316	0.0073322
d'	0.0409446	0.0526439	0.0475799	0.0671639	0.0681966	0.0747086	0.0313534	0.0388799	0.0279437	0.0255458	0.031648	0.0346921	0.0259044	0.0195987	0.0138627	0.0153105	0.0103952	0.0160393	0.0120766	0.0121842	0.0044039	0.00629226	0.00955701	0.00546381	0.0146195	0.0271055	0.0203032	0.0222186	0.0218632	0.0284067	0.0287147	0.0411571	0.0321263	0.0383133	0.0327828
un	0.0162544	0.00736249	0.0039801	0.00385595	0.00535645	0.00498079	0.00455917	0.00477453	0.00563669	0.0104114	0.016913	0.0219852	0.0238131	0.0244101	0.0245556	0.0273336	0.0272356	0.025073	0.0377279	0.0355311	0.0206997	0.024858	0.0362708	0.0305007	0.0466056	0.0465698	0.0565793	0.0389014	0.0304541	0.0420337	0.0660243	0.0846546	0.0690568	0.0316957	0.0433454
éléphant	0.0160429	0.0159178	0.0142928	0.0133545	0.017685	0.0135966	0.0119635	0.00866495	0.00773064	0.0072044	0.00609943	0.0107625	0.0203013	0.0271578	0.0328676	0.0456913	0.0795758	0.108473	0.0543942	0.102369	0.0779099	0.0717739	0.0628045	0.0205177	0.0180691	0.0143551	0.00700822	0.0129204	0.00420651	0.00717136	0.0166723	0.0297148	0.0170246	0.0137418	0.0119647
était	0.0441893	0.0398034	0.0320993	0.0305193	0.0299451	0.0245029	0.0247574	0.0345045	0.0309579	0.0293054	0.0346225	0.0323865	0.0321771	0.0274902	0.0244146	0.0229893	0.020249	0.0396402	0.0273641	0.0482233	0.0282717	0.0281858	0.0275014	0.0231967	0.0164453	0.0113231	0.0172187	0.0217485	0.0157101	0.0257701	0.0246926	0.0261111	0.0314308	0.0305131	0.0417392
un	0.0492714	0.0362965	0.0260904	0.0247548	0.0236504	0.0237454	0.0314969	0.0256825	0.0276917	0.0239419	0.0320441	0.0243568	0.0260244	0.0254586	0.0319866	0.0154605	0.0172257	0.0225194	0.0251839	0.0158686	0.00943206	0.0146152	0.0241966	0.0208508	0.0235257	0.0278484	0.0308998	0.0374433	0.0407054	0.0361334	0.0364942	0.0251424	0.0429915	0.0398479	0.0611226
grand	0.0251613	0.0171477	0.0150846	0.0128339	0.0133696	0.0131186	0.0131369	0.0129178	0.0144085	0.0141168	0.0155212	0.0197765	0.031308	0.0285318	0.0238335	0.0231531	0.0265969	0.040409	0.0323017	0.0293337	0.019	0.0200053	0.0319676	0.0286015	0.0342586	0.0388141	0.0360663	0.0523363	0.0489844	0.0423059	0.0469512	0.0398245	0.0428677	0.0421977	0.0537577
événement	0.041117	0.0260135	0.0240575	0.0170973	0.0145177	0.0152568	0.0104579	0.00859325	0.0102832	0.00878538	0.00908482	0.00916884	0.0135222	0.0119837	0.0097431	0.00999921	0.0114716	0.01544	0.0150232	0.0148407	0.01823	0.0187896	0.0226554	0.021578	0.0234413	0.0440833	0.0317539	0.0556284	0.0679659	0.048698	0.0597182	0.0521644	0.0600752	0.0769046	0.101857
à	0.0785507	0.0436878	0.037664	0.0308444	0.0256405	0.0218752	0.0118566	0.00776586	0.00773223	0.00530095	0.00537285	0.005584	0.00737831	0.00531198	0.00572996	0.00511591	0.00599232	0.010022	0.00600802	0.00513853	0.0127205	0.0143484	0.0219376	0.0170955	0.0189283	0.0483095	0.0302716	0.0603404	0.064919	0.0450713	0.0650171	0.0378791	0.0590037	0.0685702	0.103016
mbonga	0.0653173	0.0448602	0.0336899	0.0254706	0.0163551	0.0122906	0.00537796	0.00391818	0.00425928	0.00316333	0.00313202	0.00298669	0.00297742	0.0023242	0.00248612	0.00265644	0.00294395	0.00538234	0.00453298	0.00344817	0.00692957	0.00708461	0.0122842	0.0122349	0.0170171	0.0361918	0.0305363	0.0594007	0.0670283	0.0560411	0.0729405	0.061139	0.0698069	0.0969253	0.146867
</S>	0.0992969	0.0876451	0.071837	0.0596893	0.0406985	0.0236308	0.0152115	0.0113909	0.0105163	0.00726143	0.00841865	0.0074785	0.0047483	0.002623	0.00307529	0.00167593	0.00223888	0.0045863	0.00391924	0.00243651	0.00424826	0.00692155	0.0117802	0.0079942	0.0151362	0.022091	0.0113471	0.0341999	0.0221074	0.0281641	0.0414369	0.0325401	0.0433432	0.0537211	0.19659
