 	a23	a87	a23	a10	a87	a23	a40	a57	a38	a30	a35	a41	a30	a44	a57	a38	a76	a20	a84	a40	a30	a35	a24	a25	a38	a41	a35	a41	a35	a76	a35	a41	a35	a75	a41	a94	a25	a87	a57	a87	</S>
les	0.0413033	0.0618282	0.070202	0.0526943	0.0295059	0.0271479	0.0640213	0.030846	0.0327686	0.0359807	0.0244973	0.0344754	0.0525697	0.0473658	0.0373809	0.0175114	0.0176138	0.0116918	0.0179849	0.0173442	0.0157005	0.0105198	0.00982865	0.0111739	0.0113461	0.00871679	0.0137745	0.0103326	0.01112	0.00922543	0.00667515	0.00691367	0.00756092	0.00956903	0.0173693	0.0169228	0.014528	0.015164	0.0179126	0.0168646	0.0340483
anciens	0.00164588	0.00381945	0.00273671	0.00801161	0.013668	0.0173487	0.020399	0.0178249	0.0255599	0.0201573	0.0219683	0.0257616	0.0292475	0.0333217	0.0533929	0.0538068	0.0816833	0.036142	0.0517271	0.0310821	0.0315476	0.054854	0.0730645	0.0552047	0.0791409	0.0409785	0.0384471	0.0417217	0.0157102	0.0031961	0.00270859	0.00192225	0.00128267	0.000859732	0.00172701	0.00119214	0.00170069	0.00118221	0.00156672	0.00132505	0.00136289
du	0.030494	0.0322918	0.0204801	0.0244661	0.0367859	0.0350321	0.0176057	0.0291403	0.0272123	0.0137155	0.0252273	0.0192672	0.0110296	0.0306122	0.0269172	0.0225102	0.0202244	0.0178705	0.0202009	0.025751	0.0355548	0.0696725	0.0431871	0.0400012	0.0442583	0.0305713	0.0453457	0.0406647	0.0320698	0.0251998	0.0181739	0.00941558	0.00490165	0.00480281	0.00662676	0.00621609	0.012817	0.00902997	0.012294	0.0136709	0.00869189
villages	0.00339461	0.00279858	0.0015445	0.00186094	0.00237685	0.00522583	0.00620804	0.0200852	0.0379453	0.0307	0.0400599	0.0698134	0.0860593	0.0357439	0.0537149	0.073448	0.0861319	0.0369514	0.117505	0.0306005	0.0135233	0.0318722	0.0314722	0.0256571	0.0609336	0.0290388	0.0207214	0.0200473	0.00412464	0.00113074	0.00192288	0.00133963	0.00107341	0.00119769	0.0011798	0.0012761	0.0013357	0.00186952	0.00167407	0.0019993	0.00444274
se	0.0465906	0.0171784	0.0113563	0.0078034	0.00819249	0.00990034	0.00619535	0.00808255	0.0149277	0.0148437	0.0215005	0.0272871	0.0205684	0.0187105	0.0264109	0.0368075	0.043524	0.031026	0.0823251	0.0541793	0.0305796	0.066429	0.0717571	0.0388663	0.0650719	0.0321465	0.022468	0.0128987	0.00923079	0.00728502	0.00873093	0.00723259	0.00919276	0.00871396	0.0124758	0.0117569	0.0166483	0.0160123	0.0144864	0.0127976	0.0178093
sont	0.0121897	0.0107487	0.00936873	0.0080185	0.0103576	0.00998643	0.0108004	0.0138372	0.0131685	0.00946923	0.0201704	0.0163605	0.00922064	0.0210018	0.0269946	0.0283976	0.0319309	0.034653	0.0564223	0.0588428	0.0424652	0.0433652	0.0434979	0.0449523	0.0750556	0.0610633	0.0494941	0.0564863	0.0467491	0.033825	0.0181277	0.00577614	0.00557559	0.00493573	0.00590561	0.00566933	0.00840358	0.00730316	0.00824237	0.0103695	0.0107978
réunis	0.0317055	0.0255877	0.0206749	0.0171114	0.0157641	0.0140291	0.0179592	0.0166891	0.0138228	0.00718205	0.0104151	0.0103066	0.0107128	0.00968256	0.0117311	0.0108417	0.0150484	0.0104006	0.0161533	0.0144333	0.0191434	0.0249798	0.0167326	0.0221163	0.0272048	0.0294498	0.0358662	0.0434367	0.0691207	0.0850916	0.0554369	0.0287202	0.0349193	0.0235104	0.0278711	0.0212848	0.0380911	0.0187294	0.0264328	0.0244176	0.0271929
pour	0.0396482	0.0274011	0.0219813	0.0198383	0.0220209	0.0173579	0.0131598	0.0117831	0.0165309	0.0119139	0.0135629	0.0187339	0.0124226	0.0226778	0.0234237	0.0208639	0.0233361	0.0142744	0.0206352	0.021081	0.0119042	0.0114052	0.00790796	0.00791931	0.0134367	0.00805699	0.00839778	0.0100886	0.0111636	0.0137737	0.0130919	0.0134386	0.0189862	0.032358	0.0440825	0.057858	0.05235	0.0661101	0.0784703	0.0641402	0.0624133
la	0.0374737	0.0269901	0.0243379	0.0310061	0.0280082	0.0241673	0.0193799	0.0176198	0.0158278	0.0114295	0.0131151	0.0132325	0.00974763	0.0258993	0.0248491	0.0239366	0.0201522	0.0224489	0.022355	0.0217084	0.0220781	0.0182562	0.0151854	0.0128551	0.0147588	0.0105966	0.0107403	0.0102561	0.00962633	0.0096436	0.0129773	0.0132219	0.025152	0.0305579	0.0349922	0.039242	0.0472728	0.0469321	0.0514683	0.05365	0.0768521
palabre	0.0347129	0.0344649	0.0316924	0.0358113	0.0255496	0.021199	0.0302295	0.0210145	0.018146	0.0124573	0.0101417	0.0123057	0.0205145	0.0206661	0.020615	0.0148623	0.020787	0.0282405	0.0271648	0.0282576	0.0272342	0.0142091	0.0137478	0.0161309	0.0146358	0.0142526	0.0151667	0.0161313	0.016805	0.0152065	0.0152917	0.0162717	0.0232749	0.0370558	0.0463328	0.036414	0.0360484	0.0293031	0.037212	0.0307636	0.0596793
