 	a82	a38	a35	a75	a76	a73	a37	a75	a5	a24	a61	a31	a43	a0	a31	a88	a38	a93	a4	a13	a9	a38	a82	</S>
le	0.0806628	0.0752328	0.0724236	0.0905349	0.129192	0.11234	0.149278	0.0909472	0.0274048	0.0137129	0.00439627	0.00303889	0.0019464	0.00232431	0.00352641	0.0076941	0.00689598	0.0128996	0.016086	0.0222197	0.0161223	0.0152662	0.0158832	0.0299721
ciel	0.00482292	0.0320733	0.0693029	0.10218	0.210421	0.186102	0.230392	0.129656	0.0175485	0.0026958	0.00138263	0.00109034	0.00120506	0.000281578	8.44323e-05	0.00043602	0.00012679	0.000251868	0.000638777	0.00193041	0.00174543	0.00137108	0.00231977	0.00194035
est	0.0577949	0.0941901	0.067618	0.0435854	0.0554712	0.0689992	0.0972229	0.0756244	0.0292513	0.0349692	0.0188885	0.0118382	0.0103179	0.00429715	0.0045317	0.00494707	0.00750162	0.00998421	0.0307028	0.0452647	0.0463579	0.0492142	0.0743156	0.057112
devenu	0.017448	0.0167574	0.0207893	0.0181732	0.0310597	0.0360453	0.103302	0.168961	0.172104	0.0893617	0.0584108	0.0469391	0.0416199	0.0347051	0.0392533	0.0130024	0.0189223	0.00629023	0.00891643	0.010345	0.00915	0.00785692	0.00980768	0.020778
noir	0.0428257	0.0254995	0.0203474	0.0141397	0.0119541	0.0105926	0.0174264	0.0388938	0.0953389	0.0972938	0.108418	0.106661	0.108453	0.0315627	0.0370621	0.0398814	0.0256477	0.0154045	0.0293052	0.0157387	0.0180824	0.0308946	0.0190595	0.0395173
à	0.149764	0.128333	0.0781805	0.0502967	0.0497854	0.0310306	0.0523591	0.0489242	0.031182	0.0150691	0.00879948	0.00998146	0.00921554	0.00638271	0.00843374	0.0104563	0.0124402	0.0110042	0.016894	0.0302167	0.0291819	0.0286945	0.065993	0.117382
cause	0.114852	0.0691137	0.0409549	0.0218114	0.0147493	0.0113782	0.0107566	0.0113755	0.0141845	0.0216251	0.0281266	0.0357894	0.0218783	0.00473732	0.0071343	0.0197546	0.0140223	0.0166003	0.0446435	0.0540596	0.0698905	0.0811376	0.101096	0.170328
de	0.0588261	0.055715	0.036155	0.0257243	0.0246927	0.0237968	0.0226379	0.0216027	0.0227903	0.0164353	0.0161829	0.0254124	0.0175118	0.00323103	0.00547921	0.0108241	0.0121339	0.0211348	0.0498086	0.0591239	0.0764194	0.0703882	0.0927017	0.231272
la	0.0617043	0.0544397	0.0503494	0.0322211	0.0383236	0.0276204	0.0337252	0.0220445	0.0320718	0.0455242	0.0540431	0.0383413	0.0351598	0.0114412	0.0132122	0.0262411	0.0204955	0.0240159	0.0204375	0.0430395	0.0473817	0.0566548	0.061802	0.14971
pluie	0.0570706	0.0420847	0.0453313	0.0299133	0.0396027	0.0188016	0.0284054	0.0180591	0.0306574	0.0270956	0.0350877	0.0297289	0.0359304	0.0119793	0.01002	0.0214082	0.0151943	0.0218975	0.0405282	0.0593922	0.0907644	0.0769775	0.0923576	0.121712
</S>	0.0437137	0.037981	0.0325391	0.015425	0.017686	0.00726708	0.00906103	0.00733504	0.00775274	0.01054	0.0158026	0.027152	0.028855	0.0170215	0.0272033	0.0434182	0.0535735	0.048929	0.065069	0.0622741	0.0655147	0.0710074	0.0722823	0.212596
