 	a66	a87	a23	a83	a56	a37	a21	a24	a43	a75	a85	a47	a98	a85	a92	a98	a25	a20	a85	a37	a85	a92	a36	a26	a82	a87	a23	a87	</S>
fais	0.0520344	0.0666854	0.0773746	0.0423855	0.0422143	0.057006	0.0614975	0.0349788	0.0290706	0.0229757	0.0302257	0.0357389	0.0423277	0.0479945	0.062212	0.0376497	0.0146269	0.0072087	0.00696733	0.0111751	0.0101271	0.0167846	0.0175361	0.0146624	0.0161838	0.0214993	0.0219139	0.0241266	0.074817
essayer	0.0347351	0.0276469	0.0223161	0.0230812	0.0154644	0.0153319	0.0153465	0.0177858	0.0241084	0.0172035	0.0212916	0.0191011	0.0174922	0.0124876	0.0279396	0.0335589	0.0145792	0.0334341	0.0445563	0.0540464	0.0755261	0.0473316	0.0696898	0.101357	0.0465031	0.0396624	0.036799	0.0525259	0.0390988
cet	0.0790039	0.0477108	0.0414829	0.0626113	0.0400136	0.0394858	0.0383227	0.0386813	0.0281406	0.0224723	0.0200862	0.0229255	0.0181517	0.0158381	0.0187772	0.0311225	0.0320512	0.0222158	0.0283685	0.0326891	0.0358885	0.0267528	0.0364559	0.0301813	0.0197145	0.0284569	0.0464692	0.0317838	0.0641461
habit	0.0649135	0.0502241	0.0357355	0.0276905	0.0358138	0.0220954	0.0384093	0.0382769	0.0357795	0.0373674	0.0374005	0.0347255	0.0463988	0.050797	0.0232535	0.028931	0.0427151	0.0415691	0.0253594	0.0254352	0.0247486	0.0236876	0.0236048	0.0236391	0.0318179	0.025503	0.0246037	0.0483167	0.0311875
à	0.0850308	0.0524033	0.0527928	0.0362476	0.0406134	0.0427891	0.0395556	0.0441421	0.0419261	0.0408886	0.0336494	0.0349501	0.0315839	0.021671	0.0288567	0.0186686	0.0172945	0.0109728	0.0121278	0.0231449	0.0201257	0.0266173	0.0342408	0.030805	0.0202853	0.0412951	0.0415816	0.0320228	0.0437171
ton	0.0623199	0.0316793	0.0249155	0.0160146	0.0238855	0.0287128	0.039606	0.0421896	0.0469049	0.0444429	0.0461412	0.0535847	0.0612143	0.0539038	0.102846	0.0631328	0.0436103	0.016537	0.0139942	0.0234261	0.0290406	0.0197564	0.0258845	0.0172105	0.0139421	0.015121	0.0140272	0.0129096	0.0130467
enfant	0.031581	0.025955	0.0346494	0.0241706	0.0355454	0.0306966	0.0423628	0.0406922	0.0376887	0.036637	0.0387839	0.0348016	0.0408371	0.0331115	0.0474166	0.0295062	0.0363651	0.0128612	0.0367628	0.0479142	0.0757896	0.0814547	0.0445152	0.0229029	0.017946	0.014156	0.00771626	0.0151281	0.0220523
s'	0.036631	0.0283647	0.0482644	0.0298025	0.0342353	0.0332559	0.0341129	0.0359867	0.0351724	0.02577	0.0201975	0.013082	0.012497	0.00795063	0.00956806	0.00689078	0.00584152	0.00939155	0.0174966	0.026209	0.0823202	0.124652	0.0595609	0.0663155	0.0492585	0.0374521	0.0214793	0.0405296	0.0477117
il	0.0385174	0.0300028	0.0502862	0.0332404	0.0393524	0.0380685	0.0381234	0.0385579	0.0387817	0.0295116	0.0280061	0.0176376	0.0181604	0.0130632	0.0152796	0.0132419	0.00866338	0.0233001	0.0302291	0.0364411	0.0813324	0.0810343	0.0416345	0.0568067	0.0357979	0.034174	0.0209744	0.0302086	0.0395724
te	0.0431217	0.0280673	0.0416622	0.0323438	0.0431333	0.0452247	0.0429935	0.0435896	0.0442417	0.026541	0.022731	0.0154427	0.0207708	0.0170971	0.0220389	0.0211593	0.0133611	0.0322871	0.0377726	0.0399771	0.0691046	0.0702094	0.0453469	0.051108	0.0345734	0.0231545	0.0171406	0.0237042	0.0321021
plait	0.0401974	0.0249656	0.0404258	0.0297514	0.0374889	0.0434289	0.0415442	0.0475598	0.052034	0.0324545	0.0323526	0.0253105	0.0308721	0.0207833	0.0230874	0.0203459	0.0176394	0.0363132	0.0395256	0.0385315	0.0466815	0.047265	0.0466368	0.0501887	0.0327048	0.0241536	0.0189273	0.0313018	0.0275286
</S>	0.0810761	0.0516411	0.0670865	0.036986	0.03832	0.0471992	0.0326641	0.0332095	0.0333618	0.0290501	0.0214158	0.0182537	0.0138459	0.00897895	0.0141765	0.0127743	0.0121816	0.0174791	0.0203149	0.0361484	0.0472899	0.063345	0.0484572	0.0423779	0.0352274	0.0261803	0.0212796	0.0264869	0.0631921
