 	a15	a84	a87	a23	a97	a99	a97	a87	a23	a87	a97	a3	a99	a97	a87	a79	a5	a18	a75	a47	a36	a37	a75	a21	a5	a23	a75	a85	a47	a92	a44	a98	a47	a85	a6	a0	a75	a85	a5	a23	a75	a5	a85	a5	a12	a96	a18	a36	a27	a30	a10	a87	a23	a99	a97	</S>
la	0.0973798	0.0691741	0.0341458	0.0255875	0.0132145	0.00587045	0.00578619	0.00843571	0.00420125	0.00953538	0.00679874	0.0114533	0.017339	0.0234441	0.0177104	0.0179806	0.0140087	0.0189987	0.0256787	0.0249553	0.0101653	0.0145871	0.00839276	0.00496691	0.00352618	0.00632465	0.00593568	0.00447402	0.00482521	0.00500458	0.00614693	0.00464733	0.005048	0.00517314	0.00462478	0.00534486	0.00564893	0.00582735	0.00572057	0.0075635	0.0119033	0.0146907	0.0164001	0.0188264	0.0163576	0.0164665	0.0481419	0.0532189	0.0162597	0.0351682	0.0313507	0.0189831	0.0330428	0.0254596	0.0244402	0.0436443
manière	0.00294165	0.00202926	0.00148371	0.00170097	0.000914681	0.00146467	0.00210969	0.00422212	0.00757072	0.0137723	0.0152143	0.00820819	0.0197709	0.0196126	0.0515455	0.0287361	0.0322248	0.0368469	0.02624	0.0116898	0.0220481	0.0240613	0.0189222	0.0189544	0.0396251	0.0440704	0.143995	0.0726512	0.0536236	0.066063	0.0579898	0.0560873	0.0329299	0.0145535	0.00898333	0.00398839	0.00532319	0.00507342	0.00918847	0.00453468	0.0036887	0.00169085	0.000932561	0.00053015	0.000370257	0.000455128	0.000125657	0.000239333	0.000126244	9.02439e-05	9.67532e-05	6.37456e-05	9.66034e-05	6.89749e-05	0.000301187	0.000158492
dont	0.102257	0.0728461	0.0612153	0.0307853	0.00960545	0.020095	0.0156963	0.0187432	0.0165099	0.0209733	0.0229295	0.0169386	0.0363108	0.0455314	0.0266701	0.0289703	0.0195279	0.0222205	0.0214486	0.0199119	0.0266462	0.0246971	0.019206	0.0359189	0.00949325	0.0127729	0.00913317	0.011955	0.0143308	0.0167416	0.0199384	0.0237472	0.0311332	0.0195826	0.01349	0.00502031	0.00627356	0.00671146	0.00518475	0.00201182	0.00304824	0.00157811	0.00232575	0.00276196	0.00266961	0.00299177	0.00345511	0.00387656	0.0036374	0.00193813	0.00216669	0.00237325	0.00324595	0.00329998	0.0146434	0.00281302
elles	0.0197007	0.0223533	0.0165355	0.0142592	0.0169555	0.0276849	0.018246	0.0202537	0.00929706	0.00709924	0.00671179	0.00887156	0.0120651	0.0154162	0.00585725	0.00975836	0.0115644	0.0108098	0.0130706	0.00533303	0.00893026	0.00717119	0.00610394	0.00777423	0.00567891	0.0128663	0.00690848	0.0102292	0.0105371	0.011105	0.00794547	0.0122842	0.0156498	0.0345377	0.0215787	0.0415142	0.0143875	0.0330645	0.0309215	0.0139397	0.0144695	0.0186346	0.0192409	0.0139583	0.0253355	0.0130146	0.0162396	0.0121811	0.0251613	0.0242088	0.0337215	0.0491777	0.0385128	0.0476784	0.0345771	0.0289173
se	0.00808749	0.00620202	0.00451581	0.00528226	0.00557422	0.0252075	0.0160443	0.0183336	0.0201475	0.013139	0.0158147	0.0103559	0.0131319	0.0163536	0.0146647	0.0191572	0.00953213	0.0053143	0.00774232	0.00451643	0.00361148	0.00684469	0.00755195	0.018263	0.00894429	0.0160579	0.0195033	0.0157399	0.0259018	0.0257628	0.0426338	0.0561392	0.0597166	0.0551315	0.0324607	0.0198538	0.0188948	0.018245	0.0142918	0.0091006	0.00792585	0.00991931	0.00596692	0.00389108	0.00898325	0.0043658	0.00738999	0.00394088	0.00805884	0.00788943	0.0129468	0.0274946	0.0247615	0.0540659	0.0568713	0.0417626
sont	0.00513035	0.00569355	0.00525836	0.00686369	0.0103322	0.0118923	0.0140491	0.0259939	0.0162169	0.023889	0.0389806	0.0285663	0.0277126	0.0442697	0.0511726	0.0374178	0.0277993	0.0207885	0.0240516	0.0310113	0.0153932	0.031174	0.0285255	0.0542609	0.0292572	0.0169337	0.0142836	0.00940432	0.0137478	0.00874194	0.0122614	0.0129103	0.0121018	0.00923003	0.0075386	0.00844562	0.00604213	0.0121653	0.0169988	0.0150146	0.0136095	0.0155305	0.0183279	0.0119552	0.0178037	0.0137839	0.0126661	0.00894449	0.00616063	0.00630314	0.00779984	0.00752816	0.0116817	0.024529	0.0131443	0.0187115
disputées	0.0099154	0.0112871	0.0113593	0.0150571	0.0168547	0.0133454	0.0157468	0.018212	0.0115392	0.0119281	0.0157261	0.013073	0.0131455	0.0211578	0.0140519	0.0117288	0.00665201	0.0106682	0.0107715	0.0124272	0.00881586	0.0132676	0.0109723	0.0190816	0.00976339	0.011081	0.0115172	0.0116249	0.0129441	0.00907116	0.00953462	0.00960732	0.00788154	0.00624766	0.00702032	0.00982454	0.00714913	0.0144309	0.0156265	0.0210454	0.0245418	0.0214813	0.0335888	0.0389772	0.0407619	0.0374887	0.0396718	0.0264854	0.0414794	0.0268415	0.0265602	0.0196027	0.0276081	0.0462676	0.0179422	0.0395473
toutes	0.0292996	0.0395788	0.0425607	0.0439768	0.0269959	0.0265821	0.0166056	0.0172373	0.0078677	0.0101603	0.0117279	0.0102916	0.0117155	0.0136848	0.00619887	0.00767257	0.00503526	0.00569771	0.005406	0.00472806	0.00426814	0.00690289	0.00746731	0.0129179	0.00852379	0.0199632	0.0128211	0.017763	0.0211743	0.0219477	0.0163498	0.00802026	0.00821435	0.00667648	0.00541086	0.00659645	0.00348806	0.00767849	0.00687631	0.0102584	0.0169947	0.0130643	0.0137956	0.0212607	0.0298447	0.0155297	0.0227396	0.0218223	0.0520086	0.0383538	0.0339828	0.0389578	0.0273083	0.0313163	0.0270877	0.0395913
les	0.0192835	0.0251359	0.025556	0.0236646	0.0225662	0.0148446	0.00912505	0.0103796	0.00308601	0.00448209	0.00390425	0.0049247	0.00649656	0.00872866	0.00240561	0.00227583	0.00126138	0.00185635	0.00232054	0.00228342	0.00146151	0.0035213	0.00385658	0.00513364	0.00252618	0.00967629	0.00801526	0.0130444	0.0110619	0.0136685	0.00697327	0.00404442	0.00448816	0.00460206	0.00526699	0.00798146	0.00415348	0.00782791	0.00652102	0.0137512	0.0225759	0.0166618	0.0219666	0.027415	0.03741	0.015301	0.02878	0.0266126	0.0339881	0.0630303	0.0485953	0.0537031	0.0415775	0.0577587	0.0567457	0.115722
trois	0.00652474	0.00749175	0.0078083	0.00724068	0.012959	0.0154798	0.0122979	0.0134662	0.00717279	0.00557204	0.00720184	0.00912789	0.00669423	0.00892085	0.00321489	0.0064079	0.00549235	0.00611578	0.00836233	0.0101894	0.00699657	0.0146571	0.0131429	0.0209638	0.011734	0.0206835	0.0153879	0.0177627	0.0232947	0.0247452	0.0269219	0.0126508	0.0172339	0.0127743	0.0159426	0.0245625	0.0107937	0.0217858	0.0186123	0.0148016	0.018827	0.0210366	0.0201933	0.0166954	0.0280968	0.0120184	0.018038	0.0131896	0.020643	0.0217897	0.0287884	0.0379439	0.0367376	0.0535473	0.0482022	0.0910642
