 	a66	a87	a23	a56	a75	a85	a6	a37	a75	a85	a6	a36	a12	a18	a75	a6	a7	a44	a57	a82	a10	a87	a23	a99	a38	a26	</S>
la	0.0171374	0.0222094	0.0225793	0.0234601	0.0228426	0.0368525	0.0471934	0.0437241	0.0529048	0.0559128	0.0294982	0.0299663	0.0353151	0.0164512	0.0391754	0.0306101	0.0524625	0.0543249	0.0541157	0.0487983	0.0470244	0.0498058	0.0258429	0.0311619	0.0314413	0.0237587	0.0554313
poule	0.00525168	0.0143121	0.0206863	0.0506142	0.0836652	0.104401	0.275956	0.21817	0.107853	0.0251468	0.0231688	0.0173436	0.0179898	0.00764418	0.00560524	0.00549839	0.00154722	0.00108219	0.00183587	0.000813602	0.00070563	0.00103278	0.000964522	0.00116636	0.00143744	0.00306028	0.00304817
a	0.0484772	0.154179	0.175829	0.195085	0.105973	0.0575777	0.05335	0.0758435	0.031907	0.0093473	0.00669711	0.00492313	0.00744038	0.00258762	0.00385511	0.00545994	0.00238215	0.00353626	0.00657447	0.00667421	0.00579417	0.00733846	0.00867757	0.00720376	0.00528929	0.00422815	0.00377098
pendu	0.0607378	0.0437809	0.0354341	0.0298831	0.0276129	0.0191255	0.0175867	0.0255339	0.025516	0.0417264	0.0445245	0.118193	0.125052	0.0700015	0.0916145	0.0544671	0.00835629	0.0107593	0.0252448	0.0126275	0.0186055	0.0206202	0.0175554	0.0155727	0.0155301	0.0170196	0.00731854
des	0.0648993	0.0570007	0.0458042	0.0357904	0.0321806	0.0301492	0.0272895	0.0253429	0.0401294	0.0270434	0.051735	0.0852167	0.118877	0.0781257	0.0631741	0.0405276	0.0309967	0.0201173	0.0175959	0.0154322	0.0105748	0.0164286	0.00901276	0.0112763	0.0147462	0.00910733	0.0214259
oeufs	0.0457227	0.033341	0.0266371	0.0243626	0.0135812	0.0102851	0.00767909	0.0105919	0.0115335	0.0140879	0.019284	0.029381	0.0512986	0.0487974	0.0324769	0.0671429	0.0612507	0.0781735	0.0600301	0.0841367	0.0513293	0.0726366	0.0387824	0.0415674	0.0365738	0.0159688	0.0133477
dans	0.0479443	0.0295403	0.0209022	0.0224316	0.0130447	0.00988505	0.00922216	0.0105754	0.0107669	0.0105511	0.0113604	0.0145909	0.0233065	0.0177533	0.0217727	0.0411411	0.0715647	0.082245	0.0538899	0.073517	0.0668375	0.087632	0.0504995	0.0497456	0.0509214	0.0381562	0.0602028
la	0.067325	0.038713	0.031876	0.0335508	0.0174346	0.0140298	0.00954702	0.00944774	0.00959872	0.0145764	0.0144121	0.0160764	0.0195186	0.0183649	0.0209359	0.0409221	0.0512078	0.0594782	0.060053	0.0596579	0.0645919	0.0582597	0.0504885	0.0611856	0.0542742	0.0487918	0.055682
cuisine	0.0471629	0.0373979	0.0364986	0.0466062	0.0592713	0.0528811	0.0373421	0.0259594	0.0243618	0.0421412	0.0369554	0.0202039	0.0159035	0.0117325	0.00620456	0.0226431	0.0102855	0.0187623	0.0359454	0.0308543	0.0363605	0.0553976	0.0716597	0.0622471	0.0652434	0.0699581	0.0200206
</S>	0.029449	0.0286391	0.0283556	0.0317119	0.0353577	0.0329383	0.0279909	0.0249322	0.0234505	0.02801	0.0210253	0.0234603	0.0329912	0.0219804	0.0167208	0.0473864	0.0286094	0.0539241	0.0563028	0.0451769	0.0469794	0.0668045	0.0524982	0.050437	0.0566204	0.0630628	0.025185
