 	a23	a85	a87	a23	a58	a20	a26	a76	a90	a57	a82	a53	a94	a76	a90	a58	a11	a24	a43	a11	a24	a26	a24	a25	a87	a23	a79	a20	a94	a20	a41	a24	a31	a41	a26	a84	a57	a87	a23	a20	a73	a26	a76	a69	a58	a75	a41	a18	a76	a94	a84	a38	a41	a26	a54	a73	a2	a57	a87	a23	a79	a76	a73	a20	a41	a24	a41	a30	a2	a57	a87	</S>
si	0.00682146	0.0116978	0.0118952	0.00893719	0.00803123	0.0101162	0.00613218	0.00543109	0.0102311	0.00680521	0.00653295	0.00290292	0.00353689	0.00412107	0.00374389	0.00498439	0.00426377	0.00453273	0.00766256	0.00828312	0.00437707	0.00464561	0.00215865	0.00235846	0.00218488	0.00239765	0.00300393	0.00236535	0.00286499	0.00452509	0.00482448	0.00410521	0.00462323	0.00499681	0.00531321	0.00486017	0.00491449	0.00592997	0.00654872	0.00796107	0.0169811	0.0149655	0.064179	0.0484083	0.0837916	0.0918505	0.069839	0.0254064	0.0382735	0.0320188	0.0129319	0.0193183	0.0115067	0.0082448	0.00283315	0.00377332	0.00223341	0.00407301	0.00904067	0.00898048	0.0198907	0.0109309	0.0140267	0.0146387	0.00682649	0.00493004	0.00648598	0.00600466	0.0272738	0.0293243	0.0280108	0.0413856
tu	0.002031	0.0023176	0.00198346	0.0025405	0.00422517	0.00706501	0.0127472	0.0136229	0.0107069	0.00931025	0.00773293	0.00736114	0.00512858	0.00662548	0.00442027	0.00584741	0.00476081	0.00647204	0.00235884	0.00425193	0.00452985	0.00380122	0.00437942	0.00682099	0.00730674	0.00648018	0.0131019	0.0157478	0.0112964	0.0102243	0.00993665	0.0106478	0.0101224	0.00587262	0.0237639	0.0228219	0.0145936	0.0157922	0.0140636	0.017802	0.0103131	0.0147951	0.0247298	0.0305753	0.0400125	0.0472998	0.0428401	0.0395549	0.0590039	0.0668297	0.0400975	0.0411597	0.0321556	0.0295677	0.0198365	0.0205746	0.00443258	0.00382584	0.00234709	0.0018014	0.00229467	0.00292112	0.00412634	0.00405725	0.00278874	0.00252394	0.00191082	0.00288719	0.011948	0.0141907	0.0159254	0.0120583
attends	0.0135669	0.0132835	0.0117077	0.010352	0.0110367	0.00924551	0.0140896	0.00915057	0.0123924	0.011742	0.0110101	0.00651352	0.00692157	0.0107677	0.00654562	0.0107686	0.00991802	0.00446936	0.00611191	0.00279857	0.00198612	0.00334963	0.00445285	0.0075009	0.00632303	0.00681026	0.0231622	0.0145393	0.00667319	0.0153597	0.00885073	0.0198165	0.0209867	0.0125602	0.042542	0.0467068	0.0242767	0.0279038	0.0331944	0.0355928	0.0179883	0.0162242	0.00485209	0.0238615	0.0113543	0.0110351	0.0169844	0.00895538	0.0209274	0.0323948	0.0100813	0.0436671	0.0116456	0.0137373	0.0170919	0.0128629	0.00675648	0.00695315	0.0020127	0.00147439	0.00190846	0.000664995	0.00116946	0.00131866	0.00156975	0.00661387	0.00792221	0.011527	0.0296587	0.0254086	0.0269329	0.0394654
encore	0.013789	0.00575731	0.00783059	0.00555475	0.00381652	0.0034017	0.00807482	0.00528799	0.0282268	0.0261809	0.0384596	0.033357	0.0312971	0.0322891	0.0306353	0.0538843	0.0270566	0.0209753	0.0124645	0.00559494	0.00729221	0.00849955	0.00891223	0.0165977	0.0102738	0.017538	0.0196402	0.013006	0.00816921	0.0117308	0.0242931	0.0216768	0.0136435	0.0237127	0.00868888	0.0113244	0.00844806	0.00636367	0.00641067	0.00427947	0.0151306	0.0145861	0.00753927	0.016466	0.0100733	0.00734158	0.0121168	0.0122503	0.007264	0.00652809	0.00559856	0.00554118	0.00543861	0.00588681	0.00861086	0.00700038	0.0106487	0.0120256	0.0215829	0.0154618	0.02154	0.0117571	0.0114034	0.0120595	0.0135368	0.0246039	0.0112252	0.00767389	0.00869185	0.0056859	0.00362629	0.0166698
un	0.0128882	0.00986844	0.00922051	0.00848919	0.00427003	0.0051045	0.00452668	0.00911291	0.0229013	0.0330044	0.0206878	0.0217604	0.0155778	0.0151128	0.013378	0.0159671	0.0108247	0.0101188	0.0108153	0.0130144	0.0114662	0.0166612	0.0230086	0.0236314	0.0205483	0.0197414	0.0285896	0.0240236	0.0210529	0.0134472	0.0172934	0.0183326	0.0172542	0.0182803	0.0208735	0.0115053	0.0164464	0.0128425	0.013805	0.0108021	0.00824175	0.00694332	0.00346564	0.00399743	0.00504382	0.00438484	0.00730956	0.00843874	0.00708444	0.00621397	0.00761928	0.00619449	0.00646282	0.00878784	0.0151785	0.0141105	0.018868	0.0284578	0.0151453	0.0100909	0.0121057	0.008327	0.0105875	0.0156384	0.0155859	0.0186489	0.0165072	0.018536	0.0191362	0.0142351	0.0176329	0.0147712
peu	0.0167484	0.0149513	0.0113781	0.0120031	0.00524462	0.00719086	0.00468362	0.00534895	0.00810029	0.00671199	0.00753761	0.00874809	0.0126837	0.0132307	0.0113688	0.0124395	0.00832873	0.0138048	0.0104928	0.014648	0.0144614	0.021959	0.0215551	0.0132664	0.0134416	0.019002	0.0212057	0.0141589	0.0139611	0.01209	0.0132658	0.0125537	0.00942072	0.0188187	0.0207605	0.0197308	0.0163661	0.0172518	0.0221994	0.0190839	0.0168179	0.0121201	0.0183016	0.0183781	0.021255	0.0111807	0.00826076	0.0126103	0.00666932	0.00597475	0.0068484	0.00445609	0.00690141	0.0106051	0.00893101	0.00902904	0.00521112	0.00757908	0.0105933	0.0099451	0.017516	0.017867	0.024394	0.0257289	0.0364955	0.03859	0.0274314	0.0145798	0.0114214	0.00895617	0.00991417	0.0152409
il	0.0208397	0.00696407	0.00355473	0.00321776	0.0017941	0.00193168	0.00195694	0.000857492	0.00103655	0.00166368	0.00553051	0.00226239	0.0018257	0.00319473	0.00201845	0.00512436	0.00320989	0.00433457	0.00714434	0.0103806	0.00881115	0.0319001	0.0778703	0.053574	0.0302562	0.0489389	0.0917588	0.0189229	0.0161927	0.0206668	0.0137081	0.0123143	0.0124145	0.0111409	0.01953	0.0349673	0.0264026	0.0281118	0.0220568	0.0240612	0.0144941	0.00678543	0.012814	0.00992699	0.0114111	0.0129937	0.0114282	0.00995198	0.0145543	0.0147336	0.0126142	0.00969549	0.018219	0.0119535	0.0125776	0.00992419	0.0127233	0.0205861	0.00879311	0.00431852	0.00481574	0.00320023	0.00411411	0.00811311	0.00697038	0.00549276	0.00510541	0.00663988	0.0070868	0.00411853	0.00435063	0.00705236
va	0.0226353	0.0076024	0.00614353	0.00588235	0.00497853	0.00419505	0.00416962	0.00202577	0.00335325	0.00429836	0.00385802	0.00219504	0.0012798	0.00156752	0.00134466	0.00283266	0.00255405	0.00212282	0.00459057	0.00774856	0.0103179	0.0248488	0.0317192	0.028836	0.0215094	0.0299378	0.0391926	0.0210786	0.0174053	0.0172666	0.0143409	0.011479	0.0204767	0.0117599	0.0176073	0.0291646	0.0312933	0.0340139	0.0181631	0.0283311	0.010199	0.0070974	0.00559317	0.0072245	0.00602944	0.00868881	0.0117695	0.00946655	0.0133818	0.0135346	0.0104827	0.0111514	0.0175333	0.0168394	0.0184104	0.0173739	0.0185459	0.0233764	0.0121981	0.0121867	0.0137709	0.00777757	0.00871969	0.0305954	0.0135862	0.0150104	0.0343404	0.0337409	0.0152165	0.00800172	0.00831387	0.00572363
venir	0.0173884	0.00903265	0.00725497	0.00639906	0.00594189	0.00421382	0.00361414	0.00199407	0.00353419	0.00399843	0.00322162	0.00377258	0.0029587	0.00329184	0.00363603	0.0039089	0.00344211	0.00439521	0.00572568	0.00633057	0.00574985	0.00961676	0.00950796	0.00953153	0.00963743	0.012821	0.0151131	0.0117307	0.0185292	0.00848826	0.00797516	0.00849815	0.00930965	0.0186912	0.0186963	0.0307745	0.0240576	0.0288609	0.0276944	0.0205935	0.0256132	0.023974	0.0275316	0.020712	0.0192708	0.0261329	0.0209912	0.0155121	0.0153862	0.0159824	0.00887464	0.0119782	0.0154431	0.0122974	0.00957354	0.00857319	0.00698879	0.0117027	0.0109505	0.0152777	0.0157912	0.0144179	0.0130285	0.0216346	0.0290449	0.0268534	0.0327105	0.0345289	0.0191559	0.0140454	0.019813	0.0262778
</S>	0.0081739	0.00350779	0.00332056	0.002481	0.00155864	0.0030015	0.00293877	0.00174043	0.00310451	0.00252184	0.00369492	0.00303175	0.00308863	0.00393268	0.00446516	0.0043528	0.00433635	0.00386255	0.00426486	0.0032181	0.00306306	0.00482965	0.00782716	0.00850875	0.00846237	0.0138449	0.0172846	0.0123879	0.0103335	0.0117688	0.0111907	0.00787766	0.00931712	0.0109703	0.0069149	0.0101559	0.0112377	0.010936	0.0129484	0.0145966	0.0310661	0.0250787	0.026861	0.0390763	0.0301665	0.0344515	0.0235135	0.0201657	0.0179184	0.018583	0.0136691	0.0104816	0.0160383	0.0107691	0.0104557	0.0113027	0.0102992	0.0131812	0.0148566	0.0126722	0.0193924	0.0164385	0.0267325	0.0470289	0.037668	0.0312702	0.0189997	0.00869835	0.0275099	0.028028	0.0309062	0.0416681
