 	a15	a66	a87	a23	a30	a53	a44	a98	a79	a92	a85	a47	a36	a37	a66	a75	a85	a47	a36	a37	a70	a62	a88	a31	a62	a88	a75	a85	a47	a6	a37	a66	a3	a87	a97	a87	a97	a3	a97	a87	a23	a99	a97	</S>
le	0.0327562	0.033566	0.036729	0.0368691	0.0328575	0.0297693	0.0264753	0.0405466	0.0562817	0.03968	0.0368605	0.0178048	0.00868364	0.00634094	0.00429283	0.0037633	0.00372024	0.00431514	0.00531919	0.00402233	0.00482201	0.00652069	0.00674069	0.00550824	0.00692461	0.0049794	0.00823625	0.0123656	0.0163195	0.0205015	0.0346657	0.0343091	0.0414354	0.0414025	0.0343191	0.0363757	0.0316116	0.0233126	0.0281995	0.0354862	0.0250038	0.0203189	0.0250203	0.0349676
ruisseau	0.0157296	0.0124426	0.02415	0.0123417	0.0190174	0.020189	0.0196773	0.0142618	0.0222369	0.0241067	0.0500978	0.0216259	0.0191691	0.0178797	0.016947	0.0255762	0.0223667	0.0536011	0.0869433	0.0567717	0.075509	0.12162	0.0805232	0.0524998	0.04152	0.0184	0.0128679	0.00523466	0.00418561	0.00161974	0.00206821	0.00287036	0.00215433	0.00234341	0.0030958	0.00187632	0.00218273	0.00220221	0.00184108	0.00283768	0.00158397	0.00172513	0.00277819	0.00132898
vouma	0.021785	0.0116681	0.0173183	0.011637	0.0235769	0.0194443	0.0510278	0.0385622	0.0162402	0.0212191	0.140908	0.0458524	0.0913722	0.0764089	0.0288963	0.031798	0.0207752	0.0313007	0.0535395	0.0374546	0.0385486	0.038558	0.0290053	0.0168226	0.0129006	0.00607241	0.00583769	0.00270087	0.00437357	0.00310872	0.00481742	0.00415464	0.00389991	0.00333713	0.0026838	0.0021992	0.00192795	0.00195929	0.00293168	0.00597981	0.00330635	0.00358079	0.00760336	0.00290521
est	0.0368065	0.0217121	0.0284096	0.0262623	0.0280053	0.0161667	0.0323739	0.0540939	0.0266524	0.0429123	0.0288567	0.025139	0.0157744	0.025237	0.0192254	0.01413	0.0156679	0.00939966	0.00883371	0.00810506	0.00589042	0.00807804	0.00853412	0.0235424	0.0235994	0.0248082	0.0222703	0.0226933	0.0211522	0.0164453	0.0212483	0.0186405	0.0138623	0.0154146	0.0136897	0.0121705	0.0114727	0.0131793	0.0190401	0.0226577	0.024607	0.0381283	0.0369409	0.0781709
devenu	0.0452774	0.0292364	0.0238235	0.0147702	0.0160425	0.0245646	0.0248035	0.0121692	0.0166316	0.0188991	0.0152949	0.0309658	0.0195446	0.020424	0.0391862	0.032485	0.0415499	0.0447203	0.0323472	0.03412	0.0403147	0.0496179	0.0713133	0.0473855	0.0299632	0.0331657	0.0251383	0.0101575	0.0171742	0.017848	0.0136771	0.00819286	0.00364831	0.00492324	0.00488496	0.00623331	0.00617728	0.00678186	0.00839501	0.00739411	0.0127912	0.00909591	0.0114218	0.0174491
large	0.0113823	0.0088628	0.0108959	0.0105415	0.0130158	0.0190255	0.0225043	0.0248067	0.0107506	0.0106788	0.0167773	0.00833534	0.015488	0.0163713	0.0130509	0.0216595	0.017216	0.0274668	0.0251974	0.0433272	0.0415835	0.0418674	0.045316	0.0386127	0.0422044	0.0352308	0.0408823	0.032513	0.0357996	0.0342526	0.0253567	0.0229275	0.0122765	0.0182721	0.0166087	0.0172215	0.0199141	0.0174594	0.0237314	0.0169045	0.018971	0.0195904	0.0189681	0.016182
et	0.0338363	0.00975303	0.0130275	0.00992017	0.0180163	0.0229846	0.0487019	0.0638022	0.00864314	0.00717895	0.0049654	0.00404028	0.00865772	0.0107269	0.0120368	0.0138466	0.0138389	0.017881	0.0179574	0.00715576	0.0078286	0.0109326	0.0097055	0.0147795	0.023669	0.025676	0.0316499	0.0173273	0.0377596	0.0431862	0.0317186	0.0458264	0.0191659	0.0290033	0.0190585	0.017031	0.0204975	0.0199088	0.0288072	0.0252969	0.032114	0.0352025	0.0514466	0.0554378
profond	0.0270767	0.0186597	0.0211285	0.0145073	0.0139127	0.00608914	0.00888048	0.0200447	0.00943124	0.00655841	0.00343673	0.00215792	0.00219265	0.0026291	0.00380654	0.00502947	0.00396742	0.00493177	0.00244494	0.00288332	0.00591361	0.00374392	0.00856924	0.0118697	0.0203742	0.0181436	0.0234697	0.0135977	0.0498863	0.0696872	0.0706607	0.0817276	0.0369931	0.053378	0.0421443	0.0335888	0.0256174	0.0309747	0.065387	0.025382	0.0436311	0.0292299	0.0354431	0.0208184
en	0.010432	0.00729279	0.00823862	0.00576212	0.00583859	0.00332759	0.00395722	0.00425677	0.0026191	0.00293938	0.00161087	0.00217005	0.00192699	0.00189018	0.00429083	0.00599254	0.00696247	0.00483152	0.00246275	0.00203294	0.0026358	0.0030334	0.00521694	0.0100723	0.0223266	0.0193334	0.0340068	0.0344381	0.0988067	0.114319	0.0909187	0.0897296	0.0334327	0.0403969	0.0355311	0.0267325	0.0192747	0.0303517	0.0353765	0.0253454	0.0386779	0.031543	0.0237357	0.0459293
plusieurs	0.0131389	0.00790307	0.00995335	0.00717364	0.0102978	0.00622148	0.0125485	0.0110745	0.00754892	0.0124303	0.0100946	0.0196424	0.0144535	0.0149151	0.0186572	0.0279186	0.0323934	0.0305315	0.0192859	0.00920596	0.00857197	0.0136285	0.0149817	0.0164596	0.0185059	0.0127145	0.0217664	0.0178873	0.0347843	0.0437521	0.0436938	0.0387946	0.0240599	0.0231825	0.0218748	0.0221724	0.0196354	0.0210316	0.0336942	0.0353078	0.05001	0.0381559	0.0597522	0.0701942
