 	a66	a87	a23	a57	a53	a15	a79	a36	a5	a75	a6	a0	a62	a0	a75	a6	a37	a75	a5	a31	a88	a62	a93	a96	a70	a50	a88	a90	a5	a37	a5	a18	a27	a58	a4	a57	a82	a87	a23	a87	</S>
ma	0.0323381	0.0433495	0.0311907	0.0548568	0.0629505	0.0717668	0.0831259	0.0673971	0.0593438	0.0379892	0.051608	0.0480653	0.0439198	0.0303163	0.0280249	0.0231974	0.013133	0.00715317	0.00510393	0.00366493	0.00443186	0.00704378	0.00582501	0.00699327	0.00328273	0.00240327	0.0027396	0.00233933	0.00194142	0.00333963	0.0075465	0.0041963	0.00988581	0.0132888	0.019154	0.0137633	0.0175252	0.0190599	0.0187193	0.014461	0.0235649
mère	0.00790338	0.0155576	0.0356944	0.0482242	0.05371	0.203504	0.0518418	0.0146981	0.00779455	0.00945929	0.00788659	0.0121472	0.0124852	0.00999463	0.00483478	0.0070388	0.0158369	0.0211497	0.022925	0.079438	0.0460059	0.0610331	0.034364	0.0270301	0.0263306	0.0445676	0.0165934	0.00792406	0.00503054	0.00633569	0.0106175	0.00772099	0.0150365	0.00590234	0.00509665	0.00644871	0.00502422	0.00553016	0.00596935	0.0106314	0.00468282
me	0.0341808	0.036015	0.0353874	0.0394959	0.0335044	0.0432029	0.0434495	0.0740391	0.066388	0.0551963	0.0316267	0.0306974	0.0331194	0.0230388	0.00934297	0.0103439	0.027362	0.0300215	0.0325571	0.0376421	0.0359391	0.0189173	0.0262216	0.0203172	0.0147086	0.0149979	0.0131299	0.00725004	0.00826864	0.00749114	0.00473558	0.00564629	0.0072176	0.010793	0.00927343	0.0109136	0.0157119	0.010093	0.00910431	0.0152719	0.00738671
réveillait	0.0196824	0.00651529	0.00736315	0.0111174	0.00851763	0.0119693	0.00979341	0.0483083	0.0703022	0.0738713	0.0680596	0.07083	0.0591684	0.063541	0.0258184	0.0272618	0.0235044	0.0137381	0.0145958	0.00977563	0.0166721	0.0141289	0.0113026	0.0115282	0.0136245	0.00761632	0.0124541	0.0137403	0.0207809	0.0125481	0.0131149	0.00920003	0.0126499	0.0157642	0.0269217	0.0236751	0.0226871	0.0249541	0.0191042	0.0212254	0.0325737
chaque	0.0228469	0.00735407	0.00640215	0.00848423	0.00865213	0.00775057	0.0139148	0.0228301	0.0473729	0.0348614	0.0590071	0.069439	0.0625388	0.0731334	0.102014	0.0672893	0.0501141	0.0372596	0.0303888	0.0203577	0.0189579	0.0149115	0.0108296	0.00907432	0.00697013	0.00858567	0.00855193	0.00955388	0.012918	0.00999759	0.00595819	0.00911571	0.00884384	0.00926202	0.00879426	0.00975332	0.00975722	0.00843777	0.0121355	0.00859472	0.0469853
matin	0.00768206	0.00310318	0.00479102	0.00514272	0.00354285	0.00447487	0.0120573	0.0217916	0.0480589	0.038179	0.0480728	0.0784017	0.084992	0.0807443	0.159548	0.0885742	0.053207	0.0382921	0.0234674	0.0155369	0.0171144	0.0177707	0.0118389	0.00700466	0.00483261	0.00584008	0.00300716	0.00215753	0.00386211	0.00708424	0.00601036	0.00516867	0.00775175	0.00716969	0.00725342	0.00619795	0.00808625	0.00896474	0.00813414	0.00837517	0.0267156
pour	0.0073874	0.00262075	0.0038199	0.00406558	0.00263089	0.00367217	0.00873923	0.016494	0.0280445	0.0284111	0.0286923	0.0382609	0.043367	0.058854	0.120356	0.0808157	0.0588029	0.0434382	0.0450476	0.0241646	0.0268762	0.0213746	0.0194421	0.00868254	0.00912976	0.00794935	0.0045533	0.00335587	0.0054172	0.0106456	0.00949479	0.00779392	0.0173629	0.015394	0.0299486	0.0181904	0.0269197	0.0266718	0.017441	0.0232292	0.0424432
aller	0.0123105	0.00523389	0.00462789	0.0056002	0.00434991	0.00693202	0.0115168	0.0173489	0.0193631	0.0177821	0.0246528	0.0266268	0.0291351	0.044405	0.0962536	0.0761572	0.0652251	0.0499131	0.05959	0.0245909	0.0250044	0.0214587	0.0223324	0.0160433	0.016997	0.0125266	0.0120859	0.0114875	0.00979615	0.0117446	0.0116293	0.0067701	0.0143837	0.0119522	0.0273905	0.0212596	0.0412674	0.0250021	0.021274	0.0260143	0.0319649
à	0.0402925	0.0121655	0.00844822	0.00768686	0.00391471	0.00368055	0.00442922	0.0177981	0.0153755	0.028933	0.0215856	0.0451372	0.044398	0.0587272	0.0606429	0.0622359	0.0345654	0.0157568	0.0214506	0.00854612	0.00782964	0.00464535	0.00317594	0.00543488	0.00562626	0.00469975	0.00954021	0.0102283	0.0111352	0.00951699	0.0102386	0.00661252	0.0254779	0.0277107	0.062211	0.0313905	0.0469076	0.0532985	0.040395	0.0521255	0.0560297
l'	0.0129227	0.00741333	0.0056328	0.00393451	0.00372969	0.00221333	0.0024362	0.00782432	0.00836445	0.0115198	0.0125813	0.018035	0.0298287	0.0379957	0.0693669	0.06256	0.0292089	0.0171458	0.023166	0.0112979	0.0118463	0.00767405	0.00932728	0.00977262	0.0119271	0.012993	0.0206676	0.0199329	0.017055	0.0176998	0.0135359	0.0146138	0.0249107	0.0271995	0.0560268	0.0399515	0.0465391	0.0695993	0.0561101	0.0815022	0.053938
