 	a66	a87	a23	a62	a96	a56	a90	a56	a75	a5	a24	a31	a47	a21	a85	a92	a98	a47	a36	a2	a57	a87	a23	a87	</S>
mon	0.0271372	0.0340787	0.0407717	0.0353375	0.0357076	0.0187798	0.0225627	0.0111319	0.0124559	0.00609145	0.00775781	0.00532207	0.00645263	0.00903845	0.0441522	0.0734626	0.0988807	0.0964162	0.0430607	0.0570006	0.0557391	0.0624705	0.0707631	0.0588093	0.0666196
champ	0.0375749	0.0376224	0.0328767	0.047842	0.0469264	0.0534981	0.0544535	0.0704672	0.0390407	0.0207381	0.0699488	0.0180688	0.0848931	0.112526	0.123299	0.0486334	0.033541	0.00742212	0.00300516	0.00484898	0.0107922	0.00608941	0.0126873	0.0175173	0.00568775
de	0.0433495	0.0505429	0.061389	0.0893842	0.0710724	0.0385032	0.0297634	0.017689	0.0110532	0.0071368	0.0104129	0.0169723	0.0110131	0.022562	0.0194028	0.0215537	0.019418	0.0394098	0.0591622	0.0891656	0.071457	0.0580654	0.0467674	0.0487778	0.0459765
du	0.0836199	0.0660821	0.0506552	0.0579005	0.0724273	0.0561049	0.0996905	0.0702843	0.0619051	0.0318214	0.0131225	0.0242785	0.0126106	0.025508	0.0132631	0.0153783	0.032293	0.0328018	0.0193906	0.0204901	0.0187304	0.0279523	0.0332631	0.0290679	0.0313589
sésame	0.053975	0.0512311	0.053969	0.0605898	0.0653171	0.0543094	0.0720493	0.0412918	0.0498363	0.0573674	0.0211875	0.0398734	0.0613345	0.0347004	0.0122796	0.0109118	0.0150849	0.016874	0.0114164	0.0105561	0.0163227	0.023221	0.0377167	0.0337868	0.0947981
est	0.0424106	0.0329597	0.0289878	0.0215002	0.0217864	0.0139677	0.0150954	0.0125003	0.0254803	0.0152894	0.0205282	0.0196923	0.0388009	0.036855	0.0559928	0.0622087	0.0467306	0.0726527	0.0453879	0.065991	0.0755873	0.0492469	0.0462123	0.0396257	0.0945098
distant	0.0274683	0.0264885	0.0365817	0.024164	0.0243588	0.020577	0.0305088	0.02597	0.0333834	0.0179018	0.0209223	0.0181667	0.0219174	0.0303555	0.0313899	0.0424701	0.0418934	0.0698909	0.0702345	0.0863352	0.0674254	0.0636705	0.0702449	0.0488321	0.0488489
des	0.0267395	0.024455	0.0282496	0.0273444	0.0263824	0.0293423	0.0344215	0.0202358	0.0229669	0.0161029	0.0120156	0.014501	0.0110878	0.0140215	0.0202409	0.0422834	0.0425821	0.0711581	0.0804477	0.091486	0.0828858	0.0837898	0.0800746	0.0599938	0.0371917
leurs	0.0347793	0.0323616	0.0381001	0.0255107	0.0227104	0.0203928	0.0337976	0.0216809	0.0373167	0.027931	0.0166489	0.0242912	0.0179366	0.0241748	0.0235463	0.0292206	0.0308587	0.0550506	0.0772712	0.0719763	0.0826399	0.0693856	0.0658467	0.0491636	0.0674079
</S>	0.0594155	0.0517248	0.0370547	0.0246723	0.0154776	0.0113789	0.0104405	0.00591289	0.0118849	0.0178827	0.00928485	0.01704	0.0173967	0.0419566	0.0332305	0.0327766	0.0391363	0.0510951	0.0632692	0.0833718	0.0645722	0.0619444	0.0675461	0.0529458	0.118589
