 	a66	a87	a23	a79	a20	a47	a85	a6	a36	a61	a21	a5	a23	a27	a25	a53	a15	a47	a36	a6	a37	a5	a37	a90	a56	a90	a25	a79	a44	a79	a69	a58	a82	a87	a23	a10	a83	a36	a79	a54	a6	a36	a47	a75	a47	a36	a37	a26	a90	a15	a69	a58	a82	a87	a23	a87	</S>
quand	0.0197077	0.0339101	0.0330745	0.0302465	0.044819	0.0390827	0.0151059	0.0148991	0.011045	0.0165332	0.0112834	0.0318373	0.0152185	0.0165193	0.0351096	0.0820911	0.0331643	0.0322747	0.0338807	0.0216763	0.0217946	0.0176654	0.0248466	0.012938	0.0138265	0.0201055	0.0141212	0.0135602	0.0124468	0.0138841	0.0119857	0.0121625	0.00986608	0.00935712	0.0110931	0.00576286	0.00898438	0.00381197	0.00384784	0.00648118	0.00429247	0.00491683	0.0030022	0.00236088	0.00391704	0.00351196	0.00274691	0.00624867	0.00956076	0.00782583	0.0131183	0.0159011	0.0137405	0.0100038	0.0178711	0.0191218	0.0418393
il	0.00275686	0.00284243	0.0037533	0.0060909	0.00739646	0.0351492	0.0593714	0.0555917	0.0596011	0.0557787	0.0396011	0.0493675	0.0404726	0.0504657	0.031694	0.0292817	0.0328265	0.0324644	0.0249269	0.0277454	0.0232929	0.0213081	0.0181701	0.0118042	0.0116913	0.00790904	0.00587772	0.0074379	0.00706623	0.00784862	0.00540383	0.00493461	0.00456546	0.00509257	0.00601758	0.00547779	0.00498003	0.0027999	0.00421512	0.00333428	0.00879987	0.00459169	0.00296477	0.00523141	0.00380217	0.0113662	0.00702044	0.00938904	0.00843222	0.0160159	0.0104954	0.0111839	0.0166036	0.0181323	0.0188935	0.0146252	0.0160471
rit	0.00860887	0.00706967	0.00577265	0.0107036	0.00634289	0.023182	0.0557998	0.0402766	0.0413647	0.0457436	0.0296502	0.0465794	0.0246923	0.0344167	0.0306508	0.0265016	0.0262077	0.011526	0.0146911	0.0165304	0.0137225	0.0107054	0.0147454	0.0143752	0.010894	0.0156643	0.0187093	0.0168495	0.0236817	0.0239278	0.0124009	0.0191883	0.0163586	0.0148534	0.0134508	0.016577	0.0185132	0.018941	0.0122651	0.0100536	0.00716184	0.00184539	0.00368998	0.00706241	0.00398678	0.0105119	0.00239974	0.00234772	0.00402744	0.00467437	0.00436348	0.0042356	0.010668	0.013598	0.0224491	0.0223629	0.0524274
il	0.0418359	0.0185647	0.0113801	0.0173592	0.0099391	0.0121066	0.0144649	0.0150308	0.0107908	0.00808663	0.0168427	0.00840196	0.00952806	0.0139171	0.0105443	0.00497841	0.00672982	0.0116254	0.0100476	0.0129411	0.00702573	0.0153742	0.0179972	0.0221573	0.0334657	0.0264068	0.0296949	0.0379616	0.0419634	0.036085	0.0334352	0.0351205	0.0329407	0.030553	0.0370682	0.0371657	0.0249274	0.0240137	0.0177604	0.0164502	0.00799313	0.00902882	0.00546565	0.00678339	0.00418503	0.00876976	0.00987942	0.0157523	0.0154058	0.0209728	0.011744	0.0106745	0.0116151	0.0135464	0.00720618	0.0064676	0.0118281
couvre	0.0234112	0.0123067	0.00573092	0.00626929	0.00599618	0.00575758	0.00500584	0.00760889	0.00509281	0.00508159	0.0121489	0.00701697	0.00827027	0.00715127	0.00930374	0.00879623	0.0138935	0.0149768	0.0132039	0.0260442	0.0118015	0.0147725	0.0170757	0.0350105	0.0331821	0.0420205	0.0397464	0.0481828	0.0406224	0.0389495	0.0353581	0.0537484	0.0452386	0.0420771	0.0326316	0.0347218	0.021668	0.0307397	0.0322399	0.0353009	0.015026	0.0111652	0.00635278	0.00583714	0.0035325	0.0062362	0.00316854	0.00372742	0.0031539	0.013579	0.00428866	0.00846248	0.0056944	0.00769217	0.00487587	0.00421891	0.00483403
sa	0.0106768	0.00528573	0.00431987	0.0041607	0.00400727	0.00131172	0.00142051	0.00267412	0.00229327	0.00263491	0.00487239	0.002064	0.00288881	0.00365638	0.00593228	0.00698069	0.007082	0.00577444	0.0096874	0.0111856	0.00745929	0.0135426	0.0152412	0.0379602	0.0522234	0.0867807	0.0636585	0.0683388	0.0481335	0.0615902	0.0476931	0.0517893	0.0582611	0.0467887	0.0424829	0.0409451	0.0229508	0.0185475	0.0122563	0.0101165	0.00686365	0.00781021	0.00244127	0.0039944	0.00337291	0.00496305	0.00210851	0.00626757	0.00666291	0.00860156	0.00433447	0.00723979	0.0073739	0.00785053	0.00600608	0.00422469	0.00421614
bouche	0.00955004	0.00442978	0.00234159	0.00311704	0.00446448	0.00274021	0.00252336	0.0033502	0.00541491	0.00507957	0.00886688	0.0032517	0.00484169	0.00868464	0.0140098	0.012184	0.0235126	0.0341184	0.0219738	0.0411645	0.0114827	0.0226594	0.0126352	0.0321673	0.0473267	0.0739743	0.0480791	0.0464806	0.0541099	0.0537069	0.0434567	0.0485831	0.0492592	0.0353356	0.0284827	0.0345613	0.0129117	0.020132	0.0186687	0.0137491	0.00946936	0.00762025	0.00357684	0.00510877	0.00490882	0.00789781	0.00163121	0.0024121	0.0037949	0.00661144	0.00148279	0.00307033	0.00357346	0.00366415	0.00294613	0.00362054	0.00522951
avec	0.00887678	0.00512439	0.00262827	0.00435391	0.00280685	0.00808841	0.00730101	0.0143467	0.0175133	0.0122747	0.0221152	0.0142023	0.0122359	0.0261113	0.0502294	0.0427182	0.0762006	0.0406922	0.0236185	0.0319338	0.0170088	0.0272568	0.0164572	0.0317211	0.0291843	0.0716293	0.0346948	0.0419426	0.0551315	0.0539152	0.0166078	0.0399654	0.0246944	0.0130113	0.00681319	0.0104931	0.00443901	0.0059274	0.0070266	0.00619419	0.00492213	0.00240814	0.0019679	0.00370445	0.0023098	0.00538689	0.00289168	0.00212832	0.00514618	0.00393273	0.0021533	0.00186633	0.0037919	0.00346957	0.00450149	0.00423313	0.00770034
la	0.0203176	0.0237127	0.014988	0.011461	0.00505449	0.00504774	0.00635784	0.00749621	0.00873869	0.00779524	0.0138215	0.00964379	0.0071427	0.0155035	0.0204597	0.0207527	0.0342603	0.0196404	0.0207389	0.0236319	0.0214143	0.0206633	0.0199014	0.023531	0.0212828	0.0323117	0.0213805	0.0256264	0.0259134	0.0269623	0.0141577	0.0191826	0.0171661	0.0164653	0.0127015	0.0129772	0.011686	0.0111321	0.0162755	0.0151431	0.0114216	0.02395	0.00883397	0.0127048	0.0117619	0.0234999	0.00928235	0.0149891	0.0197328	0.0251317	0.013458	0.017441	0.021713	0.0209285	0.0225613	0.0238531	0.0362976
main	0.00908285	0.00776177	0.00625226	0.00716725	0.0044323	0.00608954	0.00708895	0.00879397	0.0127227	0.0103784	0.0110798	0.00997789	0.00976902	0.0152839	0.0167317	0.0187439	0.0334442	0.0252108	0.020437	0.0331341	0.0174842	0.0283258	0.0170964	0.0285154	0.0122573	0.00858378	0.0136858	0.0178324	0.0214321	0.0227063	0.0136219	0.0212761	0.0162046	0.0118276	0.00884431	0.0109146	0.0106037	0.0123039	0.0240036	0.0234699	0.0177951	0.0244099	0.0193232	0.0239561	0.0238527	0.0308633	0.0152163	0.017744	0.0256267	0.0324725	0.0152419	0.014647	0.0256285	0.0268104	0.0284437	0.0273495	0.0160474
parce	0.00629248	0.00492031	0.00595029	0.00439523	0.0029195	0.00384737	0.00867132	0.00885245	0.0108622	0.0105423	0.00775758	0.00929681	0.0107081	0.0139548	0.0152703	0.0216999	0.0251858	0.0279815	0.0312599	0.0393797	0.0308997	0.0310374	0.029241	0.0142985	0.00787061	0.00622051	0.0133402	0.017983	0.0172508	0.0228743	0.0158538	0.0169541	0.00935221	0.00880745	0.00758395	0.00807631	0.0129346	0.0107705	0.0176496	0.0190663	0.0132849	0.0286095	0.00948774	0.0174449	0.0163087	0.0365626	0.0125824	0.018215	0.0309327	0.0436748	0.0165788	0.00860287	0.0202081	0.0224783	0.0321647	0.0367818	0.0482696
