 	a23	a85	a87	a23	a87	a23	a40	a30	a26	a30	a2	a38	a14	a35	a30	a14	a44	a26	a11	a35	a24	a41	a14	a35	a76	a41	a32	a75	a76	a94	a58	a82	a83	a24	a71	a93	a70	a99	a9	a99	a87	</S>
ils	0.0473952	0.0618628	0.0394207	0.0287279	0.0210038	0.0217981	0.0227959	0.0204425	0.0216669	0.0221814	0.027809	0.0348181	0.0244441	0.0272248	0.0716682	0.0355284	0.0396086	0.0426378	0.0644973	0.0361645	0.0215751	0.0293687	0.0197964	0.0160073	0.024491	0.0158752	0.00870344	0.0174336	0.00739025	0.0207899	0.0135588	0.00502226	0.00917449	0.00596167	0.00552182	0.00422697	0.00491889	0.00757657	0.00795456	0.00921473	0.0114623	0.0222803
font	0.00211501	0.00178413	0.00165518	0.00390209	0.00590871	0.00647104	0.00449963	0.00485812	0.00337457	0.00656926	0.0111893	0.0113181	0.0146861	0.0259965	0.033596	0.0204998	0.0531509	0.0745719	0.0643041	0.0857375	0.111805	0.0636813	0.0777413	0.0924932	0.0550704	0.0314477	0.0215569	0.0442144	0.0240042	0.0108042	0.00516559	0.00421798	0.00216671	0.00317309	0.00276983	0.00225924	0.00244537	0.00144021	0.00132389	0.00180197	0.00232946	0.00189959
une	0.019772	0.00586635	0.00593881	0.00744968	0.00706312	0.0078496	0.0108001	0.00932316	0.00680434	0.0046396	0.00690604	0.00605212	0.00455399	0.0033396	0.00501334	0.00456093	0.00576707	0.00623091	0.00845557	0.00768234	0.00797829	0.0126828	0.0164432	0.0133362	0.0189903	0.0278357	0.0554723	0.0518802	0.0333531	0.0205202	0.0211916	0.0182731	0.0227723	0.0176432	0.0279659	0.0393552	0.0522902	0.0585737	0.0784231	0.08657	0.118825	0.0555561
botte	0.00824924	0.00935821	0.00856202	0.00540116	0.00399528	0.00576108	0.0152745	0.0210697	0.0137979	0.0276693	0.039655	0.0310263	0.0242841	0.0438594	0.0227882	0.0338471	0.0353888	0.0715913	0.0471324	0.0263773	0.0350767	0.0506165	0.0332056	0.0283447	0.0422813	0.0331471	0.0140071	0.0162912	0.00852058	0.00695431	0.00938549	0.0143453	0.0332866	0.0438096	0.0403172	0.0234724	0.0165972	0.00961743	0.0085515	0.0117549	0.00861158	0.0167175
avec	0.0776587	0.0714374	0.0984717	0.065955	0.040468	0.029916	0.0300022	0.0187288	0.00921196	0.0242587	0.0284816	0.0136234	0.00969361	0.0130508	0.0162873	0.0149398	0.0174889	0.013025	0.0241414	0.0123688	0.00925913	0.0205053	0.026143	0.015483	0.0170816	0.0144534	0.0132629	0.0189445	0.0107282	0.0111462	0.0148556	0.00997326	0.0125987	0.0114898	0.0163061	0.01573	0.0155405	0.0164786	0.0170511	0.0217463	0.0249019	0.0371118
la	0.0731395	0.0380322	0.0536168	0.047267	0.0347944	0.0340829	0.0219962	0.0238291	0.0133506	0.022566	0.0218896	0.0155376	0.0148386	0.011019	0.0210014	0.0123815	0.0141852	0.00932197	0.018382	0.0108701	0.00730125	0.0128368	0.0145418	0.00870156	0.00951299	0.00737395	0.011649	0.00907654	0.00944417	0.00992084	0.0128278	0.0181785	0.0183878	0.0290983	0.029373	0.0375408	0.0333435	0.0416423	0.0415742	0.0354151	0.037514	0.052644
paille	0.056779	0.0343092	0.047279	0.045039	0.0313603	0.0260347	0.0219795	0.0228195	0.0177352	0.0195088	0.0206719	0.0176963	0.0110607	0.0105089	0.0209083	0.0165883	0.0145441	0.00873383	0.0167294	0.0104788	0.00929281	0.0146666	0.019976	0.0210699	0.0164161	0.0192596	0.0258769	0.0282099	0.020931	0.0295734	0.0290476	0.0327837	0.0260169	0.0215416	0.0298854	0.0211112	0.0233749	0.0338146	0.0282213	0.0312736	0.0260011	0.020891
de	0.0523705	0.0452904	0.0565142	0.042129	0.0362825	0.0219857	0.0119843	0.0122349	0.00486218	0.0103461	0.0115092	0.00971226	0.00717602	0.00845943	0.0195171	0.0102832	0.0138467	0.013632	0.0210773	0.0151786	0.0159072	0.0147101	0.0174394	0.0158903	0.029908	0.0223657	0.018279	0.0305304	0.0244594	0.0195297	0.0253129	0.0347347	0.0375347	0.0492419	0.0292104	0.024663	0.0236259	0.0336359	0.023515	0.020948	0.019798	0.0443684
riz	0.0803483	0.0555642	0.0718557	0.051795	0.0417867	0.0238428	0.0110168	0.00999253	0.00642796	0.00873637	0.00830431	0.00771414	0.0063742	0.00535398	0.0135605	0.00776043	0.00879276	0.00649794	0.0114746	0.00705833	0.00614168	0.00731955	0.00803189	0.00782328	0.0120846	0.00864253	0.0109262	0.0142962	0.0110321	0.0133457	0.0202002	0.0244875	0.037797	0.039075	0.0496765	0.049362	0.0383194	0.0500825	0.0333408	0.0276554	0.0285225	0.0575802
</S>	0.0545324	0.0537884	0.0549813	0.0367236	0.0353305	0.0232738	0.0131595	0.0103975	0.00568956	0.00852069	0.00754969	0.00523188	0.00376358	0.00298774	0.00815005	0.00615189	0.00684764	0.0057087	0.0091652	0.0103255	0.00889448	0.0105231	0.0118081	0.0101226	0.0109362	0.00377431	0.00710006	0.0082774	0.0131032	0.0103041	0.0226383	0.0223075	0.0592719	0.0550305	0.0694985	0.0628915	0.0368012	0.0446374	0.0328812	0.0343485	0.0330103	0.0695603
