 	a66	a87	a23	a57	a10	a87	a23	a79	a15	a20	a25	a90	a25	a79	a98	a47	a79	a98	a47	a73	a54	a47	a37	a26	a75	a85	a92	a37	a43	a75	a92	a37	a12	a61	a75	a98	a15	a7	a44	a26	a82	a87	a23	a57	a87	a23	a38	</S>
osombo	0.019546	0.0124214	0.0147852	0.0150837	0.0159255	0.0179357	0.0165408	0.0171587	0.0286152	0.0596138	0.0464974	0.0553764	0.0487455	0.0932959	0.0883825	0.067882	0.0807139	0.0383953	0.0693166	0.0307161	0.0146563	0.0137819	0.0089599	0.00624504	0.00300477	0.00322263	0.00245972	0.00498799	0.00332082	0.00279242	0.00317921	0.00237597	0.00296337	0.00188579	0.00159569	0.0013676	0.00138683	0.00189136	0.00661959	0.00483172	0.00549555	0.00653564	0.00776341	0.00646729	0.00766196	0.00845438	0.010053	0.0190926
et	0.0337227	0.0209692	0.0175125	0.0185718	0.0114336	0.0275984	0.0193592	0.0260297	0.0239726	0.0330013	0.0474896	0.0499965	0.0499706	0.060721	0.0465921	0.0351058	0.0414477	0.0278288	0.0425405	0.0203205	0.0101466	0.0143048	0.00803837	0.00687509	0.00687987	0.0048062	0.00957708	0.00595955	0.00680778	0.00895813	0.00926769	0.00510968	0.00861532	0.0114209	0.0154326	0.00509834	0.0074376	0.0100014	0.00507953	0.00412453	0.0146061	0.0187495	0.0248873	0.0193193	0.0229979	0.0183762	0.0347462	0.0281925
sa	0.0949368	0.0564645	0.0358319	0.0259629	0.0157079	0.0227233	0.0219067	0.0115329	0.0175138	0.0309479	0.0318851	0.0248597	0.0155641	0.0186797	0.0198456	0.0129216	0.0166091	0.00935234	0.0190261	0.015921	0.0169271	0.017238	0.0124494	0.00986668	0.00765371	0.0047647	0.00684426	0.00568591	0.00603869	0.00407995	0.00384249	0.00442068	0.0160952	0.0192572	0.0252227	0.0263137	0.0171526	0.0164776	0.0078429	0.00792609	0.0083193	0.0212054	0.0168469	0.0242372	0.0381757	0.027769	0.0602918	0.0488622
femme	0.0147429	0.0161555	0.0188809	0.0162824	0.0174129	0.0183934	0.0175534	0.02422	0.0140315	0.0107803	0.0133081	0.014393	0.0180314	0.0146242	0.00648382	0.00591181	0.0117218	0.0124788	0.00775282	0.0130152	0.0176147	0.0275692	0.0327416	0.0346851	0.0265793	0.0326604	0.0147148	0.0387481	0.0279834	0.0222772	0.0184754	0.0411638	0.0279267	0.0455516	0.021935	0.0457672	0.0265704	0.0132372	0.0312081	0.0351082	0.0113023	0.0149135	0.0182744	0.0242257	0.0198389	0.0101712	0.0185519	0.0140305
s'	0.016352	0.0117421	0.0113671	0.0100609	0.0107994	0.00813992	0.00711043	0.00730341	0.00849264	0.010521	0.0223866	0.0195345	0.0339278	0.0248865	0.0188485	0.0193759	0.0296804	0.0424259	0.0221989	0.0412806	0.0417087	0.0352327	0.0306619	0.0463917	0.0325534	0.024587	0.0219214	0.0391676	0.0350958	0.0421509	0.0250314	0.0242477	0.0172207	0.0209672	0.00472252	0.00618368	0.0063537	0.00470312	0.00708298	0.00973932	0.00909898	0.0115409	0.0154599	0.0203608	0.0216548	0.012467	0.0287116	0.0285481
étaient	0.0106536	0.00573623	0.00516802	0.0036956	0.00609592	0.007309	0.00545238	0.00969623	0.0117464	0.0252343	0.0368336	0.0340317	0.0420551	0.035741	0.0305958	0.0400985	0.038127	0.0813227	0.0476644	0.0735041	0.06294	0.0548552	0.0367739	0.0471844	0.0274467	0.0284259	0.0106849	0.0212305	0.0135761	0.0135697	0.0131611	0.0118622	0.00909134	0.0108516	0.00674567	0.00993111	0.00674074	0.00395062	0.00523699	0.00512466	0.00429824	0.00596174	0.00847158	0.0096846	0.00600097	0.00449241	0.00459145	0.00635418
mis	0.0118537	0.00942046	0.00841127	0.00801678	0.00993025	0.00797428	0.00669076	0.0148271	0.0161748	0.0234828	0.044154	0.0392646	0.0545324	0.035714	0.0286496	0.046107	0.0419052	0.0572984	0.0535959	0.0658869	0.0537346	0.075728	0.0385066	0.0346165	0.0253104	0.0132559	0.0115031	0.0149601	0.0185835	0.015857	0.00856724	0.00887362	0.0041648	0.0112467	0.00404569	0.00434431	0.00169228	0.00141449	0.00261599	0.00256407	0.00181992	0.00184283	0.00535045	0.00814607	0.00646364	0.00852304	0.0134262	0.0189526
d'	0.0151025	0.0108845	0.0127877	0.0143127	0.0126274	0.0133293	0.00959973	0.0140248	0.0119909	0.0181533	0.0382524	0.0479238	0.0587563	0.0501978	0.0326905	0.0372852	0.0426988	0.0414466	0.0527899	0.0543265	0.0301208	0.0608473	0.0172481	0.0144474	0.0111616	0.00540147	0.00575719	0.00745925	0.00573486	0.00738716	0.00425465	0.00255067	0.00545316	0.00673335	0.0110996	0.00667265	0.00708862	0.00611547	0.0134727	0.0122685	0.0132588	0.0136614	0.0280499	0.026429	0.0195952	0.0178089	0.0196632	0.0310783
accord	0.022779	0.0149716	0.0158719	0.0151423	0.0132193	0.0136803	0.0104068	0.00926443	0.0120423	0.0249828	0.0267919	0.0238443	0.0166307	0.0151219	0.014059	0.0115944	0.0170568	0.0158083	0.0219099	0.0292856	0.0288588	0.0397939	0.025136	0.0239286	0.0192544	0.011779	0.00962521	0.0132299	0.0106182	0.0120826	0.01002	0.00595424	0.0103081	0.00915978	0.0145948	0.00916742	0.00847986	0.00818991	0.00763623	0.00864079	0.0117922	0.0203964	0.0348795	0.0357809	0.0550529	0.036708	0.070609	0.10386
pour	0.0376758	0.025296	0.0198982	0.0164653	0.0167185	0.0158901	0.0119818	0.0101214	0.0112895	0.0229718	0.0249115	0.0194044	0.0142768	0.00800908	0.00844585	0.00700376	0.0102935	0.00909099	0.0109138	0.0160066	0.0209695	0.0286355	0.0225433	0.0182531	0.0147045	0.0105451	0.00846173	0.0114312	0.0109191	0.0119125	0.0124525	0.0153132	0.021051	0.0173524	0.0271478	0.0277265	0.0278537	0.0240784	0.0188249	0.0161761	0.0180712	0.0263111	0.0251778	0.0418085	0.0359491	0.0384513	0.0648098	0.0664047
